step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-10 17:19:55,292,293,38.0,37.7,38.8,44.4,292,0,1.0
1,2026-07-10 17:20:55,259,260,37.9,37.6,38.8,40.8,259,0,1.0
2,2026-07-10 17:21:55,200,201,37.8,37.7,38.9,40.3,200,0,1.0
3,2026-07-10 17:22:54,205,206,38.5,37.8,38.7,46.5,205,0,1.0
4,2026-07-10 17:23:54,222,223,38.1,37.7,38.7,40.2,222,0,1.0
5,2026-07-10 17:24:54,286,287,37.9,37.8,39.0,40.8,286,0,1.0
6,2026-07-10 17:25:54,575,576,38.2,37.7,38.8,42.3,575,0,1.0
7,2026-07-10 17:26:54,776,776,38.2,37.7,38.7,45.6,776,0,1.0
8,2026-07-10 17:27:54,746,746,37.8,37.6,38.9,43.7,746,0,1.0
9,2026-07-10 17:28:53,639,640,37.8,37.7,39.1,43.6,639,0,1.0
10,2026-07-10 17:29:53,727,728,37.7,37.5,39.1,42.6,727,0,1.0
11,2026-07-10 17:30:53,686,687,37.7,37.6,39.1,41.0,686,0,1.0
12,2026-07-10 17:31:53,561,562,37.9,37.7,39.4,43.3,561,0,1.0
13,2026-07-10 17:32:53,577,578,37.9,37.7,39.3,42.8,577,0,1.0
14,2026-07-10 17:33:53,575,576,37.8,37.7,39.1,40.5,575,0,1.0
15,2026-07-10 17:34:53,590,591,37.8,37.6,39.2,41.1,590,0,1.0
16,2026-07-10 17:35:53,604,605,37.9,37.6,39.5,41.3,604,0,1.0
17,2026-07-10 17:36:53,729,730,37.9,37.7,39.7,41.7,729,0,1.0
18,2026-07-10 17:37:53,760,760,37.9,37.7,39.4,43.1,760,0,1.0
19,2026-07-10 17:38:53,763,763,37.8,37.6,38.9,41.5,763,0,1.0
20,2026-07-10 17:39:53,735,736,37.7,37.6,38.9,41.2,735,0,1.0
21,2026-07-10 17:40:53,718,719,37.5,37.5,38.8,40.4,718,0,1.0
22,2026-07-10 17:41:53,623,624,37.4,37.4,38.7,41.0,623,0,1.0
23,2026-07-10 17:42:53,559,560,37.5,37.4,38.7,40.4,559,0,1.0
24,2026-07-10 17:43:53,569,570,37.6,37.5,38.8,39.8,569,0,1.0
25,2026-07-10 17:44:53,640,641,37.7,37.5,38.7,49.5,640,0,1.0
26,2026-07-10 17:45:53,640,641,37.6,37.5,38.9,40.2,640,0,1.0
27,2026-07-10 17:46:53,688,689,37.5,37.5,38.8,40.8,688,0,1.0
28,2026-07-10 17:47:52,545,546,38.0,37.6,38.8,49.5,545,0,1.0
29,2026-07-10 17:48:52,550,551,37.7,37.7,39.0,40.7,550,0,1.0
30,2026-07-10 17:49:52,643,644,38.0,37.8,39.4,44.1,643,0,1.0
31,2026-07-10 17:50:52,592,593,37.9,37.7,39.6,41.3,592,0,1.0
32,2026-07-10 17:51:52,443,444,38.0,37.9,39.7,43.0,443,0,1.0
33,2026-07-10 17:52:52,442,443,37.9,37.8,39.3,41.4,442,0,1.0
34,2026-07-10 17:53:52,401,402,37.9,37.8,39.4,41.2,401,0,1.0
35,2026-07-10 17:54:52,378,379,38.1,37.8,39.7,44.1,378,0,1.0
36,2026-07-10 17:55:52,296,297,38.2,38.0,39.5,46.0,296,0,1.0
37,2026-07-10 17:56:52,381,382,37.9,37.9,39.0,42.3,381,0,1.0
38,2026-07-10 17:57:52,340,341,38.0,38.0,39.2,44.1,340,0,1.0
39,2026-07-10 17:58:51,358,359,38.0,38.0,39.1,43.5,358,0,1.0
40,2026-07-10 17:59:51,451,452,38.2,38.0,39.1,41.8,451,0,1.0
41,2026-07-10 18:00:51,623,624,37.7,37.7,38.8,40.2,623,0,1.0
42,2026-07-10 18:01:51,518,519,37.7,37.6,38.8,40.5,518,0,1.0
43,2026-07-10 18:02:51,548,549,37.6,37.5,38.7,40.1,548,0,1.0
44,2026-07-10 18:03:51,499,500,37.7,37.5,38.9,40.2,499,0,1.0
45,2026-07-10 18:04:51,517,518,37.7,37.6,38.7,40.3,517,0,1.0
46,2026-07-10 18:05:51,471,472,37.6,37.6,38.6,40.3,471,0,1.0
47,2026-07-10 18:06:51,503,504,37.7,37.6,38.8,43.9,503,0,1.0
48,2026-07-10 18:07:51,605,606,37.6,37.6,38.7,40.0,605,0,1.0
49,2026-07-10 18:08:51,621,622,37.7,37.6,38.7,40.3,621,0,1.0
50,2026-07-10 18:09:51,646,647,37.7,37.6,38.8,41.2,646,0,1.0
51,2026-07-10 18:10:50,639,640,37.7,37.6,38.8,39.4,639,0,1.0
52,2026-07-10 18:11:50,493,494,37.7,37.7,38.8,39.8,493,0,1.0
53,2026-07-10 18:12:50,446,447,37.6,37.6,38.8,39.9,446,0,1.0
54,2026-07-10 18:13:50,435,436,37.7,37.6,38.9,40.4,435,0,1.0
55,2026-07-10 18:14:50,425,426,37.7,37.7,38.8,40.8,425,0,1.0
56,2026-07-10 18:15:50,401,402,38.1,37.7,38.9,43.0,401,0,1.0
57,2026-07-10 18:16:50,491,492,37.6,37.6,38.8,40.7,491,0,1.0
58,2026-07-10 18:17:50,382,383,37.7,37.7,38.8,40.2,382,0,1.0
59,2026-07-10 18:18:50,414,415,37.8,37.7,39.0,41.5,414,0,1.0
60,2026-07-10 18:19:50,515,516,37.5,37.4,38.8,40.3,515,0,1.0
61,2026-07-10 18:20:50,575,576,37.6,37.5,38.7,42.3,575,0,1.0
62,2026-07-10 18:21:50,603,604,37.7,37.5,38.8,41.9,603,0,1.0
63,2026-07-10 18:22:49,720,721,37.6,37.5,38.7,41.3,720,0,1.0
64,2026-07-10 18:23:49,702,703,37.7,37.5,38.7,44.3,702,0,1.0
65,2026-07-10 18:24:49,689,690,37.4,37.3,38.5,40.1,689,0,1.0
66,2026-07-10 18:25:49,641,642,37.7,37.6,38.8,42.6,641,0,1.0
67,2026-07-10 18:26:49,618,619,37.7,37.6,38.7,39.8,618,0,1.0
68,2026-07-10 18:27:49,701,702,37.6,37.6,38.8,41.7,701,0,1.0
69,2026-07-10 18:28:49,625,626,37.6,37.6,38.6,41.0,625,0,1.0
70,2026-07-10 18:29:49,692,693,37.5,37.5,38.7,40.0,692,0,1.0
71,2026-07-10 18:30:49,612,613,37.4,37.4,38.4,39.5,612,0,1.0
72,2026-07-10 18:31:49,579,580,37.5,37.5,38.6,39.8,579,0,1.0
73,2026-07-10 18:32:49,635,636,37.6,37.3,38.6,43.1,635,0,1.0
74,2026-07-10 18:33:49,614,615,37.4,37.3,38.6,40.4,614,0,1.0
75,2026-07-10 18:34:49,723,724,37.5,37.4,38.6,39.7,723,0,1.0
76,2026-07-10 18:35:49,1000,1000,38.1,37.5,39.0,56.9,1000,0,1.0
77,2026-07-10 18:36:49,1169,1169,38.5,37.4,39.0,69.4,1169,0,1.0
78,2026-07-10 18:37:49,1379,1379,39.2,38.0,39.8,75.5,1379,0,1.0
79,2026-07-10 18:38:49,1764,1764,42.6,39.1,49.2,97.2,1764,0,1.0
80,2026-07-10 18:39:49,1578,1578,40.1,38.6,41.3,80.3,1578,0,1.0
81,2026-07-10 18:40:49,1426,1426,39.8,38.0,40.3,80.0,1426,0,1.0
82,2026-07-10 18:41:49,1247,1247,39.5,37.8,39.9,75.1,1247,0,1.0
83,2026-07-10 18:42:49,1240,1240,38.8,37.6,39.6,71.0,1240,0,1.0
84,2026-07-10 18:43:49,1292,1292,38.8,37.6,39.5,70.4,1292,0,1.0
85,2026-07-10 18:44:49,1546,1546,40.5,37.9,41.7,84.7,1546,0,1.0
86,2026-07-10 18:45:49,1445,1445,38.5,36.5,38.4,77.3,1445,0,1.0
87,2026-07-10 18:46:49,1413,1413,37.2,36.3,37.5,69.9,1413,0,1.0
88,2026-07-10 18:47:49,1495,1495,37.3,36.4,37.7,71.6,1495,0,1.0
89,2026-07-10 18:48:49,1438,1438,37.4,36.4,37.7,70.1,1438,0,1.0
