step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-10 00:49:32,292,292,72.4,52.3,134.5,172.4,292,0,1.0
1,2026-07-10 00:50:32,259,259,69.6,51.8,135.4,162.4,259,0,1.0
2,2026-07-10 00:51:32,200,201,64.4,50.5,89.4,166.8,200,0,1.0
3,2026-07-10 00:52:31,205,206,67.5,51.6,129.0,166.9,205,0,1.0
4,2026-07-10 00:53:31,222,223,67.5,51.9,122.5,161.8,222,0,1.0
5,2026-07-10 00:54:31,286,286,71.8,51.9,140.6,166.5,286,0,1.0
6,2026-07-10 00:55:31,575,576,68.2,51.7,123.0,231.5,575,0,1.0
7,2026-07-10 00:56:31,776,777,59.0,46.4,104.8,233.4,776,0,1.0
8,2026-07-10 00:57:31,746,746,58.9,43.6,96.8,268.2,746,0,1.0
9,2026-07-10 00:58:31,639,636,66.4,47.5,116.0,239.7,639,0,1.0
10,2026-07-10 00:59:31,727,727,58.7,43.8,104.9,233.8,727,0,1.0
11,2026-07-10 01:00:31,686,686,62.4,47.0,111.6,236.6,686,0,1.0
12,2026-07-10 01:01:31,561,562,66.1,50.6,123.6,158.0,561,0,1.0
13,2026-07-10 01:02:31,577,577,66.9,50.4,127.7,213.1,577,0,1.0
14,2026-07-10 01:03:31,575,576,67.0,48.2,126.3,220.9,575,0,1.0
15,2026-07-10 01:04:31,590,587,67.6,49.1,124.1,262.3,590,0,1.0
16,2026-07-10 01:05:31,604,604,68.0,49.9,129.0,257.3,604,0,1.0
17,2026-07-10 01:06:31,729,729,57.4,43.1,97.7,230.7,729,0,1.0
18,2026-07-10 01:07:31,760,761,56.8,45.4,97.6,199.1,760,0,1.0
19,2026-07-10 01:08:31,763,763,54.4,43.4,90.3,151.3,763,0,1.0
20,2026-07-10 01:09:31,735,735,54.6,43.3,89.5,158.1,735,0,1.0
21,2026-07-10 01:10:31,718,718,58.0,43.9,101.0,206.7,718,0,1.0
22,2026-07-10 01:11:31,623,623,63.7,47.3,119.9,236.4,623,0,1.0
23,2026-07-10 01:12:31,559,560,64.1,48.4,119.0,161.4,559,0,1.0
24,2026-07-10 01:13:31,569,570,65.5,49.5,119.8,219.5,569,0,1.0
25,2026-07-10 01:14:31,640,641,60.3,43.2,113.2,146.7,640,0,1.0
26,2026-07-10 01:15:31,640,640,60.5,48.7,108.0,154.8,640,0,1.0
27,2026-07-10 01:16:31,688,689,58.1,44.1,104.5,175.3,688,0,1.0
28,2026-07-10 01:17:31,545,545,67.1,50.8,123.8,157.5,545,0,1.0
29,2026-07-10 01:18:31,550,550,66.5,49.9,120.7,168.9,550,0,1.0
30,2026-07-10 01:19:31,643,644,62.7,43.5,108.7,226.2,643,0,1.0
31,2026-07-10 01:20:31,592,593,63.9,49.4,119.4,162.5,592,0,1.0
32,2026-07-10 01:21:31,443,444,69.9,51.9,132.5,198.0,443,0,1.0
33,2026-07-10 01:22:31,442,443,69.5,52.1,130.1,197.7,442,0,1.0
34,2026-07-10 01:23:30,401,402,70.6,52.8,134.1,162.5,401,0,1.0
35,2026-07-10 01:24:30,378,378,69.7,52.3,128.5,165.0,378,0,1.0
36,2026-07-10 01:25:30,296,297,69.9,52.7,122.9,164.3,296,0,1.0
37,2026-07-10 01:26:30,381,381,70.9,52.7,131.0,166.5,381,0,1.0
38,2026-07-10 01:27:30,340,341,73.8,53.4,136.6,165.8,340,0,1.0
39,2026-07-10 01:28:30,358,358,75.4,53.3,138.4,193.7,358,0,1.0
40,2026-07-10 01:29:30,451,452,69.4,51.8,132.6,200.2,451,0,1.0
41,2026-07-10 01:30:30,623,623,63.8,47.2,114.1,220.8,623,0,1.0
42,2026-07-10 01:31:30,518,519,66.5,50.8,124.8,159.9,518,0,1.0
43,2026-07-10 01:32:30,548,549,65.1,50.5,121.1,159.8,548,0,1.0
44,2026-07-10 01:33:30,499,499,70.0,51.5,130.5,225.8,499,0,1.0
