step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-11 01:39:11,292,293,73.5,53.6,133.9,218.3,292,0,1.0
1,2026-07-11 01:40:10,259,260,71.3,47.7,136.5,168.5,259,0,1.0
2,2026-07-11 01:41:10,200,201,64.0,53.0,97.0,107.9,200,0,1.0
3,2026-07-11 01:42:10,205,206,66.5,47.3,118.7,167.5,205,0,1.0
4,2026-07-11 01:43:10,222,223,67.6,45.1,133.6,167.1,222,0,1.0
5,2026-07-11 01:44:10,286,287,76.1,53.9,141.1,198.5,286,0,1.0
6,2026-07-11 01:45:10,575,576,65.4,47.5,122.8,158.0,575,0,1.0
7,2026-07-11 01:46:09,776,776,54.7,43.7,91.1,152.6,776,0,1.0
8,2026-07-11 01:47:09,746,746,56.7,43.8,102.3,148.6,746,0,1.0
9,2026-07-11 01:48:09,639,639,61.0,47.6,109.0,146.1,639,0,1.0
10,2026-07-11 01:49:09,727,728,57.3,44.3,98.5,145.4,727,0,1.0
11,2026-07-11 01:50:09,686,687,59.8,44.7,110.3,164.9,686,0,1.0
12,2026-07-11 01:51:09,561,561,64.6,45.2,119.6,150.4,561,0,1.0
13,2026-07-11 01:52:09,577,578,63.2,45.0,124.2,157.6,577,0,1.0
14,2026-07-11 01:53:09,575,576,65.1,47.2,121.6,151.8,575,0,1.0
15,2026-07-11 01:54:09,590,591,63.7,48.2,120.7,154.2,590,0,1.0
16,2026-07-11 01:55:09,604,604,66.7,48.5,123.6,165.3,604,0,1.0
17,2026-07-11 01:56:09,729,729,56.5,43.9,93.9,157.9,729,0,1.0
18,2026-07-11 01:57:09,760,760,53.1,43.3,89.5,152.5,760,0,1.0
19,2026-07-11 01:58:09,763,763,53.8,43.2,90.0,145.1,763,0,1.0
20,2026-07-11 01:59:09,735,736,55.0,43.3,91.0,152.0,735,0,1.0
21,2026-07-11 02:00:09,718,719,55.5,44.1,98.5,147.5,718,0,1.0
22,2026-07-11 02:01:09,623,624,61.6,44.3,115.1,150.5,623,0,1.0
23,2026-07-11 02:02:09,559,560,64.3,47.4,126.5,156.0,559,0,1.0
24,2026-07-11 02:03:09,569,570,62.0,45.7,112.3,145.1,569,0,1.0
25,2026-07-11 02:04:09,640,640,61.7,45.0,111.8,199.7,640,0,1.0
26,2026-07-11 02:05:09,640,641,62.5,44.1,116.1,215.6,640,0,1.0
27,2026-07-11 02:06:09,688,689,55.1,43.3,91.5,140.9,688,0,1.0
28,2026-07-11 02:07:09,545,545,66.2,49.8,127.3,160.1,545,0,1.0
29,2026-07-11 02:08:09,550,550,64.5,48.4,122.2,169.3,550,0,1.0
30,2026-07-11 02:09:09,643,643,59.4,43.1,107.5,151.7,643,0,1.0
31,2026-07-11 02:10:09,592,593,62.7,45.3,114.8,161.5,592,0,1.0
32,2026-07-11 02:11:09,443,443,70.3,51.9,135.8,160.3,443,0,1.0
33,2026-07-11 02:12:09,442,443,69.9,51.7,135.3,164.0,442,0,1.0
34,2026-07-11 02:13:08,401,402,71.0,53.4,130.1,160.1,401,0,1.0
35,2026-07-11 02:14:08,378,379,71.8,55.3,119.3,163.7,378,0,1.0
36,2026-07-11 02:15:08,296,297,73.9,53.5,132.6,164.5,296,0,1.0
37,2026-07-11 02:16:08,381,382,73.8,53.1,135.1,169.6,381,0,1.0
38,2026-07-11 02:17:08,340,341,76.2,54.9,139.5,164.1,340,0,1.0
39,2026-07-11 02:18:08,358,349,1189.5,90.7,5019.2,5021.9,282,76,0.7877
40,2026-07-11 02:19:09,451,452,1333.3,87.5,5019.6,5021.9,340,111,0.7539
41,2026-07-11 02:20:09,623,624,61.8,45.1,111.2,161.0,623,0,1.0
