step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-12 04:14:44,292,293,37.9,37.5,38.7,47.2,292,0,1.0
1,2026-07-12 04:15:44,259,260,37.8,37.4,38.7,45.2,259,0,1.0
2,2026-07-12 04:16:44,200,201,37.7,37.6,38.6,40.9,200,0,1.0
3,2026-07-12 04:17:44,205,206,38.1,37.6,38.7,41.6,205,0,1.0
4,2026-07-12 04:18:44,222,223,37.7,37.6,38.6,39.8,222,0,1.0
5,2026-07-12 04:19:43,286,287,37.9,37.7,38.7,40.9,286,0,1.0
6,2026-07-12 04:20:43,575,576,37.5,37.4,38.5,42.6,575,0,1.0
7,2026-07-12 04:21:43,776,776,37.7,37.5,38.5,43.6,776,0,1.0
8,2026-07-12 04:22:43,746,747,38.1,37.4,38.4,56.8,746,0,1.0
9,2026-07-12 04:23:43,639,640,37.6,37.4,38.4,42.2,639,0,1.0
10,2026-07-12 04:24:43,727,728,37.8,37.4,38.5,46.3,727,0,1.0
11,2026-07-12 04:25:43,686,687,37.6,37.4,38.5,39.7,686,0,1.0
12,2026-07-12 04:26:43,561,562,37.5,37.4,38.4,43.1,561,0,1.0
13,2026-07-12 04:27:43,577,578,37.4,37.3,38.2,40.9,577,0,1.0
14,2026-07-12 04:28:43,575,576,37.6,37.2,38.0,47.4,575,0,1.0
15,2026-07-12 04:29:43,590,591,37.3,37.2,38.0,40.7,590,0,1.0
16,2026-07-12 04:30:43,604,605,37.2,37.1,37.9,39.5,604,0,1.0
17,2026-07-12 04:31:43,729,730,37.3,37.2,38.0,40.8,729,0,1.0
18,2026-07-12 04:32:43,760,761,37.8,37.2,38.0,41.9,760,0,1.0
19,2026-07-12 04:33:42,763,763,37.3,37.2,38.0,42.3,763,0,1.0
20,2026-07-12 04:34:42,735,736,37.3,37.1,37.9,39.7,735,0,1.0
21,2026-07-12 04:35:42,718,719,37.6,37.3,38.1,43.4,718,0,1.0
22,2026-07-12 04:36:42,623,624,43.8,37.6,39.0,236.2,623,0,1.0
23,2026-07-12 04:37:42,559,560,37.5,37.2,38.3,40.8,559,0,1.0
24,2026-07-12 04:38:42,569,570,37.4,37.2,38.3,39.6,569,0,1.0
25,2026-07-12 04:39:42,640,641,37.4,37.3,38.4,39.9,640,0,1.0
26,2026-07-12 04:40:42,640,641,37.0,37.0,38.3,39.3,640,0,1.0
27,2026-07-12 04:41:42,688,689,36.9,36.7,38.2,39.5,688,0,1.0
28,2026-07-12 04:42:42,545,546,37.0,36.8,38.4,39.6,545,0,1.0
29,2026-07-12 04:43:42,550,551,37.4,36.8,38.5,47.2,550,0,1.0
30,2026-07-12 04:44:42,643,644,36.8,36.6,37.7,39.7,643,0,1.0
31,2026-07-12 04:45:42,592,593,37.5,36.9,38.4,48.1,592,0,1.0
