step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-11 23:19:08,292,293,37.6,37.4,38.7,40.9,292,0,1.0
1,2026-07-11 23:20:08,259,260,37.8,37.4,38.7,46.6,259,0,1.0
2,2026-07-11 23:21:08,200,201,37.5,37.5,38.8,40.0,200,0,1.0
3,2026-07-11 23:22:07,205,206,37.8,37.6,39.0,43.4,205,0,1.0
4,2026-07-11 23:23:07,222,223,37.8,37.7,38.9,39.7,222,0,1.0
5,2026-07-11 23:24:07,286,287,37.7,37.5,38.8,40.4,286,0,1.0
6,2026-07-11 23:25:07,575,576,37.7,37.4,38.7,45.8,575,0,1.0
7,2026-07-11 23:26:07,776,777,37.4,37.2,38.6,42.0,776,0,1.0
8,2026-07-11 23:27:07,746,747,36.9,36.9,37.8,41.6,746,0,1.0
9,2026-07-11 23:28:07,639,640,36.8,36.9,37.8,39.5,639,0,1.0
10,2026-07-11 23:29:06,727,728,37.2,36.9,37.7,39.2,727,0,1.0
11,2026-07-11 23:30:06,686,687,37.0,37.0,37.9,41.2,686,0,1.0
12,2026-07-11 23:31:06,561,562,37.0,37.0,37.9,38.9,561,0,1.0
13,2026-07-11 23:32:06,577,578,36.9,36.9,37.8,39.2,577,0,1.0
14,2026-07-11 23:33:06,575,576,36.8,36.8,37.7,38.5,575,0,1.0
15,2026-07-11 23:34:06,590,591,36.8,36.8,37.8,38.7,590,0,1.0
16,2026-07-11 23:35:06,604,605,36.7,36.7,37.6,38.4,604,0,1.0
17,2026-07-11 23:36:06,729,730,37.1,37.0,38.3,40.6,729,0,1.0
18,2026-07-11 23:37:06,760,761,37.1,36.9,38.2,45.3,760,0,1.0
19,2026-07-11 23:38:06,763,763,37.0,36.9,38.0,41.2,763,0,1.0
20,2026-07-11 23:39:06,735,736,36.9,36.8,38.0,39.4,735,0,1.0
21,2026-07-11 23:40:06,718,719,36.9,36.8,37.8,39.8,718,0,1.0
22,2026-07-11 23:41:06,623,624,36.9,36.9,37.9,39.1,623,0,1.0
23,2026-07-11 23:42:06,559,560,36.9,36.9,37.9,39.2,559,0,1.0
24,2026-07-11 23:43:06,569,570,36.8,36.8,37.7,38.8,569,0,1.0
25,2026-07-11 23:44:06,640,641,37.1,36.8,37.8,41.1,640,0,1.0
26,2026-07-11 23:45:06,640,641,36.8,36.8,37.8,40.3,640,0,1.0
27,2026-07-11 23:46:06,688,689,37.1,36.8,37.8,40.2,688,0,1.0
28,2026-07-11 23:47:06,545,546,36.9,36.9,37.8,39.3,545,0,1.0
29,2026-07-11 23:48:05,550,551,36.8,36.8,37.7,38.9,550,0,1.0
30,2026-07-11 23:49:05,643,644,36.8,36.9,37.8,39.0,643,0,1.0
31,2026-07-11 23:50:05,592,593,36.8,36.8,37.8,39.5,592,0,1.0
32,2026-07-11 23:51:05,443,444,36.8,36.8,37.8,38.9,443,0,1.0
33,2026-07-11 23:52:05,442,443,36.9,36.9,37.9,40.8,442,0,1.0
34,2026-07-11 23:53:05,401,402,36.8,36.7,37.8,38.8,401,0,1.0
35,2026-07-11 23:54:05,378,379,37.1,36.9,38.1,43.8,378,0,1.0
36,2026-07-11 23:55:05,296,297,36.9,37.0,37.9,38.8,296,0,1.0
37,2026-07-11 23:56:05,381,382,36.9,36.9,37.9,40.7,381,0,1.0
38,2026-07-11 23:57:05,340,341,36.8,36.9,37.9,38.9,340,0,1.0
39,2026-07-11 23:58:04,358,359,36.7,36.7,37.7,39.1,358,0,1.0
40,2026-07-11 23:59:04,451,452,36.9,36.8,38.0,39.4,451,0,1.0
41,2026-07-12 00:00:04,623,624,36.9,36.8,38.1,41.5,623,0,1.0
42,2026-07-12 00:01:04,518,519,36.8,36.8,38.2,39.6,518,0,1.0
43,2026-07-12 00:02:04,548,549,37.0,36.9,38.1,40.4,548,0,1.0
44,2026-07-12 00:03:04,499,500,36.9,36.9,38.0,39.2,499,0,1.0
45,2026-07-12 00:04:04,517,518,37.1,37.0,38.2,39.7,517,0,1.0
46,2026-07-12 00:05:04,471,472,37.0,36.8,38.4,42.7,471,0,1.0
47,2026-07-12 00:06:04,503,504,36.9,36.8,38.2,39.8,503,0,1.0
48,2026-07-12 00:07:04,605,606,37.1,37.0,38.1,42.1,605,0,1.0
49,2026-07-12 00:08:04,621,622,36.9,36.9,37.9,39.1,621,0,1.0
