step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-11 09:51:26,292,293,82.3,85.4,137.8,162.9,292,0,1.0
1,2026-07-11 09:52:26,259,259,84.3,86.7,139.6,166.6,259,0,1.0
2,2026-07-11 09:53:26,200,201,83.1,83.2,137.6,153.6,200,0,1.0
3,2026-07-11 09:54:26,205,206,94.7,89.1,149.6,165.4,205,0,1.0
4,2026-07-11 09:55:26,222,223,92.3,88.8,140.5,163.7,222,0,1.0
5,2026-07-11 09:56:25,286,287,92.2,89.2,142.8,163.5,286,0,1.0
6,2026-07-11 09:57:25,575,576,71.8,51.9,131.4,247.1,575,0,1.0
7,2026-07-11 09:58:25,776,776,56.2,43.8,96.5,225.3,776,0,1.0
8,2026-07-11 09:59:25,746,747,60.9,46.5,98.4,310.6,746,0,1.0
9,2026-07-11 10:00:25,639,639,67.9,46.9,122.1,276.6,639,0,1.0
10,2026-07-11 10:01:25,727,728,66.4,47.4,117.7,290.5,727,0,1.0
11,2026-07-11 10:02:25,686,687,71.9,52.0,131.6,317.9,686,0,1.0
12,2026-07-11 10:03:25,561,562,73.0,53.3,131.6,248.3,561,0,1.0
13,2026-07-11 10:04:25,577,578,73.8,53.6,133.9,254.0,577,0,1.0
14,2026-07-11 10:05:25,575,575,73.7,53.6,131.7,259.1,575,0,1.0
15,2026-07-11 10:06:25,590,590,80.3,52.5,133.2,567.7,590,0,1.0
16,2026-07-11 10:07:25,604,605,70.3,51.2,129.9,263.3,604,0,1.0
17,2026-07-11 10:08:25,729,729,63.5,47.8,113.5,287.7,729,0,1.0
18,2026-07-11 10:09:25,760,760,61.4,44.9,113.0,250.5,760,0,1.0
19,2026-07-11 10:10:25,763,763,55.2,42.9,89.1,214.2,763,0,1.0
20,2026-07-11 10:11:25,735,735,55.8,44.0,92.2,161.9,735,0,1.0
21,2026-07-11 10:12:25,718,718,58.1,44.4,102.4,183.5,718,0,1.0
22,2026-07-11 10:13:25,623,624,66.2,47.6,117.0,255.9,623,0,1.0
23,2026-07-11 10:14:25,559,560,71.7,48.7,127.3,392.8,559,0,1.0
24,2026-07-11 10:15:24,569,569,67.7,48.8,125.2,174.3,569,0,1.0
25,2026-07-11 10:16:24,640,639,64.3,47.6,118.3,231.9,640,0,1.0
26,2026-07-11 10:17:24,640,640,68.7,45.1,125.6,343.3,640,0,1.0
27,2026-07-11 10:18:24,688,688,60.2,46.2,108.2,166.1,688,0,1.0
28,2026-07-11 10:19:24,545,546,68.6,47.6,133.2,211.0,545,0,1.0
29,2026-07-11 10:20:24,550,551,68.2,50.7,128.5,199.1,550,0,1.0
30,2026-07-11 10:21:24,643,644,62.9,43.3,115.4,227.0,643,0,1.0
31,2026-07-11 10:22:24,592,592,66.0,47.0,126.3,192.3,592,0,1.0
32,2026-07-11 10:23:24,443,443,68.4,51.4,128.8,157.7,443,0,1.0
33,2026-07-11 10:24:24,442,443,69.6,52.2,130.8,156.4,442,0,1.0
34,2026-07-11 10:25:24,401,402,71.0,53.5,137.6,163.6,401,0,1.0
35,2026-07-11 10:26:24,378,379,73.5,53.1,137.3,210.4,378,0,1.0
36,2026-07-11 10:27:24,296,296,78.8,53.5,143.5,170.7,296,0,1.0
37,2026-07-11 10:28:24,381,381,72.6,53.5,134.6,167.6,381,0,1.0
38,2026-07-11 10:29:24,340,341,73.6,52.7,132.8,163.1,340,0,1.0
39,2026-07-11 10:30:24,358,359,74.5,53.0,136.1,164.0,358,0,1.0
40,2026-07-11 10:31:24,451,451,71.0,51.8,132.2,173.9,451,0,1.0
41,2026-07-11 10:32:24,623,624,65.0,44.5,121.8,204.6,623,0,1.0
42,2026-07-11 10:33:23,518,518,70.8,51.1,132.2,225.4,518,0,1.0
43,2026-07-11 10:34:24,548,548,68.6,51.0,127.6,167.7,548,0,1.0
44,2026-07-11 10:35:23,499,499,68.0,51.3,122.9,205.4,499,0,1.0
45,2026-07-11 10:36:24,517,518,70.4,50.7,131.3,219.5,517,0,1.0
46,2026-07-11 10:37:23,471,472,69.3,51.4,131.7,167.8,471,0,1.0
47,2026-07-11 10:38:23,503,504,67.3,50.3,124.6,172.9,503,0,1.0
48,2026-07-11 10:39:23,605,606,65.2,44.9,126.5,160.3,605,0,1.0
49,2026-07-11 10:40:23,621,622,69.0,49.8,131.4,253.5,621,0,1.0
50,2026-07-11 10:41:23,646,646,62.4,45.2,113.1,181.4,646,0,1.0
51,2026-07-11 10:42:23,639,639,66.0,49.1,124.0,226.7,639,0,1.0
52,2026-07-11 10:43:23,493,493,71.0,51.0,133.2,224.1,493,0,1.0
53,2026-07-11 10:44:23,446,447,69.7,51.7,135.1,163.3,446,0,1.0
54,2026-07-11 10:45:23,435,435,68.9,52.0,126.2,177.0,435,0,1.0
55,2026-07-11 10:46:23,425,426,71.8,52.8,138.6,177.5,425,0,1.0
56,2026-07-11 10:47:23,401,402,74.2,53.8,135.2,163.4,401,0,1.0
57,2026-07-11 10:48:23,491,492,70.3,51.8,135.1,161.2,491,0,1.0
58,2026-07-11 10:49:23,382,383,71.0,53.4,123.5,165.0,382,0,1.0
59,2026-07-11 10:50:23,414,415,71.5,52.3,136.5,161.4,414,0,1.0
60,2026-07-11 10:51:23,515,515,69.2,50.5,132.0,195.4,515,0,1.0
61,2026-07-11 10:52:23,575,576,66.2,46.1,125.0,191.5,575,0,1.0
62,2026-07-11 10:53:23,603,604,64.2,44.3,122.0,155.5,603,0,1.0
63,2026-07-11 10:54:22,720,720,55.3,43.1,90.8,164.7,720,0,1.0
64,2026-07-11 10:55:22,702,703,62.3,46.0,120.9,228.8,702,0,1.0
65,2026-07-11 10:56:22,689,690,62.1,43.8,113.7,246.0,689,0,1.0
66,2026-07-11 10:57:22,641,641,66.5,48.8,124.8,251.8,641,0,1.0
67,2026-07-11 10:58:22,618,618,64.2,44.3,121.2,176.5,618,0,1.0
68,2026-07-11 10:59:22,701,701,60.2,45.1,107.5,173.2,701,0,1.0
69,2026-07-11 11:00:22,625,625,67.1,50.1,126.7,217.4,625,0,1.0
70,2026-07-11 11:01:22,692,693,59.4,43.7,109.9,150.9,692,0,1.0
71,2026-07-11 11:02:22,612,604,71.3,47.5,123.7,246.0,612,0,1.0
72,2026-07-11 11:03:23,579,579,69.2,51.0,125.0,277.8,579,0,1.0
73,2026-07-11 11:04:23,635,635,62.2,46.2,113.5,166.3,635,0,1.0
74,2026-07-11 11:05:23,614,615,66.1,49.2,120.7,170.5,614,0,1.0
75,2026-07-11 11:06:23,723,723,61.6,44.9,109.0,271.0,723,0,1.0
76,2026-07-11 11:07:23,1000,1000,57.6,39.9,115.4,247.1,1000,0,1.0
77,2026-07-11 11:08:23,1169,1169,53.4,36.7,103.8,230.9,1169,0,1.0
78,2026-07-11 11:09:23,1379,1379,45.7,35.1,70.8,174.9,1379,0,1.0
79,2026-07-11 11:10:23,1764,1764,43.4,35.2,63.8,163.1,1764,0,1.0
80,2026-07-11 11:11:23,1578,1574,45.7,34.9,67.2,226.1,1578,0,1.0
81,2026-07-11 11:12:23,1426,1426,52.0,35.4,90.5,234.1,1426,0,1.0
82,2026-07-11 11:13:23,1247,1246,48.9,35.8,82.6,219.2,1247,0,1.0
83,2026-07-11 11:14:23,1240,1240,49.8,35.9,84.5,222.5,1240,0,1.0
84,2026-07-11 11:15:23,1292,1292,47.4,35.6,77.6,211.8,1292,0,1.0
85,2026-07-11 11:16:23,1546,1545,50.2,35.1,79.9,256.3,1546,0,1.0
86,2026-07-11 11:17:23,1445,1445,50.1,35.2,82.5,286.7,1445,0,1.0
87,2026-07-11 11:18:23,1413,1413,44.8,35.2,68.9,171.1,1413,0,1.0
88,2026-07-11 11:19:23,1495,1495,42.3,35.0,56.0,176.2,1495,0,1.0
89,2026-07-11 11:20:23,1438,1438,49.9,35.2,82.9,234.5,1438,0,1.0
90,2026-07-11 11:21:23,1491,1488,47.5,35.1,73.2,227.9,1491,0,1.0
91,2026-07-11 11:22:23,1513,1513,48.2,35.2,75.4,207.6,1513,0,1.0
92,2026-07-11 11:23:23,1500,1500,47.2,35.1,70.4,277.9,1500,0,1.0
93,2026-07-11 11:24:23,1609,1609,47.9,35.0,75.1,213.0,1609,0,1.0
