step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 22:57:45,4,3,51,33,292,212.3,1.0,4,1,gpt-oss-120b,cot,615,6340.615906752646,CPU-intensive,0
1,2026-07-19 22:58:52,4,4,328,44,259,124.3,1.0,4,0,gpt-oss-120b,cot,530,32567.90093611926,CPU-intensive,0
2,2026-07-19 23:00:26,1,4,194,44,200,43.4,1.0,1,1,gpt-oss-120b,cot,847,21726.393468212336,CPU-intensive,0
3,2026-07-19 23:01:48,14,1,210,11,205,5006.8,1.0,14,1,gpt-oss-120b,cot,803,15259.614957030863,CPU-intensive,0
4,2026-07-19 23:03:23,1,14,291,156,222,48.5,1.0,1,1,gpt-oss-120b,cot,777,5230.029753874987,CPU-intensive,0
5,2026-07-19 23:04:29,12,1,502,14,286,5007.6,0.0,12,1,gpt-oss-120b,cot,767,14674.455421976745,CPU-intensive,0
6,2026-07-19 23:05:49,2,12,535,135,575,51.3,1.0,2,1,gpt-oss-120b,cot,907,21173.61282929778,CPU-intensive,0
7,2026-07-19 23:07:11,14,2,670,22,776,5020.5,0.6,14,1,gpt-oss-120b,cot,867,4093.919605948031,CPU-intensive,0
8,2026-07-19 23:08:45,2,14,533,158,746,36.7,1.0,2,1,gpt-oss-120b,cot,747,30741.003337781876,CPU-intensive,0
9,2026-07-19 23:10:17,8,2,489,26,639,774.2,1.0,8,1,gpt-oss-120b,cot,645,418.1206878274679,CPU-intensive,0
10,2026-07-19 23:11:20,3,8,495,92,727,65.4,1.0,3,1,gpt-oss-120b,cot,660,428.67634911090136,CPU-intensive,0
11,2026-07-19 23:12:21,3,3,470,37,686,83.5,1.0,3,0,gpt-oss-120b,cot,661,425.96149211749434,CPU-intensive,0
12,2026-07-19 23:13:22,3,3,538,37,561,73.7,1.0,3,0,gpt-oss-120b,cot,984,604.635716881603,CPU-intensive,0
13,2026-07-19 23:14:23,3,3,485,37,577,80.8,1.0,3,0,gpt-oss-120b,cot,585,419.55070197582245,CPU-intensive,0
14,2026-07-19 23:15:24,6,3,536,37,575,376.3,1.0,6,1,gpt-oss-120b,cot,640,404.1675082407892,CPU-intensive,0
15,2026-07-19 23:16:26,3,6,545,70,590,96.1,1.0,3,1,gpt-oss-120b,cot,773,519.1650637425482,CPU-intensive,0
16,2026-07-19 23:17:27,3,3,588,37,604,80.0,1.0,3,0,gpt-oss-120b,cot,658,462.74793427437544,CPU-intensive,0
17,2026-07-19 23:18:29,5,3,607,37,729,314.7,1.0,5,1,gpt-oss-120b,cot,590,595.3471967950463,CPU-intensive,0
18,2026-07-19 23:19:31,5,5,552,59,760,105.7,1.0,5,0,gpt-oss-120b,cot,643,427.5443200021982,CPU-intensive,0
19,2026-07-19 23:20:32,3,5,531,59,763,49.3,1.0,3,1,gpt-oss-120b,cot,903,576.9210713915527,CPU-intensive,0
20,2026-07-19 23:21:33,5,3,479,37,735,302.5,1.0,5,1,gpt-oss-120b,cot,626,530.2403289824724,CPU-intensive,0
21,2026-07-19 23:22:35,3,5,464,59,718,120.9,1.0,3,1,gpt-oss-120b,cot,748,550.659392029047,CPU-intensive,0
22,2026-07-19 23:23:36,9,3,500,37,623,599.3,1.0,9,1,gpt-oss-120b,cot,670,477.8134007938206,CPU-intensive,0
23,2026-07-19 23:24:38,2,9,510,103,559,36.9,1.0,2,1,gpt-oss-120b,cot,1266,1152.2613018751144,CPU-intensive,0
24,2026-07-19 23:25:40,11,2,572,26,569,1086.8,1.0,11,1,gpt-oss-120b,cot,643,424.1012972779572,CPU-intensive,0
25,2026-07-19 23:26:43,3,11,494,125,640,101.1,1.0,3,1,gpt-oss-120b,cot,726,616.2438946776092,CPU-intensive,0
26,2026-07-19 23:27:45,6,3,486,37,640,397.9,1.0,6,1,gpt-oss-120b,cot,676,421.41985706984997,CPU-intensive,0
27,2026-07-19 23:28:46,2,6,555,70,688,48.2,1.0,2,1,gpt-oss-120b,cot,940,600.047379732132,CPU-intensive,0
28,2026-07-19 23:29:48,5,2,491,26,545,463.0,1.0,5,1,gpt-oss-120b,cot,812,494.64791268110275,CPU-intensive,0
29,2026-07-19 23:30:50,2,5,395,59,550,150.2,1.0,2,1,gpt-oss-120b,cot,788,541.6034730151296,CPU-intensive,0
30,2026-07-19 23:31:51,4,2,375,26,643,310.3,1.0,4,1,gpt-oss-120b,cot,676,448.0141503736377,CPU-intensive,0
31,2026-07-19 23:32:54,1,4,376,48,592,37.4,1.0,1,1,gpt-oss-120b,cot,622,401.29050612449646,CPU-intensive,0
32,2026-07-19 23:33:55,14,1,417,14,443,5019.5,0.5,14,1,gpt-oss-120b,cot,844,672.9812221601605,CPU-intensive,0
33,2026-07-19 23:35:18,2,14,347,157,442,60.6,1.0,2,1,gpt-oss-120b,cot,960,651.5170019119978,CPU-intensive,0
34,2026-07-19 23:36:19,3,2,391,22,401,212.0,1.0,3,1,gpt-oss-120b,cot,722,475.5641268566251,CPU-intensive,0
35,2026-07-19 23:37:21,5,3,378,33,378,269.8,1.0,5,1,gpt-oss-120b,cot,667,542.8065382875502,CPU-intensive,0
36,2026-07-19 23:38:22,3,5,442,55,296,94.7,1.0,3,1,gpt-oss-120b,cot,757,469.34609208256006,CPU-intensive,0
37,2026-07-19 23:39:24,5,3,544,33,381,325.6,1.0,5,1,gpt-oss-120b,cot,588,352.6341449469328,CPU-intensive,0
38,2026-07-19 23:40:25,3,5,467,55,340,46.9,1.0,3,1,gpt-oss-120b,cot,1112,681.6516523249447,CPU-intensive,0
39,2026-07-19 23:41:27,3,3,455,33,358,69.1,1.0,3,0,gpt-oss-120b,cot,890,580.2274327725172,CPU-intensive,0
40,2026-07-19 23:42:28,3,3,495,33,451,45.6,1.0,3,0,gpt-oss-120b,cot,703,444.45074489340186,CPU-intensive,0
41,2026-07-19 23:43:29,5,3,468,33,623,305.1,1.0,5,1,gpt-oss-120b,cot,751,467.6978141069412,CPU-intensive,0
42,2026-07-19 23:44:31,2,5,382,55,518,111.6,1.0,2,1,gpt-oss-120b,cot,793,485.74263602495193,CPU-intensive,0
43,2026-07-19 23:45:32,3,2,512,22,548,265.4,1.0,3,1,gpt-oss-120b,cot,617,408.8170761242509,CPU-intensive,0
44,2026-07-19 23:46:34,7,3,542,33,499,455.0,1.0,7,1,gpt-oss-120b,cot,583,362.7948653884232,CPU-intensive,0
45,2026-07-19 23:47:35,2,7,514,77,517,79.5,1.0,2,1,gpt-oss-120b,cot,963,613.5200522840023,CPU-intensive,0
46,2026-07-19 23:48:37,5,2,554,22,471,493.3,1.0,5,1,gpt-oss-120b,cot,682,492.2413066960871,CPU-intensive,0
47,2026-07-19 23:49:40,4,5,507,55,503,197.5,1.0,4,1,gpt-oss-120b,cot,842,612.9384986124933,CPU-intensive,0
48,2026-07-19 23:50:41,3,4,412,44,605,122.7,1.0,3,1,gpt-oss-120b,cot,785,510.23995177820325,CPU-intensive,0
49,2026-07-19 23:51:42,3,3,405,33,621,144.9,1.0,3,0,gpt-oss-120b,cot,479,292.6327739842236,CPU-intensive,0
50,2026-07-19 23:52:44,3,3,419,33,646,99.6,1.0,3,0,gpt-oss-120b,cot,939,609.6922159194946,CPU-intensive,0
51,2026-07-19 23:53:45,1,3,372,33,639,71.9,1.0,1,1,gpt-oss-120b,cot,794,584.9043438211083,CPU-intensive,0
52,2026-07-19 23:54:46,14,1,415,14,493,5020.6,0.3,14,1,gpt-oss-120b,cot,710,453.8709810003638,CPU-intensive,0
53,2026-07-19 23:56:03,2,14,463,157,446,65.3,1.0,2,1,gpt-oss-120b,cot,792,499.16193913668394,CPU-intensive,0
54,2026-07-19 23:57:04,13,2,365,22,435,1290.0,1.0,13,1,gpt-oss-120b,cot,704,448.6274621449411,CPU-intensive,0
55,2026-07-19 23:58:07,2,13,426,143,425,36.5,1.0,2,1,gpt-oss-120b,cot,711,430.6538668461144,CPU-intensive,0
56,2026-07-19 23:59:08,3,2,443,22,401,270.9,1.0,3,1,gpt-oss-120b,cot,584,436.69676361605525,CPU-intensive,0
57,2026-07-20 00:00:11,5,3,502,33,491,281.7,1.0,5,1,gpt-oss-120b,cot,649,599.0681308321655,CPU-intensive,0
58,2026-07-20 00:01:12,13,5,532,55,382,491.0,1.0,13,1,gpt-oss-120b,cot,590,590.3125149197876,CPU-intensive,0
59,2026-07-20 00:02:14,3,13,535,143,414,40.1,1.0,3,1,gpt-oss-120b,cot,888,586.1711711622775,CPU-intensive,0
60,2026-07-20 00:03:15,3,3,534,33,515,196.3,1.0,3,0,gpt-oss-120b,cot,635,426.7570017836988,CPU-intensive,0
