step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-13 13:58:20,3,3,12,44,292,95.9,1.0,3,0,llama-70b,cot,569,51717.1,CPU-intensive
1,2026-07-13 14:00:13,3,3,147,33,259,80.0,1.0,3,0,llama-70b,cot,529,44190.5,CPU-intensive
2,2026-07-13 14:01:58,3,3,107,33,200,71.1,1.0,3,0,llama-70b,cot,570,26428.2,CPU-intensive
3,2026-07-13 14:03:25,3,3,133,33,205,98.6,1.0,3,0,llama-70b,cot,600,21483.7,CPU-intensive
4,2026-07-13 14:04:48,3,3,306,33,222,122.8,1.0,3,0,llama-70b,cot,645,20689.8,CPU-intensive
5,2026-07-13 14:06:09,3,3,440,33,286,127.2,1.0,3,0,llama-70b,cot,557,18450.6,CPU-intensive
6,2026-07-13 14:07:29,3,3,369,33,575,117.6,1.0,3,0,llama-70b,cot,546,28575.2,CPU-intensive
7,2026-07-13 14:08:58,3,3,404,34,776,106.7,1.0,3,0,llama-70b,cot,621,49084.8,CPU-intensive
8,2026-07-13 14:10:48,3,3,316,33,746,87.0,1.0,3,0,llama-70b,cot,584,28644.0,CPU-intensive
9,2026-07-13 14:12:17,3,3,293,33,639,95.3,1.0,3,0,llama-70b,cot,677,58462.3,CPU-intensive
10,2026-07-13 14:14:17,3,3,310,33,727,170.0,1.0,3,0,llama-70b,cot,520,89990.1,CPU-intensive
11,2026-07-13 14:16:48,3,3,407,33,686,65.9,1.0,3,0,llama-70b,cot,697,21670.9,CPU-intensive
12,2026-07-13 14:18:10,3,3,423,33,561,120.2,1.0,3,0,llama-70b,cot,577,23500.9,CPU-intensive
13,2026-07-13 14:19:34,3,3,365,33,577,157.1,1.0,3,0,llama-70b,cot,549,12332.5,CPU-intensive
14,2026-07-13 14:20:48,3,3,328,34,575,165.3,1.0,3,0,llama-70b,cot,525,30331.6,CPU-intensive
15,2026-07-13 14:22:19,3,3,288,34,590,73.9,1.0,3,0,llama-70b,cot,584,65151.9,CPU-intensive
16,2026-07-13 14:24:25,3,3,324,33,604,118.6,1.0,3,0,llama-70b,cot,633,58008.5,CPU-intensive
17,2026-07-13 14:26:24,3,3,354,34,729,105.9,1.0,3,0,llama-70b,cot,587,44021.8,CPU-intensive
18,2026-07-13 14:28:09,3,3,276,33,760,91.4,1.0,3,0,llama-70b,cot,642,35138.3,CPU-intensive
19,2026-07-13 14:29:44,3,3,321,33,763,104.0,1.0,3,0,llama-70b,cot,603,47273.2,CPU-intensive
20,2026-07-13 14:31:33,3,3,234,33,735,55.5,1.0,3,0,llama-70b,cot,541,27258.4,CPU-intensive
21,2026-07-13 14:33:01,3,3,206,33,718,79.1,1.0,3,0,llama-70b,cot,582,22730.7,CPU-intensive
22,2026-07-13 14:34:24,3,3,200,33,623,60.7,1.0,3,0,llama-70b,cot,645,186066.7,CPU-intensive
23,2026-07-13 14:38:31,3,3,233,33,559,45.8,1.0,3,0,llama-70b,cot,517,101886.2,CPU-intensive
24,2026-07-13 14:41:13,3,3,280,33,569,82.3,1.0,3,0,llama-70b,cot,595,28667.7,CPU-intensive
25,2026-07-13 14:42:43,3,3,264,33,640,117.0,1.0,3,0,llama-70b,cot,644,19976.7,CPU-intensive
26,2026-07-13 14:44:03,3,3,279,33,640,59.5,1.0,3,0,llama-70b,cot,625,43824.9,CPU-intensive
27,2026-07-13 14:45:48,3,3,280,33,688,110.2,1.0,3,0,llama-70b,cot,625,36229.3,CPU-intensive
28,2026-07-13 14:47:25,3,3,323,33,545,128.6,1.0,3,0,llama-70b,cot,592,44405.1,CPU-intensive
29,2026-07-13 14:49:10,3,3,323,33,550,84.0,1.0,3,0,llama-70b,cot,582,20411.8,CPU-intensive
30,2026-07-13 14:50:32,3,3,292,33,643,104.1,1.0,3,0,llama-70b,cot,629,27464.0,CPU-intensive
31,2026-07-13 14:52:00,3,3,240,35,592,82.0,1.0,3,0,llama-70b,cot,511,19027.3,CPU-intensive
32,2026-07-13 14:53:20,3,3,241,34,443,98.2,1.0,3,0,llama-70b,cot,649,90665.2,CPU-intensive
33,2026-07-13 14:55:51,3,3,257,33,442,84.6,1.0,3,0,llama-70b,cot,577,33870.5,CPU-intensive
34,2026-07-13 14:57:26,3,3,194,33,401,103.7,1.0,3,0,llama-70b,cot,594,36451.8,CPU-intensive
35,2026-07-13 14:59:03,3,3,264,33,378,119.2,1.0,3,0,llama-70b,cot,594,23198.7,CPU-intensive
36,2026-07-13 15:00:27,3,3,319,33,296,156.4,1.0,3,0,llama-70b,cot,591,50934.7,CPU-intensive
37,2026-07-13 15:02:19,3,3,368,34,381,83.1,1.0,3,0,llama-70b,cot,581,44525.2,CPU-intensive
38,2026-07-13 15:04:05,3,3,372,33,340,122.1,1.0,3,0,llama-70b,cot,672,74029.9,CPU-intensive
39,2026-07-13 15:06:19,3,3,331,34,358,81.9,1.0,3,0,llama-70b,cot,563,37004.4,CPU-intensive
40,2026-07-13 15:07:57,3,3,348,35,451,94.9,1.0,3,0,llama-70b,cot,615,44314.2,CPU-intensive
41,2026-07-13 15:09:42,3,3,353,33,623,93.9,1.0,3,0,llama-70b,cot,640,189921.4,CPU-intensive
42,2026-07-13 15:13:53,3,3,373,33,518,100.1,1.0,3,0,llama-70b,cot,572,29279.7,CPU-intensive
43,2026-07-13 15:15:23,6,3,540,33,548,218.6,1.0,6,1,llama-70b,cot,659,73227.2,CPU-intensive
44,2026-07-13 15:17:38,6,6,1015,66,499,188.8,1.0,6,0,llama-70b,cot,537,42553.0,CPU-intensive
45,2026-07-13 15:19:21,6,6,899,67,517,73.3,1.0,6,0,llama-70b,cot,563,23348.5,CPU-intensive
46,2026-07-13 15:20:45,6,6,713,67,471,79.1,1.0,6,0,llama-70b,cot,633,44338.9,CPU-intensive
47,2026-07-13 15:22:30,6,6,716,68,503,187.0,1.0,6,0,llama-70b,cot,621,35634.2,CPU-intensive
48,2026-07-13 15:24:07,6,6,876,67,605,109.5,1.0,6,0,llama-70b,cot,609,20680.1,CPU-intensive
49,2026-07-13 15:25:28,6,6,754,68,621,89.3,1.0,6,0,llama-70b,cot,577,17696.5,CPU-intensive
50,2026-07-13 15:26:47,8,6,824,67,646,219.9,1.0,8,1,llama-70b,cot,640,15161.4,CPU-intensive
51,2026-07-13 15:28:03,8,8,807,88,639,126.4,1.0,8,0,llama-70b,cot,594,21833.0,CPU-intensive
52,2026-07-13 15:29:26,8,8,822,88,493,117.4,1.0,8,0,llama-70b,cot,574,49996.6,CPU-intensive
53,2026-07-13 15:31:17,8,8,864,88,446,82.8,1.0,8,0,llama-70b,cot,609,44606.0,CPU-intensive
