step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-13 16:01:20,3,3,3,33,292,6.6,1.0,3,0,mistral-small4,history_5,206,1508.6,CPU-intensive
1,2026-07-13 16:02:22,3,3,7,33,259,6.8,1.0,3,0,mistral-small4,history_5,239,450.6,CPU-intensive
2,2026-07-13 16:03:22,3,3,6,33,200,7.0,1.0,3,0,mistral-small4,history_5,272,727.3,CPU-intensive
3,2026-07-13 16:04:23,3,3,6,33,205,7.0,1.0,3,0,mistral-small4,history_5,305,448.7,CPU-intensive
4,2026-07-13 16:05:24,3,3,7,33,222,7.6,1.0,3,0,mistral-small4,history_5,338,2029.4,CPU-intensive
5,2026-07-13 16:06:26,3,3,6,33,286,8.5,1.0,3,0,mistral-small4,history_5,371,802.2,CPU-intensive
6,2026-07-13 16:07:28,3,3,9,33,575,6.5,1.0,3,0,mistral-small4,history_5,371,430.5,CPU-intensive
7,2026-07-13 16:08:28,3,3,15,34,776,6.8,1.0,3,0,mistral-small4,history_5,371,491.5,CPU-intensive
8,2026-07-13 16:09:29,3,3,14,33,746,6.8,1.0,3,0,mistral-small4,history_5,371,468.5,CPU-intensive
9,2026-07-13 16:10:30,3,3,12,33,639,6.9,1.0,3,0,mistral-small4,history_5,371,781.5,CPU-intensive
10,2026-07-13 16:11:31,3,3,13,33,727,6.9,1.0,3,0,mistral-small4,history_5,371,636.9,CPU-intensive
11,2026-07-13 16:12:32,3,3,13,33,686,6.7,1.0,3,0,mistral-small4,history_5,371,449.4,CPU-intensive
12,2026-07-13 16:13:33,3,3,11,33,561,7.0,1.0,3,0,mistral-small4,history_5,371,460.6,CPU-intensive
13,2026-07-13 16:14:33,3,3,11,33,577,6.4,1.0,3,0,mistral-small4,history_5,371,801.4,CPU-intensive
14,2026-07-13 16:15:35,3,3,10,33,575,6.8,1.0,3,0,mistral-small4,history_5,371,605.0,CPU-intensive
15,2026-07-13 16:16:35,3,3,12,33,590,7.0,1.0,3,0,mistral-small4,history_5,371,539.8,CPU-intensive
16,2026-07-13 16:17:36,3,3,12,33,604,6.8,1.0,3,0,mistral-small4,history_5,371,848.4,CPU-intensive
17,2026-07-13 16:18:37,3,3,13,33,729,6.5,1.0,3,0,mistral-small4,history_5,371,625.2,CPU-intensive
18,2026-07-13 16:19:38,3,3,13,33,760,6.8,1.0,3,0,mistral-small4,history_5,371,638.3,CPU-intensive
19,2026-07-13 16:20:39,3,3,14,33,763,6.5,1.0,3,0,mistral-small4,history_5,371,907.3,CPU-intensive
20,2026-07-13 16:21:41,3,3,15,33,735,6.4,1.0,3,0,mistral-small4,history_5,371,668.4,CPU-intensive
21,2026-07-13 16:22:42,3,3,15,34,718,7.0,1.0,3,0,mistral-small4,history_5,371,614.6,CPU-intensive
