step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-13 13:58:20,3,3,3,33,292,7.9,1.0,3,0,mistral-small4,zero_shot,198,854.9,CPU-intensive
1,2026-07-13 13:59:22,3,3,6,33,259,6.5,1.0,3,0,mistral-small4,zero_shot,198,513.8,CPU-intensive
2,2026-07-13 14:00:23,3,3,6,33,200,7.1,1.0,3,0,mistral-small4,zero_shot,198,486.9,CPU-intensive
3,2026-07-13 14:01:23,3,3,6,33,205,8.7,1.0,3,0,mistral-small4,zero_shot,198,515.4,CPU-intensive
4,2026-07-13 14:02:24,3,3,6,33,222,8.2,1.0,3,0,mistral-small4,zero_shot,198,624.0,CPU-intensive
5,2026-07-13 14:03:25,3,3,6,33,286,7.3,1.0,3,0,mistral-small4,zero_shot,198,555.2,CPU-intensive
6,2026-07-13 14:04:26,3,3,7,33,575,6.9,1.0,3,0,mistral-small4,zero_shot,198,447.5,CPU-intensive
7,2026-07-13 14:05:27,3,3,14,33,776,7.6,1.0,3,0,mistral-small4,zero_shot,198,423.9,CPU-intensive
8,2026-07-13 14:06:28,3,3,14,33,746,8.8,1.0,3,0,mistral-small4,zero_shot,198,1165.8,CPU-intensive
9,2026-07-13 14:07:29,3,3,13,33,639,12.7,1.0,3,0,mistral-small4,zero_shot,199,401.7,CPU-intensive
10,2026-07-13 14:08:30,3,3,13,33,727,7.5,1.0,3,0,mistral-small4,zero_shot,198,700.6,CPU-intensive
11,2026-07-13 14:09:31,3,3,14,33,686,6.8,1.0,3,0,mistral-small4,zero_shot,198,426.1,CPU-intensive
12,2026-07-13 14:10:32,3,3,11,33,561,6.4,1.0,3,0,mistral-small4,zero_shot,198,402.2,CPU-intensive
13,2026-07-13 14:11:32,3,3,11,33,577,7.1,1.0,3,0,mistral-small4,zero_shot,198,459.4,CPU-intensive
14,2026-07-13 14:12:33,3,3,12,33,575,8.1,1.0,3,0,mistral-small4,zero_shot,198,499.6,CPU-intensive
15,2026-07-13 14:13:34,3,3,11,33,590,7.1,1.0,3,0,mistral-small4,zero_shot,198,460.6,CPU-intensive
16,2026-07-13 14:14:35,3,3,12,33,604,6.8,1.0,3,0,mistral-small4,zero_shot,198,458.5,CPU-intensive
17,2026-07-13 14:15:35,3,3,13,33,729,7.8,1.0,3,0,mistral-small4,zero_shot,198,470.6,CPU-intensive
18,2026-07-13 14:16:36,3,3,14,33,760,6.5,1.0,3,0,mistral-small4,zero_shot,198,430.6,CPU-intensive
19,2026-07-13 14:17:37,3,3,14,33,763,7.7,1.0,3,0,mistral-small4,zero_shot,198,397.0,CPU-intensive
20,2026-07-13 14:18:38,3,3,14,33,735,7.9,1.0,3,0,mistral-small4,zero_shot,198,444.7,CPU-intensive
21,2026-07-13 14:19:38,3,3,14,33,718,6.6,1.0,3,0,mistral-small4,zero_shot,198,475.5,CPU-intensive
22,2026-07-13 14:20:39,3,3,11,33,623,6.9,1.0,3,0,mistral-small4,zero_shot,198,471.3,CPU-intensive
23,2026-07-13 14:21:40,3,3,12,33,559,7.2,1.0,3,0,mistral-small4,zero_shot,198,468.9,CPU-intensive
24,2026-07-13 14:22:41,3,3,12,33,569,7.1,1.0,3,0,mistral-small4,zero_shot,198,445.2,CPU-intensive
25,2026-07-13 14:23:42,3,3,12,33,640,6.5,1.0,3,0,mistral-small4,zero_shot,198,423.5,CPU-intensive
26,2026-07-13 14:24:42,3,3,13,33,640,7.6,1.0,3,0,mistral-small4,zero_shot,198,404.4,CPU-intensive
27,2026-07-13 14:25:43,3,3,14,33,688,7.5,1.0,3,0,mistral-small4,zero_shot,198,521.8,CPU-intensive
28,2026-07-13 14:26:44,3,3,11,33,545,6.8,1.0,3,0,mistral-small4,zero_shot,198,403.6,CPU-intensive
29,2026-07-13 14:27:45,3,3,12,33,550,6.7,1.0,3,0,mistral-small4,zero_shot,198,461.3,CPU-intensive
30,2026-07-13 14:28:45,3,3,12,33,643,6.7,1.0,3,0,mistral-small4,zero_shot,198,460.5,CPU-intensive
31,2026-07-13 14:29:46,3,3,11,33,592,6.6,1.0,3,0,mistral-small4,zero_shot,198,416.6,CPU-intensive
32,2026-07-13 14:30:47,3,3,8,33,443,6.9,1.0,3,0,mistral-small4,zero_shot,198,426.7,CPU-intensive
