step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-13 22:02:34,1,3,5,55,292,80.5,1.0,1,1,qwen3-80b,domain,285,142623.4,CPU-intensive
1,2026-07-13 22:05:57,2,1,105,11,259,113.7,1.0,2,1,qwen3-80b,domain,288,478555.2,CPU-intensive
2,2026-07-13 22:14:57,2,2,281,22,200,85.7,1.0,2,0,qwen3-80b,domain,287,460487.4,CPU-intensive
3,2026-07-13 22:23:38,2,2,358,23,205,193.5,1.0,2,0,qwen3-80b,domain,0,0.0,CPU-intensive
4,2026-07-13 22:39:47,2,2,189,22,222,99.4,1.0,2,0,qwen3-80b,domain,286,551437.9,CPU-intensive
5,2026-07-13 22:49:59,2,2,261,23,286,108.6,1.0,2,0,qwen3-80b,domain,288,239184.7,CPU-intensive
6,2026-07-13 22:54:59,2,2,250,23,575,80.9,1.0,2,0,qwen3-80b,domain,287,1024.8,CPU-intensive
7,2026-07-13 22:56:01,2,2,238,23,776,103.2,1.0,2,0,qwen3-80b,domain,288,62396.7,CPU-intensive
8,2026-07-13 22:58:04,2,2,220,23,746,92.2,1.0,2,0,qwen3-80b,domain,287,32810.5,CPU-intensive
9,2026-07-13 22:59:38,2,2,203,23,639,114.0,1.0,2,0,qwen3-80b,domain,288,58717.2,CPU-intensive
10,2026-07-13 23:01:37,2,2,195,24,727,105.6,1.0,2,0,qwen3-80b,domain,287,857.1,CPU-intensive
11,2026-07-13 23:02:39,3,2,221,23,686,111.2,1.0,3,1,qwen3-80b,domain,288,551822.5,CPU-intensive
12,2026-07-13 23:12:52,3,3,368,34,561,62.1,1.0,3,0,qwen3-80b,domain,287,116949.3,CPU-intensive
13,2026-07-13 23:15:49,4,3,307,34,577,162.4,1.0,4,1,qwen3-80b,domain,288,126211.7,CPU-intensive
14,2026-07-13 23:18:56,5,4,490,44,575,146.6,1.0,5,1,qwen3-80b,domain,288,105343.4,CPU-intensive
15,2026-07-13 23:21:43,5,5,881,56,590,124.0,1.0,5,0,qwen3-80b,domain,288,298004.0,CPU-intensive
16,2026-07-13 23:27:42,5,5,786,56,604,82.1,1.0,5,0,qwen3-80b,domain,287,144512.3,CPU-intensive
17,2026-07-13 23:31:07,5,5,813,57,729,75.8,1.0,5,0,qwen3-80b,domain,287,41540.6,CPU-intensive
18,2026-07-13 23:32:49,5,5,784,56,760,100.3,1.0,5,0,qwen3-80b,domain,288,85509.9,CPU-intensive
19,2026-07-13 23:35:15,4,5,777,57,763,68.2,1.0,4,1,qwen3-80b,domain,287,93244.9,CPU-intensive
20,2026-07-13 23:37:50,4,4,741,44,735,112.7,1.0,4,0,qwen3-80b,domain,288,238535.3,CPU-intensive
21,2026-07-13 23:42:49,4,4,502,45,718,111.1,1.0,4,0,qwen3-80b,domain,288,90718.1,CPU-intensive
