step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-12 13:00:13,292,293,72.5,53.2,135.1,246.6,292,0,1.0
1,2026-07-12 13:01:13,259,260,1363.2,87.2,5020.4,5021.9,186,73,0.7181
2,2026-07-12 13:02:13,200,199,821.6,91.0,2354.0,3253.8,200,0,1.0
3,2026-07-12 13:03:13,205,206,126.2,43.9,158.3,1319.2,205,0,1.0
4,2026-07-12 13:04:13,222,210,1287.1,88.9,4817.7,5021.5,204,18,0.9189
5,2026-07-12 13:05:17,286,265,881.5,72.1,5013.3,5021.9,243,43,0.8497
6,2026-07-12 13:06:22,575,564,3692.7,5019.8,5021.9,5022.6,46,529,0.08
7,2026-07-12 13:07:23,776,776,1597.8,117.2,5019.9,5022.2,511,265,0.6585
8,2026-07-12 13:08:23,746,746,70.3,48.2,127.9,394.9,746,0,1.0
9,2026-07-12 13:09:23,639,640,64.0,48.0,118.7,236.1,639,0,1.0
10,2026-07-12 13:10:23,727,727,128.1,52.7,297.0,955.0,727,0,1.0
11,2026-07-12 13:11:23,686,685,73.0,51.9,131.3,340.1,686,0,1.0
12,2026-07-12 13:12:23,561,561,80.4,52.9,137.7,436.3,561,0,1.0
13,2026-07-12 13:13:23,577,576,121.6,72.4,209.9,921.3,577,0,1.0
14,2026-07-12 13:14:23,575,576,101.9,63.2,168.3,699.4,575,0,1.0
15,2026-07-12 13:15:23,590,591,90.9,59.4,169.8,473.4,590,0,1.0
16,2026-07-12 13:16:23,604,604,84.7,53.4,144.4,505.5,604,0,1.0
17,2026-07-12 13:17:23,729,729,72.3,50.5,131.4,376.3,729,0,1.0
18,2026-07-12 13:18:23,760,761,66.1,47.9,128.8,299.7,760,0,1.0
19,2026-07-12 13:19:23,763,763,60.8,47.4,105.9,216.9,763,0,1.0
20,2026-07-12 13:20:23,735,736,70.6,49.8,132.5,337.4,735,0,1.0
21,2026-07-12 13:21:23,718,719,88.8,53.3,164.0,531.9,718,0,1.0
22,2026-07-12 13:22:23,623,624,87.1,52.9,137.9,672.8,623,0,1.0
23,2026-07-12 13:23:23,559,560,89.8,59.4,150.0,518.4,559,0,1.0
24,2026-07-12 13:24:22,569,570,89.2,59.9,147.5,527.7,569,0,1.0
25,2026-07-12 13:25:22,640,641,119.2,60.6,208.1,1124.0,640,0,1.0
26,2026-07-12 13:26:22,640,641,83.3,52.3,142.1,462.7,640,0,1.0
27,2026-07-12 13:27:22,688,689,1886.0,1154.2,5017.5,5020.8,583,105,0.8474
28,2026-07-12 13:28:22,545,545,76.5,53.5,136.0,260.7,545,0,1.0
29,2026-07-12 13:29:22,550,550,86.9,58.0,157.5,362.4,550,0,1.0
30,2026-07-12 13:30:22,643,643,81.3,52.0,130.1,714.9,643,0,1.0
31,2026-07-12 13:31:22,592,593,69.8,51.7,124.9,244.2,592,0,1.0
32,2026-07-12 13:32:22,443,443,84.3,53.6,146.2,557.1,443,0,1.0
33,2026-07-12 13:33:22,442,443,77.3,53.9,136.4,270.3,442,0,1.0
34,2026-07-12 13:34:22,401,402,84.2,55.3,142.2,428.2,401,0,1.0
35,2026-07-12 13:35:22,378,379,100.3,53.8,141.7,1010.8,378,0,1.0
36,2026-07-12 13:36:22,296,297,71.5,53.0,134.9,172.7,296,0,1.0
37,2026-07-12 13:37:22,381,381,1051.7,87.2,5019.3,5021.9,297,84,0.7795
38,2026-07-12 13:38:22,340,341,1371.9,87.9,5020.4,5022.0,246,94,0.7235
39,2026-07-12 13:39:22,358,359,74.8,53.7,134.9,171.5,358,0,1.0
40,2026-07-12 13:40:21,451,452,77.2,53.5,141.0,235.3,451,0,1.0
41,2026-07-12 13:41:21,623,624,128.5,56.6,256.3,1098.0,623,0,1.0
42,2026-07-12 13:42:21,518,519,79.3,54.5,139.2,302.3,518,0,1.0
43,2026-07-12 13:43:21,548,549,76.9,52.3,134.7,333.8,548,0,1.0
44,2026-07-12 13:44:21,499,500,83.8,53.5,149.5,320.2,499,0,1.0
45,2026-07-12 13:45:21,517,517,170.2,56.2,342.7,1804.4,517,0,1.0
46,2026-07-12 13:46:21,471,472,75.8,51.9,135.0,356.2,471,0,1.0
47,2026-07-12 13:47:21,503,504,94.4,56.2,148.4,718.4,503,0,1.0
48,2026-07-12 13:48:21,605,606,97.0,59.4,169.0,555.1,605,0,1.0
49,2026-07-12 13:49:21,621,622,81.1,51.8,137.1,518.7,621,0,1.0
50,2026-07-12 13:50:21,646,645,147.6,64.4,274.0,1520.7,646,0,1.0
51,2026-07-12 13:51:21,639,639,78.9,52.2,139.3,455.3,639,0,1.0
52,2026-07-12 13:52:21,493,493,97.4,59.6,148.5,645.1,493,0,1.0
53,2026-07-12 13:53:21,446,447,75.0,52.7,139.0,222.8,446,0,1.0
54,2026-07-12 13:54:21,435,436,76.0,54.1,136.7,236.4,435,0,1.0
55,2026-07-12 13:55:21,425,426,91.7,53.1,141.9,793.1,425,0,1.0
56,2026-07-12 13:56:21,401,401,74.3,53.9,133.9,212.6,401,0,1.0
57,2026-07-12 13:57:21,491,491,76.3,53.2,136.6,320.6,491,0,1.0
58,2026-07-12 13:58:21,382,382,72.9,53.9,131.6,164.5,382,0,1.0
59,2026-07-12 13:59:21,414,415,73.8,54.7,135.2,167.5,414,0,1.0
60,2026-07-12 14:00:21,515,515,86.8,52.3,138.9,534.5,515,0,1.0
61,2026-07-12 14:01:21,575,576,79.3,53.9,139.7,356.0,575,0,1.0
62,2026-07-12 14:02:20,603,603,88.1,55.5,148.4,666.5,603,0,1.0
63,2026-07-12 14:03:20,720,721,83.8,51.7,135.4,715.5,720,0,1.0
64,2026-07-12 14:04:20,702,702,96.0,53.7,163.4,710.1,702,0,1.0
65,2026-07-12 14:05:20,689,688,445.2,57.2,1836.5,4211.9,685,4,0.9942
66,2026-07-12 14:06:21,641,641,74.6,52.4,131.5,345.2,641,0,1.0
67,2026-07-12 14:07:21,618,619,106.6,55.0,138.4,1129.7,618,0,1.0
68,2026-07-12 14:08:20,701,701,109.6,54.3,231.1,697.2,701,0,1.0
69,2026-07-12 14:09:20,625,626,69.1,50.6,124.9,262.1,625,0,1.0
70,2026-07-12 14:10:20,692,692,94.5,54.9,177.1,617.5,692,0,1.0
71,2026-07-12 14:11:20,612,612,93.9,53.5,132.2,985.3,612,0,1.0
72,2026-07-12 14:12:20,579,580,84.1,54.2,140.4,491.7,579,0,1.0
73,2026-07-12 14:13:20,635,636,155.3,57.7,303.1,1507.9,635,0,1.0
74,2026-07-12 14:14:20,614,614,66.0,50.8,118.7,170.4,614,0,1.0
75,2026-07-12 14:15:20,723,723,69.1,47.6,123.0,271.6,723,0,1.0
76,2026-07-12 14:16:20,1000,1000,92.5,42.8,206.5,668.3,1000,0,1.0
77,2026-07-12 14:17:20,1169,1168,68.6,38.7,140.3,362.2,1169,0,1.0
78,2026-07-12 14:18:20,1379,1379,65.0,35.9,124.0,441.6,1379,0,1.0
79,2026-07-12 14:19:20,1764,1763,57.5,35.6,107.0,334.3,1764,0,1.0
80,2026-07-12 14:20:20,1578,1578,67.5,35.5,134.1,497.7,1578,0,1.0
81,2026-07-12 14:21:20,1426,1426,56.1,35.7,104.8,270.8,1426,0,1.0
82,2026-07-12 14:22:20,1247,1247,70.5,37.5,141.9,439.6,1247,0,1.0
83,2026-07-12 14:23:20,1240,1232,68.6,37.5,134.8,417.6,1240,0,1.0
84,2026-07-12 14:24:21,1292,1292,52.4,36.2,91.6,211.7,1292,0,1.0
85,2026-07-12 14:25:21,1546,1546,50.4,35.5,84.0,210.9,1546,0,1.0
86,2026-07-12 14:26:21,1445,1445,54.6,35.6,105.8,270.9,1445,0,1.0
87,2026-07-12 14:27:21,1413,1410,56.6,35.6,98.5,362.3,1413,0,1.0
88,2026-07-12 14:28:21,1495,1495,53.1,35.4,94.5,272.7,1495,0,1.0
89,2026-07-12 14:29:21,1438,1438,50.0,35.3,84.1,230.6,1438,0,1.0
90,2026-07-12 14:30:21,1491,1491,56.3,35.4,96.5,326.6,1491,0,1.0
91,2026-07-12 14:31:21,1513,1513,48.9,35.2,76.7,230.7,1513,0,1.0
92,2026-07-12 14:32:21,1500,1499,54.2,35.3,93.7,290.4,1500,0,1.0
93,2026-07-12 14:33:21,1609,1609,61.9,35.4,109.3,487.3,1609,0,1.0
94,2026-07-12 14:34:21,1458,1458,64.4,35.4,103.9,576.6,1458,0,1.0
95,2026-07-12 14:35:21,1380,1378,76.8,37.3,171.3,479.4,1380,0,1.0
96,2026-07-12 14:36:21,1211,1211,57.3,36.3,93.1,415.3,1211,0,1.0
97,2026-07-12 14:37:21,1106,1106,57.2,38.2,104.8,291.8,1106,0,1.0
98,2026-07-12 14:38:21,1181,1181,59.8,37.5,119.4,306.5,1181,0,1.0
99,2026-07-12 14:39:21,1131,1131,57.1,37.9,90.1,416.0,1131,0,1.0
100,2026-07-12 14:40:21,983,983,66.2,41.0,129.4,369.8,983,0,1.0
101,2026-07-12 14:41:21,933,932,51.1,40.8,85.3,174.6,933,0,1.0
102,2026-07-12 14:42:21,827,827,64.8,44.0,120.5,391.1,827,0,1.0
103,2026-07-12 14:43:21,804,804,66.6,45.4,107.9,432.5,804,0,1.0
104,2026-07-12 14:44:21,1032,1032,74.3,39.5,129.2,622.0,1032,0,1.0
105,2026-07-12 14:45:21,938,938,58.6,41.2,111.7,252.0,938,0,1.0
106,2026-07-12 14:46:21,821,821,63.1,44.8,115.7,325.3,821,0,1.0
107,2026-07-12 14:47:21,834,834,74.9,45.0,143.0,513.0,834,0,1.0
108,2026-07-12 14:48:21,809,809,58.4,45.3,101.5,233.0,809,0,1.0
109,2026-07-12 14:49:21,760,759,64.8,46.2,115.1,311.3,760,0,1.0
110,2026-07-12 14:50:21,840,838,68.7,44.8,121.4,424.8,840,0,1.0
111,2026-07-12 14:51:21,860,860,61.6,43.9,121.4,244.2,860,0,1.0
112,2026-07-12 14:52:21,754,754,54.9,44.1,91.6,167.1,754,0,1.0
113,2026-07-12 14:53:21,750,750,60.8,47.0,107.6,269.3,750,0,1.0
114,2026-07-12 14:54:21,748,748,115.7,54.2,275.6,905.6,748,0,1.0
115,2026-07-12 14:55:21,672,672,82.8,53.4,138.5,467.2,672,0,1.0
116,2026-07-12 14:56:21,636,636,161.6,65.3,393.5,1392.8,636,0,1.0
117,2026-07-12 14:57:21,595,596,188.0,68.5,246.5,2105.2,595,0,1.0
118,2026-07-12 14:58:21,616,616,114.0,65.7,214.1,813.3,616,0,1.0
119,2026-07-12 14:59:21,532,532,74.4,53.8,136.3,221.0,532,0,1.0
