step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-13 05:10:54,292,293,75.1,54.2,137.7,195.8,292,0,1.0
1,2026-07-13 05:11:54,259,260,69.0,52.6,136.7,167.5,259,0,1.0
2,2026-07-13 05:12:54,200,201,72.8,47.6,141.2,169.3,200,0,1.0
3,2026-07-13 05:13:53,205,206,68.2,45.1,138.2,162.9,205,0,1.0
4,2026-07-13 05:14:53,222,223,69.1,52.0,134.5,154.5,222,0,1.0
5,2026-07-13 05:15:53,286,287,70.1,52.3,133.4,168.1,286,0,1.0
6,2026-07-13 05:16:53,575,576,70.8,52.3,127.4,313.5,575,0,1.0
7,2026-07-13 05:17:53,776,776,58.2,46.9,107.3,203.9,776,0,1.0
8,2026-07-13 05:18:53,746,747,65.8,46.7,124.9,326.9,746,0,1.0
9,2026-07-13 05:19:53,639,635,64.7,51.3,112.4,177.0,639,0,1.0
10,2026-07-13 05:20:53,727,727,65.2,49.0,120.2,321.8,727,0,1.0
11,2026-07-13 05:21:53,686,686,62.3,49.6,111.1,221.7,686,0,1.0
12,2026-07-13 05:22:53,561,561,69.1,51.6,126.6,226.7,561,0,1.0
13,2026-07-13 05:23:53,577,577,70.2,52.0,127.8,266.0,577,0,1.0
14,2026-07-13 05:24:53,575,575,67.2,48.3,122.7,215.8,575,0,1.0
15,2026-07-13 05:25:53,590,591,64.6,47.8,119.5,159.5,590,0,1.0
16,2026-07-13 05:26:53,604,605,67.4,47.5,123.4,255.0,604,0,1.0
17,2026-07-13 05:27:53,729,730,61.2,46.5,111.1,221.4,729,0,1.0
18,2026-07-13 05:28:53,760,760,58.6,44.1,108.6,175.7,760,0,1.0
19,2026-07-13 05:29:53,763,763,58.5,44.5,109.3,184.5,763,0,1.0
20,2026-07-13 05:30:53,735,735,59.0,44.1,106.5,185.2,735,0,1.0
21,2026-07-13 05:31:53,718,717,58.5,43.2,104.0,185.3,718,0,1.0
22,2026-07-13 05:32:53,623,624,64.8,45.0,118.7,200.9,623,0,1.0
23,2026-07-13 05:33:53,559,560,67.0,48.8,126.3,165.6,559,0,1.0
24,2026-07-13 05:34:53,569,570,67.1,47.8,124.6,164.4,569,0,1.0
25,2026-07-13 05:35:53,640,640,61.5,43.3,112.8,181.3,640,0,1.0
26,2026-07-13 05:36:53,640,641,60.5,44.7,113.1,141.0,640,0,1.0
27,2026-07-13 05:37:52,688,689,57.5,45.9,101.7,148.2,688,0,1.0
28,2026-07-13 05:38:52,545,546,66.6,46.7,127.0,167.6,545,0,1.0
29,2026-07-13 05:39:52,550,551,65.9,47.1,120.3,166.4,550,0,1.0
30,2026-07-13 05:40:52,643,643,61.7,46.2,112.3,160.8,643,0,1.0
31,2026-07-13 05:41:52,592,592,62.2,46.8,116.4,156.3,592,0,1.0
32,2026-07-13 05:42:52,443,444,71.1,52.8,134.3,161.8,443,0,1.0
33,2026-07-13 05:43:52,442,443,67.8,52.3,122.2,163.6,442,0,1.0
34,2026-07-13 05:44:52,401,401,72.3,53.0,134.9,161.4,401,0,1.0
35,2026-07-13 05:45:52,378,378,72.3,53.3,134.1,168.9,378,0,1.0
36,2026-07-13 05:46:52,296,296,71.5,52.7,132.8,167.9,296,0,1.0
37,2026-07-13 05:47:52,381,382,72.8,53.6,133.5,167.1,381,0,1.0
38,2026-07-13 05:48:52,340,341,72.3,52.9,137.4,169.3,340,0,1.0
39,2026-07-13 05:49:52,358,359,73.2,53.0,136.5,166.4,358,0,1.0
40,2026-07-13 05:50:52,451,452,70.1,52.4,130.3,167.5,451,0,1.0
41,2026-07-13 05:51:52,623,624,65.0,46.6,116.0,228.5,623,0,1.0
42,2026-07-13 05:52:51,518,519,71.5,50.1,131.9,245.6,518,0,1.0
43,2026-07-13 05:53:51,548,549,67.3,49.9,126.5,210.5,548,0,1.0
44,2026-07-13 05:54:51,499,499,69.0,51.5,132.2,178.6,499,0,1.0
45,2026-07-13 05:55:51,517,518,66.5,49.2,127.8,154.9,517,0,1.0
46,2026-07-13 05:56:51,471,471,69.4,52.0,129.1,165.9,471,0,1.0
47,2026-07-13 05:57:51,503,503,67.5,51.0,129.7,168.5,503,0,1.0
48,2026-07-13 05:58:51,605,606,65.8,47.2,125.6,203.2,605,0,1.0
49,2026-07-13 05:59:51,621,622,61.8,45.1,112.1,151.2,621,0,1.0
50,2026-07-13 06:00:51,646,646,59.8,43.7,108.6,160.7,646,0,1.0
51,2026-07-13 06:01:51,639,639,64.1,46.7,117.9,226.4,639,0,1.0
52,2026-07-13 06:02:51,493,493,69.4,51.2,126.4,168.6,493,0,1.0
53,2026-07-13 06:03:51,446,447,69.6,52.3,130.4,160.6,446,0,1.0
54,2026-07-13 06:04:51,435,436,68.9,52.7,130.0,164.2,435,0,1.0
55,2026-07-13 06:05:51,425,425,68.5,52.5,127.2,159.8,425,0,1.0
56,2026-07-13 06:06:51,401,402,68.8,52.5,122.5,158.9,401,0,1.0
57,2026-07-13 06:07:51,491,492,68.5,50.8,133.4,208.4,491,0,1.0
58,2026-07-13 06:08:51,382,383,71.5,52.5,133.7,165.5,382,0,1.0
59,2026-07-13 06:09:51,414,414,70.2,53.2,134.6,163.4,414,0,1.0
60,2026-07-13 06:10:51,515,516,67.0,49.4,127.1,169.5,515,0,1.0
61,2026-07-13 06:11:51,575,576,62.5,45.6,116.2,147.1,575,0,1.0
62,2026-07-13 06:12:51,603,604,64.8,44.6,124.0,218.6,603,0,1.0
63,2026-07-13 06:13:51,720,720,56.6,43.6,100.1,152.7,720,0,1.0
64,2026-07-13 06:14:51,702,703,56.8,43.0,99.6,149.2,702,0,1.0
65,2026-07-13 06:15:50,689,689,59.2,44.0,108.6,159.8,689,0,1.0
66,2026-07-13 06:16:50,641,642,62.9,44.4,115.7,176.2,641,0,1.0
67,2026-07-13 06:17:50,618,619,65.4,46.3,122.0,231.0,618,0,1.0
68,2026-07-13 06:18:50,701,702,55.8,43.7,102.3,137.7,701,0,1.0
69,2026-07-13 06:19:50,625,625,62.5,43.6,114.4,164.7,625,0,1.0
70,2026-07-13 06:20:50,692,692,56.9,44.1,95.9,153.9,692,0,1.0
71,2026-07-13 06:21:50,612,613,63.0,45.8,117.1,162.0,612,0,1.0
72,2026-07-13 06:22:50,579,580,67.2,46.0,124.5,306.2,579,0,1.0
73,2026-07-13 06:23:50,635,635,59.3,43.6,108.4,141.2,635,0,1.0
74,2026-07-13 06:24:50,614,615,65.0,45.0,121.5,216.3,614,0,1.0
75,2026-07-13 06:25:50,723,724,54.8,42.9,93.7,146.2,723,0,1.0
