step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-13 19:59:24,292,293,36.7,36.2,37.3,43.8,292,0,1.0
1,2026-07-13 20:00:24,259,260,36.3,36.1,37.2,39.1,259,0,1.0
2,2026-07-13 20:01:24,200,201,36.5,36.1,37.5,39.5,200,0,1.0
3,2026-07-13 20:02:24,205,206,36.4,36.1,37.4,38.5,205,0,1.0
4,2026-07-13 20:03:24,222,223,36.4,36.2,37.2,38.4,222,0,1.0
5,2026-07-13 20:04:23,286,287,36.3,36.1,37.3,38.3,286,0,1.0
6,2026-07-13 20:05:23,575,576,36.2,36.1,37.1,38.4,575,0,1.0
7,2026-07-13 20:06:23,776,776,36.4,36.1,37.2,42.1,776,0,1.0
8,2026-07-13 20:07:23,746,747,36.4,36.2,37.3,42.8,746,0,1.0
9,2026-07-13 20:08:23,639,640,36.8,36.3,37.3,40.3,639,0,1.0
10,2026-07-13 20:09:23,727,728,36.9,36.3,37.3,42.8,727,0,1.0
11,2026-07-13 20:10:23,686,687,36.4,36.3,37.2,38.7,686,0,1.0
12,2026-07-13 20:11:23,561,562,36.6,36.2,37.1,40.2,561,0,1.0
13,2026-07-13 20:12:23,577,578,36.2,36.0,37.0,39.4,577,0,1.0
14,2026-07-13 20:13:23,575,576,36.2,36.0,36.9,39.3,575,0,1.0
15,2026-07-13 20:14:23,590,591,36.4,36.2,37.1,38.7,590,0,1.0
16,2026-07-13 20:15:23,604,605,36.7,36.3,37.2,39.8,604,0,1.0
17,2026-07-13 20:16:23,729,730,36.6,36.3,37.2,39.3,729,0,1.0
18,2026-07-13 20:17:23,760,761,36.6,36.3,37.4,41.1,760,0,1.0
19,2026-07-13 20:18:22,763,764,36.8,36.3,37.4,41.6,763,0,1.0
20,2026-07-13 20:19:22,735,736,36.5,36.3,37.3,42.2,735,0,1.0
21,2026-07-13 20:20:22,718,719,37.2,36.3,37.3,48.9,718,0,1.0
22,2026-07-13 20:21:22,623,624,36.6,36.3,37.4,41.0,623,0,1.0
23,2026-07-13 20:22:22,559,560,36.4,36.3,37.3,40.3,559,0,1.0
24,2026-07-13 20:23:22,569,570,36.4,36.2,37.2,40.3,569,0,1.0
25,2026-07-13 20:24:22,640,641,36.3,36.1,37.1,40.9,640,0,1.0
26,2026-07-13 20:25:22,640,641,36.5,36.1,37.1,39.5,640,0,1.0
27,2026-07-13 20:26:22,688,689,36.5,36.1,37.3,42.4,688,0,1.0
