step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-13 17:56:09,292,293,38.9,38.2,39.7,56.8,292,0,1.0
1,2026-07-13 17:57:08,259,260,38.3,38.1,39.3,46.2,259,0,1.0
2,2026-07-13 17:58:08,200,201,38.5,38.2,39.5,57.9,200,0,1.0
3,2026-07-13 17:59:08,205,206,38.6,38.1,39.2,46.1,205,0,1.0
4,2026-07-13 18:00:08,222,223,38.2,38.1,38.9,45.0,222,0,1.0
5,2026-07-13 18:01:07,286,287,38.4,38.1,39.3,46.9,286,0,1.0
6,2026-07-13 18:02:07,575,576,38.2,37.9,38.9,45.8,575,0,1.0
7,2026-07-13 18:03:07,776,776,38.6,37.9,39.2,51.9,776,0,1.0
8,2026-07-13 18:04:07,746,747,38.2,37.8,38.8,54.8,746,0,1.0
9,2026-07-13 18:05:07,639,640,38.4,37.9,38.8,42.8,639,0,1.0
10,2026-07-13 18:06:07,727,728,38.5,38.0,39.0,46.4,727,0,1.0
11,2026-07-13 18:07:07,686,687,38.2,38.0,39.0,43.9,686,0,1.0
12,2026-07-13 18:08:07,561,562,38.2,38.0,39.0,44.6,561,0,1.0
13,2026-07-13 18:09:07,577,578,38.6,37.9,39.0,48.1,577,0,1.0
14,2026-07-13 18:10:07,575,576,38.4,38.0,39.0,45.0,575,0,1.0
15,2026-07-13 18:11:07,590,591,38.2,38.0,39.0,46.8,590,0,1.0
16,2026-07-13 18:12:07,604,605,38.4,38.1,39.2,46.8,604,0,1.0
17,2026-07-13 18:13:07,729,730,38.3,38.1,39.2,45.2,729,0,1.0
18,2026-07-13 18:14:07,760,761,38.1,37.8,38.9,43.9,760,0,1.0
19,2026-07-13 18:15:07,763,763,38.3,37.7,39.1,45.9,763,0,1.0
20,2026-07-13 18:16:07,735,736,37.8,37.5,38.5,44.2,735,0,1.0
21,2026-07-13 18:17:07,718,719,37.6,37.4,38.3,43.6,718,0,1.0
22,2026-07-13 18:18:07,623,624,37.7,37.4,38.5,42.6,623,0,1.0
23,2026-07-13 18:19:06,559,560,37.7,37.6,38.6,44.5,559,0,1.0
24,2026-07-13 18:20:06,569,570,37.7,37.6,38.7,42.0,569,0,1.0
25,2026-07-13 18:21:06,640,641,38.0,37.6,38.7,44.7,640,0,1.0
26,2026-07-13 18:22:06,640,641,37.9,37.7,38.7,42.7,640,0,1.0
27,2026-07-13 18:23:06,688,689,37.9,37.6,38.7,44.0,688,0,1.0
28,2026-07-13 18:24:06,545,546,37.8,37.5,38.6,42.0,545,0,1.0
29,2026-07-13 18:25:06,550,551,37.7,37.4,38.6,43.8,550,0,1.0
30,2026-07-13 18:26:06,643,644,37.8,37.5,38.4,44.6,643,0,1.0
31,2026-07-13 18:27:06,592,593,37.8,37.5,38.5,44.0,592,0,1.0
32,2026-07-13 18:28:06,443,444,36.4,36.3,37.5,39.4,443,0,1.0
33,2026-07-13 18:29:06,442,443,36.4,36.3,37.2,39.4,442,0,1.0
34,2026-07-13 18:30:06,401,402,36.4,36.3,37.1,38.6,401,0,1.0
35,2026-07-13 18:31:06,378,379,36.5,36.3,37.2,39.8,378,0,1.0
36,2026-07-13 18:32:06,296,297,36.5,36.3,37.3,39.9,296,0,1.0
37,2026-07-13 18:33:05,381,382,36.5,36.3,37.5,41.0,381,0,1.0
38,2026-07-13 18:34:05,340,341,36.5,36.3,37.3,38.8,340,0,1.0
39,2026-07-13 18:35:05,358,359,36.6,36.4,37.3,38.8,358,0,1.0
40,2026-07-13 18:36:05,451,452,36.6,36.3,37.4,39.7,451,0,1.0
41,2026-07-13 18:37:05,623,624,36.5,36.4,37.4,39.1,623,0,1.0
42,2026-07-13 18:38:05,518,519,36.7,36.4,37.4,42.4,518,0,1.0
43,2026-07-13 18:39:05,548,549,36.5,36.5,37.4,38.7,548,0,1.0
44,2026-07-13 18:40:05,499,500,36.7,36.3,37.3,43.5,499,0,1.0
45,2026-07-13 18:41:05,517,518,36.5,36.4,37.3,40.0,517,0,1.0
46,2026-07-13 18:42:05,471,472,36.4,36.3,37.3,39.7,471,0,1.0
47,2026-07-13 18:43:04,503,504,36.5,36.3,37.5,40.5,503,0,1.0
48,2026-07-13 18:44:04,605,606,36.8,36.3,37.3,39.1,605,0,1.0
49,2026-07-13 18:45:04,621,622,36.5,36.4,37.3,39.3,621,0,1.0
50,2026-07-13 18:46:04,646,647,36.7,36.5,37.4,43.0,646,0,1.0
51,2026-07-13 18:47:04,639,640,36.8,36.6,37.5,41.7,639,0,1.0
52,2026-07-13 18:48:04,493,494,36.6,36.6,37.3,40.7,493,0,1.0
53,2026-07-13 18:49:04,446,447,36.5,36.5,37.4,38.7,446,0,1.0
54,2026-07-13 18:50:04,435,436,36.7,36.5,37.3,39.6,435,0,1.0
55,2026-07-13 18:51:04,425,426,36.5,36.4,37.3,38.2,425,0,1.0
56,2026-07-13 18:52:04,401,402,36.7,36.5,37.5,40.2,401,0,1.0
57,2026-07-13 18:53:04,491,492,36.6,36.5,37.4,40.3,491,0,1.0
58,2026-07-13 18:54:04,382,383,36.5,36.5,37.3,40.0,382,0,1.0
59,2026-07-13 18:55:03,414,415,36.4,36.3,37.3,38.3,414,0,1.0
60,2026-07-13 18:56:03,515,516,36.6,36.4,37.4,41.0,515,0,1.0
61,2026-07-13 18:57:03,575,576,36.4,36.3,37.3,41.1,575,0,1.0
62,2026-07-13 18:58:03,603,604,36.5,36.4,37.2,39.0,603,0,1.0
63,2026-07-13 18:59:03,720,721,36.4,36.3,37.2,41.5,720,0,1.0
64,2026-07-13 19:00:03,702,703,36.6,36.5,37.4,40.8,702,0,1.0
65,2026-07-13 19:01:03,689,690,36.6,36.4,37.4,38.6,689,0,1.0
66,2026-07-13 19:02:03,641,642,36.5,36.4,37.3,41.2,641,0,1.0
67,2026-07-13 19:03:03,618,619,36.5,36.4,37.5,39.4,618,0,1.0
68,2026-07-13 19:04:03,701,702,36.5,36.4,37.4,40.4,701,0,1.0
69,2026-07-13 19:05:03,625,626,36.7,36.4,37.5,39.3,625,0,1.0
70,2026-07-13 19:06:03,692,693,36.6,36.5,37.4,41.0,692,0,1.0
71,2026-07-13 19:07:03,612,613,36.6,36.5,37.4,39.3,612,0,1.0
72,2026-07-13 19:08:03,579,580,36.6,36.4,37.4,41.4,579,0,1.0
73,2026-07-13 19:09:03,635,636,36.7,36.5,37.5,40.5,635,0,1.0
74,2026-07-13 19:10:03,614,615,36.6,36.5,37.4,39.1,614,0,1.0
75,2026-07-13 19:11:02,723,724,36.6,36.5,37.5,38.9,723,0,1.0
76,2026-07-13 19:12:02,1000,1000,37.5,36.5,37.9,56.9,1000,0,1.0
77,2026-07-13 19:13:02,1169,1169,38.8,36.7,41.3,70.7,1169,0,1.0
78,2026-07-13 19:14:02,1379,1379,39.7,36.7,45.0,85.1,1379,0,1.0
79,2026-07-13 19:15:02,1764,1764,42.5,37.1,52.2,140.8,1764,0,1.0
80,2026-07-13 19:16:02,1578,1578,38.7,36.6,38.7,79.0,1578,0,1.0
81,2026-07-13 19:17:02,1426,1426,38.4,36.7,38.2,73.2,1426,0,1.0
82,2026-07-13 19:18:02,1247,1247,38.0,36.7,38.1,68.6,1247,0,1.0
83,2026-07-13 19:19:02,1240,1240,37.7,36.7,37.7,65.7,1240,0,1.0
84,2026-07-13 19:20:02,1292,1292,38.2,36.8,38.1,72.1,1292,0,1.0
85,2026-07-13 19:21:02,1546,1546,38.1,36.5,37.8,76.9,1546,0,1.0
86,2026-07-13 19:22:02,1445,1445,38.3,36.5,37.9,76.2,1445,0,1.0
87,2026-07-13 19:23:02,1413,1413,38.7,36.5,38.1,77.2,1413,0,1.0
88,2026-07-13 19:24:02,1495,1495,43.2,36.9,64.9,137.3,1495,0,1.0
89,2026-07-13 19:25:02,1438,1438,45.3,36.9,68.7,161.3,1438,0,1.0
90,2026-07-13 19:26:02,1491,1491,42.1,37.0,55.8,128.9,1491,0,1.0
91,2026-07-13 19:27:02,1513,1513,39.3,37.1,39.0,78.5,1513,0,1.0
92,2026-07-13 19:28:02,1500,1500,39.1,37.0,38.8,80.6,1500,0,1.0
93,2026-07-13 19:29:02,1609,1609,41.1,37.1,43.9,111.0,1609,0,1.0
94,2026-07-13 19:30:02,1458,1458,39.5,37.1,39.8,89.0,1458,0,1.0
95,2026-07-13 19:31:02,1380,1380,38.5,36.7,38.3,73.3,1380,0,1.0
96,2026-07-13 19:32:02,1211,1211,38.0,36.7,37.9,68.5,1211,0,1.0
97,2026-07-13 19:33:02,1106,1106,37.6,36.7,37.8,62.7,1106,0,1.0
98,2026-07-13 19:34:02,1181,1181,38.1,36.8,38.1,65.9,1181,0,1.0
99,2026-07-13 19:35:02,1131,1131,37.7,36.7,37.9,64.5,1131,0,1.0
100,2026-07-13 19:36:02,983,983,37.6,36.7,38.0,56.5,983,0,1.0
101,2026-07-13 19:37:02,933,933,37.1,36.6,37.8,52.1,933,0,1.0
102,2026-07-13 19:38:02,827,827,36.9,36.6,37.7,44.4,827,0,1.0
103,2026-07-13 19:39:02,804,804,36.9,36.5,37.6,44.8,804,0,1.0
104,2026-07-13 19:40:02,1032,1032,37.4,36.6,37.7,57.6,1032,0,1.0
105,2026-07-13 19:41:02,938,938,37.1,36.5,37.7,52.7,938,0,1.0
106,2026-07-13 19:42:02,821,821,36.9,36.5,37.6,45.3,821,0,1.0
107,2026-07-13 19:43:02,834,834,36.8,36.5,37.5,44.9,834,0,1.0
108,2026-07-13 19:44:02,809,809,36.7,36.5,37.5,41.2,809,0,1.0
109,2026-07-13 19:45:02,760,761,36.7,36.5,37.5,40.6,760,0,1.0
110,2026-07-13 19:46:02,840,840,36.9,36.6,37.6,44.0,840,0,1.0
111,2026-07-13 19:47:02,860,860,36.9,36.6,37.7,45.1,860,0,1.0
112,2026-07-13 19:48:02,754,755,36.6,36.5,37.5,39.9,754,0,1.0
113,2026-07-13 19:49:02,750,751,36.6,36.5,37.4,40.3,750,0,1.0
114,2026-07-13 19:50:02,748,749,36.6,36.5,37.4,39.2,748,0,1.0
115,2026-07-13 19:51:02,672,673,36.6,36.5,37.4,40.1,672,0,1.0
116,2026-07-13 19:52:02,636,636,36.6,36.3,37.3,40.8,636,0,1.0
117,2026-07-13 19:53:02,595,596,36.5,36.3,37.2,40.6,595,0,1.0
118,2026-07-13 19:54:02,616,617,36.6,36.3,37.4,39.4,616,0,1.0
119,2026-07-13 19:55:02,532,533,36.4,36.2,37.3,39.6,532,0,1.0
