step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-13 16:01:09,292,293,6.4,6.4,7.0,7.8,292,0,1.0
1,2026-07-13 16:02:09,259,260,6.4,6.4,6.9,7.4,259,0,1.0
2,2026-07-13 16:03:09,200,201,6.5,6.4,7.1,8.1,200,0,1.0
3,2026-07-13 16:04:08,205,206,6.4,6.4,7.0,7.5,205,0,1.0
4,2026-07-13 16:05:08,222,223,6.5,6.4,7.1,7.4,222,0,1.0
5,2026-07-13 16:06:08,286,287,6.4,6.4,7.0,7.4,286,0,1.0
6,2026-07-13 16:07:08,575,576,6.4,6.3,6.9,7.3,575,0,1.0
7,2026-07-13 16:08:08,776,777,6.4,6.4,7.0,7.5,776,0,1.0
8,2026-07-13 16:09:07,746,747,6.3,6.3,6.9,7.5,746,0,1.0
9,2026-07-13 16:10:07,639,640,6.3,6.3,6.9,7.3,639,0,1.0
10,2026-07-13 16:11:07,727,728,6.4,6.4,6.9,7.4,727,0,1.0
11,2026-07-13 16:12:07,686,687,6.4,6.4,6.9,7.6,686,0,1.0
12,2026-07-13 16:13:07,561,562,6.3,6.3,6.9,7.4,561,0,1.0
13,2026-07-13 16:14:07,577,578,6.3,6.3,6.9,7.4,577,0,1.0
14,2026-07-13 16:15:07,575,576,6.4,6.4,6.9,7.3,575,0,1.0
15,2026-07-13 16:16:07,590,591,6.4,6.4,6.9,7.3,590,0,1.0
16,2026-07-13 16:17:07,604,605,6.4,6.4,7.0,7.3,604,0,1.0
17,2026-07-13 16:18:07,729,730,6.3,6.3,6.9,7.3,729,0,1.0
18,2026-07-13 16:19:07,760,761,6.3,6.3,6.9,7.4,760,0,1.0
19,2026-07-13 16:20:07,763,764,6.3,6.3,6.8,7.2,763,0,1.0
20,2026-07-13 16:21:06,735,736,6.4,6.4,6.9,7.5,735,0,1.0
21,2026-07-13 16:22:06,718,719,6.4,6.3,6.9,7.6,718,0,1.0
22,2026-07-13 16:23:06,623,624,6.4,6.3,6.9,7.5,623,0,1.0
23,2026-07-13 16:24:06,559,560,6.4,6.3,6.9,7.3,559,0,1.0
24,2026-07-13 16:25:06,569,570,6.4,6.4,7.0,7.4,569,0,1.0
25,2026-07-13 16:26:06,640,641,6.4,6.3,6.9,7.5,640,0,1.0
26,2026-07-13 16:27:06,640,641,6.4,6.3,6.9,7.6,640,0,1.0
27,2026-07-13 16:28:06,688,689,6.4,6.3,6.9,7.4,688,0,1.0
28,2026-07-13 16:29:06,545,546,6.3,6.3,6.9,7.3,545,0,1.0
29,2026-07-13 16:30:06,550,551,6.4,6.3,6.9,7.3,550,0,1.0
30,2026-07-13 16:31:06,643,644,6.4,6.4,6.9,7.6,643,0,1.0
31,2026-07-13 16:32:06,592,593,6.5,6.4,7.0,7.5,592,0,1.0
32,2026-07-13 16:33:05,443,444,6.4,6.3,6.9,8.4,443,0,1.0
33,2026-07-13 16:34:05,442,443,6.3,6.3,6.9,7.3,442,0,1.0
34,2026-07-13 16:35:05,401,402,6.4,6.4,7.0,7.5,401,0,1.0
35,2026-07-13 16:36:05,378,379,6.4,6.4,6.9,7.4,378,0,1.0
36,2026-07-13 16:37:05,296,297,6.4,6.4,7.0,7.5,296,0,1.0
37,2026-07-13 16:38:05,381,382,6.3,6.3,6.9,7.5,381,0,1.0
38,2026-07-13 16:39:05,340,341,6.4,6.4,6.9,7.2,340,0,1.0
39,2026-07-13 16:40:04,358,359,6.4,6.4,7.0,7.4,358,0,1.0
40,2026-07-13 16:41:04,451,452,6.3,6.3,6.8,7.4,451,0,1.0
41,2026-07-13 16:42:04,623,624,6.4,6.4,6.9,7.5,623,0,1.0
42,2026-07-13 16:43:04,518,519,6.4,6.3,7.0,7.5,518,0,1.0
43,2026-07-13 16:44:04,548,549,6.4,6.4,6.9,7.5,548,0,1.0
44,2026-07-13 16:45:04,499,500,6.4,6.4,7.0,7.5,499,0,1.0
45,2026-07-13 16:46:04,517,518,6.3,6.3,6.9,7.3,517,0,1.0
46,2026-07-13 16:47:04,471,472,6.4,6.3,6.9,7.5,471,0,1.0
47,2026-07-13 16:48:03,503,504,6.4,6.3,6.9,7.5,503,0,1.0
48,2026-07-13 16:49:03,605,606,6.3,6.3,6.9,7.5,605,0,1.0
49,2026-07-13 16:50:03,621,622,6.3,6.3,6.9,7.3,621,0,1.0
50,2026-07-13 16:51:03,646,647,6.4,6.3,6.9,7.3,646,0,1.0
