step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 11:35:31,292,293,20.4,22.7,25.4,26.3,292,0,1.0
1,2026-07-16 11:36:31,259,260,21.2,22.7,25.4,25.9,259,0,1.0
2,2026-07-16 11:37:31,200,201,21.2,22.7,25.3,26.5,200,0,1.0
3,2026-07-16 11:38:30,205,206,21.5,22.9,25.3,25.7,205,0,1.0
4,2026-07-16 11:39:30,222,223,20.7,22.6,25.3,25.9,222,0,1.0
5,2026-07-16 11:40:30,286,287,21.9,23.1,25.5,26.7,286,0,1.0
6,2026-07-16 11:41:30,575,576,22.0,24.1,25.6,27.1,575,0,1.0
7,2026-07-16 11:42:30,776,777,22.0,24.8,25.6,27.5,776,0,1.0
8,2026-07-16 11:43:30,746,747,23.0,24.9,25.5,27.3,746,0,1.0
9,2026-07-16 11:44:29,639,640,22.9,24.8,25.5,27.1,639,0,1.0
10,2026-07-16 11:45:29,727,728,22.5,24.7,25.4,26.9,727,0,1.0
11,2026-07-16 11:46:29,686,687,23.3,24.9,25.5,27.5,686,0,1.0
12,2026-07-16 11:47:29,561,562,23.2,25.0,25.5,27.0,561,0,1.0
13,2026-07-16 11:48:29,577,578,22.8,24.9,25.5,27.1,577,0,1.0
14,2026-07-16 11:49:29,575,576,24.0,25.1,25.5,27.7,575,0,1.0
15,2026-07-16 11:50:29,590,591,23.2,25.1,25.7,28.3,590,0,1.0
16,2026-07-16 11:51:29,604,605,23.7,25.1,25.5,28.3,604,0,1.0
17,2026-07-16 11:52:29,729,730,23.3,25.0,25.6,27.9,729,0,1.0
18,2026-07-16 11:53:29,760,761,22.4,25.0,25.8,29.0,760,0,1.0
19,2026-07-16 11:54:29,763,764,21.6,24.8,25.4,27.0,763,0,1.0
20,2026-07-16 11:55:29,735,736,21.8,24.3,25.5,27.8,735,0,1.0
21,2026-07-16 11:56:29,718,719,21.1,23.0,25.4,27.2,718,0,1.0
22,2026-07-16 11:57:29,623,624,21.2,22.9,25.4,27.3,623,0,1.0
23,2026-07-16 11:58:29,559,560,21.0,22.7,25.3,27.0,559,0,1.0
24,2026-07-16 11:59:29,569,570,20.4,22.6,25.3,28.5,569,0,1.0
25,2026-07-16 12:00:28,640,641,20.9,22.7,25.4,26.7,640,0,1.0
26,2026-07-16 12:01:28,640,641,20.8,22.7,25.4,26.3,640,0,1.0
27,2026-07-16 12:02:28,688,689,20.3,22.6,25.4,27.6,688,0,1.0
28,2026-07-16 12:03:28,545,546,21.2,22.9,25.4,27.7,545,0,1.0
29,2026-07-16 12:04:28,550,551,21.8,24.6,25.5,28.1,550,0,1.0
30,2026-07-16 12:05:28,643,644,21.9,24.7,25.4,26.9,643,0,1.0
31,2026-07-16 12:06:28,592,593,22.4,24.9,25.6,27.9,592,0,1.0
32,2026-07-16 12:07:28,443,444,22.5,25.0,25.5,27.0,443,0,1.0
