step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 21:48:23,1,3,63,33,292,5.6,1.0,1,1,gpt-oss-120b,zero_shot,408,464.6,CPU-intensive
1,2026-07-16 21:49:55,1,1,6,11,259,5.3,1.0,1,0,gpt-oss-120b,zero_shot,397,287.9,CPU-intensive
2,2026-07-16 21:50:55,1,1,10,11,200,5.4,1.0,1,0,gpt-oss-120b,zero_shot,338,410.9,CPU-intensive
3,2026-07-16 21:51:56,1,1,7,11,205,5.3,1.0,1,0,gpt-oss-120b,zero_shot,451,398.8,CPU-intensive
4,2026-07-16 21:52:57,1,1,11,11,222,5.4,1.0,1,0,gpt-oss-120b,zero_shot,670,470.1,CPU-intensive
5,2026-07-16 21:53:57,1,1,15,11,286,5.5,1.0,1,0,gpt-oss-120b,zero_shot,426,339.2,CPU-intensive
6,2026-07-16 21:54:58,1,1,23,11,575,5.2,1.0,1,0,gpt-oss-120b,zero_shot,354,255.3,CPU-intensive
7,2026-07-16 21:55:59,1,1,35,11,776,5.8,1.0,1,0,gpt-oss-120b,zero_shot,449,473.6,CPU-intensive
8,2026-07-16 21:56:59,1,1,36,12,746,5.4,1.0,1,0,gpt-oss-120b,zero_shot,505,523.1,CPU-intensive
9,2026-07-16 21:58:00,1,1,34,11,639,5.5,1.0,1,0,gpt-oss-120b,zero_shot,525,369.6,CPU-intensive
10,2026-07-16 21:59:01,1,1,43,11,727,6.0,1.0,1,0,gpt-oss-120b,zero_shot,439,555.6,CPU-intensive
11,2026-07-16 22:00:02,1,1,40,12,686,5.5,1.0,1,0,gpt-oss-120b,zero_shot,391,318.1,CPU-intensive
12,2026-07-16 22:01:02,1,1,32,12,561,5.3,1.0,1,0,gpt-oss-120b,zero_shot,464,477.4,CPU-intensive
13,2026-07-16 22:02:03,1,1,34,11,577,5.3,1.0,1,0,gpt-oss-120b,zero_shot,548,392.4,CPU-intensive
14,2026-07-16 22:03:04,1,1,33,12,575,5.2,1.0,1,0,gpt-oss-120b,zero_shot,374,432.6,CPU-intensive
15,2026-07-16 22:04:04,1,1,34,12,590,6.0,1.0,1,0,gpt-oss-120b,zero_shot,360,462.4,CPU-intensive
16,2026-07-16 22:05:05,1,1,35,11,604,5.2,1.0,1,0,gpt-oss-120b,zero_shot,570,512.6,CPU-intensive
17,2026-07-16 22:06:06,1,1,42,12,729,5.5,1.0,1,0,gpt-oss-120b,zero_shot,513,381.2,CPU-intensive
18,2026-07-16 22:07:07,1,1,26,11,760,5.6,1.0,1,0,gpt-oss-120b,zero_shot,531,605.2,CPU-intensive
19,2026-07-16 22:08:08,1,1,30,11,763,5.5,1.0,1,0,gpt-oss-120b,zero_shot,386,298.6,CPU-intensive
20,2026-07-16 22:09:08,1,1,32,11,735,6.0,1.0,1,0,gpt-oss-120b,zero_shot,415,441.4,CPU-intensive
21,2026-07-16 22:10:09,1,1,30,11,718,5.8,1.0,1,0,gpt-oss-120b,zero_shot,447,309.4,CPU-intensive
22,2026-07-16 22:11:10,1,1,26,11,623,6.1,1.0,1,0,gpt-oss-120b,zero_shot,458,432.5,CPU-intensive
23,2026-07-16 22:12:10,1,1,21,12,559,6.1,1.0,1,0,gpt-oss-120b,zero_shot,416,307.8,CPU-intensive
24,2026-07-16 22:13:11,1,1,16,11,569,5.3,1.0,1,0,gpt-oss-120b,zero_shot,458,323.6,CPU-intensive
25,2026-07-16 22:14:12,1,1,13,12,640,5.4,1.0,1,0,gpt-oss-120b,zero_shot,489,384.4,CPU-intensive
26,2026-07-16 22:15:12,1,1,15,12,640,5.6,1.0,1,0,gpt-oss-120b,zero_shot,517,384.9,CPU-intensive
27,2026-07-16 22:16:13,1,1,18,12,688,5.4,1.0,1,0,gpt-oss-120b,zero_shot,425,433.6,CPU-intensive
28,2026-07-16 22:17:14,1,1,12,11,545,5.4,1.0,1,0,gpt-oss-120b,zero_shot,611,482.4,CPU-intensive
29,2026-07-16 22:18:14,1,1,13,11,550,5.5,1.0,1,0,gpt-oss-120b,zero_shot,328,403.8,CPU-intensive
30,2026-07-16 22:19:15,1,1,16,11,643,5.3,1.0,1,0,gpt-oss-120b,zero_shot,395,337.6,CPU-intensive
31,2026-07-16 22:20:16,1,1,16,11,592,5.4,1.0,1,0,gpt-oss-120b,zero_shot,451,432.8,CPU-intensive
32,2026-07-16 22:21:16,1,1,11,11,443,5.2,1.0,1,0,gpt-oss-120b,zero_shot,365,282.7,CPU-intensive
33,2026-07-16 22:22:17,1,1,11,12,442,5.4,1.0,1,0,gpt-oss-120b,zero_shot,339,552.0,CPU-intensive
34,2026-07-16 22:23:18,1,1,10,11,401,5.5,1.0,1,0,gpt-oss-120b,zero_shot,532,361.4,CPU-intensive
35,2026-07-16 22:24:18,1,1,9,12,378,5.2,1.0,1,0,gpt-oss-120b,zero_shot,438,518.5,CPU-intensive
36,2026-07-16 22:25:19,1,1,6,11,296,5.5,1.0,1,0,gpt-oss-120b,zero_shot,447,337.0,CPU-intensive
37,2026-07-16 22:26:20,1,1,10,11,381,5.2,1.0,1,0,gpt-oss-120b,zero_shot,510,437.0,CPU-intensive
38,2026-07-16 22:27:20,1,1,8,11,340,5.4,1.0,1,0,gpt-oss-120b,zero_shot,598,387.8,CPU-intensive
39,2026-07-16 22:28:21,1,1,9,11,358,5.4,1.0,1,0,gpt-oss-120b,zero_shot,459,723.7,CPU-intensive
40,2026-07-16 22:29:22,1,1,12,12,451,5.3,1.0,1,0,gpt-oss-120b,zero_shot,554,394.2,CPU-intensive
41,2026-07-16 22:30:23,1,1,17,11,623,5.3,1.0,1,0,gpt-oss-120b,zero_shot,580,409.0,CPU-intensive
42,2026-07-16 22:31:23,1,1,14,11,518,5.3,1.0,1,0,gpt-oss-120b,zero_shot,322,290.0,CPU-intensive
43,2026-07-16 22:32:24,1,1,13,11,548,5.3,1.0,1,0,gpt-oss-120b,zero_shot,353,249.2,CPU-intensive
44,2026-07-16 22:33:24,1,1,12,12,499,5.3,1.0,1,0,gpt-oss-120b,zero_shot,334,239.7,CPU-intensive
45,2026-07-16 22:34:25,1,1,12,11,517,5.3,1.0,1,0,gpt-oss-120b,zero_shot,338,242.1,CPU-intensive
46,2026-07-16 22:35:26,1,1,14,12,471,5.3,1.0,1,0,gpt-oss-120b,zero_shot,421,280.2,CPU-intensive
47,2026-07-16 22:36:26,1,1,15,11,503,5.5,1.0,1,0,gpt-oss-120b,zero_shot,483,352.4,CPU-intensive
48,2026-07-16 22:37:27,1,1,17,11,605,5.4,1.0,1,0,gpt-oss-120b,zero_shot,502,347.2,CPU-intensive
49,2026-07-16 22:38:27,1,1,17,11,621,5.3,1.0,1,0,gpt-oss-120b,zero_shot,499,832.5,CPU-intensive
50,2026-07-16 22:39:28,1,1,19,11,646,5.2,1.0,1,0,gpt-oss-120b,zero_shot,394,467.3,CPU-intensive
51,2026-07-16 22:40:29,1,1,15,11,639,5.3,1.0,1,0,gpt-oss-120b,zero_shot,402,280.6,CPU-intensive
52,2026-07-16 22:41:30,1,1,14,11,493,7.1,1.0,1,0,gpt-oss-120b,zero_shot,364,283.4,CPU-intensive
53,2026-07-16 22:42:30,1,1,14,11,446,5.3,1.0,1,0,gpt-oss-120b,zero_shot,365,254.1,CPU-intensive
