step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-14 16:08:56,1,3,3,33,292,5.2,1.0,1,1,hpa,baseline,0,0.0,CPU-intensive
1,2026-07-14 16:09:57,1,1,17,12,259,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
2,2026-07-14 16:10:57,1,1,14,12,200,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
3,2026-07-14 16:11:57,1,1,11,11,205,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
4,2026-07-14 16:12:58,1,1,11,11,222,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
5,2026-07-14 16:13:58,1,1,13,12,286,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
6,2026-07-14 16:14:58,1,1,19,11,575,6.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
7,2026-07-14 16:15:59,1,1,35,11,776,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
8,2026-07-14 16:16:59,1,1,44,12,746,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
9,2026-07-14 16:17:59,1,1,39,11,639,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
10,2026-07-14 16:19:00,1,1,39,11,727,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
11,2026-07-14 16:20:00,1,1,42,12,686,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
12,2026-07-14 16:21:00,1,1,39,11,561,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
13,2026-07-14 16:22:01,1,1,34,12,577,7.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
14,2026-07-14 16:23:01,1,1,34,11,575,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
15,2026-07-14 16:24:01,1,1,34,12,590,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
16,2026-07-14 16:25:01,1,1,35,12,604,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
17,2026-07-14 16:26:02,1,1,39,11,729,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
18,2026-07-14 16:27:02,1,1,44,11,760,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
19,2026-07-14 16:28:02,1,1,44,12,763,6.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
20,2026-07-14 16:29:03,1,1,45,11,735,5.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
21,2026-07-14 16:30:03,1,1,42,11,718,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
22,2026-07-14 16:31:03,1,1,40,12,623,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
23,2026-07-14 16:32:04,1,1,36,11,559,6.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
24,2026-07-14 16:33:04,1,1,33,12,569,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
25,2026-07-14 16:34:04,1,1,36,12,640,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
26,2026-07-14 16:35:05,1,1,37,11,640,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
27,2026-07-14 16:36:05,1,1,37,11,688,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
28,2026-07-14 16:37:05,1,1,38,12,545,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
29,2026-07-14 16:38:06,1,1,32,11,550,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
30,2026-07-14 16:39:06,1,1,35,12,643,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
31,2026-07-14 16:40:06,1,1,38,12,592,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
32,2026-07-14 16:41:07,1,1,35,12,443,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
