step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 04:19:54,6,3,51,35,292,57.1,1.0,6,1,keda,baseline,0,0.0,CPU-intensive
1,2026-07-15 04:20:54,6,6,309,68,259,114.9,1.0,6,0,keda,baseline,0,0.0,CPU-intensive
2,2026-07-15 04:21:55,4,6,278,68,200,137.6,1.0,4,1,keda,baseline,0,0.0,CPU-intensive
3,2026-07-15 04:22:56,5,4,247,46,205,76.3,1.0,5,1,keda,baseline,0,0.0,CPU-intensive
4,2026-07-15 04:23:57,5,5,260,57,222,283.9,1.0,5,0,keda,baseline,0,0.0,CPU-intensive
5,2026-07-15 04:24:58,6,5,315,57,286,52.9,1.0,6,1,keda,baseline,0,0.0,CPU-intensive
6,2026-07-15 04:25:58,12,6,400,68,575,63.2,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
7,2026-07-15 04:26:59,14,12,551,134,776,97.6,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
8,2026-07-15 04:28:00,14,14,566,156,746,43.1,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
9,2026-07-15 04:29:00,13,14,543,156,639,39.4,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
10,2026-07-15 04:30:01,14,13,577,146,727,44.6,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
11,2026-07-15 04:31:02,14,14,573,156,686,157.4,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
12,2026-07-15 04:32:02,12,14,540,156,561,58.4,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
13,2026-07-15 04:33:03,12,12,498,134,577,75.7,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
14,2026-07-15 04:34:04,12,12,520,134,575,81.7,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
15,2026-07-15 04:35:04,12,12,490,134,590,47.8,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
16,2026-07-15 04:36:05,13,12,548,134,604,59.5,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
17,2026-07-15 04:37:06,14,13,595,145,729,105.1,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
18,2026-07-15 04:38:06,14,14,582,156,760,38.8,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
19,2026-07-15 04:39:07,14,14,545,156,763,99.0,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
20,2026-07-15 04:40:08,14,14,603,156,735,51.5,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
21,2026-07-15 04:41:08,14,14,531,156,718,105.7,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
22,2026-07-15 04:42:09,13,14,550,156,623,37.5,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
23,2026-07-15 04:43:10,12,13,501,145,559,84.5,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
