step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 13:36:51,5,3,5,55,292,5.9,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
1,2026-07-16 13:37:52,5,5,21,55,259,6.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
2,2026-07-16 13:38:52,5,5,18,55,200,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
3,2026-07-16 13:39:52,5,5,16,55,205,6.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
4,2026-07-16 13:40:53,5,5,14,55,222,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
5,2026-07-16 13:41:53,5,5,12,55,286,6.1,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
6,2026-07-16 13:42:53,5,5,23,55,575,6.1,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
7,2026-07-16 13:43:53,5,5,20,55,776,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
8,2026-07-16 13:44:54,5,5,26,55,746,6.1,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
9,2026-07-16 13:45:54,5,5,24,55,639,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
10,2026-07-16 13:46:54,5,5,22,55,727,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
11,2026-07-16 13:47:55,5,5,26,55,686,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
12,2026-07-16 13:48:55,5,5,25,55,561,6.1,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
13,2026-07-16 13:49:55,5,5,22,55,577,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
14,2026-07-16 13:50:55,5,5,20,55,575,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
15,2026-07-16 13:51:56,5,5,22,55,590,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
16,2026-07-16 13:52:56,5,5,20,55,604,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
17,2026-07-16 13:53:56,5,5,20,55,729,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
18,2026-07-16 13:54:57,5,5,25,55,760,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
19,2026-07-16 13:55:57,5,5,25,55,763,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
20,2026-07-16 13:56:57,5,5,27,55,735,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
21,2026-07-16 13:57:57,5,5,26,55,718,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
22,2026-07-16 13:58:58,5,5,26,55,623,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
23,2026-07-16 13:59:58,5,5,26,55,559,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
24,2026-07-16 14:00:58,5,5,24,55,569,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
25,2026-07-16 14:01:59,5,5,21,55,640,6.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
26,2026-07-16 14:02:59,5,5,23,55,640,6.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
27,2026-07-16 14:03:59,5,5,24,55,688,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
28,2026-07-16 14:04:59,5,5,24,55,545,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
29,2026-07-16 14:06:00,5,5,20,55,550,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
30,2026-07-16 14:07:00,5,5,23,55,643,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
31,2026-07-16 14:08:00,5,5,23,55,592,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
32,2026-07-16 14:09:01,5,5,16,55,443,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
33,2026-07-16 14:10:01,5,5,28,55,442,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
34,2026-07-16 14:11:01,5,5,31,55,401,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
