step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 23:50:32,292,293,7.1,5.4,12.0,23.0,292,0,1.0
1,2026-07-16 23:51:32,259,260,7.6,5.6,17.7,23.2,259,0,1.0
2,2026-07-16 23:52:32,200,201,7.6,5.8,12.3,23.4,200,0,1.0
3,2026-07-16 23:53:31,205,206,8.0,5.7,18.6,23.2,205,0,1.0
4,2026-07-16 23:54:31,222,223,8.7,5.6,20.9,23.4,222,0,1.0
5,2026-07-16 23:55:31,286,287,7.9,5.9,16.2,23.3,286,0,1.0
6,2026-07-16 23:56:31,575,576,8.0,5.7,16.8,23.4,575,0,1.0
7,2026-07-16 23:57:31,776,777,8.3,5.6,21.0,23.4,776,0,1.0
8,2026-07-16 23:58:31,746,747,8.4,5.9,20.8,23.4,746,0,1.0
9,2026-07-16 23:59:30,639,640,8.8,6.0,21.3,23.4,639,0,1.0
10,2026-07-17 00:00:30,727,728,8.5,6.0,20.8,23.4,727,0,1.0
11,2026-07-17 00:01:30,686,687,9.1,6.2,22.1,23.4,686,0,1.0
12,2026-07-17 00:02:30,561,562,9.2,6.4,21.2,23.4,561,0,1.0
13,2026-07-17 00:03:30,577,578,10.2,7.0,22.6,23.4,577,0,1.0
14,2026-07-17 00:04:30,575,576,9.8,6.7,22.4,23.3,575,0,1.0
15,2026-07-17 00:05:30,590,591,10.5,7.0,22.9,23.4,590,0,1.0
16,2026-07-17 00:06:30,604,605,20.7,23.1,23.3,23.7,604,0,1.0
17,2026-07-17 00:07:30,729,730,21.4,23.1,23.4,23.9,729,0,1.0
18,2026-07-17 00:08:30,760,761,21.8,23.3,23.5,24.1,760,0,1.0
19,2026-07-17 00:09:30,763,764,22.5,23.3,23.5,24.0,763,0,1.0
20,2026-07-17 00:10:30,735,736,22.1,23.3,23.5,23.8,735,0,1.0
21,2026-07-17 00:11:30,718,719,17.6,23.0,23.5,24.1,718,0,1.0
22,2026-07-17 00:12:30,623,624,15.0,16.3,23.3,23.6,623,0,1.0
23,2026-07-17 00:13:29,559,560,18.2,21.6,23.4,23.8,559,0,1.0
24,2026-07-17 00:14:29,569,570,16.3,21.0,23.3,23.6,569,0,1.0
25,2026-07-17 00:15:29,640,641,16.2,20.9,23.3,23.6,640,0,1.0
26,2026-07-17 00:16:29,640,641,15.0,15.7,23.3,23.7,640,0,1.0
27,2026-07-17 00:17:29,688,689,12.4,9.1,23.2,23.5,688,0,1.0
28,2026-07-17 00:18:29,545,546,10.1,6.5,22.3,23.4,545,0,1.0
29,2026-07-17 00:19:29,550,551,15.0,17.9,23.3,23.9,550,0,1.0
30,2026-07-17 00:20:29,643,644,20.1,21.3,23.6,24.5,643,0,1.0
31,2026-07-17 00:21:29,592,593,20.5,21.4,23.6,24.0,592,0,1.0
32,2026-07-17 00:22:29,443,444,19.0,21.3,23.6,24.8,443,0,1.0
33,2026-07-17 00:23:29,442,443,9.4,6.2,22.3,23.5,442,0,1.0
34,2026-07-17 00:24:29,401,402,11.1,6.9,22.9,23.6,401,0,1.0
35,2026-07-17 00:25:28,378,379,18.2,21.3,23.5,24.2,378,0,1.0
36,2026-07-17 00:26:28,296,297,10.6,6.7,22.8,23.6,296,0,1.0
37,2026-07-17 00:27:28,381,382,19.1,21.3,23.5,24.0,381,0,1.0
38,2026-07-17 00:28:28,340,341,10.5,6.7,21.8,23.4,340,0,1.0
39,2026-07-17 00:29:28,358,359,18.0,21.2,23.5,24.0,358,0,1.0
40,2026-07-17 00:30:28,451,452,20.3,21.4,23.6,24.2,451,0,1.0
41,2026-07-17 00:31:28,623,624,11.3,7.1,22.9,23.7,623,0,1.0
42,2026-07-17 00:32:27,518,519,9.3,6.4,21.1,23.4,518,0,1.0
43,2026-07-17 00:33:27,548,549,9.9,6.6,22.6,23.5,548,0,1.0
44,2026-07-17 00:34:27,499,500,15.1,16.6,23.6,24.4,499,0,1.0
45,2026-07-17 00:35:27,517,518,17.1,21.1,23.4,24.2,517,0,1.0
46,2026-07-17 00:36:27,471,472,12.8,9.2,23.4,24.0,471,0,1.0
47,2026-07-17 00:37:27,503,504,19.4,21.3,23.5,24.3,503,0,1.0
48,2026-07-17 00:38:27,605,606,20.4,21.4,23.5,23.9,605,0,1.0
49,2026-07-17 00:39:27,621,622,19.7,21.3,23.6,24.0,621,0,1.0
50,2026-07-17 00:40:27,646,647,11.4,7.4,22.6,23.6,646,0,1.0
51,2026-07-17 00:41:27,639,640,10.7,7.2,22.9,23.4,639,0,1.0
52,2026-07-17 00:42:27,493,494,10.2,6.9,22.7,23.6,493,0,1.0
53,2026-07-17 00:43:26,446,447,10.0,6.3,22.8,23.4,446,0,1.0
54,2026-07-17 00:44:26,435,436,18.7,21.3,23.5,23.8,435,0,1.0
55,2026-07-17 00:45:26,425,426,20.5,21.4,23.5,23.8,425,0,1.0
56,2026-07-17 00:46:26,401,402,14.7,15.1,23.4,24.1,401,0,1.0
57,2026-07-17 00:47:26,491,492,12.1,9.2,23.2,23.5,491,0,1.0
58,2026-07-17 00:48:26,382,383,13.5,10.8,23.2,25.5,382,0,1.0
59,2026-07-17 00:49:26,414,415,17.7,21.2,23.4,23.7,414,0,1.0
60,2026-07-17 00:50:26,515,516,19.3,21.3,23.5,23.7,515,0,1.0
61,2026-07-17 00:51:25,575,576,13.5,10.8,23.2,23.6,575,0,1.0
62,2026-07-17 00:52:25,603,604,15.5,19.1,23.3,23.8,603,0,1.0
63,2026-07-17 00:53:25,720,721,12.5,8.5,23.2,23.7,720,0,1.0
64,2026-07-17 00:54:25,702,703,15.9,20.9,23.4,23.9,702,0,1.0
65,2026-07-17 00:55:25,689,690,13.1,9.6,23.2,23.8,689,0,1.0
66,2026-07-17 00:56:25,641,642,15.3,18.7,23.4,23.9,641,0,1.0
67,2026-07-17 00:57:25,618,619,14.1,12.5,23.3,23.7,618,0,1.0
68,2026-07-17 00:58:25,701,702,15.5,19.5,23.4,23.9,701,0,1.0
69,2026-07-17 00:59:25,625,626,16.4,20.9,23.3,23.8,625,0,1.0
70,2026-07-17 01:00:25,692,693,13.4,11.5,23.3,23.9,692,0,1.0
71,2026-07-17 01:01:25,612,613,18.1,21.1,23.5,23.9,612,0,1.0
72,2026-07-17 01:02:25,579,580,11.0,7.3,23.1,23.6,579,0,1.0
73,2026-07-17 01:03:25,635,636,18.7,21.2,23.5,23.8,635,0,1.0
74,2026-07-17 01:04:25,614,615,16.3,19.0,23.2,24.3,614,0,1.0
75,2026-07-17 01:05:24,723,724,12.3,9.6,22.9,23.8,723,0,1.0
76,2026-07-17 01:06:24,1000,1000,15.2,18.0,23.3,24.2,1000,0,1.0
77,2026-07-17 01:07:24,1169,1169,18.1,21.0,23.4,23.8,1169,0,1.0
78,2026-07-17 01:08:24,1379,1379,18.9,21.0,23.3,23.7,1379,0,1.0
79,2026-07-17 01:09:24,1764,1764,16.1,17.8,22.5,23.5,1764,0,1.0
80,2026-07-17 01:10:24,1578,1579,11.6,8.2,22.8,23.5,1578,0,1.0
81,2026-07-17 01:11:24,1426,1426,15.3,16.7,23.1,23.7,1426,0,1.0
82,2026-07-17 01:12:24,1247,1247,16.5,20.8,23.3,23.7,1247,0,1.0
83,2026-07-17 01:13:24,1240,1241,14.9,16.3,23.2,23.7,1240,0,1.0
