step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 04:19:43,292,292,98.5,91.2,141.1,216.8,292,0,1.0
1,2026-07-15 04:20:43,259,259,103.4,95.1,142.6,172.6,259,0,1.0
2,2026-07-15 04:21:43,200,201,90.5,92.8,104.6,125.1,200,0,1.0
3,2026-07-15 04:22:43,205,206,104.7,93.5,148.9,227.2,205,0,1.0
4,2026-07-15 04:23:43,222,223,109.0,100.0,152.9,213.0,222,0,1.0
5,2026-07-15 04:24:42,286,287,104.8,95.4,150.7,213.1,286,0,1.0
6,2026-07-15 04:25:42,575,576,73.1,57.5,131.9,235.8,575,0,1.0
7,2026-07-15 04:26:42,776,776,56.2,44.7,101.3,159.4,776,0,1.0
8,2026-07-15 04:27:42,746,746,58.8,45.3,103.7,207.9,746,0,1.0
9,2026-07-15 04:28:42,639,639,65.6,51.4,117.0,167.1,639,0,1.0
10,2026-07-15 04:29:42,727,728,59.0,48.0,107.6,143.5,727,0,1.0
11,2026-07-15 04:30:42,686,686,61.8,48.1,110.7,156.1,686,0,1.0
12,2026-07-15 04:31:42,561,561,73.4,57.4,130.3,217.9,561,0,1.0
13,2026-07-15 04:32:42,577,578,70.9,53.9,128.6,165.9,577,0,1.0
14,2026-07-15 04:33:42,575,575,70.7,58.4,127.5,161.9,575,0,1.0
15,2026-07-15 04:34:42,590,591,70.4,54.4,127.9,223.7,590,0,1.0
16,2026-07-15 04:35:42,604,605,67.0,53.0,118.5,158.7,604,0,1.0
17,2026-07-15 04:36:42,729,729,58.1,45.6,101.7,149.8,729,0,1.0
18,2026-07-15 04:37:42,760,760,56.0,44.8,101.5,149.9,760,0,1.0
19,2026-07-15 04:38:42,763,762,55.9,44.6,99.9,147.4,763,0,1.0
20,2026-07-15 04:39:42,735,735,58.9,45.8,107.5,170.1,735,0,1.0
21,2026-07-15 04:40:42,718,719,59.4,45.7,105.4,203.6,718,0,1.0
22,2026-07-15 04:41:42,623,622,67.3,51.2,127.0,159.9,623,0,1.0
