step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 14:37:49,292,293,9.7,6.5,21.0,24.2,292,0,1.0
1,2026-07-15 14:38:49,259,260,9.6,6.4,21.3,24.2,259,0,1.0
2,2026-07-15 14:39:48,200,201,9.5,6.3,21.7,23.7,200,0,1.0
3,2026-07-15 14:40:48,205,206,8.4,5.9,17.3,24.5,205,0,1.0
4,2026-07-15 14:41:48,222,223,10.1,6.6,21.5,23.6,222,0,1.0
5,2026-07-15 14:42:48,286,287,10.3,7.0,22.2,23.7,286,0,1.0
6,2026-07-15 14:43:47,575,576,9.2,6.3,20.8,23.5,575,0,1.0
7,2026-07-15 14:44:47,776,777,9.6,6.4,21.2,23.7,776,0,1.0
8,2026-07-15 14:45:47,746,747,11.2,7.7,23.2,23.8,746,0,1.0
9,2026-07-15 14:46:47,639,640,11.2,8.0,23.0,23.6,639,0,1.0
10,2026-07-15 14:47:47,727,728,11.5,8.3,23.1,23.8,727,0,1.0
11,2026-07-15 14:48:47,686,687,12.4,9.7,23.3,24.7,686,0,1.0
12,2026-07-15 14:49:47,561,562,13.5,12.0,23.3,24.5,561,0,1.0
13,2026-07-15 14:50:47,577,578,11.9,8.8,23.2,23.9,577,0,1.0
14,2026-07-15 14:51:47,575,576,12.8,10.3,23.3,24.4,575,0,1.0
15,2026-07-15 14:52:47,590,591,11.8,8.6,23.2,24.1,590,0,1.0
16,2026-07-15 14:53:47,604,605,10.3,7.4,21.7,23.7,604,0,1.0
17,2026-07-15 14:54:46,729,730,8.8,6.2,18.7,23.8,729,0,1.0
18,2026-07-15 14:55:46,760,761,10.1,6.8,21.6,24.0,760,0,1.0
19,2026-07-15 14:56:46,763,764,9.7,6.4,21.1,23.8,763,0,1.0
20,2026-07-15 14:57:46,735,736,10.1,6.6,21.7,23.7,735,0,1.0
21,2026-07-15 14:58:46,718,719,10.0,6.8,21.4,24.1,718,0,1.0
