step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 19:31:37,292,293,8.8,6.1,18.8,23.7,292,0,1.0
1,2026-07-15 19:32:37,259,260,8.6,5.7,18.3,24.2,259,0,1.0
2,2026-07-15 19:33:37,200,201,9.1,6.7,18.3,25.5,200,0,1.0
3,2026-07-15 19:34:36,205,206,9.7,6.7,21.3,23.8,205,0,1.0
4,2026-07-15 19:35:36,222,223,8.9,6.1,19.8,23.9,222,0,1.0
5,2026-07-15 19:36:36,286,287,8.3,6.1,16.0,23.5,286,0,1.0
6,2026-07-15 19:37:36,575,576,8.4,6.0,16.3,23.5,575,0,1.0
7,2026-07-15 19:38:35,776,777,9.3,6.1,20.9,24.0,776,0,1.0
8,2026-07-15 19:39:35,746,747,10.6,7.2,21.9,25.0,746,0,1.0
9,2026-07-15 19:40:35,639,640,10.0,7.5,20.5,23.9,639,0,1.0
10,2026-07-15 19:41:35,727,728,11.3,7.9,23.4,24.7,727,0,1.0
11,2026-07-15 19:42:35,686,687,11.4,7.9,23.3,25.6,686,0,1.0
12,2026-07-15 19:43:35,561,562,11.1,7.7,23.2,24.2,561,0,1.0
13,2026-07-15 19:44:35,577,578,11.0,8.0,23.1,24.7,577,0,1.0
14,2026-07-15 19:45:35,575,576,10.9,8.3,22.6,23.8,575,0,1.0
15,2026-07-15 19:46:35,590,591,10.3,7.5,21.1,24.0,590,0,1.0
16,2026-07-15 19:47:35,604,605,9.9,6.6,21.8,24.1,604,0,1.0
17,2026-07-15 19:48:35,729,730,9.3,6.2,20.8,24.2,729,0,1.0
18,2026-07-15 19:49:35,760,761,8.5,5.9,16.9,23.8,760,0,1.0
19,2026-07-15 19:50:35,763,764,8.4,5.7,18.8,23.7,763,0,1.0
20,2026-07-15 19:51:35,735,736,8.3,5.8,17.0,23.8,735,0,1.0
21,2026-07-15 19:52:34,718,719,8.2,5.8,16.9,23.8,718,0,1.0
22,2026-07-15 19:53:34,623,624,8.6,6.0,17.1,23.2,623,0,1.0
23,2026-07-15 19:54:34,559,560,8.6,5.9,18.3,23.8,559,0,1.0
24,2026-07-15 19:55:34,569,570,8.5,6.0,17.4,23.6,569,0,1.0
25,2026-07-15 19:56:34,640,641,8.7,5.9,19.3,23.5,640,0,1.0
26,2026-07-15 19:57:34,640,641,8.4,6.0,16.6,23.6,640,0,1.0
27,2026-07-15 19:58:34,688,689,8.9,6.2,20.0,23.9,688,0,1.0
28,2026-07-15 19:59:34,545,546,9.2,6.3,20.4,23.6,545,0,1.0
29,2026-07-15 20:00:34,550,551,9.6,6.3,21.3,23.9,550,0,1.0
30,2026-07-15 20:01:34,643,644,9.0,6.1,21.0,23.7,643,0,1.0
31,2026-07-15 20:02:34,592,593,8.1,5.5,18.1,24.1,592,0,1.0
32,2026-07-15 20:03:33,443,444,7.0,5.4,13.6,22.0,443,0,1.0
33,2026-07-15 20:04:33,442,443,6.8,5.3,12.5,21.2,442,0,1.0
34,2026-07-15 20:05:33,401,402,6.3,5.3,6.8,21.1,401,0,1.0
35,2026-07-15 20:06:33,378,379,5.8,5.3,5.8,17.4,378,0,1.0
36,2026-07-15 20:07:33,296,297,6.5,5.3,9.7,21.5,296,0,1.0
37,2026-07-15 20:08:33,381,382,6.4,5.3,6.8,21.2,381,0,1.0
38,2026-07-15 20:09:33,340,341,6.9,5.4,13.1,21.4,340,0,1.0
39,2026-07-15 20:10:32,358,359,6.5,5.3,8.8,21.5,358,0,1.0
40,2026-07-15 20:11:32,451,452,6.2,5.3,6.7,21.0,451,0,1.0
41,2026-07-15 20:12:32,623,624,6.0,5.3,5.9,20.5,623,0,1.0
42,2026-07-15 20:13:32,518,519,6.3,5.3,6.8,20.9,518,0,1.0
43,2026-07-15 20:14:32,548,549,6.2,5.3,6.4,21.3,548,0,1.0
44,2026-07-15 20:15:32,499,500,6.1,5.3,6.6,21.4,499,0,1.0
45,2026-07-15 20:16:32,517,518,6.1,5.3,7.1,20.2,517,0,1.0
46,2026-07-15 20:17:32,471,472,6.0,5.3,6.1,20.9,471,0,1.0
47,2026-07-15 20:18:32,503,504,6.0,5.3,5.8,21.1,503,0,1.0
48,2026-07-15 20:19:31,605,606,5.7,5.2,5.7,17.4,605,0,1.0
49,2026-07-15 20:20:31,621,622,6.1,5.3,6.1,21.0,621,0,1.0
50,2026-07-15 20:21:31,646,647,6.2,5.3,6.7,21.1,646,0,1.0
