step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-17 09:43:09,1,3,66,33,960,5.5,1.0,1,1,gpt-oss-120b,history_5,612,862.9,CPU-intensive
1,2026-07-17 09:44:41,1,1,58,12,1022,5.2,1.0,1,0,gpt-oss-120b,history_5,535,373.7,CPU-intensive
2,2026-07-17 09:45:42,2,1,65,12,1122,5.3,1.0,2,1,gpt-oss-120b,history_5,601,383.0,CPU-intensive
3,2026-07-17 09:46:42,1,2,66,23,1096,5.4,1.0,1,1,gpt-oss-120b,history_5,635,548.6,CPU-intensive
4,2026-07-17 09:47:43,1,1,52,11,905,6.4,1.0,1,0,gpt-oss-120b,history_5,570,410.3,CPU-intensive
5,2026-07-17 09:48:44,1,1,41,11,703,5.4,1.0,1,0,gpt-oss-120b,history_5,566,344.6,CPU-intensive
6,2026-07-17 09:49:45,1,1,34,11,572,5.8,1.0,1,0,gpt-oss-120b,history_5,532,285.0,CPU-intensive
7,2026-07-17 09:50:45,1,1,28,11,486,5.9,1.0,1,0,gpt-oss-120b,history_5,536,565.7,CPU-intensive
8,2026-07-17 09:51:46,1,1,27,12,458,5.4,1.0,1,0,gpt-oss-120b,history_5,589,339.2,CPU-intensive
9,2026-07-17 09:52:47,1,1,28,11,488,5.3,1.0,1,0,gpt-oss-120b,history_5,527,342.8,CPU-intensive
10,2026-07-17 09:53:48,1,1,30,11,515,5.3,1.0,1,0,gpt-oss-120b,history_5,540,445.1,CPU-intensive
11,2026-07-17 09:54:48,1,1,34,11,592,5.3,1.0,1,0,gpt-oss-120b,history_5,514,1432.3,CPU-intensive
12,2026-07-17 09:55:50,2,1,46,12,786,5.4,1.0,2,1,gpt-oss-120b,history_5,621,711.1,CPU-intensive
13,2026-07-17 09:56:51,2,2,62,22,1041,6.3,1.0,2,0,gpt-oss-120b,history_5,659,396.1,CPU-intensive
14,2026-07-17 09:57:52,3,2,71,22,1258,5.2,1.0,3,1,gpt-oss-120b,history_5,600,311.3,CPU-intensive
15,2026-07-17 09:58:53,3,3,79,33,1359,5.4,1.0,3,0,gpt-oss-120b,history_5,664,356.1,CPU-intensive
16,2026-07-17 09:59:53,4,3,82,33,1406,5.3,1.0,4,1,gpt-oss-120b,history_5,626,700.5,CPU-intensive
17,2026-07-17 10:00:55,4,4,77,46,1405,5.3,1.0,4,0,gpt-oss-120b,history_5,721,418.4,CPU-intensive
18,2026-07-17 10:01:55,1,4,82,44,1396,5.5,1.0,1,1,gpt-oss-120b,history_5,718,608.3,CPU-intensive
19,2026-07-17 10:02:56,1,1,74,12,1411,5.3,1.0,1,0,gpt-oss-120b,history_5,591,550.6,CPU-intensive
20,2026-07-17 10:03:57,1,1,78,12,1437,5.5,1.0,1,0,gpt-oss-120b,history_5,589,322.9,CPU-intensive
21,2026-07-17 10:04:58,1,1,79,11,1392,5.3,1.0,1,0,gpt-oss-120b,history_5,554,357.5,CPU-intensive
22,2026-07-17 10:05:58,1,1,70,11,1242,6.3,1.0,1,0,gpt-oss-120b,history_5,667,475.8,CPU-intensive
23,2026-07-17 10:06:59,1,1,61,12,1054,5.5,1.0,1,0,gpt-oss-120b,history_5,633,1260.2,CPU-intensive
24,2026-07-17 10:08:01,1,1,55,11,968,5.3,1.0,1,0,gpt-oss-120b,history_5,548,329.1,CPU-intensive
25,2026-07-17 10:09:01,1,1,56,12,1008,5.3,1.0,1,0,gpt-oss-120b,history_5,512,647.1,CPU-intensive
26,2026-07-17 10:10:02,1,1,64,12,1107,5.6,1.0,1,0,gpt-oss-120b,history_5,545,326.5,CPU-intensive
