step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-17 07:40:02,1,3,6,55,960,5.4,1.0,1,1,gpt-oss-120b,zero_shot,658,7818.2,CPU-intensive
1,2026-07-17 07:41:10,1,1,24,12,1022,5.8,1.0,1,0,gpt-oss-120b,zero_shot,367,3575.0,CPU-intensive
2,2026-07-17 07:42:14,1,1,26,12,1122,5.4,1.0,1,0,gpt-oss-120b,zero_shot,398,526.7,CPU-intensive
3,2026-07-17 07:43:45,1,1,21,11,1096,5.2,1.0,1,0,gpt-oss-120b,zero_shot,504,529.6,CPU-intensive
4,2026-07-17 07:44:45,1,1,16,11,905,5.3,1.0,1,0,gpt-oss-120b,zero_shot,383,282.4,CPU-intensive
5,2026-07-17 07:45:46,1,1,13,12,703,5.3,1.0,1,0,gpt-oss-120b,zero_shot,432,316.8,CPU-intensive
6,2026-07-17 07:46:47,14,1,10,11,572,5.4,1.0,14,1,gpt-oss-120b,zero_shot,711,608.9,CPU-intensive
7,2026-07-17 07:47:48,3,14,15,154,486,5.4,1.0,3,1,gpt-oss-120b,zero_shot,552,435.5,CPU-intensive
8,2026-07-17 07:48:48,1,3,10,34,458,5.2,1.0,1,1,gpt-oss-120b,zero_shot,411,325.9,CPU-intensive
9,2026-07-17 07:49:49,1,1,8,11,488,5.3,1.0,1,0,gpt-oss-120b,zero_shot,360,8222.4,CPU-intensive
10,2026-07-17 07:50:58,1,1,9,12,515,5.2,1.0,1,0,gpt-oss-120b,zero_shot,462,334.7,CPU-intensive
11,2026-07-17 07:51:58,1,1,12,11,592,5.1,1.0,1,0,gpt-oss-120b,zero_shot,582,451.1,CPU-intensive
12,2026-07-17 07:52:59,1,1,16,11,786,5.6,1.0,1,0,gpt-oss-120b,zero_shot,493,516.1,CPU-intensive
13,2026-07-17 07:54:00,1,1,23,11,1041,5.4,1.0,1,0,gpt-oss-120b,zero_shot,394,1137.2,CPU-intensive
14,2026-07-17 07:55:01,1,1,26,11,1258,5.2,1.0,1,0,gpt-oss-120b,zero_shot,363,2082.5,CPU-intensive
15,2026-07-17 07:56:03,1,1,26,11,1359,5.4,1.0,1,0,gpt-oss-120b,zero_shot,335,258.4,CPU-intensive
16,2026-07-17 07:57:04,1,1,27,12,1406,5.3,1.0,1,0,gpt-oss-120b,zero_shot,380,299.8,CPU-intensive
17,2026-07-17 07:58:05,1,1,30,11,1405,5.4,1.0,1,0,gpt-oss-120b,zero_shot,477,348.1,CPU-intensive
18,2026-07-17 07:59:05,1,1,31,12,1396,5.2,1.0,1,0,gpt-oss-120b,zero_shot,490,404.8,CPU-intensive
19,2026-07-17 08:00:06,1,1,36,11,1411,5.7,1.0,1,0,gpt-oss-120b,zero_shot,418,319.2,CPU-intensive
20,2026-07-17 08:01:06,1,1,38,12,1437,5.4,1.0,1,0,gpt-oss-120b,zero_shot,550,381.4,CPU-intensive
21,2026-07-17 08:02:07,1,1,39,12,1392,5.4,1.0,1,0,gpt-oss-120b,zero_shot,338,263.0,CPU-intensive
22,2026-07-17 08:03:08,1,1,35,12,1242,5.3,1.0,1,0,gpt-oss-120b,zero_shot,327,513.8,CPU-intensive
23,2026-07-17 08:04:08,1,1,29,11,1054,5.2,1.0,1,0,gpt-oss-120b,zero_shot,481,339.3,CPU-intensive
24,2026-07-17 08:05:09,1,1,25,11,968,5.5,1.0,1,0,gpt-oss-120b,zero_shot,416,308.7,CPU-intensive
25,2026-07-17 08:06:10,1,1,24,11,1008,5.2,1.0,1,0,gpt-oss-120b,zero_shot,361,274.7,CPU-intensive
26,2026-07-17 08:07:10,1,1,22,11,1107,5.2,1.0,1,0,gpt-oss-120b,zero_shot,420,340.7,CPU-intensive
27,2026-07-17 08:08:11,1,1,19,11,1108,5.3,1.0,1,0,gpt-oss-120b,zero_shot,432,410.3,CPU-intensive
28,2026-07-17 08:09:12,1,1,17,11,998,6.8,1.0,1,0,gpt-oss-120b,zero_shot,359,266.6,CPU-intensive
29,2026-07-17 08:10:12,1,1,12,11,817,5.1,1.0,1,0,gpt-oss-120b,zero_shot,438,349.0,CPU-intensive
30,2026-07-17 08:11:13,1,1,10,11,655,5.4,1.0,1,0,gpt-oss-120b,zero_shot,476,362.0,CPU-intensive
31,2026-07-17 08:12:13,1,1,9,11,560,5.3,1.0,1,0,gpt-oss-120b,zero_shot,433,353.8,CPU-intensive
32,2026-07-17 08:13:14,1,1,9,12,517,5.3,1.0,1,0,gpt-oss-120b,zero_shot,417,539.1,CPU-intensive
33,2026-07-17 08:14:15,1,1,9,11,533,5.4,1.0,1,0,gpt-oss-120b,zero_shot,385,525.9,CPU-intensive
34,2026-07-17 08:15:16,1,1,9,11,548,5.3,1.0,1,0,gpt-oss-120b,zero_shot,369,521.7,CPU-intensive
35,2026-07-17 08:16:17,1,1,13,11,596,5.3,1.0,1,0,gpt-oss-120b,zero_shot,391,564.9,CPU-intensive
36,2026-07-17 08:17:17,1,1,19,11,768,5.3,1.0,1,0,gpt-oss-120b,zero_shot,397,657.4,CPU-intensive
37,2026-07-17 08:18:18,1,1,23,11,1035,5.2,1.0,1,0,gpt-oss-120b,zero_shot,460,1036.0,CPU-intensive
38,2026-07-17 08:19:20,1,1,26,11,1295,5.4,1.0,1,0,gpt-oss-120b,zero_shot,390,591.6,CPU-intensive
39,2026-07-17 08:20:20,1,1,25,11,1435,5.3,1.0,1,0,gpt-oss-120b,zero_shot,405,679.6,CPU-intensive
40,2026-07-17 08:21:21,1,1,27,11,1538,5.4,1.0,1,0,gpt-oss-120b,zero_shot,433,663.7,CPU-intensive
41,2026-07-17 08:22:22,1,1,29,12,1547,5.3,1.0,1,0,gpt-oss-120b,zero_shot,514,826.0,CPU-intensive
42,2026-07-17 08:23:23,1,1,32,12,1562,5.3,1.0,1,0,gpt-oss-120b,zero_shot,523,861.8,CPU-intensive
43,2026-07-17 08:24:25,1,1,34,11,1588,5.3,1.0,1,0,gpt-oss-120b,zero_shot,463,686.2,CPU-intensive
44,2026-07-17 08:25:25,1,1,42,12,1649,5.2,1.0,1,0,gpt-oss-120b,zero_shot,454,527.9,CPU-intensive
45,2026-07-17 08:26:26,1,1,39,11,1697,5.8,1.0,1,0,gpt-oss-120b,zero_shot,396,580.9,CPU-intensive
46,2026-07-17 08:27:27,1,1,31,12,1578,5.6,1.0,1,0,gpt-oss-120b,zero_shot,379,390.1,CPU-intensive
47,2026-07-17 08:28:28,1,1,31,11,1340,5.3,1.0,1,0,gpt-oss-120b,zero_shot,418,639.3,CPU-intensive
48,2026-07-17 08:29:29,1,1,28,12,1242,5.2,1.0,1,0,gpt-oss-120b,zero_shot,430,651.6,CPU-intensive
