step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-17 02:25:44,14,3,183,37,960,222.4,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
1,2026-07-17 02:26:45,14,14,572,157,1022,39.7,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
2,2026-07-17 02:27:46,14,14,669,157,1122,79.2,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
3,2026-07-17 02:28:46,14,14,652,157,1096,118.6,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
4,2026-07-17 02:29:47,14,14,646,157,905,39.0,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
5,2026-07-17 02:30:48,14,14,625,157,703,135.9,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
6,2026-07-17 02:31:48,12,14,518,157,572,80.4,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
7,2026-07-17 02:32:49,10,12,466,135,486,68.5,1.0,10,1,keda,baseline,0,0.0,CPU-intensive
8,2026-07-17 02:33:50,10,10,439,113,458,42.3,1.0,10,0,keda,baseline,0,0.0,CPU-intensive
9,2026-07-17 02:34:50,10,10,412,113,488,83.0,1.0,10,0,keda,baseline,0,0.0,CPU-intensive
10,2026-07-17 02:35:51,11,10,435,113,515,111.0,1.0,11,1,keda,baseline,0,0.0,CPU-intensive
11,2026-07-17 02:36:52,12,11,454,124,592,43.9,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
12,2026-07-17 02:37:53,14,12,516,135,786,77.7,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
13,2026-07-17 02:38:53,14,14,549,157,1041,65.1,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
14,2026-07-17 02:39:54,14,14,660,157,1258,89.1,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
15,2026-07-17 02:40:55,14,14,703,157,1359,175.9,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
16,2026-07-17 02:41:55,14,14,778,157,1406,51.8,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
17,2026-07-17 02:42:56,14,14,756,157,1405,42.1,1.0,14,0,keda,baseline,0,0.0,CPU-intensive
