step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-17 04:09:52,3,3,3,33,960,5.2,1.0,3,0,llama-70b,history_5,212,23817.8,CPU-intensive
1,2026-07-17 04:11:57,4,3,27,33,1022,5.5,1.0,4,1,llama-70b,history_5,246,27430.8,CPU-intensive
2,2026-07-17 04:14:05,5,4,23,44,1122,5.2,1.0,5,1,llama-70b,history_5,280,10595.7,CPU-intensive
3,2026-07-17 04:15:16,5,5,18,55,1096,5.3,1.0,5,0,llama-70b,history_5,314,18634.3,CPU-intensive
4,2026-07-17 04:16:34,5,5,13,55,905,5.3,1.0,5,0,llama-70b,history_5,347,8563.4,CPU-intensive
5,2026-07-17 04:17:43,5,5,12,55,703,5.4,1.0,5,0,llama-70b,history_5,380,20796.6,CPU-intensive
6,2026-07-17 04:19:45,5,5,10,55,572,5.3,1.0,5,0,llama-70b,history_5,380,7851.2,CPU-intensive
7,2026-07-17 04:20:53,5,5,11,55,486,5.3,1.0,5,0,llama-70b,history_5,379,28630.1,CPU-intensive
8,2026-07-17 04:23:02,5,5,18,55,458,5.3,1.0,5,0,llama-70b,history_5,378,6303.7,CPU-intensive
9,2026-07-17 04:24:48,5,5,26,55,488,5.3,1.0,5,0,llama-70b,history_5,377,8035.1,CPU-intensive
10,2026-07-17 04:26:36,5,5,85,55,515,5.3,1.0,5,0,llama-70b,history_5,377,28054.7,CPU-intensive
11,2026-07-17 04:30:18,5,5,30,55,592,5.5,1.0,5,0,llama-70b,history_5,377,15713.5,CPU-intensive
12,2026-07-17 04:32:01,10,5,28,56,786,5.5,1.0,10,1,llama-70b,history_5,377,13757.9,CPU-intensive
13,2026-07-17 04:33:56,10,10,35,110,1041,5.3,1.0,10,0,llama-70b,history_5,378,8687.5,CPU-intensive
14,2026-07-17 04:39:35,14,10,27,110,1258,5.3,1.0,14,1,llama-70b,history_5,379,11213.8,CPU-intensive
15,2026-07-17 04:40:46,14,14,26,154,1359,5.3,1.0,14,0,llama-70b,history_5,380,11330.6,CPU-intensive
16,2026-07-17 04:41:58,8,14,19,154,1406,5.3,1.0,8,1,llama-70b,history_5,381,10650.2,CPU-intensive
17,2026-07-17 04:43:49,14,8,15,88,1405,5.2,1.0,14,1,llama-70b,history_5,382,13671.7,CPU-intensive
18,2026-07-17 04:45:03,8,14,23,154,1396,5.4,1.0,8,1,llama-70b,history_5,383,5169.8,CPU-intensive
19,2026-07-17 04:46:09,14,8,17,88,1411,5.5,1.0,14,1,llama-70b,history_5,383,10115.8,CPU-intensive
20,2026-07-17 04:47:19,8,14,28,154,1437,5.3,1.0,8,1,llama-70b,history_5,383,7526.5,CPU-intensive
21,2026-07-17 04:48:27,8,8,28,88,1392,8.0,1.0,8,0,llama-70b,history_5,383,5931.7,CPU-intensive
22,2026-07-17 04:51:24,8,8,36,88,1242,6.0,1.0,8,0,llama-70b,history_5,383,8797.6,CPU-intensive
23,2026-07-17 04:52:33,8,8,35,88,1054,5.2,1.0,8,0,llama-70b,history_5,383,28551.0,CPU-intensive
24,2026-07-17 04:54:01,8,8,36,88,968,5.6,1.0,8,0,llama-70b,history_5,382,6823.3,CPU-intensive
25,2026-07-17 04:55:09,8,8,38,89,1008,5.3,1.0,8,0,llama-70b,history_5,382,1799.7,CPU-intensive
26,2026-07-17 04:56:11,8,8,36,89,1107,5.7,1.0,8,0,llama-70b,history_5,382,13874.4,CPU-intensive
27,2026-07-17 04:58:05,8,8,36,88,1108,5.3,1.0,8,0,llama-70b,history_5,382,3558.7,CPU-intensive
28,2026-07-17 04:59:09,8,8,39,88,998,5.3,1.0,8,0,llama-70b,history_5,381,25956.4,CPU-intensive
29,2026-07-17 05:00:35,8,8,44,88,817,6.6,1.0,8,0,llama-70b,history_5,380,23229.8,CPU-intensive
30,2026-07-17 05:01:58,8,8,40,88,655,5.3,1.0,8,0,llama-70b,history_5,380,19581.5,CPU-intensive
31,2026-07-17 05:04:48,4,8,23,89,560,5.2,1.0,4,1,llama-70b,history_5,379,9915.8,CPU-intensive
32,2026-07-17 05:05:59,4,4,13,44,517,5.4,1.0,4,0,llama-70b,history_5,378,12772.4,CPU-intensive
33,2026-07-17 05:07:12,4,4,12,44,533,5.3,1.0,4,0,llama-70b,history_5,377,11268.6,CPU-intensive
34,2026-07-17 05:08:23,4,4,16,44,548,5.3,1.0,4,0,llama-70b,history_5,377,12105.7,CPU-intensive
35,2026-07-17 05:09:36,4,4,13,44,596,5.3,1.0,4,0,llama-70b,history_5,377,7319.9,CPU-intensive
36,2026-07-17 05:10:43,8,4,16,44,768,5.5,1.0,8,1,llama-70b,history_5,377,6140.8,CPU-intensive
37,2026-07-17 05:11:50,12,8,25,88,1035,5.3,1.0,12,1,llama-70b,history_5,378,2058.4,CPU-intensive
