step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 20:26:42,3,3,27,33,960,5.3,1.0,3,0,llama-70b,zero_shot,204,7574.9,CPU-intensive
1,2026-07-15 20:27:50,3,3,22,33,1022,5.6,1.0,3,0,llama-70b,zero_shot,205,5058.1,CPU-intensive
2,2026-07-15 20:28:55,3,3,23,33,1122,5.4,1.0,3,0,llama-70b,zero_shot,205,18629.8,CPU-intensive
3,2026-07-15 20:30:14,3,3,25,33,1096,5.5,1.0,3,0,llama-70b,zero_shot,205,318573.8,CPU-intensive
4,2026-07-15 20:36:33,3,3,12,33,905,5.5,1.0,3,0,llama-70b,zero_shot,204,15047.2,CPU-intensive
5,2026-07-15 20:37:48,3,3,14,33,703,5.4,1.0,3,0,llama-70b,zero_shot,204,9438.7,CPU-intensive
6,2026-07-15 20:38:58,3,3,17,33,572,5.5,1.0,3,0,llama-70b,zero_shot,204,19804.1,CPU-intensive
7,2026-07-15 20:40:18,3,3,21,33,486,5.3,1.0,3,0,llama-70b,zero_shot,204,20841.7,CPU-intensive
8,2026-07-15 20:41:39,3,3,28,33,458,5.4,1.0,3,0,llama-70b,zero_shot,204,39990.7,CPU-intensive
9,2026-07-15 20:43:19,3,3,32,33,488,5.4,1.0,3,0,llama-70b,zero_shot,204,8474.5,CPU-intensive
10,2026-07-15 20:44:28,3,3,33,33,515,5.5,1.0,3,0,llama-70b,zero_shot,204,4819.6,CPU-intensive
11,2026-07-15 20:45:33,3,3,33,33,592,5.8,1.0,3,0,llama-70b,zero_shot,204,13040.7,CPU-intensive
12,2026-07-15 20:46:47,3,3,37,33,786,5.5,1.0,3,0,llama-70b,zero_shot,204,4089.9,CPU-intensive
13,2026-07-15 20:47:51,3,3,57,33,1041,5.4,1.0,3,0,llama-70b,zero_shot,205,12686.4,CPU-intensive
14,2026-07-15 20:49:04,3,3,50,33,1258,5.4,1.0,3,0,llama-70b,zero_shot,205,1274.0,CPU-intensive
15,2026-07-15 20:50:06,3,3,41,33,1359,5.5,1.0,3,0,llama-70b,zero_shot,205,1583.5,CPU-intensive
16,2026-07-15 20:51:07,3,3,32,33,1406,5.3,1.0,3,0,llama-70b,zero_shot,205,6341.2,CPU-intensive
17,2026-07-15 20:52:14,3,3,35,33,1405,5.5,1.0,3,0,llama-70b,zero_shot,205,4958.5,CPU-intensive
18,2026-07-15 20:53:19,3,3,43,33,1396,6.1,1.0,3,0,llama-70b,zero_shot,205,4222.2,CPU-intensive
19,2026-07-15 20:54:24,3,3,46,33,1411,5.5,1.0,3,0,llama-70b,zero_shot,205,4071.0,CPU-intensive
20,2026-07-15 20:55:28,3,3,42,33,1437,5.3,1.0,3,0,llama-70b,zero_shot,205,6346.9,CPU-intensive
21,2026-07-15 20:56:35,3,3,35,33,1392,5.6,1.0,3,0,llama-70b,zero_shot,205,9332.9,CPU-intensive
22,2026-07-15 20:57:44,3,3,28,33,1242,5.4,1.0,3,0,llama-70b,zero_shot,205,8817.8,CPU-intensive
23,2026-07-15 20:58:54,3,3,21,33,1054,5.5,1.0,3,0,llama-70b,zero_shot,205,4873.6,CPU-intensive
24,2026-07-15 20:59:59,3,3,19,33,968,5.4,1.0,3,0,llama-70b,zero_shot,204,1380.9,CPU-intensive
25,2026-07-15 21:01:00,3,3,20,33,1008,5.6,1.0,3,0,llama-70b,zero_shot,205,18919.6,CPU-intensive
26,2026-07-17 01:53:38,3,3,1,11,1107,8.8,1.0,3,0,llama-70b,zero_shot,205,1579.4,CPU-intensive
27,2026-07-17 01:54:51,3,3,23,34,1108,5.3,1.0,3,0,llama-70b,zero_shot,205,7880.5,CPU-intensive
28,2026-07-17 01:55:59,3,3,56,33,998,5.4,1.0,3,0,llama-70b,zero_shot,204,4732.8,CPU-intensive
29,2026-07-17 01:57:04,3,3,51,33,817,7.4,1.0,3,0,llama-70b,zero_shot,204,5430.0,CPU-intensive
30,2026-07-17 01:59:12,3,3,16,33,655,6.0,1.0,3,0,llama-70b,zero_shot,204,12097.6,CPU-intensive
31,2026-07-17 02:00:24,3,3,29,33,560,6.8,1.0,3,0,llama-70b,zero_shot,204,14904.7,CPU-intensive
32,2026-07-17 02:02:20,3,3,11,33,517,5.3,1.0,3,0,llama-70b,zero_shot,204,14162.2,CPU-intensive
33,2026-07-17 02:03:34,3,3,27,33,533,6.3,1.0,3,0,llama-70b,zero_shot,204,5319.4,CPU-intensive
34,2026-07-17 02:04:40,3,3,28,34,548,6.3,1.0,3,0,llama-70b,zero_shot,204,3221.8,CPU-intensive
35,2026-07-17 02:05:43,3,3,18,33,596,5.7,1.0,3,0,llama-70b,zero_shot,204,4718.4,CPU-intensive
36,2026-07-17 02:06:48,3,3,41,33,768,8.5,1.0,3,0,llama-70b,zero_shot,204,11538.4,CPU-intensive
37,2026-07-17 02:08:40,3,3,59,33,1035,6.5,1.0,3,0,llama-70b,zero_shot,205,5705.0,CPU-intensive
38,2026-07-17 02:09:46,3,3,67,33,1295,5.2,1.0,3,0,llama-70b,zero_shot,205,8932.2,CPU-intensive
39,2026-07-17 02:10:55,3,3,37,33,1435,5.8,1.0,3,0,llama-70b,zero_shot,205,25146.2,CPU-intensive
40,2026-07-17 02:13:01,3,3,33,34,1538,5.3,1.0,3,0,llama-70b,zero_shot,205,29808.8,CPU-intensive
41,2026-07-17 02:15:11,3,3,64,33,1547,5.3,1.0,3,0,llama-70b,zero_shot,205,4901.6,CPU-intensive
42,2026-07-17 02:16:16,3,3,36,34,1562,5.5,1.0,3,0,llama-70b,zero_shot,205,9940.2,CPU-intensive
43,2026-07-17 02:17:27,3,3,55,34,1588,5.4,1.0,3,0,llama-70b,zero_shot,205,13164.4,CPU-intensive
44,2026-07-17 02:20:48,3,3,65,33,1649,5.3,1.0,3,0,llama-70b,zero_shot,205,24085.8,CPU-intensive
45,2026-07-17 02:22:13,3,3,61,33,1697,6.2,1.0,3,0,llama-70b,zero_shot,205,9751.5,CPU-intensive
46,2026-07-17 02:23:23,3,3,49,33,1578,6.9,1.0,3,0,llama-70b,zero_shot,205,3674.5,CPU-intensive
47,2026-07-17 02:25:07,3,3,37,33,1340,5.2,1.0,3,0,llama-70b,zero_shot,205,2894.2,CPU-intensive
48,2026-07-17 02:26:50,3,3,12,33,1242,6.3,1.0,3,0,llama-70b,zero_shot,205,2052.1,CPU-intensive
49,2026-07-17 02:27:52,3,3,12,34,1264,5.3,1.0,3,0,llama-70b,zero_shot,205,24290.4,CPU-intensive
50,2026-07-17 02:29:17,3,3,14,33,1372,5.3,1.0,3,0,llama-70b,zero_shot,205,10156.0,CPU-intensive
51,2026-07-17 02:30:27,3,3,17,33,1378,5.4,1.0,3,0,llama-70b,zero_shot,205,8052.8,CPU-intensive
52,2026-07-17 02:32:16,3,3,33,33,1223,5.4,1.0,3,0,llama-70b,zero_shot,205,10528.1,CPU-intensive
53,2026-07-17 02:33:27,3,3,40,34,1002,5.2,1.0,3,0,llama-70b,zero_shot,205,6069.6,CPU-intensive
54,2026-07-17 02:34:33,3,3,45,33,802,5.8,1.0,3,0,llama-70b,zero_shot,204,13563.5,CPU-intensive
55,2026-07-17 02:35:47,3,3,46,33,688,5.2,1.0,3,0,llama-70b,zero_shot,204,2903.4,CPU-intensive
56,2026-07-17 02:37:30,3,3,40,34,653,5.3,1.0,3,0,llama-70b,zero_shot,204,3039.5,CPU-intensive
57,2026-07-17 02:38:33,3,3,35,33,669,5.3,1.0,3,0,llama-70b,zero_shot,204,7801.4,CPU-intensive
58,2026-07-17 02:39:41,3,3,34,33,650,5.5,1.0,3,0,llama-70b,zero_shot,204,8224.3,CPU-intensive
59,2026-07-17 02:40:50,3,3,29,33,678,5.3,1.0,3,0,llama-70b,zero_shot,204,24056.5,CPU-intensive
60,2026-07-17 02:42:14,3,3,21,33,853,5.3,1.0,3,0,llama-70b,zero_shot,204,6159.5,CPU-intensive
61,2026-07-17 02:46:01,3,3,22,33,1133,5.3,1.0,3,0,llama-70b,zero_shot,205,20644.3,CPU-intensive
62,2026-07-17 02:47:38,3,3,18,33,1404,6.3,1.0,3,0,llama-70b,zero_shot,205,10342.1,CPU-intensive
63,2026-07-17 02:49:08,3,3,14,33,1555,5.3,1.0,3,0,llama-70b,zero_shot,205,9225.6,CPU-intensive
64,2026-07-17 02:50:18,3,3,13,33,1670,5.3,1.0,3,0,llama-70b,zero_shot,205,23334.1,CPU-intensive
65,2026-07-17 02:51:41,3,3,16,33,1691,5.4,1.0,3,0,llama-70b,zero_shot,205,12705.4,CPU-intensive
66,2026-07-17 02:52:54,3,3,15,33,1666,5.3,1.0,3,0,llama-70b,zero_shot,205,9776.8,CPU-intensive
67,2026-07-17 02:54:04,3,3,18,33,1719,5.3,1.0,3,0,llama-70b,zero_shot,205,10511.6,CPU-intensive
68,2026-07-17 02:55:15,3,3,24,33,1737,5.2,1.0,3,0,llama-70b,zero_shot,205,8989.2,CPU-intensive
69,2026-07-17 02:56:24,3,3,35,33,1731,5.4,1.0,3,0,llama-70b,zero_shot,205,27541.3,CPU-intensive
70,2026-07-17 02:57:52,3,3,45,33,1553,5.4,1.0,3,0,llama-70b,zero_shot,205,17974.6,CPU-intensive
71,2026-07-17 02:59:10,3,3,46,33,1325,5.3,1.0,3,0,llama-70b,zero_shot,205,2156.6,CPU-intensive
72,2026-07-17 03:00:13,3,3,47,34,1078,5.3,1.0,3,0,llama-70b,zero_shot,205,10584.7,CPU-intensive
73,2026-07-17 03:01:23,3,3,47,33,1374,5.3,1.0,3,0,llama-70b,zero_shot,205,14751.6,CPU-intensive
74,2026-07-17 03:03:56,3,3,33,33,1480,5.3,1.0,3,0,llama-70b,zero_shot,205,24071.9,CPU-intensive
