step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 21:05:51,3,3,3,33,960,7.6,1.0,3,0,mistral-small4,zero_shot,198,823.7,CPU-intensive
1,2026-07-15 21:06:52,3,3,19,33,1022,5.4,1.0,3,0,mistral-small4,zero_shot,199,956.6,CPU-intensive
2,2026-07-15 21:07:53,3,3,18,33,1122,5.3,1.0,3,0,mistral-small4,zero_shot,199,728.1,CPU-intensive
3,2026-07-15 21:08:54,3,3,20,33,1096,5.4,1.0,3,0,mistral-small4,zero_shot,199,681.3,CPU-intensive
4,2026-07-15 21:09:55,3,3,19,33,905,5.4,1.0,3,0,mistral-small4,zero_shot,198,451.2,CPU-intensive
5,2026-07-15 21:10:56,3,3,17,33,703,5.5,1.0,3,0,mistral-small4,zero_shot,198,583.1,CPU-intensive
6,2026-07-15 21:11:56,3,3,19,33,572,5.4,1.0,3,0,mistral-small4,zero_shot,198,489.0,CPU-intensive
7,2026-07-15 21:12:57,3,3,12,33,486,5.4,1.0,3,0,mistral-small4,zero_shot,198,610.4,CPU-intensive
8,2026-07-15 21:13:58,3,3,11,33,458,5.3,1.0,3,0,mistral-small4,zero_shot,198,487.1,CPU-intensive
9,2026-07-15 21:14:59,3,3,12,34,488,5.4,1.0,3,0,mistral-small4,zero_shot,198,573.7,CPU-intensive
10,2026-07-15 21:16:00,3,3,12,33,515,5.3,1.0,3,0,mistral-small4,zero_shot,198,709.5,CPU-intensive
11,2026-07-15 21:17:01,3,3,15,33,592,5.4,1.0,3,0,mistral-small4,zero_shot,198,791.1,CPU-intensive
12,2026-07-15 21:18:02,3,3,14,33,786,5.4,1.0,3,0,mistral-small4,zero_shot,198,1584.0,CPU-intensive
13,2026-07-15 21:19:04,3,3,19,33,1041,5.4,1.0,3,0,mistral-small4,zero_shot,199,455.5,CPU-intensive
14,2026-07-15 21:20:04,3,3,23,33,1258,5.4,1.0,3,0,mistral-small4,zero_shot,199,499.9,CPU-intensive
15,2026-07-15 21:21:05,3,3,26,33,1359,5.4,1.0,3,0,mistral-small4,zero_shot,199,991.6,CPU-intensive
16,2026-07-15 21:22:06,3,3,25,33,1406,5.5,1.0,3,0,mistral-small4,zero_shot,199,477.5,CPU-intensive
17,2026-07-15 21:23:07,3,3,24,33,1405,5.9,1.0,3,0,mistral-small4,zero_shot,199,556.0,CPU-intensive
18,2026-07-15 21:24:08,3,3,27,33,1396,6.4,1.0,3,0,mistral-small4,zero_shot,199,501.7,CPU-intensive
19,2026-07-15 21:25:09,3,3,24,33,1411,5.6,1.0,3,0,mistral-small4,zero_shot,199,587.4,CPU-intensive
20,2026-07-15 21:26:10,3,3,26,33,1437,5.3,1.0,3,0,mistral-small4,zero_shot,199,487.9,CPU-intensive
21,2026-07-15 21:27:10,3,3,26,33,1392,5.4,1.0,3,0,mistral-small4,zero_shot,199,462.8,CPU-intensive
22,2026-07-15 21:28:11,3,3,24,33,1242,5.4,1.0,3,0,mistral-small4,zero_shot,199,498.5,CPU-intensive
23,2026-07-15 21:29:12,3,3,20,33,1054,5.3,1.0,3,0,mistral-small4,zero_shot,199,609.4,CPU-intensive
24,2026-07-15 21:30:13,3,3,19,34,968,5.8,1.0,3,0,mistral-small4,zero_shot,198,637.9,CPU-intensive
25,2026-07-15 21:31:14,3,3,23,33,1008,5.4,1.0,3,0,mistral-small4,zero_shot,199,534.6,CPU-intensive
26,2026-07-15 21:32:15,3,3,23,34,1107,5.3,1.0,3,0,mistral-small4,zero_shot,199,439.4,CPU-intensive
27,2026-07-15 21:33:15,3,3,20,33,1108,5.3,1.0,3,0,mistral-small4,zero_shot,199,551.5,CPU-intensive
28,2026-07-15 21:34:16,3,3,18,33,998,5.4,1.0,3,0,mistral-small4,zero_shot,198,452.9,CPU-intensive
29,2026-07-15 21:35:17,3,3,20,33,817,7.2,1.0,3,0,mistral-small4,zero_shot,198,437.0,CPU-intensive
30,2026-07-15 21:36:18,3,3,19,33,655,5.9,1.0,3,0,mistral-small4,zero_shot,198,499.2,CPU-intensive
31,2026-07-15 21:37:18,3,3,12,33,560,5.3,1.0,3,0,mistral-small4,zero_shot,198,467.1,CPU-intensive
32,2026-07-15 21:38:19,3,3,13,33,517,5.4,1.0,3,0,mistral-small4,zero_shot,198,1592.3,CPU-intensive
33,2026-07-15 21:39:21,3,3,19,33,533,5.3,1.0,3,0,mistral-small4,zero_shot,198,554.7,CPU-intensive
34,2026-07-15 21:40:22,3,3,16,33,548,5.5,1.0,3,0,mistral-small4,zero_shot,198,666.8,CPU-intensive
35,2026-07-15 21:41:23,3,3,14,33,596,5.4,1.0,3,0,mistral-small4,zero_shot,198,553.6,CPU-intensive
36,2026-07-15 21:42:24,3,3,17,33,768,5.4,1.0,3,0,mistral-small4,zero_shot,198,541.8,CPU-intensive
37,2026-07-15 21:43:24,3,3,24,33,1035,5.4,1.0,3,0,mistral-small4,zero_shot,199,593.7,CPU-intensive
38,2026-07-15 21:44:25,3,3,23,33,1295,5.3,1.0,3,0,mistral-small4,zero_shot,199,503.6,CPU-intensive
39,2026-07-15 21:45:26,3,3,26,33,1435,5.9,1.0,3,0,mistral-small4,zero_shot,199,625.4,CPU-intensive
40,2026-07-15 21:46:27,3,3,25,33,1538,5.4,1.0,3,0,mistral-small4,zero_shot,199,485.4,CPU-intensive
41,2026-07-15 21:47:28,3,3,25,33,1547,5.4,1.0,3,0,mistral-small4,zero_shot,199,461.4,CPU-intensive
42,2026-07-15 21:48:28,3,3,25,33,1562,6.4,1.0,3,0,mistral-small4,zero_shot,199,670.5,CPU-intensive
43,2026-07-15 21:49:29,3,3,25,33,1588,5.6,1.0,3,0,mistral-small4,zero_shot,199,432.1,CPU-intensive
44,2026-07-15 21:50:30,3,3,24,33,1649,5.4,1.0,3,0,mistral-small4,zero_shot,199,567.5,CPU-intensive
45,2026-07-15 21:51:31,3,3,28,33,1697,5.4,1.0,3,0,mistral-small4,zero_shot,199,513.0,CPU-intensive
46,2026-07-15 21:52:32,3,3,26,33,1578,6.5,1.0,3,0,mistral-small4,zero_shot,199,478.5,CPU-intensive
47,2026-07-15 21:53:32,3,3,21,33,1340,5.3,1.0,3,0,mistral-small4,zero_shot,199,487.0,CPU-intensive
48,2026-07-15 21:54:33,3,3,21,33,1242,6.4,1.0,3,0,mistral-small4,zero_shot,199,599.5,CPU-intensive
49,2026-07-15 21:55:34,3,3,24,33,1264,5.5,1.0,3,0,mistral-small4,zero_shot,199,484.3,CPU-intensive
50,2026-07-15 21:56:35,3,3,23,33,1372,5.6,1.0,3,0,mistral-small4,zero_shot,199,554.8,CPU-intensive
51,2026-07-15 21:57:36,3,3,25,33,1378,5.6,1.0,3,0,mistral-small4,zero_shot,199,547.2,CPU-intensive
52,2026-07-15 21:58:37,3,3,23,33,1223,5.7,1.0,3,0,mistral-small4,zero_shot,199,566.8,CPU-intensive
53,2026-07-15 21:59:37,3,3,18,33,1002,5.6,1.0,3,0,mistral-small4,zero_shot,199,414.3,CPU-intensive
54,2026-07-15 22:00:38,3,3,19,33,802,5.3,1.0,3,0,mistral-small4,zero_shot,198,503.2,CPU-intensive
55,2026-07-15 22:01:39,3,3,14,33,688,5.5,1.0,3,0,mistral-small4,zero_shot,198,471.2,CPU-intensive
56,2026-07-15 22:02:40,3,3,19,33,653,5.3,1.0,3,0,mistral-small4,zero_shot,198,715.7,CPU-intensive
57,2026-07-15 22:03:41,3,3,20,33,669,5.4,1.0,3,0,mistral-small4,zero_shot,198,1220.6,CPU-intensive
58,2026-07-15 22:04:42,3,3,14,33,650,5.2,1.0,3,0,mistral-small4,zero_shot,198,512.5,CPU-intensive
59,2026-07-15 22:05:43,3,3,18,33,678,5.3,1.0,3,0,mistral-small4,zero_shot,198,704.8,CPU-intensive
60,2026-07-15 22:06:44,3,3,18,33,853,5.3,1.0,3,0,mistral-small4,zero_shot,198,490.7,CPU-intensive
61,2026-07-15 22:07:45,3,3,24,33,1133,5.4,1.0,3,0,mistral-small4,zero_shot,199,534.9,CPU-intensive
62,2026-07-15 22:08:45,3,3,25,33,1404,6.3,1.0,3,0,mistral-small4,zero_shot,199,1231.9,CPU-intensive
63,2026-07-15 22:09:47,3,3,26,33,1555,5.3,1.0,3,0,mistral-small4,zero_shot,199,473.3,CPU-intensive
64,2026-07-15 22:10:48,3,3,25,33,1670,5.7,1.0,3,0,mistral-small4,zero_shot,199,529.0,CPU-intensive
65,2026-07-15 22:11:49,3,3,27,33,1691,6.5,1.0,3,0,mistral-small4,zero_shot,199,516.3,CPU-intensive
66,2026-07-15 22:12:49,3,3,26,33,1666,6.2,1.0,3,0,mistral-small4,zero_shot,199,556.9,CPU-intensive
67,2026-07-15 22:13:50,3,3,27,33,1719,5.7,1.0,3,0,mistral-small4,zero_shot,199,454.2,CPU-intensive
68,2026-07-15 22:14:51,3,3,27,33,1737,5.6,1.0,3,0,mistral-small4,zero_shot,199,470.0,CPU-intensive
69,2026-07-15 22:15:52,3,3,26,34,1731,5.3,1.0,3,0,mistral-small4,zero_shot,199,495.7,CPU-intensive
70,2026-07-15 22:16:52,3,3,26,33,1553,6.5,1.0,3,0,mistral-small4,zero_shot,199,485.1,CPU-intensive
71,2026-07-15 22:17:53,3,3,27,33,1325,5.5,1.0,3,0,mistral-small4,zero_shot,199,602.9,CPU-intensive
72,2026-07-15 22:18:54,3,3,23,33,1078,5.4,1.0,3,0,mistral-small4,zero_shot,199,563.9,CPU-intensive
73,2026-07-15 22:19:55,3,3,26,33,1374,5.3,1.0,3,0,mistral-small4,zero_shot,199,484.6,CPU-intensive
74,2026-07-15 22:20:56,3,3,24,33,1480,5.3,1.0,3,0,mistral-small4,zero_shot,199,1561.3,CPU-intensive
75,2026-07-15 22:21:58,3,3,25,33,1403,5.4,1.0,3,0,mistral-small4,zero_shot,199,481.3,CPU-intensive
76,2026-07-15 22:22:58,3,3,17,33,1167,5.4,1.0,3,0,mistral-small4,zero_shot,199,469.1,CPU-intensive
77,2026-07-15 22:23:59,3,3,16,33,910,5.3,1.0,3,0,mistral-small4,zero_shot,198,425.9,CPU-intensive
78,2026-07-15 22:25:00,3,3,13,33,721,5.5,1.0,3,0,mistral-small4,zero_shot,198,533.4,CPU-intensive
79,2026-07-15 22:26:01,3,3,16,33,623,5.3,1.0,3,0,mistral-small4,zero_shot,198,480.6,CPU-intensive
80,2026-07-15 22:27:01,3,3,18,33,555,5.4,1.0,3,0,mistral-small4,zero_shot,198,503.9,CPU-intensive
81,2026-07-15 22:28:02,3,3,15,33,574,5.3,1.0,3,0,mistral-small4,zero_shot,198,556.9,CPU-intensive
82,2026-07-15 22:29:03,3,3,20,33,603,5.3,1.0,3,0,mistral-small4,zero_shot,198,492.4,CPU-intensive
83,2026-07-15 22:30:04,3,3,20,33,705,5.4,1.0,3,0,mistral-small4,zero_shot,198,483.4,CPU-intensive
84,2026-07-15 22:31:05,3,3,23,33,900,5.3,1.0,3,0,mistral-small4,zero_shot,198,604.5,CPU-intensive
85,2026-07-15 22:32:05,3,3,22,33,1149,5.6,1.0,3,0,mistral-small4,zero_shot,199,829.5,CPU-intensive
86,2026-07-15 22:33:07,3,3,24,33,1383,5.3,1.0,3,0,mistral-small4,zero_shot,199,1012.0,CPU-intensive
87,2026-07-15 22:34:08,3,3,26,33,1483,5.3,1.0,3,0,mistral-small4,zero_shot,199,644.1,CPU-intensive
88,2026-07-15 22:35:09,3,3,26,33,1561,5.4,1.0,3,0,mistral-small4,zero_shot,199,3921.4,CPU-intensive
89,2026-07-15 22:36:13,3,3,27,33,1558,5.3,1.0,3,0,mistral-small4,zero_shot,199,567.5,CPU-intensive
90,2026-07-15 22:37:14,3,3,26,33,1552,5.3,1.0,3,0,mistral-small4,zero_shot,199,493.3,CPU-intensive
91,2026-07-15 22:38:15,3,3,25,33,1548,5.6,1.0,3,0,mistral-small4,zero_shot,199,496.3,CPU-intensive
92,2026-07-15 22:39:15,3,3,25,33,1524,6.2,1.0,3,0,mistral-small4,zero_shot,199,551.0,CPU-intensive
93,2026-07-15 22:40:16,3,3,21,33,1511,5.3,1.0,3,0,mistral-small4,zero_shot,199,465.5,CPU-intensive
94,2026-07-15 22:41:17,3,3,21,33,1280,5.4,1.0,3,0,mistral-small4,zero_shot,199,493.7,CPU-intensive
95,2026-07-15 22:42:18,3,3,19,33,1025,6.4,1.0,3,0,mistral-small4,zero_shot,199,697.2,CPU-intensive
96,2026-07-15 22:43:19,3,3,22,33,1000,5.4,1.0,3,0,mistral-small4,zero_shot,199,2460.2,CPU-intensive
97,2026-07-15 22:44:21,3,3,24,33,1107,5.6,1.0,3,0,mistral-small4,zero_shot,199,665.0,CPU-intensive
98,2026-07-15 22:45:22,3,3,22,33,1209,5.3,1.0,3,0,mistral-small4,zero_shot,199,612.3,CPU-intensive
99,2026-07-15 22:46:23,3,3,17,33,1168,5.3,1.0,3,0,mistral-small4,zero_shot,199,800.4,CPU-intensive
100,2026-07-15 22:47:24,3,3,19,34,972,5.3,1.0,3,0,mistral-small4,zero_shot,198,791.8,CPU-intensive
101,2026-07-15 22:48:25,3,3,17,34,762,5.3,1.0,3,0,mistral-small4,zero_shot,198,1499.7,CPU-intensive
102,2026-07-15 22:49:27,3,3,14,33,610,5.4,1.0,3,0,mistral-small4,zero_shot,198,685.7,CPU-intensive
103,2026-07-15 22:50:28,3,3,16,33,526,5.4,1.0,3,0,mistral-small4,zero_shot,198,550.2,CPU-intensive
104,2026-07-15 22:51:29,3,3,15,33,491,5.3,1.0,3,0,mistral-small4,zero_shot,198,529.2,CPU-intensive
105,2026-07-15 22:52:30,3,3,20,33,524,5.3,1.0,3,0,mistral-small4,zero_shot,198,586.3,CPU-intensive
106,2026-07-15 22:53:31,3,3,17,33,586,5.5,1.0,3,0,mistral-small4,zero_shot,198,569.1,CPU-intensive
107,2026-07-15 22:54:32,3,3,22,33,663,5.4,1.0,3,0,mistral-small4,zero_shot,198,1964.4,CPU-intensive
108,2026-07-15 22:55:34,3,3,25,33,858,5.3,1.0,3,0,mistral-small4,zero_shot,198,559.4,CPU-intensive
109,2026-07-15 22:56:35,3,3,23,33,1102,5.3,1.0,3,0,mistral-small4,zero_shot,199,669.1,CPU-intensive
110,2026-07-15 22:57:36,3,3,25,33,1337,6.6,1.0,3,0,mistral-small4,zero_shot,199,475.4,CPU-intensive
111,2026-07-15 22:58:36,3,3,26,33,1498,5.5,1.0,3,0,mistral-small4,zero_shot,199,526.7,CPU-intensive
112,2026-07-15 22:59:37,3,3,25,33,1605,5.3,1.0,3,0,mistral-small4,zero_shot,199,503.2,CPU-intensive
113,2026-07-15 23:00:38,3,3,23,33,1523,5.7,1.0,3,0,mistral-small4,zero_shot,199,2076.5,CPU-intensive
114,2026-07-15 23:01:40,3,3,25,33,1512,6.6,1.0,3,0,mistral-small4,zero_shot,199,467.9,CPU-intensive
115,2026-07-15 23:02:41,3,3,26,33,1539,5.7,1.0,3,0,mistral-small4,zero_shot,199,712.8,CPU-intensive
116,2026-07-15 23:03:42,3,3,24,33,1561,5.4,1.0,3,0,mistral-small4,zero_shot,199,647.8,CPU-intensive
117,2026-07-15 23:04:43,3,3,23,33,1519,5.3,1.0,3,0,mistral-small4,zero_shot,199,490.7,CPU-intensive
118,2026-07-15 23:05:44,3,3,14,33,1288,5.3,1.0,3,0,mistral-small4,zero_shot,199,562.7,CPU-intensive
119,2026-07-15 23:06:45,3,3,3,33,1051,5.6,1.0,3,0,mistral-small4,zero_shot,199,487.5,CPU-intensive
