step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 21:32:54,8,3,8,88,960,5.6,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
1,2026-07-15 21:33:54,8,8,23,88,1022,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
2,2026-07-15 21:34:54,8,8,23,88,1122,6.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
3,2026-07-15 21:35:55,8,8,25,88,1096,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
4,2026-07-15 21:36:55,8,8,28,88,905,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
5,2026-07-15 21:37:55,8,8,27,88,703,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
6,2026-07-15 21:38:56,8,8,23,88,572,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
7,2026-07-15 21:39:56,8,8,21,88,486,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
8,2026-07-15 21:40:56,8,8,19,88,458,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
9,2026-07-15 21:41:56,8,8,17,88,488,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
10,2026-07-15 21:42:57,8,8,17,88,515,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
11,2026-07-15 21:43:57,8,8,16,88,592,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
12,2026-07-15 21:44:57,8,8,16,88,786,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
13,2026-07-15 21:45:58,8,8,18,88,1041,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
14,2026-07-15 21:46:58,8,8,22,88,1258,6.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
15,2026-07-15 21:47:58,8,8,24,88,1359,6.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
16,2026-07-15 21:48:58,8,8,26,88,1406,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
17,2026-07-15 21:49:59,8,8,25,88,1405,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
18,2026-07-15 21:50:59,8,8,27,88,1396,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
19,2026-07-15 21:51:59,8,8,25,88,1411,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
20,2026-07-15 21:53:00,8,8,29,88,1437,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
21,2026-07-15 21:54:00,8,8,30,88,1392,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
22,2026-07-15 21:55:00,8,8,27,88,1242,7.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
23,2026-07-15 21:56:00,8,8,24,88,1054,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
24,2026-07-15 21:57:01,8,8,21,88,968,5.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
25,2026-07-15 21:58:01,8,8,22,88,1008,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
26,2026-07-15 21:59:01,8,8,24,88,1107,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
27,2026-07-15 22:00:02,8,8,26,88,1108,5.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
28,2026-07-15 22:01:02,8,8,27,88,998,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
29,2026-07-15 22:02:02,8,8,24,88,817,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
30,2026-07-15 22:03:02,8,8,22,88,655,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
31,2026-07-15 22:04:03,8,8,19,88,560,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
32,2026-07-15 22:05:03,8,8,17,88,517,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
33,2026-07-15 22:06:03,8,8,17,88,533,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
34,2026-07-15 22:07:04,8,8,16,88,548,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
35,2026-07-15 22:08:04,8,8,16,88,596,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
36,2026-07-15 22:09:04,8,8,18,88,768,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
37,2026-07-15 22:10:04,8,8,19,88,1035,6.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
38,2026-07-15 22:11:05,8,8,21,88,1295,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
39,2026-07-15 22:12:05,8,8,24,88,1435,7.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
40,2026-07-15 22:13:05,8,8,28,88,1538,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
41,2026-07-15 22:14:06,8,8,27,88,1547,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
42,2026-07-15 22:15:06,8,8,29,88,1562,6.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
43,2026-07-15 22:16:06,8,8,28,88,1588,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
44,2026-07-15 22:17:07,8,8,31,88,1649,6.0,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
45,2026-07-15 22:18:07,8,8,34,88,1697,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
46,2026-07-15 22:19:07,8,8,32,88,1578,5.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
47,2026-07-15 22:20:07,8,8,26,88,1340,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
48,2026-07-15 22:21:08,8,8,23,88,1242,6.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
49,2026-07-15 22:22:08,8,8,27,88,1264,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
50,2026-07-15 22:23:08,8,8,26,88,1372,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
51,2026-07-15 22:24:09,8,8,31,88,1378,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
52,2026-07-15 22:25:09,8,8,31,88,1223,5.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
53,2026-07-15 22:26:09,8,8,30,88,1002,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
54,2026-07-15 22:27:09,8,8,27,88,802,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
55,2026-07-15 22:28:10,8,8,22,88,688,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
56,2026-07-15 22:29:10,8,8,21,88,653,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
57,2026-07-15 22:30:10,8,8,21,88,669,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
58,2026-07-15 22:31:11,8,8,18,88,650,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
59,2026-07-15 22:32:11,8,8,15,88,678,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
60,2026-07-15 22:33:11,8,8,16,88,853,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
61,2026-07-15 22:34:11,8,8,20,88,1133,6.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
62,2026-07-15 22:35:12,8,8,25,88,1404,6.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
63,2026-07-15 22:36:12,8,8,29,88,1555,6.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
64,2026-07-15 22:37:12,8,8,30,88,1670,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
65,2026-07-15 22:38:13,8,8,31,88,1691,5.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
66,2026-07-15 22:39:13,8,8,31,88,1666,6.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
67,2026-07-15 22:40:13,8,8,31,88,1719,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
68,2026-07-15 22:41:13,8,8,37,88,1737,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
69,2026-07-15 22:42:14,8,8,34,88,1731,7.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
70,2026-07-15 22:43:14,8,8,31,88,1553,6.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
71,2026-07-15 22:44:14,8,8,28,88,1325,6.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
72,2026-07-15 22:45:15,8,8,25,88,1078,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
73,2026-07-15 22:46:15,8,8,32,88,1374,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
74,2026-07-15 22:47:15,8,8,33,88,1480,5.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
75,2026-07-15 22:48:15,8,8,32,88,1403,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
76,2026-07-15 22:49:16,8,8,32,88,1167,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
77,2026-07-15 22:50:16,8,8,26,88,910,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
78,2026-07-15 22:51:16,8,8,27,88,721,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
79,2026-07-15 22:52:17,8,8,19,88,623,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
80,2026-07-15 22:53:17,8,8,19,88,555,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
81,2026-07-15 22:54:17,8,8,18,88,574,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
82,2026-07-15 22:55:17,8,8,17,88,603,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
83,2026-07-15 22:56:18,8,8,17,88,705,5.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
84,2026-07-15 22:57:18,8,8,20,88,900,6.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
85,2026-07-15 22:58:18,8,8,22,88,1149,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
86,2026-07-15 22:59:18,8,8,26,88,1383,5.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
87,2026-07-15 23:00:19,8,8,25,88,1483,6.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
88,2026-07-15 23:01:19,8,8,27,88,1561,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
89,2026-07-15 23:02:19,8,8,29,88,1558,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
90,2026-07-15 23:03:20,8,8,26,88,1552,6.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
91,2026-07-15 23:04:20,8,8,30,88,1548,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
