step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-17 16:57:44,960,960,65.4,40.6,127.7,327.6,960,0,1.0
1,2026-07-17 16:58:44,1022,1021,69.4,39.3,136.7,361.9,1022,0,1.0
2,2026-07-17 16:59:44,1122,1122,59.6,37.8,113.9,271.1,1122,0,1.0
3,2026-07-17 17:00:44,1096,1096,50.7,37.4,87.9,203.0,1096,0,1.0
4,2026-07-17 17:01:44,905,905,55.3,40.2,100.0,209.3,905,0,1.0
5,2026-07-17 17:02:44,703,704,61.4,49.7,111.5,161.8,703,0,1.0
6,2026-07-17 17:03:44,572,572,69.5,61.2,119.2,158.6,572,0,1.0
7,2026-07-17 17:04:44,486,486,76.0,72.2,124.0,210.6,486,0,1.0
8,2026-07-17 17:05:44,458,459,78.4,74.2,128.9,163.7,458,0,1.0
9,2026-07-17 17:06:44,488,489,76.6,71.4,133.0,165.9,488,0,1.0
10,2026-07-17 17:07:43,515,515,77.0,69.6,130.4,205.5,515,0,1.0
11,2026-07-17 17:08:43,592,592,71.5,63.0,124.3,234.8,592,0,1.0
12,2026-07-17 17:09:43,786,787,55.2,44.3,97.2,158.6,786,0,1.0
13,2026-07-17 17:10:43,1041,1041,54.3,38.0,101.3,209.6,1041,0,1.0
14,2026-07-17 17:11:43,1258,1258,48.9,36.2,84.5,186.1,1258,0,1.0
15,2026-07-17 17:12:43,1359,1359,49.7,36.2,85.2,193.8,1359,0,1.0
16,2026-07-17 17:13:43,1406,1406,49.0,36.3,83.9,179.3,1406,0,1.0
17,2026-07-17 17:14:43,1405,1403,47.8,36.3,77.6,181.8,1405,0,1.0
18,2026-07-17 17:15:43,1396,1396,48.6,36.5,77.8,204.9,1396,0,1.0
19,2026-07-17 17:16:43,1411,1411,43.4,36.4,61.9,135.9,1411,0,1.0
20,2026-07-17 17:17:43,1437,1437,43.2,36.3,61.3,132.9,1437,0,1.0
21,2026-07-17 17:18:43,1392,1392,45.7,36.5,72.9,148.2,1392,0,1.0
22,2026-07-17 17:19:43,1242,1241,48.1,36.8,83.3,162.1,1242,0,1.0
23,2026-07-17 17:20:43,1054,1054,49.9,37.5,91.1,165.4,1054,0,1.0
24,2026-07-17 17:21:43,968,968,54.0,39.2,99.1,187.0,968,0,1.0
25,2026-07-17 17:22:43,1008,1007,50.7,38.2,87.9,158.0,1008,0,1.0
26,2026-07-17 17:23:43,1107,1107,50.5,37.3,90.7,152.0,1107,0,1.0
27,2026-07-17 17:24:43,1108,1107,53.6,37.5,94.9,215.4,1108,0,1.0
28,2026-07-17 17:25:43,998,998,54.9,38.8,104.9,217.1,998,0,1.0
29,2026-07-17 17:26:43,817,817,58.5,44.0,106.2,188.1,817,0,1.0
30,2026-07-17 17:27:43,655,656,64.4,55.3,116.0,156.8,655,0,1.0
31,2026-07-17 17:28:43,560,561,71.3,63.7,125.1,221.5,560,0,1.0
32,2026-07-17 17:29:43,517,517,74.3,67.3,125.1,197.2,517,0,1.0
33,2026-07-17 17:30:43,533,534,72.0,64.7,123.6,181.3,533,0,1.0
34,2026-07-17 17:31:43,548,548,66.8,59.1,110.4,145.2,548,0,1.0
35,2026-07-17 17:32:43,596,596,68.1,58.6,115.3,215.7,596,0,1.0
36,2026-07-17 17:33:43,768,769,60.5,45.9,108.5,242.5,768,0,1.0
37,2026-07-17 17:34:43,1035,1023,73.9,40.2,133.9,501.3,1035,0,1.0
38,2026-07-17 17:35:44,1295,1295,312.2,37.3,1108.5,3409.8,1289,6,0.9954
39,2026-07-17 17:36:44,1435,1435,48.6,36.8,81.3,160.6,1435,0,1.0
40,2026-07-17 17:37:44,1538,1538,44.6,36.5,68.3,149.0,1538,0,1.0
41,2026-07-17 17:38:44,1547,1547,44.4,36.6,64.3,155.0,1547,0,1.0
42,2026-07-17 17:39:44,1562,1562,44.0,36.4,57.8,170.1,1562,0,1.0
43,2026-07-17 17:40:44,1588,1588,43.4,36.3,61.3,155.0,1588,0,1.0
44,2026-07-17 17:41:44,1649,1646,41.9,36.2,52.2,145.3,1649,0,1.0
45,2026-07-17 17:42:44,1697,1697,45.8,36.4,67.3,181.4,1697,0,1.0
46,2026-07-17 17:43:44,1578,1578,45.1,36.2,71.3,165.6,1578,0,1.0
47,2026-07-17 17:44:44,1340,1340,46.6,36.2,76.1,180.2,1340,0,1.0
48,2026-07-17 17:45:44,1242,1238,53.5,36.6,97.1,225.9,1242,0,1.0
49,2026-07-17 17:46:44,1264,1264,62.2,36.9,120.5,378.0,1264,0,1.0
50,2026-07-17 17:47:44,1372,1372,71.8,37.1,144.0,493.2,1372,0,1.0
51,2026-07-17 17:48:44,1378,1378,51.7,36.7,85.2,271.8,1378,0,1.0
52,2026-07-17 17:49:44,1223,1223,50.0,36.8,87.9,177.5,1223,0,1.0
