step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-17 09:42:59,960,960,22.0,23.3,23.7,24.2,960,0,1.0
1,2026-07-17 09:43:58,1022,1022,22.1,23.3,23.5,23.9,1022,0,1.0
2,2026-07-17 09:44:58,1122,1122,22.2,23.2,23.5,23.9,1122,0,1.0
3,2026-07-17 09:45:58,1096,1096,22.5,23.3,23.5,23.9,1096,0,1.0
4,2026-07-17 09:46:58,905,906,22.3,23.3,23.5,23.9,905,0,1.0
5,2026-07-17 09:47:58,703,704,22.6,23.3,23.5,23.8,703,0,1.0
6,2026-07-17 09:48:58,572,573,22.6,23.2,23.5,24.0,572,0,1.0
7,2026-07-17 09:49:58,486,487,22.6,23.3,23.5,23.8,486,0,1.0
8,2026-07-17 09:50:58,458,459,22.6,23.2,23.5,23.8,458,0,1.0
9,2026-07-17 09:51:58,488,489,22.4,23.2,23.5,24.1,488,0,1.0
10,2026-07-17 09:52:58,515,516,22.6,23.3,23.5,23.8,515,0,1.0
11,2026-07-17 09:53:58,592,593,22.5,23.2,23.5,23.9,592,0,1.0
12,2026-07-17 09:54:58,786,787,22.3,23.2,23.5,24.4,786,0,1.0
13,2026-07-17 09:55:58,1041,1041,22.4,23.3,23.5,23.9,1041,0,1.0
14,2026-07-17 09:56:58,1258,1258,22.2,23.3,23.5,23.8,1258,0,1.0
15,2026-07-17 09:57:58,1359,1359,22.4,23.3,23.5,23.8,1359,0,1.0
16,2026-07-17 09:58:58,1406,1406,22.0,23.3,23.5,23.8,1406,0,1.0
17,2026-07-17 09:59:58,1405,1406,22.2,23.3,23.5,23.8,1405,0,1.0
18,2026-07-17 10:00:58,1396,1396,22.2,23.2,23.5,23.7,1396,0,1.0
19,2026-07-17 10:01:58,1411,1411,21.3,23.2,23.5,24.0,1411,0,1.0
20,2026-07-17 10:02:58,1437,1437,21.5,23.2,23.5,24.1,1437,0,1.0
21,2026-07-17 10:03:58,1392,1393,21.7,23.3,23.6,24.0,1392,0,1.0
22,2026-07-17 10:04:58,1242,1242,22.0,23.3,23.6,24.0,1242,0,1.0
23,2026-07-17 10:05:58,1054,1054,22.5,23.3,23.5,23.8,1054,0,1.0
24,2026-07-17 10:06:58,968,968,22.4,23.2,23.5,23.8,968,0,1.0
25,2026-07-17 10:07:58,1008,1008,22.0,23.3,23.6,24.0,1008,0,1.0
26,2026-07-17 10:08:58,1107,1107,22.3,23.3,23.6,24.1,1107,0,1.0
27,2026-07-17 10:09:58,1108,1108,22.4,23.3,23.5,24.0,1108,0,1.0
28,2026-07-17 10:10:58,998,998,22.5,23.3,23.5,23.9,998,0,1.0
29,2026-07-17 10:11:58,817,818,22.5,23.3,23.5,24.0,817,0,1.0
30,2026-07-17 10:12:58,655,656,22.5,23.3,23.5,23.8,655,0,1.0
31,2026-07-17 10:13:57,560,561,22.6,23.2,23.5,24.0,560,0,1.0
32,2026-07-17 10:14:57,517,518,22.5,23.3,23.5,24.0,517,0,1.0
33,2026-07-17 10:15:57,533,534,22.6,23.3,23.5,23.8,533,0,1.0
34,2026-07-17 10:16:57,548,549,22.6,23.3,23.5,24.1,548,0,1.0
35,2026-07-17 10:17:57,596,597,22.6,23.3,23.5,23.9,596,0,1.0
36,2026-07-17 10:18:57,768,769,22.7,23.3,23.5,23.9,768,0,1.0
37,2026-07-17 10:19:57,1035,1035,22.2,23.3,23.5,23.9,1035,0,1.0
38,2026-07-17 10:20:57,1295,1295,22.4,23.3,23.5,23.9,1295,0,1.0
