step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 16:18:46,960,961,12.2,10.8,19.4,29.2,960,0,1.0
1,2026-07-15 16:19:46,1022,1023,11.5,10.8,15.6,26.4,1022,0,1.0
2,2026-07-15 16:20:46,1122,1123,12.1,11.0,18.5,29.9,1122,0,1.0
3,2026-07-15 16:21:46,1096,1097,12.0,11.0,16.6,26.8,1096,0,1.0
4,2026-07-15 16:22:46,905,906,13.2,12.2,20.8,29.0,905,0,1.0
5,2026-07-15 16:23:46,703,704,13.7,12.8,21.9,29.5,703,0,1.0
6,2026-07-15 16:24:46,572,573,13.5,12.3,20.9,27.7,572,0,1.0
7,2026-07-15 16:25:45,486,487,13.1,12.1,19.9,28.3,486,0,1.0
8,2026-07-15 16:26:45,458,459,14.0,13.2,20.7,27.5,458,0,1.0
9,2026-07-15 16:27:45,488,489,13.6,12.8,20.7,28.3,488,0,1.0
10,2026-07-15 16:28:45,515,516,12.7,11.7,18.4,26.2,515,0,1.0
11,2026-07-15 16:29:45,592,593,13.1,11.9,20.4,31.8,592,0,1.0
12,2026-07-15 16:30:45,786,787,12.8,11.1,21.3,26.9,786,0,1.0
13,2026-07-15 16:31:45,1041,1041,12.4,11.1,19.9,29.7,1041,0,1.0
14,2026-07-15 16:32:45,1258,1259,14.2,11.9,24.0,32.5,1258,0,1.0
15,2026-07-15 16:33:45,1359,1360,15.2,12.8,25.3,35.2,1359,0,1.0
16,2026-07-15 16:34:45,1406,1407,16.3,13.8,25.7,34.1,1406,0,1.0
17,2026-07-15 16:35:45,1405,1405,12.7,11.8,18.3,28.6,1405,0,1.0
18,2026-07-15 16:36:45,1396,1397,13.3,12.0,20.6,31.1,1396,0,1.0
19,2026-07-15 16:37:45,1411,1411,14.5,13.1,24.0,30.8,1411,0,1.0
20,2026-07-15 16:38:45,1437,1437,15.2,13.5,25.1,30.7,1437,0,1.0
21,2026-07-15 16:39:45,1392,1393,16.2,14.3,25.6,34.5,1392,0,1.0
22,2026-07-15 16:40:45,1242,1243,16.0,14.3,25.4,33.3,1242,0,1.0
23,2026-07-15 16:41:45,1054,1055,17.1,15.7,25.9,33.8,1054,0,1.0
24,2026-07-15 16:42:45,968,969,15.6,13.9,26.1,40.0,968,0,1.0
25,2026-07-15 16:43:45,1008,1009,13.2,10.8,25.4,34.1,1008,0,1.0
26,2026-07-15 16:44:45,1107,1108,13.1,11.1,25.0,31.7,1107,0,1.0
27,2026-07-15 16:45:44,1108,1109,12.9,11.0,24.6,32.4,1108,0,1.0
