step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 02:15:50,3,3,54,33,960,78.0,1.0,3,0,gpt-oss-120b,domain,449,15581.530480645597,CPU-intensive,0
1,2026-07-19 02:17:07,6,3,660,33,1022,302.1,1.0,6,1,gpt-oss-120b,domain,491,37283.21754839271,CPU-intensive,0
2,2026-07-19 02:18:45,3,6,695,66,1122,44.1,1.0,3,1,gpt-oss-120b,domain,497,30419.254334177822,CPU-intensive,0
3,2026-07-19 02:20:16,3,3,617,33,1096,48.5,1.0,3,0,gpt-oss-120b,domain,492,469.30874278768897,CPU-intensive,0
4,2026-07-19 02:21:17,6,3,499,33,905,286.6,1.0,6,1,gpt-oss-120b,domain,518,312.57671723142266,CPU-intensive,0
5,2026-07-19 02:22:19,6,6,474,66,703,113.7,1.0,6,0,gpt-oss-120b,domain,533,313.0873483605683,CPU-intensive,0
6,2026-07-19 02:23:20,3,6,431,66,572,39.7,1.0,3,1,gpt-oss-120b,domain,469,282.27411210536957,CPU-intensive,0
7,2026-07-19 02:24:21,6,3,382,33,486,213.8,1.0,6,1,gpt-oss-120b,domain,500,353.1538066454232,CPU-intensive,0
8,2026-07-19 02:25:22,3,6,449,66,458,38.7,1.0,3,1,gpt-oss-120b,domain,492,294.8650820180774,CPU-intensive,0
9,2026-07-19 02:26:23,6,3,470,33,488,207.6,1.0,6,1,gpt-oss-120b,domain,510,371.3500779122114,CPU-intensive,0
10,2026-07-19 02:27:25,6,6,491,66,515,56.0,1.0,6,0,gpt-oss-120b,domain,481,280.68578615784645,CPU-intensive,0
11,2026-07-19 02:28:26,6,6,584,66,592,98.0,1.0,6,0,gpt-oss-120b,domain,470,293.06249879300594,CPU-intensive,0
12,2026-07-19 02:29:27,6,6,671,66,786,62.1,1.0,6,0,gpt-oss-120b,domain,471,272.6243566721678,CPU-intensive,0
13,2026-07-19 02:30:27,6,6,739,66,1041,68.1,1.0,6,0,gpt-oss-120b,domain,431,313.1019352003932,CPU-intensive,0
14,2026-07-19 02:31:28,6,6,791,66,1258,67.3,1.0,6,0,gpt-oss-120b,domain,478,274.12332920357585,CPU-intensive,0
15,2026-07-19 02:32:29,3,6,797,66,1359,39.3,1.0,3,1,gpt-oss-120b,domain,645,371.42324075102806,CPU-intensive,0
16,2026-07-19 02:33:30,6,3,988,34,1406,2039.2,1.0,6,1,gpt-oss-120b,domain,470,511.0262189991772,CPU-intensive,0
17,2026-07-19 02:34:39,9,6,828,66,1405,274.7,1.0,9,1,gpt-oss-120b,domain,473,295.56113574653864,CPU-intensive,0
18,2026-07-19 02:35:41,9,9,786,99,1396,92.5,1.0,9,0,gpt-oss-120b,domain,497,302.1895447745919,CPU-intensive,0
19,2026-07-19 02:36:42,9,9,836,99,1411,88.3,1.0,9,0,gpt-oss-120b,domain,463,293.5734698548913,CPU-intensive,0
20,2026-07-19 02:37:43,9,9,763,99,1437,79.2,1.0,9,0,gpt-oss-120b,domain,466,279.24045780673623,CPU-intensive,0
21,2026-07-19 02:38:44,12,9,734,99,1392,210.6,1.0,12,1,gpt-oss-120b,domain,552,344.78341694921255,CPU-intensive,0
22,2026-07-19 02:39:45,12,12,631,132,1242,129.0,1.0,12,0,gpt-oss-120b,domain,512,304.009348154068,CPU-intensive,0
23,2026-07-19 02:40:46,12,12,636,132,1054,107.3,1.0,12,0,gpt-oss-120b,domain,503,280.377637129277,CPU-intensive,0
24,2026-07-19 02:41:47,9,12,600,132,968,40.7,1.0,9,1,gpt-oss-120b,domain,485,316.61612587049603,CPU-intensive,0
25,2026-07-19 02:42:48,9,9,692,99,1008,94.0,1.0,9,0,gpt-oss-120b,domain,491,449.9643240123987,CPU-intensive,0
26,2026-07-19 02:43:49,9,9,652,99,1107,57.5,1.0,9,0,gpt-oss-120b,domain,468,260.5135450139642,CPU-intensive,0
27,2026-07-19 02:44:50,9,9,604,99,1108,100.7,1.0,9,0,gpt-oss-120b,domain,478,305.54073490202427,CPU-intensive,0
28,2026-07-19 02:45:51,12,9,547,99,998,274.1,1.0,12,1,gpt-oss-120b,domain,532,350.72747711092234,CPU-intensive,0
29,2026-07-19 02:46:52,12,12,567,132,817,134.4,1.0,12,0,gpt-oss-120b,domain,526,314.3635471351445,CPU-intensive,0
30,2026-07-19 02:47:53,9,12,505,132,655,37.3,1.0,9,1,gpt-oss-120b,domain,461,260.4351886548102,CPU-intensive,0
31,2026-07-19 02:48:54,6,9,495,99,560,36.7,1.0,6,1,gpt-oss-120b,domain,463,293.3018635958433,CPU-intensive,0
32,2026-07-19 02:49:55,6,6,453,66,517,79.7,1.0,6,0,gpt-oss-120b,domain,468,276.6653592698276,CPU-intensive,0
33,2026-07-19 02:50:56,3,6,446,66,533,46.9,1.0,3,1,gpt-oss-120b,domain,513,286.0510810278356,CPU-intensive,0
34,2026-07-19 02:51:57,6,3,564,33,548,364.4,1.0,6,1,gpt-oss-120b,domain,441,258.9674759656191,CPU-intensive,0
35,2026-07-19 02:52:58,6,6,596,66,596,99.3,1.0,6,0,gpt-oss-120b,domain,475,331.0564300045371,CPU-intensive,0
36,2026-07-19 02:53:59,6,6,685,66,768,86.5,1.0,6,0,gpt-oss-120b,domain,491,301.72591377049685,CPU-intensive,0
37,2026-07-19 02:55:00,6,6,781,66,1035,76.3,1.0,6,0,gpt-oss-120b,domain,465,285.34399112686515,CPU-intensive,0
38,2026-07-19 02:56:01,6,6,844,66,1295,80.2,1.0,6,0,gpt-oss-120b,domain,459,283.8582447730005,CPU-intensive,0
39,2026-07-19 02:57:02,6,6,870,66,1435,81.9,1.0,6,0,gpt-oss-120b,domain,462,279.60088988766074,CPU-intensive,0
40,2026-07-19 02:58:03,6,6,849,66,1538,72.8,1.0,6,0,gpt-oss-120b,domain,478,305.7518033310771,CPU-intensive,0
41,2026-07-19 02:59:04,6,6,866,66,1547,96.6,1.0,6,0,gpt-oss-120b,domain,460,281.2005807645619,CPU-intensive,0
42,2026-07-19 03:00:05,9,6,881,66,1562,278.8,1.0,9,1,gpt-oss-120b,domain,608,362.707088701427,CPU-intensive,0
43,2026-07-19 03:01:07,9,9,869,99,1588,105.0,1.0,9,0,gpt-oss-120b,domain,491,329.5979108661413,CPU-intensive,0
44,2026-07-19 03:02:08,6,9,864,99,1649,40.8,1.0,6,1,gpt-oss-120b,domain,488,282.0890876464546,CPU-intensive,0
45,2026-07-19 03:03:09,9,6,875,66,1697,173.1,1.0,9,1,gpt-oss-120b,domain,490,290.66983982920647,CPU-intensive,0
46,2026-07-19 03:04:10,9,9,722,99,1578,53.2,1.0,9,0,gpt-oss-120b,domain,469,402.8922417201102,CPU-intensive,0
47,2026-07-19 03:05:11,6,9,741,99,1340,49.9,1.0,6,1,gpt-oss-120b,domain,498,396.3173679076135,CPU-intensive,0
48,2026-07-19 03:06:12,9,6,800,66,1242,350.6,1.0,9,1,gpt-oss-120b,domain,445,296.4124330319464,CPU-intensive,0
49,2026-07-19 03:07:13,9,9,802,99,1264,59.6,1.0,9,0,gpt-oss-120b,domain,471,352.53827599808574,CPU-intensive,0
50,2026-07-19 03:08:14,9,9,755,99,1372,65.1,1.0,9,0,gpt-oss-120b,domain,495,402.9255551286042,CPU-intensive,0
51,2026-07-19 03:09:15,9,9,597,99,1378,55.3,1.0,9,0,gpt-oss-120b,domain,467,281.44820407032967,CPU-intensive,0
52,2026-07-19 03:10:16,9,9,577,99,1223,71.8,1.0,9,0,gpt-oss-120b,domain,474,303.5945459268987,CPU-intensive,0
53,2026-07-19 03:11:17,6,9,537,99,1002,38.8,1.0,6,1,gpt-oss-120b,domain,470,281.63130208849907,CPU-intensive,0
54,2026-07-19 03:12:18,3,6,511,66,802,43.3,1.0,3,1,gpt-oss-120b,domain,495,306.15622410550714,CPU-intensive,0
55,2026-07-19 03:13:19,3,3,488,33,688,79.7,1.0,3,0,gpt-oss-120b,domain,464,324.527105782181,CPU-intensive,0
56,2026-07-19 03:14:20,4,3,569,33,653,204.9,1.0,4,1,gpt-oss-120b,domain,615,1508.1500788219273,CPU-intensive,0
57,2026-07-19 03:15:23,4,4,504,44,669,133.9,1.0,4,0,gpt-oss-120b,domain,485,359.6330350264907,CPU-intensive,0
58,2026-07-19 03:16:24,4,4,555,44,650,84.6,1.0,4,0,gpt-oss-120b,domain,459,311.5008291788399,CPU-intensive,0
59,2026-07-19 03:17:25,4,4,713,44,678,77.6,1.0,4,0,gpt-oss-120b,domain,466,288.1049579009414,CPU-intensive,0
60,2026-07-19 03:18:26,4,4,786,44,853,47.6,1.0,4,0,gpt-oss-120b,domain,556,388.90440203249454,CPU-intensive,0
61,2026-07-19 03:19:27,7,4,839,44,1133,224.0,1.0,7,1,gpt-oss-120b,domain,499,314.32888517156243,CPU-intensive,0
62,2026-07-19 03:20:28,7,7,878,77,1404,92.4,1.0,7,0,gpt-oss-120b,domain,457,307.92693700641394,CPU-intensive,0
63,2026-07-19 03:21:29,7,7,883,77,1555,116.3,1.0,7,0,gpt-oss-120b,domain,462,311.52171920984983,CPU-intensive,0
