step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-18 01:15:06,1,3,36,33,960,5.2,1.0,1,1,gpt-oss-120b,history_5,433,30700.252327136695,CPU-intensive,0
1,2026-07-18 01:16:37,1,1,17,11,1022,6.4,1.0,1,0,gpt-oss-120b,history_5,473,296.68433172628284,CPU-intensive,0
2,2026-07-18 01:17:37,2,1,18,11,1122,5.2,1.0,2,1,gpt-oss-120b,history_5,720,1043.5941191390157,CPU-intensive,0
3,2026-07-18 01:18:39,1,2,19,22,1096,5.4,1.0,1,1,gpt-oss-120b,history_5,601,349.092158023268,CPU-intensive,0
4,2026-07-18 01:19:40,1,1,17,11,905,5.4,1.0,1,0,gpt-oss-120b,history_5,564,324.2255188524723,CPU-intensive,0
5,2026-07-18 01:20:40,1,1,20,11,703,6.3,1.0,1,0,gpt-oss-120b,history_5,564,270.5710530281067,CPU-intensive,0
6,2026-07-18 01:21:41,1,1,34,11,572,5.2,1.0,1,0,gpt-oss-120b,history_5,544,281.7078777588904,CPU-intensive,0
7,2026-07-18 01:22:41,1,1,28,12,486,5.3,1.0,1,0,gpt-oss-120b,history_5,559,278.8143511861563,CPU-intensive,0
8,2026-07-18 01:23:42,1,1,26,12,458,5.3,1.0,1,0,gpt-oss-120b,history_5,521,421.09095863997936,CPU-intensive,0
9,2026-07-18 01:24:43,1,1,27,11,488,6.3,1.0,1,0,gpt-oss-120b,history_5,517,472.06616308540106,CPU-intensive,0
10,2026-07-18 01:25:43,1,1,30,11,515,5.2,1.0,1,0,gpt-oss-120b,history_5,546,362.96978080645204,CPU-intensive,0
11,2026-07-18 01:26:44,1,1,32,11,592,5.3,1.0,1,0,gpt-oss-120b,history_5,527,284.6909132786095,CPU-intensive,0
12,2026-07-18 01:27:45,2,1,45,11,786,6.1,1.0,2,1,gpt-oss-120b,history_5,533,295.0010308995843,CPU-intensive,0
13,2026-07-18 01:28:45,2,2,58,22,1041,5.3,1.0,2,0,gpt-oss-120b,history_5,771,459.9609491415322,CPU-intensive,0
14,2026-07-18 01:29:46,3,2,72,22,1258,5.2,1.0,3,1,gpt-oss-120b,history_5,583,531.942926812917,CPU-intensive,0
15,2026-07-18 01:30:47,3,3,78,33,1359,5.3,1.0,3,0,gpt-oss-120b,history_5,642,543.403334915638,CPU-intensive,0
16,2026-07-18 01:31:48,4,3,82,33,1406,5.3,1.0,4,1,gpt-oss-120b,history_5,629,795.1766406185925,CPU-intensive,0
17,2026-07-18 01:32:49,4,4,81,45,1405,5.6,1.0,4,0,gpt-oss-120b,history_5,842,450.94148674979806,CPU-intensive,0
18,2026-07-18 01:33:50,1,4,74,45,1396,5.7,1.0,1,1,gpt-oss-120b,history_5,698,368.4087749570608,CPU-intensive,0
19,2026-07-18 01:34:51,1,1,74,11,1411,5.8,1.0,1,0,gpt-oss-120b,history_5,802,445.33428084105253,CPU-intensive,0
20,2026-07-18 01:35:52,1,1,79,11,1437,5.4,1.0,1,0,gpt-oss-120b,history_5,589,448.9715276286006,CPU-intensive,0
21,2026-07-18 01:36:52,1,1,75,12,1392,5.6,1.0,1,0,gpt-oss-120b,history_5,544,286.2117290496826,CPU-intensive,0
22,2026-07-18 01:37:53,1,1,69,11,1242,5.3,1.0,1,0,gpt-oss-120b,history_5,579,300.5366297438741,CPU-intensive,0
23,2026-07-18 01:38:54,1,1,60,12,1054,8.7,1.0,1,0,gpt-oss-120b,history_5,655,411.54690692201257,CPU-intensive,0
24,2026-07-18 01:39:54,1,1,55,11,968,5.3,1.0,1,0,gpt-oss-120b,history_5,540,275.2567259594798,CPU-intensive,0
25,2026-07-18 01:40:55,1,1,55,11,1008,5.8,1.0,1,0,gpt-oss-120b,history_5,537,270.5736239440739,CPU-intensive,0
26,2026-07-18 01:41:55,1,1,61,11,1107,5.4,1.0,1,0,gpt-oss-120b,history_5,546,265.5972740612924,CPU-intensive,0
27,2026-07-18 01:42:56,1,1,59,12,1108,5.3,1.0,1,0,gpt-oss-120b,history_5,536,281.06231102719903,CPU-intensive,0
28,2026-07-18 01:43:57,1,1,52,11,998,5.4,1.0,1,0,gpt-oss-120b,history_5,527,270.9463885985315,CPU-intensive,0
29,2026-07-18 01:44:57,1,1,39,11,817,5.4,1.0,1,0,gpt-oss-120b,history_5,555,288.5311427526176,CPU-intensive,0
30,2026-07-18 01:45:58,1,1,35,11,655,5.9,1.0,1,0,gpt-oss-120b,history_5,528,281.64989594370127,CPU-intensive,0
31,2026-07-18 01:46:58,1,1,31,11,560,5.4,1.0,1,0,gpt-oss-120b,history_5,527,275.95771895721555,CPU-intensive,0
32,2026-07-18 01:47:59,1,1,29,11,517,6.0,1.0,1,0,gpt-oss-120b,history_5,539,592.8406901657581,CPU-intensive,0
