step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-17 11:46:27,1,3,40,34,960,5.8,1.0,1,1,hpa,baseline,0,0.0,CPU-intensive
1,2026-07-17 11:47:28,1,1,57,11,1022,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
2,2026-07-17 11:48:28,1,1,55,11,1122,6.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
3,2026-07-17 11:49:28,1,1,63,11,1096,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
4,2026-07-17 11:50:29,1,1,59,12,905,7.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
5,2026-07-17 11:51:29,1,1,49,11,703,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
6,2026-07-17 11:52:29,1,1,38,11,572,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
7,2026-07-17 11:53:29,1,1,32,11,486,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
8,2026-07-17 11:54:30,1,1,28,11,458,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
9,2026-07-17 11:55:30,1,1,27,12,488,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
10,2026-07-17 11:56:30,1,1,29,12,515,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
11,2026-07-17 11:57:31,1,1,31,12,592,6.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
12,2026-07-17 11:58:31,1,1,34,11,786,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
13,2026-07-17 11:59:31,1,1,48,12,1041,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
14,2026-07-17 12:00:32,1,1,68,11,1258,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
15,2026-07-17 12:01:32,1,1,72,11,1359,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
16,2026-07-17 12:02:32,1,1,77,11,1406,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
17,2026-07-17 12:03:33,1,1,79,11,1405,6.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
18,2026-07-17 12:04:33,1,1,79,11,1396,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
19,2026-07-17 12:05:33,1,1,79,11,1411,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
20,2026-07-17 12:06:34,1,1,80,11,1437,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
21,2026-07-17 12:07:34,1,1,81,12,1392,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
22,2026-07-17 12:08:34,1,1,78,11,1242,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
23,2026-07-17 12:09:34,1,1,66,11,1054,7.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
24,2026-07-17 12:10:35,1,1,58,12,968,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
25,2026-07-17 12:11:35,1,1,57,11,1008,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
26,2026-07-17 12:12:35,1,1,59,12,1107,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
27,2026-07-17 12:13:36,1,1,63,11,1108,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
28,2026-07-17 12:14:36,1,1,63,11,998,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
29,2026-07-17 12:15:36,1,1,58,12,817,6.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
30,2026-07-17 12:16:37,1,1,44,11,655,7.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
31,2026-07-17 12:17:37,1,1,34,12,560,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
32,2026-07-17 12:18:37,1,1,33,11,517,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
33,2026-07-17 12:19:38,1,1,29,11,533,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
34,2026-07-17 12:20:38,1,1,32,12,548,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
35,2026-07-17 12:21:38,1,1,33,12,596,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
36,2026-07-17 12:22:39,1,1,43,11,768,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
37,2026-07-17 12:23:39,1,1,47,11,1035,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
38,2026-07-17 12:24:39,1,1,60,11,1295,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
39,2026-07-17 12:25:39,1,1,74,11,1435,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
40,2026-07-17 12:26:40,1,1,82,11,1538,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
41,2026-07-17 12:27:40,1,1,86,12,1547,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
42,2026-07-17 12:28:40,1,1,84,11,1562,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
43,2026-07-17 12:29:41,1,1,86,11,1588,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
44,2026-07-17 12:30:41,1,1,85,11,1649,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
45,2026-07-17 12:31:41,1,1,87,11,1697,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
46,2026-07-17 12:32:42,1,1,86,11,1578,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
47,2026-07-17 12:33:42,1,1,80,11,1340,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
48,2026-07-17 12:34:42,1,1,73,12,1242,7.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
49,2026-07-17 12:35:43,1,1,73,11,1264,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
50,2026-07-17 12:36:43,1,1,78,12,1372,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
51,2026-07-17 12:37:43,1,1,78,12,1378,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
52,2026-07-17 12:38:43,1,1,74,11,1223,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
53,2026-07-17 12:39:44,1,1,58,12,1002,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
54,2026-07-17 12:40:44,1,1,46,11,802,6.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
55,2026-07-17 12:41:44,1,1,40,11,688,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
56,2026-07-17 12:42:45,1,1,37,12,653,6.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
57,2026-07-17 12:43:45,1,1,39,12,669,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
58,2026-07-17 12:44:45,1,1,37,11,650,6.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
59,2026-07-17 12:45:46,1,1,39,11,678,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
60,2026-07-17 12:46:46,1,1,49,11,853,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
61,2026-07-17 12:47:46,1,1,64,11,1133,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
62,2026-07-17 12:48:47,1,1,80,12,1404,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
63,2026-07-17 12:49:47,1,1,87,12,1555,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
64,2026-07-17 12:50:47,1,1,86,11,1670,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
65,2026-07-17 12:51:47,1,1,89,11,1691,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
66,2026-07-17 12:52:48,1,1,87,11,1666,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
67,2026-07-17 12:53:48,1,1,89,11,1719,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
68,2026-07-17 12:54:48,1,1,87,11,1737,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
69,2026-07-17 12:55:49,1,1,85,12,1731,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
70,2026-07-17 12:56:49,1,1,86,11,1553,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
71,2026-07-17 12:57:49,1,1,75,12,1325,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
72,2026-07-17 12:58:50,1,1,63,11,1078,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
73,2026-07-17 12:59:50,1,1,77,11,1374,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
74,2026-07-17 13:00:50,1,1,83,12,1480,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
75,2026-07-17 13:01:51,1,1,80,12,1403,6.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
76,2026-07-17 13:02:51,1,1,67,11,1167,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
77,2026-07-17 13:03:51,1,1,61,11,910,6.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
78,2026-07-17 13:04:51,1,1,44,11,721,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
79,2026-07-17 13:05:52,1,1,37,11,623,6.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
80,2026-07-17 13:06:52,1,1,34,11,555,6.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
81,2026-07-17 13:07:52,1,1,34,11,574,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
82,2026-07-17 13:08:53,1,1,35,11,603,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
83,2026-07-17 13:09:53,1,1,41,12,705,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
84,2026-07-17 13:10:53,1,1,51,11,900,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
85,2026-07-17 13:11:54,1,1,67,11,1149,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
86,2026-07-17 13:12:54,1,1,79,12,1383,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
87,2026-07-17 13:13:54,1,1,84,11,1483,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
88,2026-07-17 13:14:55,1,1,86,11,1561,5.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
89,2026-07-17 13:15:55,1,1,85,11,1558,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
90,2026-07-17 13:16:55,1,1,83,11,1552,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
91,2026-07-17 13:17:56,1,1,86,11,1548,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
92,2026-07-17 13:18:56,1,1,86,11,1524,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
93,2026-07-17 13:19:56,1,1,85,12,1511,6.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
94,2026-07-17 13:20:57,1,1,73,11,1280,5.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
95,2026-07-17 13:21:57,1,1,60,11,1025,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
96,2026-07-17 13:22:57,1,1,56,12,1000,5.6,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
97,2026-07-17 13:23:57,1,1,65,11,1107,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
98,2026-07-17 13:24:58,1,1,70,12,1209,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
99,2026-07-17 13:25:58,1,1,66,12,1168,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
100,2026-07-17 13:26:58,1,1,58,11,972,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
101,2026-07-17 13:27:59,1,1,46,12,762,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
102,2026-07-17 13:28:59,1,1,36,11,610,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
103,2026-07-17 13:29:59,1,1,31,12,526,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
104,2026-07-17 13:31:00,1,1,29,11,491,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
105,2026-07-17 13:32:00,1,1,31,12,524,5.5,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
106,2026-07-17 13:33:00,1,1,34,11,586,6.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
107,2026-07-17 13:34:01,1,1,39,12,663,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
108,2026-07-17 13:35:01,1,1,49,11,858,5.2,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
109,2026-07-17 13:36:01,1,1,63,12,1102,5.3,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
110,2026-07-17 13:37:02,1,1,77,12,1337,5.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
111,2026-07-17 13:38:02,1,1,83,12,1498,5.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
