step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-17 23:20:00,6,3,91,156,960,262.9,1.0,6,1,llama-70b,domain,284,25696.966332383454,CPU-intensive,0
1,2026-07-17 23:21:27,6,6,591,66,1022,85.6,1.0,6,0,llama-70b,domain,285,23711.133188102394,CPU-intensive,0
2,2026-07-17 23:22:51,3,6,689,66,1122,98.6,1.0,3,1,llama-70b,domain,285,97510.25025406852,CPU-intensive,0
3,2026-07-17 23:25:30,3,3,546,33,1096,120.9,1.0,3,0,llama-70b,domain,285,57941.07477692887,CPU-intensive,0
4,2026-07-17 23:27:28,3,3,452,33,905,103.9,1.0,3,0,llama-70b,domain,284,59711.761228274554,CPU-intensive,0
5,2026-07-17 23:29:29,6,3,439,33,703,241.3,1.0,6,1,llama-70b,domain,284,91189.33968478814,CPU-intensive,0
6,2026-07-17 23:32:01,6,6,495,66,572,109.9,1.0,6,0,llama-70b,domain,284,290400.4694581963,CPU-intensive,0
7,2026-07-17 23:37:52,6,6,773,66,486,45.3,1.0,6,0,llama-70b,domain,284,124453.63006182015,CPU-intensive,0
8,2026-07-17 23:40:57,3,6,758,66,458,97.0,1.0,3,1,llama-70b,domain,284,396140.4317817651,CPU-intensive,0
9,2026-07-17 23:48:34,3,3,651,33,488,102.8,1.0,3,0,llama-70b,domain,284,27514.426660258323,CPU-intensive,0
10,2026-07-17 23:50:03,3,3,599,33,515,185.9,1.0,3,0,llama-70b,domain,284,99024.69708304852,CPU-intensive,0
11,2026-07-17 23:52:43,6,3,436,33,592,170.3,1.0,6,1,llama-70b,domain,284,43443.167516961694,CPU-intensive,0
12,2026-07-17 23:54:27,6,6,497,66,786,108.9,1.0,6,0,llama-70b,domain,284,55730.80211505294,CPU-intensive,0
13,2026-07-17 23:56:23,8,6,546,66,1041,196.9,1.0,8,1,llama-70b,domain,285,2819872.3056451418,CPU-intensive,0
14,2026-07-18 00:44:24,8,8,523,88,1258,94.0,1.0,8,0,llama-70b,domain,285,25184.458854142576,CPU-intensive,0
15,2026-07-18 00:45:50,8,8,734,88,1359,63.2,1.0,8,0,llama-70b,domain,285,99592.87679940462,CPU-intensive,0
16,2026-07-18 00:48:30,5,8,829,88,1406,56.4,1.0,5,1,llama-70b,domain,285,128601.04714380577,CPU-intensive,0
17,2026-07-18 00:51:39,5,5,897,55,1405,135.0,1.0,5,0,llama-70b,domain,285,370374.0756451152,CPU-intensive,0
18,2026-07-18 00:58:51,2,5,713,55,1396,75.7,1.0,2,1,llama-70b,domain,285,630556.4004210755,CPU-intensive,0
19,2026-07-18 01:10:22,8,1,998,25,1411,5011.2,0.6,8,1,llama-70b,domain,286,94147.16220693663,CPU-intensive,0
20,2026-07-18 01:13:30,8,8,850,92,1437,109.7,1.0,8,0,llama-70b,domain,285,58219.7548779659,CPU-intensive,0
21,2026-07-18 01:15:29,8,8,838,92,1392,101.3,1.0,8,0,llama-70b,domain,285,297802.1879042499,CPU-intensive,0
22,2026-07-18 01:21:27,8,8,8,92,1242,42.9,1.0,8,0,llama-70b,domain,285,124482.86365298554,CPU-intensive,0
23,2026-07-18 01:24:32,5,8,8,92,1054,36.2,1.0,5,1,llama-70b,domain,285,56465.95243923366,CPU-intensive,0
24,2026-07-18 01:26:30,5,5,5,55,968,110.2,1.0,5,0,llama-70b,domain,284,59142.340797930956,CPU-intensive,0
25,2026-07-18 01:28:30,5,5,5,55,1008,169.0,1.0,5,0,llama-70b,domain,285,412275.2666529268,CPU-intensive,0
26,2026-07-18 01:36:23,5,5,5,55,1107,94.5,1.0,5,0,llama-70b,domain,285,22158.423783723265,CPU-intensive,0
27,2026-07-18 01:37:45,5,5,5,55,1108,80.5,1.0,5,0,llama-70b,domain,285,28779.003064148128,CPU-intensive,0
28,2026-07-18 01:39:15,5,5,5,55,998,67.2,1.0,5,0,llama-70b,domain,284,94877.18648230657,CPU-intensive,0
