step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 22:23:13,3,3,5,33,960,6.1,1.0,3,0,llama-8b,domain,284,417.5,CPU-intensive
1,2026-07-15 22:24:13,3,3,30,33,1022,6.3,1.0,3,0,llama-8b,domain,285,88.1,CPU-intensive
2,2026-07-15 22:25:14,3,3,32,33,1122,6.5,1.0,3,0,llama-8b,domain,285,123.9,CPU-intensive
3,2026-07-15 22:26:14,3,3,38,33,1096,6.1,1.0,3,0,llama-8b,domain,285,134.1,CPU-intensive
4,2026-07-15 22:27:15,3,3,31,33,905,6.1,1.0,3,0,llama-8b,domain,284,87.4,CPU-intensive
5,2026-07-15 22:28:15,3,3,26,33,703,5.9,1.0,3,0,llama-8b,domain,284,106.7,CPU-intensive
6,2026-07-15 22:29:15,3,3,25,33,572,5.9,1.0,3,0,llama-8b,domain,284,113.4,CPU-intensive
7,2026-07-15 22:30:16,3,3,16,33,486,5.9,1.0,3,0,llama-8b,domain,284,78.8,CPU-intensive
8,2026-07-15 22:31:16,3,3,13,33,458,5.8,1.0,3,0,llama-8b,domain,284,115.9,CPU-intensive
9,2026-07-15 22:32:17,3,3,12,33,488,6.2,1.0,3,0,llama-8b,domain,284,108.7,CPU-intensive
10,2026-07-15 22:33:17,3,3,12,33,515,5.9,1.0,3,0,llama-8b,domain,284,108.1,CPU-intensive
11,2026-07-15 22:34:17,3,3,12,33,592,6.1,1.0,3,0,llama-8b,domain,284,80.4,CPU-intensive
12,2026-07-15 22:35:18,3,3,15,33,786,7.2,1.0,3,0,llama-8b,domain,284,102.3,CPU-intensive
13,2026-07-15 22:36:18,3,3,19,33,1041,6.6,1.0,3,0,llama-8b,domain,285,127.6,CPU-intensive
14,2026-07-15 22:37:19,3,3,22,33,1258,7.1,1.0,3,0,llama-8b,domain,285,79.9,CPU-intensive
15,2026-07-15 22:38:19,3,3,26,33,1359,6.1,1.0,3,0,llama-8b,domain,285,84.6,CPU-intensive
16,2026-07-15 22:39:19,3,3,28,33,1406,6.0,1.0,3,0,llama-8b,domain,285,78.7,CPU-intensive
17,2026-07-15 22:40:20,3,3,31,33,1405,6.0,1.0,3,0,llama-8b,domain,285,114.5,CPU-intensive
18,2026-07-15 22:41:20,3,3,37,33,1396,6.1,1.0,3,0,llama-8b,domain,285,83.4,CPU-intensive
19,2026-07-15 22:42:20,3,3,34,33,1411,6.0,1.0,3,0,llama-8b,domain,285,113.2,CPU-intensive
20,2026-07-15 22:43:21,3,3,31,33,1437,6.7,1.0,3,0,llama-8b,domain,285,142.3,CPU-intensive
21,2026-07-15 22:44:21,3,3,32,33,1392,7.8,1.0,3,0,llama-8b,domain,285,113.8,CPU-intensive
22,2026-07-15 22:45:22,3,3,33,33,1242,6.2,1.0,3,0,llama-8b,domain,285,154.3,CPU-intensive
23,2026-07-15 22:46:22,3,3,29,33,1054,6.0,1.0,3,0,llama-8b,domain,285,120.6,CPU-intensive
24,2026-07-15 22:47:22,3,3,28,33,968,6.1,1.0,3,0,llama-8b,domain,284,80.9,CPU-intensive
25,2026-07-15 22:48:23,3,3,28,33,1008,6.0,1.0,3,0,llama-8b,domain,285,96.0,CPU-intensive
26,2026-07-15 22:49:23,3,3,31,33,1107,6.0,1.0,3,0,llama-8b,domain,285,101.1,CPU-intensive
27,2026-07-15 22:50:24,3,3,34,33,1108,6.0,1.0,3,0,llama-8b,domain,285,110.1,CPU-intensive
28,2026-07-15 22:51:24,3,3,36,33,998,9.0,1.0,3,0,llama-8b,domain,284,165.8,CPU-intensive
29,2026-07-15 22:52:24,3,3,31,33,817,6.1,1.0,3,0,llama-8b,domain,284,120.4,CPU-intensive
30,2026-07-15 22:53:25,3,3,24,33,655,5.9,1.0,3,0,llama-8b,domain,284,97.3,CPU-intensive
31,2026-07-15 22:54:25,3,3,17,33,560,6.0,1.0,3,0,llama-8b,domain,284,101.6,CPU-intensive
32,2026-07-15 22:55:26,3,3,16,33,517,5.9,1.0,3,0,llama-8b,domain,284,86.8,CPU-intensive
33,2026-07-15 22:56:26,3,3,13,33,533,7.5,1.0,3,0,llama-8b,domain,284,81.4,CPU-intensive
34,2026-07-15 22:57:26,3,3,13,33,548,6.1,1.0,3,0,llama-8b,domain,284,76.2,CPU-intensive
35,2026-07-15 22:58:27,3,3,14,33,596,7.3,1.0,3,0,llama-8b,domain,284,96.3,CPU-intensive
36,2026-07-15 22:59:27,3,3,18,33,768,6.0,1.0,3,0,llama-8b,domain,284,115.5,CPU-intensive
37,2026-07-15 23:00:28,3,3,19,33,1035,6.3,1.0,3,0,llama-8b,domain,285,107.9,CPU-intensive
38,2026-07-15 23:01:28,3,3,28,33,1295,6.0,1.0,3,0,llama-8b,domain,285,75.5,CPU-intensive
39,2026-07-15 23:02:28,3,3,31,33,1435,7.3,1.0,3,0,llama-8b,domain,285,75.5,CPU-intensive
40,2026-07-15 23:03:29,3,3,32,33,1538,6.9,1.0,3,0,llama-8b,domain,285,183.6,CPU-intensive
41,2026-07-15 23:04:29,3,3,36,33,1547,6.1,1.0,3,0,llama-8b,domain,285,77.1,CPU-intensive
42,2026-07-15 23:05:29,3,3,37,33,1562,6.3,1.0,3,0,llama-8b,domain,285,82.6,CPU-intensive
43,2026-07-15 23:06:30,3,3,76,33,1588,5.9,1.0,3,0,llama-8b,domain,285,288.9,CPU-intensive
44,2026-07-15 23:07:30,3,3,84,33,1649,6.1,1.0,3,0,llama-8b,domain,285,159.6,CPU-intensive
45,2026-07-15 23:08:31,3,3,72,33,1697,6.5,1.0,3,0,llama-8b,domain,285,116.7,CPU-intensive
46,2026-07-15 23:09:31,3,3,37,33,1578,5.9,1.0,3,0,llama-8b,domain,285,207.7,CPU-intensive
47,2026-07-15 23:10:32,3,3,34,33,1340,6.4,1.0,3,0,llama-8b,domain,285,87.5,CPU-intensive
48,2026-07-15 23:11:32,3,3,28,33,1242,6.0,1.0,3,0,llama-8b,domain,285,82.3,CPU-intensive
49,2026-07-15 23:12:33,3,3,31,33,1264,6.6,1.0,3,0,llama-8b,domain,285,86.3,CPU-intensive
50,2026-07-15 23:13:33,3,3,33,33,1372,8.0,1.0,3,0,llama-8b,domain,285,96.6,CPU-intensive
51,2026-07-15 23:14:33,3,3,37,33,1378,6.0,1.0,3,0,llama-8b,domain,285,86.3,CPU-intensive
52,2026-07-15 23:15:34,3,3,37,33,1223,6.0,1.0,3,0,llama-8b,domain,285,78.6,CPU-intensive
53,2026-07-15 23:16:34,3,3,36,33,1002,5.9,1.0,3,0,llama-8b,domain,285,139.8,CPU-intensive
54,2026-07-15 23:17:34,3,3,26,33,802,6.0,1.0,3,0,llama-8b,domain,284,88.6,CPU-intensive
55,2026-07-15 23:18:35,3,3,25,33,688,6.0,1.0,3,0,llama-8b,domain,284,105.3,CPU-intensive
56,2026-07-15 23:19:35,3,3,22,33,653,5.9,1.0,3,0,llama-8b,domain,284,76.7,CPU-intensive
57,2026-07-15 23:20:36,3,3,21,33,669,5.9,1.0,3,0,llama-8b,domain,284,79.0,CPU-intensive
58,2026-07-15 23:21:36,3,3,19,33,650,6.1,1.0,3,0,llama-8b,domain,284,78.7,CPU-intensive
59,2026-07-15 23:22:36,3,3,18,33,678,6.0,1.0,3,0,llama-8b,domain,284,84.5,CPU-intensive
60,2026-07-15 23:23:37,3,3,20,33,853,6.4,1.0,3,0,llama-8b,domain,284,89.6,CPU-intensive
61,2026-07-15 23:24:37,3,3,24,33,1133,6.1,1.0,3,0,llama-8b,domain,285,76.9,CPU-intensive
62,2026-07-15 23:25:37,3,3,31,33,1404,6.2,1.0,3,0,llama-8b,domain,285,79.3,CPU-intensive
63,2026-07-15 23:26:38,3,3,32,33,1555,7.3,1.0,3,0,llama-8b,domain,285,80.5,CPU-intensive
64,2026-07-15 23:27:38,3,3,35,33,1670,6.0,1.0,3,0,llama-8b,domain,285,113.3,CPU-intensive
65,2026-07-15 23:28:39,3,3,37,33,1691,6.3,1.0,3,0,llama-8b,domain,285,96.8,CPU-intensive
66,2026-07-15 23:29:39,3,3,35,33,1666,6.0,1.0,3,0,llama-8b,domain,285,107.7,CPU-intensive
67,2026-07-15 23:30:39,3,3,37,33,1719,8.2,1.0,3,0,llama-8b,domain,285,102.7,CPU-intensive
68,2026-07-15 23:31:40,3,3,40,33,1737,7.4,1.0,3,0,llama-8b,domain,285,117.4,CPU-intensive
69,2026-07-15 23:32:40,3,3,42,33,1731,5.9,1.0,3,0,llama-8b,domain,285,80.8,CPU-intensive
70,2026-07-15 23:33:40,3,3,39,33,1553,5.9,1.0,3,0,llama-8b,domain,285,130.9,CPU-intensive
71,2026-07-15 23:34:41,3,3,40,33,1325,6.3,1.0,3,0,llama-8b,domain,285,106.4,CPU-intensive
72,2026-07-15 23:35:41,3,3,25,33,1078,6.0,1.0,3,0,llama-8b,domain,285,105.3,CPU-intensive
73,2026-07-15 23:36:42,3,3,30,33,1374,5.9,1.0,3,0,llama-8b,domain,285,104.1,CPU-intensive
74,2026-07-15 23:37:42,3,3,35,33,1480,6.0,1.0,3,0,llama-8b,domain,285,98.5,CPU-intensive
75,2026-07-15 23:38:42,3,3,37,33,1403,5.9,1.0,3,0,llama-8b,domain,285,91.6,CPU-intensive
76,2026-07-15 23:39:43,3,3,36,33,1167,6.1,1.0,3,0,llama-8b,domain,285,107.3,CPU-intensive
77,2026-07-15 23:40:43,3,3,30,33,910,6.4,1.0,3,0,llama-8b,domain,284,89.5,CPU-intensive
78,2026-07-15 23:41:44,3,3,28,33,721,6.2,1.0,3,0,llama-8b,domain,284,94.1,CPU-intensive
