step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-17 21:18:03,960,960,64.8,40.4,122.0,448.4,960,0,1.0
1,2026-07-17 21:19:03,1022,1022,49.2,38.7,85.9,156.4,1022,0,1.0
2,2026-07-17 21:20:03,1122,1122,47.4,37.4,81.7,152.1,1122,0,1.0
3,2026-07-17 21:21:03,1096,1096,48.1,37.7,84.9,151.5,1096,0,1.0
4,2026-07-17 21:22:03,905,905,52.2,40.8,94.7,144.3,905,0,1.0
5,2026-07-17 21:23:03,703,704,63.4,50.4,113.5,159.7,703,0,1.0
6,2026-07-17 21:24:03,572,572,76.1,67.3,132.3,231.2,572,0,1.0
7,2026-07-17 21:25:03,486,486,81.0,77.6,135.2,189.0,486,0,1.0
8,2026-07-17 21:26:03,458,458,82.7,77.5,137.3,218.0,458,0,1.0
9,2026-07-17 21:27:03,488,488,78.3,73.6,132.5,166.1,488,0,1.0
10,2026-07-17 21:28:03,515,516,75.4,70.5,130.3,166.3,515,0,1.0
11,2026-07-17 21:29:03,592,593,72.6,61.9,128.2,236.1,592,0,1.0
12,2026-07-17 21:30:03,786,786,58.1,44.9,109.0,177.9,786,0,1.0
13,2026-07-17 21:31:03,1041,1041,48.9,38.2,87.8,151.0,1041,0,1.0
14,2026-07-17 21:32:03,1258,1258,45.5,36.5,77.9,135.7,1258,0,1.0
15,2026-07-17 21:33:03,1359,1359,45.2,36.6,73.9,132.9,1359,0,1.0
16,2026-07-17 21:34:03,1406,1406,42.2,36.5,54.4,125.8,1406,0,1.0
17,2026-07-17 21:35:03,1405,1405,41.9,36.4,52.8,125.0,1405,0,1.0
18,2026-07-17 21:36:03,1396,1396,44.7,36.4,65.4,152.7,1396,0,1.0
19,2026-07-17 21:37:03,1411,1411,43.5,36.3,58.4,141.4,1411,0,1.0
20,2026-07-17 21:38:03,1437,1437,41.6,36.3,52.0,121.8,1437,0,1.0
21,2026-07-17 21:39:03,1392,1392,42.9,36.3,56.0,128.8,1392,0,1.0
22,2026-07-17 21:40:03,1242,1242,45.4,36.4,74.6,140.3,1242,0,1.0
23,2026-07-17 21:41:03,1054,1054,50.1,38.3,91.7,154.9,1054,0,1.0
24,2026-07-17 21:42:03,968,967,51.6,39.7,96.7,146.3,968,0,1.0
25,2026-07-17 21:43:03,1008,1008,50.5,39.0,90.7,150.9,1008,0,1.0
26,2026-07-17 21:44:03,1107,1107,46.4,37.2,83.4,133.4,1107,0,1.0
27,2026-07-17 21:45:03,1108,1108,47.0,37.1,83.5,140.6,1108,0,1.0
28,2026-07-17 21:46:03,998,998,49.7,39.1,89.0,147.4,998,0,1.0
29,2026-07-17 21:47:03,817,817,55.3,42.7,105.0,162.4,817,0,1.0
30,2026-07-17 21:48:03,655,656,63.7,51.5,114.5,153.2,655,0,1.0
31,2026-07-17 21:49:02,560,560,73.6,66.6,130.3,188.8,560,0,1.0
32,2026-07-17 21:50:03,517,517,80.2,69.8,137.9,223.7,517,0,1.0
33,2026-07-17 21:51:03,533,533,79.6,72.2,140.4,235.2,533,0,1.0
34,2026-07-17 21:52:02,548,549,76.7,70.1,134.8,220.0,548,0,1.0
35,2026-07-17 21:53:02,596,597,74.4,65.9,132.0,205.2,596,0,1.0
36,2026-07-17 21:54:02,768,768,57.8,45.7,105.9,153.4,768,0,1.0
37,2026-07-17 21:55:02,1035,1035,49.2,38.7,89.0,144.4,1035,0,1.0
38,2026-07-17 21:56:02,1295,1295,45.7,36.5,74.7,144.8,1295,0,1.0
39,2026-07-17 21:57:02,1435,1435,41.9,36.2,54.3,124.0,1435,0,1.0
40,2026-07-17 21:58:02,1538,1535,41.2,36.2,44.7,135.4,1538,0,1.0
41,2026-07-17 21:59:02,1547,1547,41.8,36.1,52.7,130.6,1547,0,1.0
42,2026-07-17 22:00:02,1562,1562,39.4,36.1,40.8,103.2,1562,0,1.0
43,2026-07-17 22:01:02,1588,1588,40.5,36.1,44.1,126.9,1588,0,1.0
44,2026-07-17 22:02:02,1649,1649,38.3,36.1,39.6,81.2,1649,0,1.0
45,2026-07-17 22:03:02,1697,1697,39.0,36.1,39.8,92.5,1697,0,1.0
46,2026-07-17 22:04:02,1578,1577,39.6,35.8,43.6,99.7,1578,0,1.0
47,2026-07-17 22:05:02,1340,1340,42.8,36.0,55.9,133.7,1340,0,1.0
48,2026-07-17 22:06:02,1242,1242,47.6,36.4,81.5,153.3,1242,0,1.0
49,2026-07-17 22:07:02,1264,1264,45.4,36.3,75.9,141.0,1264,0,1.0
50,2026-07-17 22:08:02,1372,1372,44.3,36.0,62.3,138.7,1372,0,1.0
51,2026-07-17 22:09:02,1378,1378,45.4,36.0,75.0,153.9,1378,0,1.0
52,2026-07-17 22:10:02,1223,1223,45.8,36.4,76.7,137.6,1223,0,1.0
53,2026-07-17 22:11:02,1002,1002,49.0,39.0,86.2,146.0,1002,0,1.0
54,2026-07-17 22:12:02,802,801,56.5,44.2,105.8,150.8,802,0,1.0
55,2026-07-17 22:13:03,688,689,62.5,49.0,115.5,165.4,688,0,1.0
56,2026-07-17 22:14:02,653,653,67.5,51.3,125.8,161.7,653,0,1.0
57,2026-07-17 22:15:02,669,670,65.5,51.3,122.8,164.1,669,0,1.0
58,2026-07-17 22:16:02,650,650,66.5,50.1,120.1,207.8,650,0,1.0
59,2026-07-17 22:17:02,678,678,62.5,47.8,114.3,147.6,678,0,1.0
