step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-18 04:36:44,960,960,66.9,40.4,127.4,438.2,960,0,1.0
1,2026-07-18 04:37:44,1022,1022,95.6,41.1,218.0,710.3,1022,0,1.0
2,2026-07-18 04:38:44,1122,1118,67.4,38.9,135.1,385.5,1122,0,1.0
3,2026-07-18 04:39:44,1096,1096,53.3,37.8,97.8,225.0,1096,0,1.0
4,2026-07-18 04:40:44,905,905,50.4,40.4,87.3,160.0,905,0,1.0
5,2026-07-18 04:41:44,703,704,60.2,48.3,108.1,154.0,703,0,1.0
6,2026-07-18 04:42:44,572,572,70.1,56.5,123.8,210.5,572,0,1.0
7,2026-07-18 04:43:44,486,486,78.0,72.9,134.9,171.6,486,0,1.0
8,2026-07-18 04:44:44,458,459,80.7,77.5,135.3,202.7,458,0,1.0
9,2026-07-18 04:45:44,488,489,76.0,72.8,127.0,165.1,488,0,1.0
10,2026-07-18 04:46:44,515,516,77.1,75.1,133.9,195.1,515,0,1.0
11,2026-07-18 04:47:44,592,593,70.0,60.6,124.9,154.8,592,0,1.0
12,2026-07-18 04:48:44,786,786,54.6,45.0,91.9,145.2,786,0,1.0
13,2026-07-18 04:49:44,1041,1039,48.6,38.0,86.7,154.6,1041,0,1.0
14,2026-07-18 04:50:44,1258,1257,46.6,36.4,80.5,146.3,1258,0,1.0
15,2026-07-18 04:51:44,1359,1359,44.1,36.0,68.4,139.9,1359,0,1.0
16,2026-07-18 04:52:44,1406,1406,45.0,35.9,72.5,148.0,1406,0,1.0
17,2026-07-18 04:53:44,1405,1405,44.4,35.9,69.0,148.3,1405,0,1.0
18,2026-07-18 04:54:44,1396,1393,44.4,36.0,70.7,136.3,1396,0,1.0
19,2026-07-18 04:55:44,1411,1411,44.0,35.8,67.5,145.7,1411,0,1.0
20,2026-07-18 04:56:44,1437,1437,44.4,35.9,66.0,158.0,1437,0,1.0
21,2026-07-18 04:57:44,1392,1392,46.0,35.9,73.2,163.9,1392,0,1.0
22,2026-07-18 04:58:44,1242,1242,45.7,36.0,77.4,158.3,1242,0,1.0
23,2026-07-18 04:59:44,1054,1054,46.8,37.9,82.1,141.4,1054,0,1.0
24,2026-07-18 05:00:44,968,968,50.6,39.6,90.1,138.4,968,0,1.0
25,2026-07-18 05:01:44,1008,1008,50.5,38.8,88.3,171.6,1008,0,1.0
26,2026-07-18 05:02:44,1107,1107,48.9,37.2,87.4,149.4,1107,0,1.0
27,2026-07-18 05:03:44,1108,1108,48.4,37.2,85.8,155.8,1108,0,1.0
28,2026-07-18 05:04:44,998,998,50.0,38.6,88.5,194.4,998,0,1.0
29,2026-07-18 05:05:44,817,817,53.7,43.1,92.8,155.7,817,0,1.0
30,2026-07-18 05:06:44,655,655,62.5,52.4,108.3,138.6,655,0,1.0
31,2026-07-18 05:07:44,560,560,71.7,62.0,126.2,203.6,560,0,1.0
32,2026-07-18 05:08:44,517,517,77.6,69.4,134.1,208.9,517,0,1.0
33,2026-07-18 05:09:44,533,533,79.6,71.8,132.3,237.4,533,0,1.0
34,2026-07-18 05:10:44,548,548,75.7,68.6,131.5,182.9,548,0,1.0
35,2026-07-18 05:11:44,596,596,69.0,60.1,123.0,149.5,596,0,1.0
36,2026-07-18 05:12:44,768,768,59.3,46.8,110.4,146.4,768,0,1.0
37,2026-07-18 05:13:44,1035,1035,50.6,38.0,89.9,161.9,1035,0,1.0
38,2026-07-18 05:14:44,1295,1295,46.9,36.2,79.3,149.3,1295,0,1.0
39,2026-07-18 05:15:44,1435,1435,42.9,35.9,58.4,133.0,1435,0,1.0
40,2026-07-18 05:16:44,1538,1538,41.7,35.7,56.0,128.1,1538,0,1.0
41,2026-07-18 05:17:44,1547,1546,43.0,35.9,59.5,138.1,1547,0,1.0
42,2026-07-18 05:18:44,1562,1562,41.2,35.6,52.4,128.1,1562,0,1.0
43,2026-07-18 05:19:44,1588,1588,40.7,35.6,49.8,119.5,1588,0,1.0
44,2026-07-18 05:20:44,1649,1649,39.2,35.7,39.7,105.2,1649,0,1.0
45,2026-07-18 05:21:44,1697,1697,39.0,36.0,40.4,99.5,1697,0,1.0
46,2026-07-18 05:22:44,1578,1578,42.4,35.7,55.2,154.1,1578,0,1.0
47,2026-07-18 05:23:44,1340,1340,44.1,35.8,68.5,137.8,1340,0,1.0
48,2026-07-18 05:24:44,1242,1242,43.9,35.9,66.2,150.1,1242,0,1.0
49,2026-07-18 05:25:44,1264,1264,44.4,35.8,65.0,151.2,1264,0,1.0
50,2026-07-18 05:26:44,1372,1372,44.0,35.7,68.0,143.2,1372,0,1.0
51,2026-07-18 05:27:44,1378,1378,43.8,35.8,67.4,133.2,1378,0,1.0
52,2026-07-18 05:28:44,1223,1223,46.1,36.2,76.3,156.9,1223,0,1.0
53,2026-07-18 05:29:44,1002,1002,49.2,38.7,86.2,150.0,1002,0,1.0
