step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 22:23:02,960,961,8.4,6.1,17.6,24.2,960,0,1.0
1,2026-07-15 22:24:02,1022,1023,9.2,6.5,20.0,25.3,1022,0,1.0
2,2026-07-15 22:25:02,1122,1123,10.2,6.9,22.7,27.3,1122,0,1.0
3,2026-07-15 22:26:02,1096,1097,10.0,6.9,22.2,28.6,1096,0,1.0
4,2026-07-15 22:27:02,905,906,10.0,6.9,21.5,25.9,905,0,1.0
5,2026-07-15 22:28:02,703,704,10.6,7.2,23.2,26.5,703,0,1.0
6,2026-07-15 22:29:02,572,573,8.9,6.4,19.2,26.2,572,0,1.0
7,2026-07-15 22:30:02,486,487,7.8,6.0,13.3,25.7,486,0,1.0
8,2026-07-15 22:31:02,458,459,7.3,5.9,9.8,23.8,458,0,1.0
9,2026-07-15 22:32:01,488,489,6.7,5.9,6.6,22.7,488,0,1.0
10,2026-07-15 22:33:01,515,516,6.5,5.9,6.6,22.4,515,0,1.0
11,2026-07-15 22:34:01,592,593,6.6,5.9,6.9,21.9,592,0,1.0
12,2026-07-15 22:35:01,786,787,6.3,5.9,6.5,18.2,786,0,1.0
13,2026-07-15 22:36:01,1041,1042,6.5,5.9,6.5,20.5,1041,0,1.0
14,2026-07-15 22:37:01,1258,1259,6.3,5.9,6.4,17.9,1258,0,1.0
15,2026-07-15 22:38:01,1359,1359,6.6,5.9,7.2,18.6,1359,0,1.0
16,2026-07-15 22:39:01,1406,1407,6.7,5.9,7.3,22.3,1406,0,1.0
17,2026-07-15 22:40:01,1405,1406,7.2,5.9,8.4,24.6,1405,0,1.0
18,2026-07-15 22:41:01,1396,1397,7.3,5.9,9.9,24.2,1396,0,1.0
19,2026-07-15 22:42:01,1411,1412,7.1,5.9,8.7,23.9,1411,0,1.0
20,2026-07-15 22:43:01,1437,1438,7.0,5.9,8.3,23.3,1437,0,1.0
21,2026-07-15 22:44:01,1392,1393,7.4,5.9,11.1,24.2,1392,0,1.0
22,2026-07-15 22:45:01,1242,1243,7.5,5.9,12.2,23.5,1242,0,1.0
23,2026-07-15 22:46:01,1054,1055,7.9,6.0,15.7,24.3,1054,0,1.0
24,2026-07-15 22:47:01,968,969,8.6,6.2,17.7,25.1,968,0,1.0
25,2026-07-15 22:48:01,1008,1009,9.2,6.7,18.0,25.1,1008,0,1.0
26,2026-07-15 22:49:01,1107,1108,10.0,7.2,20.2,27.3,1107,0,1.0
27,2026-07-15 22:50:01,1108,1108,10.5,7.2,23.2,27.8,1108,0,1.0
28,2026-07-15 22:51:00,998,999,10.7,7.1,22.9,26.5,998,0,1.0
29,2026-07-15 22:52:00,817,818,10.1,7.0,22.9,25.9,817,0,1.0
30,2026-07-15 22:53:00,655,656,9.6,6.5,22.3,26.1,655,0,1.0
31,2026-07-15 22:54:00,560,561,8.3,6.1,17.7,25.7,560,0,1.0
32,2026-07-15 22:55:00,517,518,7.9,5.9,16.0,27.0,517,0,1.0
33,2026-07-15 22:56:00,533,534,6.8,5.9,8.1,20.4,533,0,1.0
34,2026-07-15 22:57:00,548,549,6.5,5.9,6.8,19.6,548,0,1.0
35,2026-07-15 22:58:00,596,597,6.2,5.9,6.4,16.3,596,0,1.0
36,2026-07-15 22:59:00,768,769,6.3,5.9,6.4,19.0,768,0,1.0
37,2026-07-15 23:00:00,1035,1036,6.1,5.9,6.3,12.3,1035,0,1.0
38,2026-07-15 23:01:00,1295,1296,6.2,5.9,6.4,17.8,1295,0,1.0
39,2026-07-15 23:02:00,1435,1436,6.3,5.9,6.5,17.5,1435,0,1.0
40,2026-07-15 23:03:00,1538,1539,6.3,5.9,6.5,17.9,1538,0,1.0
41,2026-07-15 23:04:00,1547,1548,6.9,5.9,7.5,23.4,1547,0,1.0
42,2026-07-15 23:05:00,1562,1562,10.3,6.2,20.6,24.3,1562,0,1.0
43,2026-07-15 23:06:00,1588,1588,16.9,16.5,23.8,26.2,1588,0,1.0
44,2026-07-15 23:07:00,1649,1650,17.3,17.8,25.2,26.9,1649,0,1.0
45,2026-07-15 23:08:00,1697,1697,15.3,15.0,22.2,26.4,1697,0,1.0
46,2026-07-15 23:09:00,1578,1579,8.1,6.0,17.1,25.5,1578,0,1.0
47,2026-07-15 23:10:00,1340,1341,7.8,6.0,14.8,24.9,1340,0,1.0
48,2026-07-15 23:10:59,1242,1243,7.3,5.9,9.6,23.6,1242,0,1.0
49,2026-07-15 23:11:59,1264,1265,7.6,5.9,14.5,23.3,1264,0,1.0
50,2026-07-15 23:12:59,1372,1373,8.2,6.1,17.7,24.7,1372,0,1.0
51,2026-07-15 23:13:59,1378,1379,9.0,6.4,18.3,25.8,1378,0,1.0
52,2026-07-15 23:14:59,1223,1224,10.2,7.1,22.5,26.5,1223,0,1.0
53,2026-07-15 23:15:59,1002,1002,11.3,7.6,24.0,26.7,1002,0,1.0
54,2026-07-15 23:16:59,802,803,11.8,8.2,25.0,27.3,802,0,1.0
55,2026-07-15 23:17:59,688,689,11.3,7.6,24.7,26.5,688,0,1.0
56,2026-07-15 23:18:59,653,654,10.9,7.5,23.2,27.1,653,0,1.0
57,2026-07-15 23:19:59,669,670,10.3,7.0,22.7,26.2,669,0,1.0
58,2026-07-15 23:20:59,650,651,8.7,6.4,17.8,26.3,650,0,1.0
59,2026-07-15 23:21:59,678,679,7.7,6.0,12.3,25.8,678,0,1.0
60,2026-07-15 23:22:59,853,854,6.9,5.9,7.8,23.5,853,0,1.0
61,2026-07-15 23:23:59,1133,1134,6.8,5.9,7.2,22.6,1133,0,1.0
62,2026-07-15 23:24:59,1404,1405,6.6,5.9,7.0,22.2,1404,0,1.0
63,2026-07-15 23:25:59,1555,1556,6.6,5.9,6.7,22.0,1555,0,1.0
64,2026-07-15 23:26:59,1670,1671,6.6,5.9,6.8,22.7,1670,0,1.0
65,2026-07-15 23:27:59,1691,1692,6.6,5.9,7.0,23.3,1691,0,1.0
66,2026-07-15 23:28:59,1666,1667,6.8,5.9,7.6,23.0,1666,0,1.0
67,2026-07-15 23:29:59,1719,1720,6.6,5.9,6.9,22.6,1719,0,1.0
68,2026-07-15 23:30:59,1737,1738,7.0,5.9,8.3,23.8,1737,0,1.0
69,2026-07-15 23:31:59,1731,1732,7.8,6.0,15.5,23.5,1731,0,1.0
70,2026-07-15 23:32:59,1553,1554,8.3,6.1,17.8,24.4,1553,0,1.0
71,2026-07-15 23:33:58,1325,1326,8.6,6.0,17.6,29.1,1325,0,1.0
72,2026-07-15 23:34:58,1078,1079,7.1,5.9,8.0,23.5,1078,0,1.0
73,2026-07-15 23:35:58,1374,1375,7.5,5.9,11.2,23.7,1374,0,1.0
74,2026-07-15 23:36:58,1480,1481,7.5,6.0,11.1,23.4,1480,0,1.0
75,2026-07-15 23:37:58,1403,1404,8.5,6.2,18.1,23.7,1403,0,1.0
76,2026-07-15 23:38:58,1167,1168,9.6,6.7,21.4,26.2,1167,0,1.0
77,2026-07-15 23:39:58,910,911,10.7,7.1,23.1,27.7,910,0,1.0
78,2026-07-15 23:40:58,721,722,11.4,7.6,24.6,26.8,721,0,1.0
79,2026-07-15 23:41:58,623,624,11.5,7.5,24.9,26.9,623,0,1.0
80,2026-07-15 23:42:58,555,556,11.2,7.6,22.8,27.3,555,0,1.0
81,2026-07-15 23:43:58,574,575,10.3,7.3,22.6,27.8,574,0,1.0
82,2026-07-15 23:44:58,603,604,9.4,6.5,21.5,27.4,603,0,1.0
83,2026-07-15 23:45:58,705,706,7.7,6.0,14.3,24.7,705,0,1.0
84,2026-07-15 23:46:58,900,901,7.3,5.9,10.4,24.9,900,0,1.0
85,2026-07-15 23:47:58,1149,1150,6.6,5.9,6.5,21.0,1149,0,1.0
86,2026-07-15 23:48:58,1383,1384,6.3,5.9,6.4,17.8,1383,0,1.0
87,2026-07-15 23:49:58,1483,1484,6.3,5.9,6.4,17.8,1483,0,1.0
88,2026-07-15 23:50:58,1561,1562,6.3,5.9,6.5,17.7,1561,0,1.0
89,2026-07-15 23:51:58,1558,1559,6.2,5.9,6.3,15.7,1558,0,1.0
90,2026-07-15 23:52:58,1552,1553,6.1,5.9,6.4,12.6,1552,0,1.0
91,2026-07-15 23:53:58,1548,1549,6.2,5.9,6.5,11.6,1548,0,1.0
