step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 03:17:12,960,960,56.1,39.1,99.3,276.1,960,0,1.0
1,2026-07-16 03:18:12,1022,1021,59.1,38.7,113.4,273.6,1022,0,1.0
2,2026-07-16 03:19:13,1122,1122,60.9,37.7,120.8,305.2,1122,0,1.0
3,2026-07-16 03:20:13,1096,1096,65.5,37.7,120.3,525.3,1096,0,1.0
4,2026-07-16 03:21:13,905,905,50.4,39.8,87.6,136.1,905,0,1.0
5,2026-07-16 03:22:12,703,704,55.6,47.6,89.7,132.3,703,0,1.0
6,2026-07-16 03:23:12,572,572,69.0,60.3,118.2,219.0,572,0,1.0
7,2026-07-16 03:24:12,486,486,70.7,63.8,116.7,159.9,486,0,1.0
8,2026-07-16 03:25:12,458,458,69.0,62.3,108.2,148.2,458,0,1.0
9,2026-07-16 03:26:12,488,489,64.5,59.0,98.0,137.6,488,0,1.0
10,2026-07-16 03:27:12,515,515,59.0,55.2,84.0,132.0,515,0,1.0
11,2026-07-16 03:28:12,592,592,53.1,49.4,72.2,119.9,592,0,1.0
12,2026-07-16 03:29:12,786,786,47.9,40.7,72.4,120.0,786,0,1.0
13,2026-07-16 03:30:12,1041,1041,44.4,37.3,68.4,125.7,1041,0,1.0
14,2026-07-16 03:31:12,1258,1258,43.2,37.1,63.9,118.6,1258,0,1.0
15,2026-07-16 03:32:12,1359,1358,41.2,37.0,47.7,110.6,1359,0,1.0
16,2026-07-16 03:33:12,1406,1406,40.9,37.0,46.2,112.3,1406,0,1.0
17,2026-07-16 03:34:12,1405,1405,40.5,36.6,45.9,107.2,1405,0,1.0
18,2026-07-16 03:35:12,1396,1396,41.5,36.4,49.9,129.7,1396,0,1.0
19,2026-07-16 03:36:12,1411,1411,41.3,36.4,50.8,110.8,1411,0,1.0
20,2026-07-16 03:37:12,1437,1437,42.8,36.0,59.3,131.6,1437,0,1.0
21,2026-07-16 03:38:12,1392,1392,42.7,36.0,57.0,132.2,1392,0,1.0
22,2026-07-16 03:39:12,1242,1242,45.3,36.2,75.9,133.2,1242,0,1.0
23,2026-07-16 03:40:12,1054,1053,46.9,37.3,82.8,129.6,1054,0,1.0
24,2026-07-16 03:41:12,968,966,52.1,39.4,94.1,157.9,968,0,1.0
