step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 01:12:56,960,960,53.0,38.0,89.6,217.4,960,0,1.0
1,2026-07-16 01:13:56,1022,1022,49.8,37.4,82.9,185.4,1022,0,1.0
2,2026-07-16 01:14:56,1122,1122,51.5,37.3,84.0,195.6,1122,0,1.0
3,2026-07-16 01:15:56,1096,1096,49.4,37.7,82.6,169.8,1096,0,1.0
4,2026-07-16 01:16:56,905,905,52.9,40.2,93.8,176.1,905,0,1.0
5,2026-07-16 01:17:56,703,703,60.6,49.5,101.8,157.8,703,0,1.0
6,2026-07-16 01:18:56,572,573,69.9,62.8,121.0,153.5,572,0,1.0
7,2026-07-16 01:19:56,486,486,74.5,66.5,126.7,169.8,486,0,1.0
8,2026-07-16 01:20:55,458,459,77.4,73.5,126.5,160.1,458,0,1.0
9,2026-07-16 01:21:55,488,489,74.5,68.4,121.0,163.7,488,0,1.0
10,2026-07-16 01:22:55,515,515,66.6,59.4,105.0,143.6,515,0,1.0
11,2026-07-16 01:23:55,592,592,59.8,52.9,95.6,142.3,592,0,1.0
12,2026-07-16 01:24:55,786,786,49.1,42.2,71.3,128.1,786,0,1.0
13,2026-07-16 01:25:55,1041,1041,49.8,37.5,78.9,203.5,1041,0,1.0
14,2026-07-16 01:26:55,1258,1258,45.4,36.7,69.1,146.0,1258,0,1.0
15,2026-07-16 01:27:55,1359,1359,45.9,36.7,71.9,151.2,1359,0,1.0
16,2026-07-16 01:28:55,1406,1406,46.2,36.9,72.1,151.1,1406,0,1.0
17,2026-07-16 01:29:55,1405,1405,48.4,37.0,75.1,192.1,1405,0,1.0
18,2026-07-16 01:30:55,1396,1396,42.9,36.6,60.0,137.4,1396,0,1.0
19,2026-07-16 01:31:55,1411,1411,43.3,36.7,60.3,149.0,1411,0,1.0
20,2026-07-16 01:32:55,1437,1437,44.0,36.5,65.2,151.5,1437,0,1.0
21,2026-07-16 01:33:55,1392,1392,46.3,36.7,73.0,156.9,1392,0,1.0
22,2026-07-16 01:34:55,1242,1242,55.1,37.2,90.6,338.2,1242,0,1.0
23,2026-07-16 01:35:55,1054,1054,47.0,37.4,78.1,154.9,1054,0,1.0
24,2026-07-16 01:36:55,968,968,47.9,38.1,81.5,133.6,968,0,1.0
25,2026-07-16 01:37:55,1008,1008,46.9,37.6,79.0,131.3,1008,0,1.0
26,2026-07-16 01:38:55,1107,1107,46.4,37.0,78.8,138.6,1107,0,1.0
27,2026-07-16 01:39:55,1108,1108,49.5,37.3,86.9,158.3,1108,0,1.0
28,2026-07-16 01:40:55,998,997,51.1,38.7,87.8,201.3,998,0,1.0
29,2026-07-16 01:41:55,817,817,52.5,42.5,88.6,135.6,817,0,1.0
30,2026-07-16 01:42:55,655,656,67.1,55.8,119.0,244.9,655,0,1.0
31,2026-07-16 01:43:55,560,560,69.8,64.6,119.3,159.1,560,0,1.0
32,2026-07-16 01:44:55,517,517,73.0,64.9,124.4,161.1,517,0,1.0
33,2026-07-16 01:45:55,533,534,70.8,63.4,121.0,151.5,533,0,1.0
34,2026-07-16 01:46:55,548,548,68.6,60.3,116.3,155.4,548,0,1.0
35,2026-07-16 01:47:55,596,596,61.9,52.7,98.0,161.2,596,0,1.0
36,2026-07-16 01:48:55,768,768,51.2,42.7,78.3,133.0,768,0,1.0
