step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 17:38:52,960,961,17.9,19.5,25.2,26.5,960,0,1.0
1,2026-07-16 17:39:52,1022,1023,19.1,20.5,25.3,27.2,1022,0,1.0
2,2026-07-16 17:40:52,1122,1123,18.8,19.5,25.3,27.2,1122,0,1.0
3,2026-07-16 17:41:52,1096,1096,18.3,19.4,25.3,27.3,1096,0,1.0
4,2026-07-16 17:42:52,905,906,20.1,22.8,25.5,27.1,905,0,1.0
5,2026-07-16 17:43:52,703,704,20.9,22.9,25.5,27.0,703,0,1.0
6,2026-07-16 17:44:52,572,573,21.6,23.1,25.6,28.2,572,0,1.0
7,2026-07-16 17:45:52,486,487,22.0,23.1,25.5,26.8,486,0,1.0
8,2026-07-16 17:46:52,458,459,21.5,23.0,25.4,27.1,458,0,1.0
9,2026-07-16 17:47:52,488,489,21.3,23.2,25.5,28.2,488,0,1.0
10,2026-07-16 17:48:51,515,516,15.2,13.2,25.1,26.5,515,0,1.0
11,2026-07-16 17:49:51,592,593,16.0,15.4,25.2,26.6,592,0,1.0
12,2026-07-16 17:50:51,786,787,18.0,22.9,25.3,26.6,786,0,1.0
13,2026-07-16 17:51:51,1041,1041,17.3,21.5,25.3,27.5,1041,0,1.0
14,2026-07-16 17:52:51,1258,1259,16.9,19.1,25.4,28.0,1258,0,1.0
15,2026-07-16 17:53:51,1359,1360,15.1,13.6,25.2,26.4,1359,0,1.0
16,2026-07-16 17:54:51,1406,1407,10.6,7.4,22.7,25.6,1406,0,1.0
17,2026-07-16 17:55:51,1405,1406,9.2,6.5,19.6,25.4,1405,0,1.0
18,2026-07-16 17:56:51,1396,1397,9.6,6.6,21.9,25.7,1396,0,1.0
19,2026-07-16 17:57:51,1411,1412,10.4,7.2,23.2,25.7,1411,0,1.0
20,2026-07-16 17:58:51,1437,1438,9.7,6.6,22.7,25.4,1437,0,1.0
21,2026-07-16 17:59:51,1392,1393,9.9,6.9,22.5,25.7,1392,0,1.0
22,2026-07-16 18:00:51,1242,1243,10.7,7.3,23.3,25.6,1242,0,1.0
23,2026-07-16 18:01:51,1054,1055,10.7,7.2,23.2,25.5,1054,0,1.0
24,2026-07-16 18:02:51,968,969,11.2,7.4,24.2,25.8,968,0,1.0
25,2026-07-16 18:03:51,1008,1009,10.7,7.2,23.4,25.9,1008,0,1.0
26,2026-07-16 18:04:51,1107,1108,10.6,7.1,23.6,25.5,1107,0,1.0
27,2026-07-16 18:05:51,1108,1109,9.4,6.6,21.2,25.4,1108,0,1.0
28,2026-07-16 18:06:51,998,999,9.4,6.5,22.5,25.7,998,0,1.0
29,2026-07-16 18:07:51,817,818,9.3,6.6,22.2,25.2,817,0,1.0
30,2026-07-16 18:08:51,655,656,9.3,6.5,22.4,25.5,655,0,1.0
31,2026-07-16 18:09:50,560,561,9.5,6.7,22.1,25.2,560,0,1.0
32,2026-07-16 18:10:50,517,518,10.8,7.1,23.6,25.6,517,0,1.0
33,2026-07-16 18:11:50,533,534,11.2,7.6,23.7,26.1,533,0,1.0
34,2026-07-16 18:12:50,548,549,11.3,7.7,24.3,25.4,548,0,1.0
35,2026-07-16 18:13:50,596,597,10.9,7.0,24.5,25.5,596,0,1.0
36,2026-07-16 18:14:50,768,769,10.6,7.1,24.6,26.2,768,0,1.0
37,2026-07-16 18:15:50,1035,1036,10.2,6.9,23.1,25.6,1035,0,1.0
38,2026-07-16 18:16:50,1295,1296,11.4,7.7,24.9,25.8,1295,0,1.0
39,2026-07-16 18:17:50,1435,1435,11.1,7.5,24.2,25.5,1435,0,1.0
40,2026-07-16 18:18:50,1538,1538,10.4,7.1,22.8,25.5,1538,0,1.0
41,2026-07-16 18:19:50,1547,1547,10.8,7.2,23.6,25.6,1547,0,1.0
42,2026-07-16 18:20:50,1562,1563,12.0,8.2,24.9,25.7,1562,0,1.0
43,2026-07-16 18:21:50,1588,1589,11.9,8.3,24.8,25.7,1588,0,1.0
44,2026-07-16 18:22:50,1649,1649,12.6,9.5,24.9,26.0,1649,0,1.0
45,2026-07-16 18:23:50,1697,1697,13.1,9.9,25.0,26.2,1697,0,1.0
46,2026-07-16 18:24:50,1578,1579,14.8,12.9,25.2,26.2,1578,0,1.0
47,2026-07-16 18:25:50,1340,1341,12.9,9.6,25.0,25.7,1340,0,1.0
48,2026-07-16 18:26:50,1242,1242,13.7,10.4,25.0,26.6,1242,0,1.0
49,2026-07-16 18:27:50,1264,1265,13.6,10.4,25.0,26.4,1264,0,1.0
50,2026-07-16 18:28:50,1372,1373,12.4,8.8,24.9,25.8,1372,0,1.0
51,2026-07-16 18:29:50,1378,1379,14.3,13.5,24.1,26.2,1378,0,1.0
52,2026-07-16 18:30:50,1223,1224,15.1,15.3,24.8,26.0,1223,0,1.0
53,2026-07-16 18:31:50,1002,1003,12.3,8.5,24.9,25.8,1002,0,1.0
54,2026-07-16 18:32:50,802,803,11.9,7.8,24.9,26.1,802,0,1.0
55,2026-07-16 18:33:50,688,689,11.6,7.6,24.9,26.0,688,0,1.0
56,2026-07-16 18:34:49,653,654,12.1,8.2,24.9,25.4,653,0,1.0
57,2026-07-16 18:35:49,669,670,12.1,8.0,24.9,25.8,669,0,1.0
58,2026-07-16 18:36:49,650,651,10.9,7.3,24.3,25.4,650,0,1.0
59,2026-07-16 18:37:49,678,679,10.7,7.3,23.9,25.4,678,0,1.0
60,2026-07-16 18:38:49,853,854,10.6,7.2,23.2,25.6,853,0,1.0
61,2026-07-16 18:39:49,1133,1134,10.4,7.0,23.2,26.4,1133,0,1.0
62,2026-07-16 18:40:49,1404,1404,11.4,7.7,24.5,25.8,1404,0,1.0
63,2026-07-16 18:41:49,1555,1556,12.1,8.3,24.9,26.0,1555,0,1.0
