step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 18:40:46,6,3,60,70,960,361.7,1.0,6,1,gpt-oss-120b,cot,701,5494.249260984361,CPU-intensive,0
1,2026-07-19 18:41:53,3,6,562,68,1022,95.5,1.0,3,1,gpt-oss-120b,cot,1238,60940.679403953254,CPU-intensive,0
2,2026-07-19 18:43:55,5,3,753,35,1122,318.0,1.0,5,1,gpt-oss-120b,cot,689,526.3746087439358,CPU-intensive,0
3,2026-07-19 18:44:57,4,5,607,57,1096,174.4,1.0,4,1,gpt-oss-120b,cot,804,526.1366311460733,CPU-intensive,0
4,2026-07-19 18:45:59,4,4,586,46,905,167.6,1.0,4,0,gpt-oss-120b,cot,531,464.14973912760615,CPU-intensive,0
5,2026-07-19 18:47:00,9,4,492,46,703,422.6,1.0,9,1,gpt-oss-120b,cot,827,636.8644824251533,CPU-intensive,0
6,2026-07-19 18:48:02,3,9,461,101,572,104.7,1.0,3,1,gpt-oss-120b,cot,809,528.3135809004307,CPU-intensive,0
7,2026-07-19 18:49:03,3,3,458,35,486,81.4,1.0,3,0,gpt-oss-120b,cot,647,440.1904512196779,CPU-intensive,0
8,2026-07-19 18:50:05,2,3,449,35,458,79.0,1.0,2,1,gpt-oss-120b,cot,717,436.3281661644578,CPU-intensive,0
9,2026-07-19 18:51:06,3,2,493,24,488,220.1,1.0,3,1,gpt-oss-120b,cot,654,434.8677219823003,CPU-intensive,0
10,2026-07-19 18:52:07,5,3,479,35,515,294.6,1.0,5,1,gpt-oss-120b,cot,778,505.4381606169045,CPU-intensive,0
11,2026-07-19 18:53:09,3,5,603,57,592,82.9,1.0,3,1,gpt-oss-120b,cot,637,397.68663700670004,CPU-intensive,0
12,2026-07-19 18:54:10,5,3,686,35,786,313.4,1.0,5,1,gpt-oss-120b,cot,737,827.268005348742,CPU-intensive,0
13,2026-07-19 18:55:12,4,5,728,57,1041,88.9,1.0,4,1,gpt-oss-120b,cot,769,527.2458498366177,CPU-intensive,0
14,2026-07-19 18:56:14,13,4,761,46,1258,621.3,1.0,13,1,gpt-oss-120b,cot,732,478.5930668003857,CPU-intensive,0
15,2026-07-19 18:57:16,4,13,782,145,1359,62.2,1.0,4,1,gpt-oss-120b,cot,761,479.6053320169449,CPU-intensive,0
