step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-18 21:58:09,3,3,7,77,960,5.4,1.0,3,0,gpt-oss-120b,zero_shot,703,31188.984671141952,CPU-intensive,0
1,2026-07-18 21:59:40,1,3,59,33,1022,5.4,1.0,1,1,gpt-oss-120b,zero_shot,544,491.5978997014463,CPU-intensive,0
2,2026-07-18 22:00:41,1,1,61,12,1122,5.3,1.0,1,0,gpt-oss-120b,zero_shot,384,301.09671829268336,CPU-intensive,0
3,2026-07-18 22:01:42,1,1,63,11,1096,5.4,1.0,1,0,gpt-oss-120b,zero_shot,466,330.36879217252135,CPU-intensive,0
4,2026-07-18 22:02:43,1,1,52,12,905,5.5,1.0,1,0,gpt-oss-120b,zero_shot,585,438.4760898537934,CPU-intensive,0
5,2026-07-18 22:03:43,1,1,41,11,703,6.4,1.0,1,0,gpt-oss-120b,zero_shot,511,644.200764130801,CPU-intensive,0
6,2026-07-18 22:04:44,1,1,34,11,572,5.3,1.0,1,0,gpt-oss-120b,zero_shot,651,442.8662620484829,CPU-intensive,0
7,2026-07-18 22:05:45,1,1,29,11,486,5.4,1.0,1,0,gpt-oss-120b,zero_shot,426,297.97327565029263,CPU-intensive,0
8,2026-07-18 22:06:46,1,1,27,12,458,7.1,1.0,1,0,gpt-oss-120b,zero_shot,398,342.81817311421037,CPU-intensive,0
9,2026-07-18 22:07:46,1,1,28,12,488,5.2,1.0,1,0,gpt-oss-120b,zero_shot,354,384.9330209195614,CPU-intensive,0
10,2026-07-18 22:08:47,1,1,30,11,515,5.5,1.0,1,0,gpt-oss-120b,zero_shot,513,370.7510628737509,CPU-intensive,0
11,2026-07-18 22:09:48,1,1,35,11,592,11.4,1.0,1,0,gpt-oss-120b,zero_shot,508,528.6235357634723,CPU-intensive,0
12,2026-07-18 22:10:49,1,1,46,11,786,6.1,1.0,1,0,gpt-oss-120b,zero_shot,515,350.14121793210506,CPU-intensive,0
13,2026-07-18 22:11:49,1,1,58,12,1041,5.8,1.0,1,0,gpt-oss-120b,zero_shot,375,301.97204602882266,CPU-intensive,0
14,2026-07-18 22:12:50,1,1,72,11,1258,5.4,1.0,1,0,gpt-oss-120b,zero_shot,438,336.0001309774816,CPU-intensive,0
15,2026-07-18 22:13:50,1,1,78,12,1359,5.3,1.0,1,0,gpt-oss-120b,zero_shot,374,317.9591679945588,CPU-intensive,0
16,2026-07-18 22:14:51,1,1,80,11,1406,5.3,1.0,1,0,gpt-oss-120b,zero_shot,367,317.96041782945395,CPU-intensive,0
17,2026-07-18 22:15:52,1,1,80,12,1405,5.3,1.0,1,0,gpt-oss-120b,zero_shot,540,429.47613913565874,CPU-intensive,0
18,2026-07-18 22:16:52,1,1,80,11,1396,6.0,1.0,1,0,gpt-oss-120b,zero_shot,341,265.5246062204242,CPU-intensive,0
19,2026-07-18 22:17:53,1,1,81,12,1411,5.3,1.0,1,0,gpt-oss-120b,zero_shot,319,297.6787271909416,CPU-intensive,0
20,2026-07-18 22:18:54,1,1,81,11,1437,6.1,1.0,1,0,gpt-oss-120b,zero_shot,428,333.8156840763986,CPU-intensive,0
21,2026-07-18 22:19:54,1,1,78,11,1392,5.7,1.0,1,0,gpt-oss-120b,zero_shot,471,389.5659721456468,CPU-intensive,0
22,2026-07-18 22:20:55,1,1,71,12,1242,6.4,1.0,1,0,gpt-oss-120b,zero_shot,420,326.2513750232756,CPU-intensive,0
23,2026-07-18 22:21:56,1,1,61,11,1054,5.2,1.0,1,0,gpt-oss-120b,zero_shot,495,504.0511079132557,CPU-intensive,0
24,2026-07-18 22:22:56,1,1,56,11,968,5.4,1.0,1,0,gpt-oss-120b,zero_shot,406,303.03890397772193,CPU-intensive,0
25,2026-07-18 22:23:57,1,1,57,12,1008,5.2,1.0,1,0,gpt-oss-120b,zero_shot,530,394.7421391494572,CPU-intensive,0
26,2026-07-18 22:24:58,1,1,64,12,1107,5.2,1.0,1,0,gpt-oss-120b,zero_shot,507,375.95210410654545,CPU-intensive,0
27,2026-07-18 22:25:58,1,1,62,11,1108,5.3,1.0,1,0,gpt-oss-120b,zero_shot,520,441.75331899896264,CPU-intensive,0
28,2026-07-18 22:26:59,1,1,57,11,998,7.9,1.0,1,0,gpt-oss-120b,zero_shot,603,460.878592915833,CPU-intensive,0
29,2026-07-18 22:28:00,1,1,47,11,817,5.3,1.0,1,0,gpt-oss-120b,zero_shot,389,401.025447063148,CPU-intensive,0
30,2026-07-18 22:29:01,1,1,39,12,655,5.2,1.0,1,0,gpt-oss-120b,zero_shot,524,368.0055998265743,CPU-intensive,0
31,2026-07-18 22:30:01,2,1,32,11,560,7.2,1.0,2,1,gpt-oss-120b,zero_shot,593,403.92649499699473,CPU-intensive,0
32,2026-07-18 22:31:02,1,2,33,22,517,5.8,1.0,1,1,gpt-oss-120b,zero_shot,480,339.30893102660775,CPU-intensive,0
33,2026-07-18 22:32:03,1,1,32,11,533,5.8,1.0,1,0,gpt-oss-120b,zero_shot,635,413.56024891138077,CPU-intensive,0
34,2026-07-18 22:33:04,1,1,32,11,548,5.9,1.0,1,0,gpt-oss-120b,zero_shot,430,463.8666808605194,CPU-intensive,0
35,2026-07-18 22:34:04,1,1,35,12,596,5.2,1.0,1,0,gpt-oss-120b,zero_shot,469,342.6985051482916,CPU-intensive,0
36,2026-07-18 22:35:05,1,1,45,11,768,5.3,1.0,1,0,gpt-oss-120b,zero_shot,746,518.3281283825636,CPU-intensive,0
37,2026-07-18 22:36:06,1,1,60,12,1035,5.2,1.0,1,0,gpt-oss-120b,zero_shot,447,323.1286648660898,CPU-intensive,0
38,2026-07-18 22:37:07,1,1,74,11,1295,5.3,1.0,1,0,gpt-oss-120b,zero_shot,321,232.16890823096037,CPU-intensive,0
39,2026-07-18 22:38:07,1,1,79,12,1435,5.2,1.0,1,0,gpt-oss-120b,zero_shot,375,320.6675127148628,CPU-intensive,0
40,2026-07-18 22:39:08,1,1,86,12,1538,6.7,1.0,1,0,gpt-oss-120b,zero_shot,369,300.6029590032995,CPU-intensive,0
41,2026-07-18 22:40:08,1,1,87,11,1547,5.3,1.0,1,0,gpt-oss-120b,zero_shot,370,275.2933567389846,CPU-intensive,0
42,2026-07-18 22:41:09,1,1,87,12,1562,5.6,1.0,1,0,gpt-oss-120b,zero_shot,417,453.7365762516856,CPU-intensive,0
43,2026-07-18 22:42:10,1,1,87,11,1588,5.9,1.0,1,0,gpt-oss-120b,zero_shot,416,361.3398061133921,CPU-intensive,0
44,2026-07-18 22:43:10,1,1,87,11,1649,5.3,1.0,1,0,gpt-oss-120b,zero_shot,338,279.4743678532541,CPU-intensive,0
45,2026-07-18 22:44:11,1,1,88,11,1697,5.7,1.0,1,0,gpt-oss-120b,zero_shot,335,245.34449726343155,CPU-intensive,0
46,2026-07-18 22:45:12,1,1,85,12,1578,5.4,1.0,1,0,gpt-oss-120b,zero_shot,416,428.2263168133795,CPU-intensive,0
47,2026-07-18 22:46:12,1,1,74,11,1340,5.4,1.0,1,0,gpt-oss-120b,zero_shot,469,362.03374387696385,CPU-intensive,0
48,2026-07-18 22:47:13,1,1,72,11,1242,9.7,1.0,1,0,gpt-oss-120b,zero_shot,338,280.97386518493295,CPU-intensive,0
