step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-18 03:17:32,1,3,53,33,960,5.5,1.0,1,1,hpa,baseline,0,0.003688037395477295,CPU-intensive,0
1,2026-07-18 03:18:32,1,1,54,11,1022,7.3,1.0,1,0,hpa,baseline,0,0.004064757376909256,CPU-intensive,0
2,2026-07-18 03:19:32,1,1,60,12,1122,5.3,1.0,1,0,hpa,baseline,0,0.0030873343348503113,CPU-intensive,0
3,2026-07-18 03:20:33,1,1,64,11,1096,5.0,1.0,1,0,hpa,baseline,0,0.002835877239704132,CPU-intensive,0
4,2026-07-18 03:21:33,1,1,63,11,905,5.8,1.0,1,0,hpa,baseline,0,0.003402121365070343,CPU-intensive,0
5,2026-07-18 03:22:33,1,1,52,12,703,5.7,1.0,1,0,hpa,baseline,0,0.0031641684472560883,CPU-intensive,0
6,2026-07-18 03:23:34,1,1,40,11,572,5.3,1.0,1,0,hpa,baseline,0,0.003341585397720337,CPU-intensive,0
7,2026-07-18 03:24:34,1,1,33,11,486,6.0,1.0,1,0,hpa,baseline,0,0.004302710294723511,CPU-intensive,0
8,2026-07-18 03:25:34,1,1,28,12,458,5.7,1.0,1,0,hpa,baseline,0,0.0037159770727157593,CPU-intensive,0
9,2026-07-18 03:26:34,1,1,27,11,488,5.9,1.0,1,0,hpa,baseline,0,0.004100147634744644,CPU-intensive,0
10,2026-07-18 03:27:35,1,1,29,11,515,5.4,1.0,1,0,hpa,baseline,0,0.0036028213798999786,CPU-intensive,0
11,2026-07-18 03:28:35,1,1,30,11,592,5.6,1.0,1,0,hpa,baseline,0,0.003603752702474594,CPU-intensive,0
12,2026-07-18 03:29:35,1,1,35,12,786,5.8,1.0,1,0,hpa,baseline,0,0.004028435796499252,CPU-intensive,0
13,2026-07-18 03:30:36,1,1,49,12,1041,5.8,1.0,1,0,hpa,baseline,0,0.003484077751636505,CPU-intensive,0
14,2026-07-18 03:31:36,1,1,59,12,1258,5.4,1.0,1,0,hpa,baseline,0,0.0038892030715942383,CPU-intensive,0
15,2026-07-18 03:32:36,1,1,73,11,1359,5.4,1.0,1,0,hpa,baseline,0,0.0034850090742111206,CPU-intensive,0
16,2026-07-18 03:33:37,1,1,78,12,1406,6.8,1.0,1,0,hpa,baseline,0,0.004268717020750046,CPU-intensive,0
17,2026-07-18 03:34:37,1,1,81,12,1405,5.2,1.0,1,0,hpa,baseline,0,0.0036172568798065186,CPU-intensive,0
18,2026-07-18 03:35:37,1,1,81,12,1396,5.3,1.0,1,0,hpa,baseline,0,0.003116205334663391,CPU-intensive,0
19,2026-07-18 03:36:38,1,1,80,12,1411,5.4,1.0,1,0,hpa,baseline,0,0.0036670826375484467,CPU-intensive,0
20,2026-07-18 03:37:38,1,1,80,11,1437,5.4,1.0,1,0,hpa,baseline,0,0.0036796554923057556,CPU-intensive,0
21,2026-07-18 03:38:38,1,1,81,12,1392,6.2,1.0,1,0,hpa,baseline,0,0.0044852495193481445,CPU-intensive,0
22,2026-07-18 03:39:39,1,1,79,11,1242,5.5,1.0,1,0,hpa,baseline,0,0.00296812504529953,CPU-intensive,0
23,2026-07-18 03:40:39,1,1,68,11,1054,6.4,1.0,1,0,hpa,baseline,0,0.004427041858434677,CPU-intensive,0
24,2026-07-18 03:41:39,1,1,61,12,968,5.6,1.0,1,0,hpa,baseline,0,0.003426801413297653,CPU-intensive,0
25,2026-07-18 03:42:39,1,1,56,11,1008,5.2,1.0,1,0,hpa,baseline,0,0.002919696271419525,CPU-intensive,0
26,2026-07-18 03:43:40,1,1,59,11,1107,5.4,1.0,1,0,hpa,baseline,0,0.0031334348022937775,CPU-intensive,0
27,2026-07-18 03:44:40,1,1,64,11,1108,5.3,1.0,1,0,hpa,baseline,0,0.0035231932997703552,CPU-intensive,0
28,2026-07-18 03:45:40,1,1,63,12,998,5.4,1.0,1,0,hpa,baseline,0,0.0039422884583473206,CPU-intensive,0
29,2026-07-18 03:46:41,1,1,53,11,817,5.3,1.0,1,0,hpa,baseline,0,0.003070104867219925,CPU-intensive,0
30,2026-07-18 03:47:41,1,1,47,11,655,6.1,1.0,1,0,hpa,baseline,0,0.0036871060729026794,CPU-intensive,0
31,2026-07-18 03:48:41,1,1,38,11,560,6.0,1.0,1,0,hpa,baseline,0,0.003951136022806168,CPU-intensive,0
32,2026-07-18 03:49:42,1,1,30,11,517,5.7,1.0,1,0,hpa,baseline,0,0.00337185338139534,CPU-intensive,0
33,2026-07-18 03:50:42,1,1,30,11,533,5.4,1.0,1,0,hpa,baseline,0,0.0033280812203884125,CPU-intensive,0
34,2026-07-18 03:51:42,1,1,32,11,548,5.6,1.0,1,0,hpa,baseline,0,0.003912951797246933,CPU-intensive,0
35,2026-07-18 03:52:43,1,1,35,11,596,6.1,1.0,1,0,hpa,baseline,0,0.0036801211535930634,CPU-intensive,0
36,2026-07-18 03:53:43,1,1,42,11,768,5.4,1.0,1,0,hpa,baseline,0,0.0029248185455799103,CPU-intensive,0
37,2026-07-18 03:54:43,1,1,60,12,1035,5.4,1.0,1,0,hpa,baseline,0,0.003555789589881897,CPU-intensive,0
38,2026-07-18 03:55:44,1,1,64,11,1295,5.4,1.0,1,0,hpa,baseline,0,0.003308989107608795,CPU-intensive,0
39,2026-07-18 03:56:44,1,1,81,12,1435,6.2,1.0,1,0,hpa,baseline,0,0.0030389055609703064,CPU-intensive,0
40,2026-07-18 03:57:44,1,1,83,11,1538,5.3,1.0,1,0,hpa,baseline,0,0.0039460137486457825,CPU-intensive,0
41,2026-07-18 03:58:44,1,1,86,11,1547,5.1,1.0,1,0,hpa,baseline,0,0.0035241246223449707,CPU-intensive,0
42,2026-07-18 03:59:45,1,1,85,11,1562,10.3,1.0,1,0,hpa,baseline,0,0.004112254828214645,CPU-intensive,0
43,2026-07-18 04:00:45,1,1,84,11,1588,6.6,1.0,1,0,hpa,baseline,0,0.00424310564994812,CPU-intensive,0
44,2026-07-18 04:01:45,1,1,87,12,1649,5.6,1.0,1,0,hpa,baseline,0,0.0032316893339157104,CPU-intensive,0
45,2026-07-18 04:02:46,1,1,88,12,1697,5.8,1.0,1,0,hpa,baseline,0,0.0038580037653446198,CPU-intensive,0
46,2026-07-18 04:03:46,1,1,84,12,1578,5.2,1.0,1,0,hpa,baseline,0,0.0032079406082630157,CPU-intensive,0
47,2026-07-18 04:04:46,1,1,77,11,1340,5.4,1.0,1,0,hpa,baseline,0,0.003925058990716934,CPU-intensive,0
48,2026-07-18 04:05:47,1,1,75,11,1242,5.3,1.0,1,0,hpa,baseline,0,0.003261025995016098,CPU-intensive,0
49,2026-07-18 04:06:47,1,1,73,11,1264,5.8,1.0,1,0,hpa,baseline,0,0.004552304744720459,CPU-intensive,0
50,2026-07-18 04:07:47,1,1,77,12,1372,5.3,1.0,1,0,hpa,baseline,0,0.004362314939498901,CPU-intensive,0
51,2026-07-18 04:08:48,1,1,79,12,1378,6.0,1.0,1,0,hpa,baseline,0,0.0033350661396980286,CPU-intensive,0
52,2026-07-18 04:09:48,1,1,70,11,1223,5.2,1.0,1,0,hpa,baseline,0,0.0034151598811149597,CPU-intensive,0
53,2026-07-18 04:10:48,1,1,61,11,1002,5.6,1.0,1,0,hpa,baseline,0,0.0033332034945487976,CPU-intensive,0
54,2026-07-18 04:11:48,1,1,48,11,802,5.3,1.0,1,0,hpa,baseline,0,0.003935769200325012,CPU-intensive,0
55,2026-07-18 04:12:49,1,1,41,12,688,5.4,1.0,1,0,hpa,baseline,0,0.0030728988349437714,CPU-intensive,0
56,2026-07-18 04:13:49,1,1,38,12,653,5.7,1.0,1,0,hpa,baseline,0,0.003111083060503006,CPU-intensive,0
57,2026-07-18 04:14:49,1,1,38,11,669,6.6,1.0,1,0,hpa,baseline,0,0.004023313522338867,CPU-intensive,0
58,2026-07-18 04:15:50,1,1,39,12,650,5.5,1.0,1,0,hpa,baseline,0,0.0035082921385765076,CPU-intensive,0
59,2026-07-18 04:16:50,1,1,35,11,678,6.2,1.0,1,0,hpa,baseline,0,0.004732981324195862,CPU-intensive,0
60,2026-07-18 04:17:50,1,1,46,11,853,5.5,1.0,1,0,hpa,baseline,0,0.0032247044146060944,CPU-intensive,0
61,2026-07-18 04:18:51,1,1,55,11,1133,6.1,1.0,1,0,hpa,baseline,0,0.0035851262509822845,CPU-intensive,0
62,2026-07-18 04:19:51,1,1,81,11,1404,6.9,1.0,1,0,hpa,baseline,0,0.0041746534407138824,CPU-intensive,0
63,2026-07-18 04:20:51,1,1,86,11,1555,5.7,1.0,1,0,hpa,baseline,0,0.003516208380460739,CPU-intensive,0
64,2026-07-18 04:21:52,1,1,88,12,1670,6.3,1.0,1,0,hpa,baseline,0,0.004732050001621246,CPU-intensive,0
65,2026-07-18 04:22:52,1,1,91,11,1691,5.4,1.0,1,0,hpa,baseline,0,0.0036330893635749817,CPU-intensive,0
66,2026-07-18 04:23:52,1,1,88,11,1666,6.3,1.0,1,0,hpa,baseline,0,0.004571862518787384,CPU-intensive,0
67,2026-07-18 04:24:53,1,1,88,12,1719,5.2,1.0,1,0,hpa,baseline,0,0.003560911864042282,CPU-intensive,0
68,2026-07-18 04:25:53,1,1,87,12,1737,5.4,1.0,1,0,hpa,baseline,0,0.0031748786568641663,CPU-intensive,0
69,2026-07-18 04:26:53,1,1,90,11,1731,5.1,1.0,1,0,hpa,baseline,0,0.003396999090909958,CPU-intensive,0
70,2026-07-18 04:27:53,1,1,87,11,1553,5.2,1.0,1,0,hpa,baseline,0,0.003562774509191513,CPU-intensive,0
71,2026-07-18 04:28:54,1,1,77,11,1325,5.4,1.0,1,0,hpa,baseline,0,0.0030049122869968414,CPU-intensive,0
72,2026-07-18 04:29:54,1,1,66,11,1078,5.5,1.0,1,0,hpa,baseline,0,0.002969987690448761,CPU-intensive,0
73,2026-07-18 04:30:54,1,1,71,12,1374,5.4,1.0,1,0,hpa,baseline,0,0.003598630428314209,CPU-intensive,0
74,2026-07-18 04:31:55,1,1,82,11,1480,5.4,1.0,1,0,hpa,baseline,0,0.0033280812203884125,CPU-intensive,0
75,2026-07-18 04:32:55,1,1,80,11,1403,6.7,1.0,1,0,hpa,baseline,0,0.004449859261512756,CPU-intensive,0
76,2026-07-18 04:33:55,1,1,75,11,1167,5.2,1.0,1,0,hpa,baseline,0,0.003756023943424225,CPU-intensive,0
77,2026-07-18 04:34:56,1,1,54,11,910,6.8,1.0,1,0,hpa,baseline,0,0.004060100764036179,CPU-intensive,0
