step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 06:34:58,14,3,98,33,960,383.3,1.0,14,1,keda,baseline,0,0.003967899829149246,CPU-intensive,0
1,2026-07-19 06:35:59,14,14,657,154,1022,124.7,1.0,14,0,keda,baseline,0,0.003810971975326538,CPU-intensive,0
2,2026-07-19 06:37:00,14,14,692,154,1122,40.1,1.0,14,0,keda,baseline,0,0.002804212272167206,CPU-intensive,0
3,2026-07-19 06:38:01,14,14,742,154,1096,39.3,1.0,14,0,keda,baseline,0,0.003091059625148773,CPU-intensive,0
4,2026-07-19 06:39:01,14,14,667,154,905,46.5,1.0,14,0,keda,baseline,0,0.0036819837987422943,CPU-intensive,0
5,2026-07-19 06:40:02,14,14,600,154,703,38.8,1.0,14,0,keda,baseline,0,0.003112945705652237,CPU-intensive,0
6,2026-07-19 06:41:02,12,14,482,154,572,41.1,1.0,12,1,keda,baseline,0,0.0033723190426826477,CPU-intensive,0
7,2026-07-19 06:42:03,10,12,495,132,486,47.5,1.0,10,1,keda,baseline,0,0.0035860575735569,CPU-intensive,0
8,2026-07-19 06:43:04,10,10,425,110,458,37.1,1.0,10,0,keda,baseline,0,0.003043096512556076,CPU-intensive,0
9,2026-07-19 06:44:04,10,10,451,110,488,86.1,1.0,10,0,keda,baseline,0,0.003684312105178833,CPU-intensive,0
10,2026-07-19 06:45:05,11,10,459,110,515,109.4,1.0,11,1,keda,baseline,0,0.002898741513490677,CPU-intensive,0
11,2026-07-19 06:46:06,12,11,445,121,592,52.7,1.0,12,1,keda,baseline,0,0.0027972273528575897,CPU-intensive,0
12,2026-07-19 06:47:07,14,12,545,132,786,39.3,1.0,14,1,keda,baseline,0,0.0034747645258903503,CPU-intensive,0
13,2026-07-19 06:48:07,14,14,570,154,1041,56.5,1.0,14,0,keda,baseline,0,0.003946945071220398,CPU-intensive,0
14,2026-07-19 06:49:08,14,14,686,154,1258,39.4,1.0,14,0,keda,baseline,0,0.00343983992934227,CPU-intensive,0
15,2026-07-19 06:50:08,14,14,788,154,1359,56.5,1.0,14,0,keda,baseline,0,0.0034747645258903503,CPU-intensive,0
16,2026-07-19 06:51:09,14,14,754,154,1406,75.8,1.0,14,0,keda,baseline,0,0.003484077751636505,CPU-intensive,0
17,2026-07-19 06:52:10,14,14,746,154,1405,63.2,1.0,14,0,keda,baseline,0,0.0032386742532253265,CPU-intensive,0
18,2026-07-19 06:53:10,14,14,813,154,1396,57.6,1.0,14,0,keda,baseline,0,0.003071967512369156,CPU-intensive,0
19,2026-07-19 06:54:11,14,14,812,154,1411,52.0,1.0,14,0,keda,baseline,0,0.002918299287557602,CPU-intensive,0
20,2026-07-19 06:55:11,14,14,788,154,1437,44.6,1.0,14,0,keda,baseline,0,0.003487803041934967,CPU-intensive,0
21,2026-07-19 06:56:12,14,14,785,154,1392,82.0,1.0,14,0,keda,baseline,0,0.0030919909477233887,CPU-intensive,0
22,2026-07-19 06:57:13,14,14,736,154,1242,114.5,1.0,14,0,keda,baseline,0,0.0034491531550884247,CPU-intensive,0
23,2026-07-19 06:58:13,14,14,692,154,1054,55.9,1.0,14,0,keda,baseline,0,0.003322027623653412,CPU-intensive,0
24,2026-07-19 06:59:14,14,14,628,154,968,44.4,1.0,14,0,keda,baseline,0,0.003295019268989563,CPU-intensive,0
25,2026-07-19 07:00:15,14,14,681,154,1008,77.8,1.0,14,0,keda,baseline,0,0.003432855010032654,CPU-intensive,0
26,2026-07-19 07:01:15,14,14,741,154,1107,59.2,1.0,14,0,keda,baseline,0,0.0033569522202014923,CPU-intensive,0
27,2026-07-19 07:02:16,14,14,684,154,1108,39.7,1.0,14,0,keda,baseline,0,0.003354158252477646,CPU-intensive,0
28,2026-07-19 07:03:16,14,14,619,154,998,41.0,1.0,14,0,keda,baseline,0,0.003080815076828003,CPU-intensive,0
29,2026-07-19 07:04:17,14,14,601,154,817,41.8,1.0,14,0,keda,baseline,0,0.003005843609571457,CPU-intensive,0
30,2026-07-19 07:05:18,14,14,520,154,655,66.7,1.0,14,0,keda,baseline,0,0.0035222619771957397,CPU-intensive,0
31,2026-07-19 07:06:18,12,14,512,154,560,87.9,1.0,12,1,keda,baseline,0,0.0028349459171295166,CPU-intensive,0
32,2026-07-19 07:07:19,11,12,411,132,517,72.3,1.0,11,1,keda,baseline,0,0.0029532238841056824,CPU-intensive,0
