step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 12:20:13,6,3,141,35,960,298.5,1.0,6,1,llama-70b,cot,613,23920.74427008629,CPU-intensive,0
1,2026-07-19 12:21:38,6,6,596,68,1022,80.5,1.0,6,0,llama-70b,cot,547,177085.48189885914,CPU-intensive,0
2,2026-07-19 12:25:36,6,6,555,68,1122,46.0,1.0,6,0,llama-70b,cot,626,599728.6957791075,CPU-intensive,0
3,2026-07-19 12:36:36,6,6,812,68,1096,59.3,1.0,6,0,llama-70b,cot,534,25638.23851197958,CPU-intensive,0
4,2026-07-19 12:38:02,6,6,740,68,905,165.4,1.0,6,0,llama-70b,cot,634,180066.51809997857,CPU-intensive,0
5,2026-07-19 12:42:03,6,6,821,68,703,171.6,1.0,6,0,llama-70b,cot,621,265142.66049908474,CPU-intensive,0
6,2026-07-19 12:47:29,6,6,706,68,572,90.8,1.0,6,0,llama-70b,cot,612,176875.2176449634,CPU-intensive,0
7,2026-07-19 12:51:27,6,6,451,68,486,38.9,1.0,6,0,llama-70b,cot,634,60160.94714682549,CPU-intensive,0
8,2026-07-19 12:53:28,6,6,474,68,458,57.8,1.0,6,0,llama-70b,cot,587,22459.507491905242,CPU-intensive,0
9,2026-07-19 12:54:51,10,6,486,68,488,265.6,1.0,10,1,llama-70b,cot,639,19647.299400065094,CPU-intensive,0
10,2026-07-19 12:56:11,10,10,486,112,515,39.9,1.0,10,0,llama-70b,cot,623,57169.176721945405,CPU-intensive,0
11,2026-07-19 12:58:09,10,10,632,112,592,83.2,1.0,10,0,llama-70b,cot,587,15447.46615132317,CPU-intensive,0
12,2026-07-19 12:59:25,10,10,742,112,786,101.7,1.0,10,0,llama-70b,cot,671,51812.43846192956,CPU-intensive,0
13,2026-07-19 13:01:18,10,10,844,112,1041,57.8,1.0,10,0,llama-70b,cot,675,178280.9317689389,CPU-intensive,0
14,2026-07-19 13:05:17,12,10,849,112,1258,209.4,1.0,12,1,llama-70b,cot,637,267459.1658972204,CPU-intensive,0
15,2026-07-19 13:10:45,12,12,748,134,1359,86.1,1.0,12,0,llama-70b,cot,616,29852.62807412073,CPU-intensive,0
16,2026-07-19 13:12:15,12,12,795,134,1406,76.6,1.0,12,0,llama-70b,cot,578,29227.742360904813,CPU-intensive,0
17,2026-07-19 13:13:45,12,12,664,134,1405,65.2,1.0,12,0,llama-70b,cot,574,47969.28899129853,CPU-intensive,0
18,2026-07-19 13:15:34,12,12,532,134,1396,52.3,1.0,12,0,llama-70b,cot,591,284864.2228669487,CPU-intensive,0
19,2026-07-19 13:21:19,12,12,583,134,1411,75.9,1.0,12,0,llama-70b,cot,565,363829.19900212437,CPU-intensive,0
20,2026-07-19 13:28:24,12,12,882,134,1437,39.1,1.0,12,0,llama-70b,cot,638,22995.311104226857,CPU-intensive,0
21,2026-07-19 13:29:47,12,12,914,134,1392,43.2,1.0,12,0,llama-70b,cot,607,26800.47667166218,CPU-intensive,0
22,2026-07-19 13:31:15,12,12,804,134,1242,46.4,1.0,12,0,llama-70b,cot,587,98708.5308120586,CPU-intensive,0
23,2026-07-19 13:33:54,12,12,781,134,1054,65.4,1.0,12,0,llama-70b,cot,679,125967.76950312778,CPU-intensive,0
24,2026-07-19 13:37:01,12,12,721,134,968,39.0,1.0,12,0,llama-70b,cot,575,70303.18117234856,CPU-intensive,0
25,2026-07-19 13:39:12,12,12,525,134,1008,40.3,1.0,12,0,llama-70b,cot,561,94807.96233005822,CPU-intensive,0
26,2026-07-19 13:41:47,12,12,539,134,1107,61.1,1.0,12,0,llama-70b,cot,544,97289.77518389001,CPU-intensive,0
27,2026-07-19 13:44:25,12,12,576,134,1108,37.4,1.0,12,0,llama-70b,cot,646,90314.4771559164,CPU-intensive,0
28,2026-07-19 13:46:56,12,12,752,134,998,68.6,1.0,12,0,llama-70b,cot,624,42875.40566641837,CPU-intensive,0
29,2026-07-19 13:48:39,12,12,835,134,817,59.6,1.0,12,0,llama-70b,cot,577,92242.23346496001,CPU-intensive,0
30,2026-07-19 13:51:12,12,12,827,134,655,64.5,1.0,12,0,llama-70b,cot,659,23925.57969968766,CPU-intensive,0
31,2026-07-19 13:52:37,12,12,841,134,560,73.5,1.0,12,0,llama-70b,cot,637,53071.390190627426,CPU-intensive,0
32,2026-07-19 13:54:30,12,12,763,134,517,61.5,1.0,12,0,llama-70b,cot,594,24454.378955066204,CPU-intensive,0
33,2026-07-19 13:55:55,12,12,632,134,533,108.6,1.0,12,0,llama-70b,cot,540,14697.425545658916,CPU-intensive,0
34,2026-07-19 13:57:11,12,12,644,134,548,56.0,1.0,12,0,llama-70b,cot,571,64717.88249257952,CPU-intensive,0
35,2026-07-19 13:59:16,12,12,734,134,596,72.5,1.0,12,0,llama-70b,cot,579,17807.664975058287,CPU-intensive,0
36,2026-07-19 14:00:35,12,12,579,134,768,100.3,1.0,12,0,llama-70b,cot,597,22577.57231267169,CPU-intensive,0
37,2026-07-19 14:01:58,12,12,528,134,1035,56.3,1.0,12,0,llama-70b,cot,534,43948.71074985713,CPU-intensive,0
38,2026-07-19 14:03:42,12,12,441,134,1295,92.4,1.0,12,0,llama-70b,cot,572,18758.493485860527,CPU-intensive,0
39,2026-07-19 14:05:02,12,12,458,134,1435,70.7,1.0,12,0,llama-70b,cot,526,22962.99634082243,CPU-intensive,0
40,2026-07-19 14:06:25,12,12,498,134,1538,86.1,1.0,12,0,llama-70b,cot,540,27245.75172876939,CPU-intensive,0
41,2026-07-19 14:07:53,12,12,554,134,1547,52.3,1.0,12,0,llama-70b,cot,592,51667.849373072386,CPU-intensive,0
42,2026-07-19 14:09:46,12,12,672,134,1562,38.9,1.0,12,0,llama-70b,cot,730,27190.35982666537,CPU-intensive,0
43,2026-07-19 14:11:13,12,12,759,134,1588,71.6,1.0,12,0,llama-70b,cot,619,21390.300838742405,CPU-intensive,0
44,2026-07-19 14:12:35,12,12,856,134,1649,39.0,1.0,12,0,llama-70b,cot,582,59523.57169194147,CPU-intensive,0
45,2026-07-19 14:14:36,12,12,811,134,1697,41.2,1.0,12,0,llama-70b,cot,646,126625.38544274867,CPU-intensive,0
