step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-18 09:59:01,3,3,15,33,960,5.8,1.0,3,0,llama-70b,history_5,212,2091453.8187417202,CPU-intensive,0
1,2026-07-18 10:34:52,4,3,36,33,1022,5.3,1.0,4,1,llama-70b,history_5,246,247525.42830165476,CPU-intensive,0
2,2026-07-18 10:40:00,5,4,87,44,1122,5.2,1.0,5,1,llama-70b,history_5,280,617911.4991640672,CPU-intensive,0
3,2026-07-18 10:51:19,5,5,77,55,1096,7.0,1.0,5,0,llama-70b,history_5,314,520714.1103488393,CPU-intensive,0
4,2026-07-18 11:01:00,5,5,70,56,905,5.8,1.0,5,0,llama-70b,history_5,347,1009816.2331064232,CPU-intensive,0
5,2026-07-18 11:18:50,5,5,40,55,703,5.2,1.0,5,0,llama-70b,history_5,380,628421.686839778,CPU-intensive,0
6,2026-07-18 11:30:19,5,5,90,55,572,5.4,1.0,5,0,llama-70b,history_5,380,20220.504343044013,CPU-intensive,0
7,2026-07-18 11:31:39,5,5,91,55,486,5.5,1.0,5,0,llama-70b,history_5,379,247362.98900283873,CPU-intensive,0
8,2026-07-18 11:36:47,5,5,68,55,458,5.4,1.0,5,0,llama-70b,history_5,378,25537.86074835807,CPU-intensive,0
9,2026-07-18 11:38:13,5,5,71,55,488,5.2,1.0,5,0,llama-70b,history_5,377,406824.16401291266,CPU-intensive,0
10,2026-07-18 11:46:00,5,5,39,55,515,6.5,1.0,5,0,llama-70b,history_5,377,13393.014625180513,CPU-intensive,0
11,2026-07-18 11:47:14,5,5,51,56,592,5.6,1.0,5,0,llama-70b,history_5,377,24419.26287766546,CPU-intensive,0
12,2026-07-18 11:48:38,10,5,66,55,786,5.1,1.0,10,1,llama-70b,history_5,377,120205.73277864605,CPU-intensive,0
13,2026-07-18 11:51:39,10,10,98,110,1041,5.9,1.0,10,0,llama-70b,history_5,378,26314.164062961936,CPU-intensive,0
14,2026-07-18 11:53:06,14,10,93,110,1258,6.9,1.0,14,1,llama-70b,history_5,379,29161.686677951366,CPU-intensive,0
15,2026-07-18 11:54:35,14,14,96,154,1359,5.2,1.0,14,0,llama-70b,history_5,380,316307.92074883357,CPU-intensive,0
16,2026-07-18 12:00:52,14,14,14,154,1406,6.2,1.0,14,0,llama-70b,history_5,381,67399.12103302777,CPU-intensive,0
17,2026-07-18 12:02:59,5,14,14,154,1405,5.3,1.0,5,1,llama-70b,history_5,382,419946.83424709365,CPU-intensive,0
18,2026-07-18 12:11:00,5,5,5,55,1396,5.3,1.0,5,0,llama-70b,history_5,383,26866.95362906903,CPU-intensive,0
19,2026-07-18 12:12:27,5,5,5,55,1411,5.2,1.0,5,0,llama-70b,history_5,383,64378.47591890022,CPU-intensive,0
20,2026-07-18 12:14:32,5,5,5,55,1437,5.6,1.0,5,0,llama-70b,history_5,383,250070.84869081154,CPU-intensive,0
21,2026-07-18 12:19:42,5,5,5,55,1392,5.3,1.0,5,0,llama-70b,history_5,383,418153.17127807066,CPU-intensive,0
22,2026-07-18 12:27:41,5,5,5,55,1242,5.4,1.0,5,0,llama-70b,history_5,383,119631.53951615095,CPU-intensive,0
23,2026-07-18 12:30:40,5,5,5,55,1054,5.4,1.0,5,0,llama-70b,history_5,383,120224.55141274258,CPU-intensive,0
24,2026-07-18 12:33:41,5,5,5,55,968,7.3,1.0,5,0,llama-70b,history_5,382,416933.80532972515,CPU-intensive,0
25,2026-07-18 12:41:38,5,5,5,55,1008,5.3,1.0,5,0,llama-70b,history_5,382,116949.89656703547,CPU-intensive,0
26,2026-07-18 12:44:36,5,5,5,55,1107,7.9,1.0,5,0,llama-70b,history_5,382,241929.1991801001,CPU-intensive,0
27,2026-07-18 12:49:38,5,5,5,55,1108,7.0,1.0,5,0,llama-70b,history_5,382,791990.2363009751,CPU-intensive,0
28,2026-07-18 13:03:50,5,5,5,55,998,5.3,1.0,5,0,llama-70b,history_5,381,1740812.481708359,CPU-intensive,0
29,2026-07-18 13:33:51,5,5,5,55,817,5.4,1.0,5,0,llama-70b,history_5,380,4174307.8973130323,CPU-intensive,0
30,2026-07-18 14:44:26,5,5,5,55,655,7.8,1.0,5,0,llama-70b,history_5,380,248307.7489733696,CPU-intensive,0
31,2026-07-18 14:49:34,5,5,5,55,560,6.1,1.0,5,0,llama-70b,history_5,379,29450.6120281294,CPU-intensive,0
32,2026-07-18 14:51:04,5,5,5,55,517,5.3,1.0,5,0,llama-70b,history_5,378,68741.53032293543,CPU-intensive,0
33,2026-07-18 14:53:13,5,5,5,55,533,6.3,1.0,5,0,llama-70b,history_5,377,86694.26455907524,CPU-intensive,0
34,2026-07-18 14:55:40,5,5,5,55,548,5.2,1.0,5,0,llama-70b,history_5,377,66662.67650062218,CPU-intensive,0
35,2026-07-18 14:57:47,5,5,5,55,596,5.9,1.0,5,0,llama-70b,history_5,377,517395.464417059,CPU-intensive,0
36,2026-07-18 15:07:25,8,5,5,55,768,5.2,1.0,8,1,llama-70b,history_5,377,743330.1156479865,CPU-intensive,0
37,2026-07-18 15:20:49,8,8,8,88,1035,5.2,1.0,8,0,llama-70b,history_5,378,415433.52344306186,CPU-intensive,0
38,2026-07-18 15:28:44,12,8,8,88,1295,5.3,1.0,12,1,llama-70b,history_5,379,68504.8127360642,CPU-intensive,0
39,2026-07-18 15:30:53,12,12,12,132,1435,5.3,1.0,12,0,llama-70b,history_5,380,28557.33955418691,CPU-intensive,0
40,2026-07-18 15:32:22,14,12,12,132,1538,5.4,1.0,14,1,llama-70b,history_5,381,3661009.9079059437,CPU-intensive,0
41,2026-07-18 16:34:24,14,14,14,154,1547,5.8,1.0,14,0,llama-70b,history_5,382,26403.13411410898,CPU-intensive,0
42,2026-07-18 16:35:50,14,14,14,154,1562,5.6,1.0,14,0,llama-70b,history_5,383,178382.87717103958,CPU-intensive,0
43,2026-07-18 16:39:49,8,14,14,154,1588,5.3,1.0,8,1,llama-70b,history_5,383,28471.072431653738,CPU-intensive,0
44,2026-07-18 16:41:18,8,8,8,88,1649,5.5,1.0,8,0,llama-70b,history_5,383,117715.12729208916,CPU-intensive,0
45,2026-07-18 16:44:16,8,8,8,88,1697,5.3,1.0,8,0,llama-70b,history_5,383,448921.2432131171,CPU-intensive,0
46,2026-07-18 16:52:45,8,8,8,88,1578,5.4,1.0,8,0,llama-70b,history_5,383,23273.420663084835,CPU-intensive,0
47,2026-07-18 16:54:09,8,8,8,88,1340,7.2,1.0,8,0,llama-70b,history_5,383,24793.513705953956,CPU-intensive,0
48,2026-07-18 16:55:34,8,8,8,88,1242,5.3,1.0,8,0,llama-70b,history_5,383,230279.3945800513,CPU-intensive,0
49,2026-07-18 17:00:25,8,8,8,88,1264,5.2,1.0,8,0,llama-70b,history_5,383,114607.80397802591,CPU-intensive,0
50,2026-07-18 17:03:20,8,8,8,88,1372,5.4,1.0,8,0,llama-70b,history_5,383,747314.9005649611,CPU-intensive,0
51,2026-07-18 17:16:47,8,8,8,88,1378,5.8,1.0,8,0,llama-70b,history_5,383,26086.271128617227,CPU-intensive,0
52,2026-07-18 17:18:14,8,8,8,88,1223,5.3,1.0,8,0,llama-70b,history_5,383,539192.237011157,CPU-intensive,0
53,2026-07-18 17:28:13,8,8,8,88,1002,6.0,1.0,8,0,llama-70b,history_5,383,22263.850461225957,CPU-intensive,0
54,2026-07-18 17:29:36,8,8,8,88,802,5.7,1.0,8,0,llama-70b,history_5,382,1017746.1165972054,CPU-intensive,0
55,2026-07-18 17:47:34,4,8,8,88,688,5.5,1.0,4,1,llama-70b,history_5,381,22532.66714513302,CPU-intensive,0
56,2026-07-18 17:48:57,4,4,4,44,653,5.2,1.0,4,0,llama-70b,history_5,380,67501.35330110788,CPU-intensive,0
57,2026-07-18 17:51:04,4,4,4,44,669,6.2,1.0,4,0,llama-70b,history_5,379,238012.91528809816,CPU-intensive,0
58,2026-07-18 17:56:03,4,4,4,44,650,8.3,1.0,4,0,llama-70b,history_5,378,58105.26167601347,CPU-intensive,0
59,2026-07-18 17:58:01,4,4,4,44,678,6.1,1.0,4,0,llama-70b,history_5,377,22293.959823902696,CPU-intensive,0
60,2026-07-18 17:59:24,8,4,4,44,853,5.7,1.0,8,1,llama-70b,history_5,377,21562.780793290585,CPU-intensive,0
61,2026-07-18 18:00:46,8,8,8,88,1133,5.9,1.0,8,0,llama-70b,history_5,378,638549.026304856,CPU-intensive,0
62,2026-07-18 18:12:25,8,8,8,88,1404,5.2,1.0,8,0,llama-70b,history_5,379,241348.22811791673,CPU-intensive,0
63,2026-07-18 18:17:26,12,8,8,88,1555,6.1,1.0,12,1,llama-70b,history_5,380,14847.714671865106,CPU-intensive,0
64,2026-07-18 18:18:42,12,12,12,132,1670,5.3,1.0,12,0,llama-70b,history_5,381,68503.22384992614,CPU-intensive,0
65,2026-07-18 18:20:50,12,12,12,132,1691,5.5,1.0,12,0,llama-70b,history_5,382,328688.23747709394,CPU-intensive,0
66,2026-07-18 18:27:19,12,12,12,132,1666,6.4,1.0,12,0,llama-70b,history_5,383,23936.465268954635,CPU-intensive,0
67,2026-07-18 18:28:44,12,12,12,132,1719,5.4,1.0,12,0,llama-70b,history_5,383,21937.48437287286,CPU-intensive,0
68,2026-07-18 18:30:06,12,12,12,132,1737,5.4,1.0,12,0,llama-70b,history_5,383,137438.08702891693,CPU-intensive,0
69,2026-07-18 18:33:24,12,12,12,132,1731,5.3,1.0,12,0,llama-70b,history_5,383,299638.75246141106,CPU-intensive,0
70,2026-07-18 18:39:24,12,12,12,132,1553,5.5,1.0,12,0,llama-70b,history_5,383,21345.836841035634,CPU-intensive,0
71,2026-07-18 18:40:45,12,12,12,132,1325,5.8,1.0,12,0,llama-70b,history_5,383,68673.67017408833,CPU-intensive,0
