step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-18 05:18:34,3,3,23,33,960,5.3,1.0,3,0,llama-70b,zero_shot,204,176772.69485313445,CPU-intensive,0
1,2026-07-18 05:22:31,3,3,18,33,1022,5.2,1.0,3,0,llama-70b,zero_shot,205,21534.299657214433,CPU-intensive,0
2,2026-07-18 05:23:53,3,3,15,33,1122,5.5,1.0,3,0,llama-70b,zero_shot,205,52192.13343085721,CPU-intensive,0
3,2026-07-18 05:25:45,3,3,12,33,1096,5.3,1.0,3,0,llama-70b,zero_shot,205,10102.44221193716,CPU-intensive,0
4,2026-07-18 05:26:55,3,3,10,33,905,5.4,1.0,3,0,llama-70b,zero_shot,204,24997.923922725022,CPU-intensive,0
5,2026-07-18 05:28:21,3,3,11,33,703,5.2,1.0,3,0,llama-70b,zero_shot,204,7011.533393990248,CPU-intensive,0
6,2026-07-18 05:29:28,3,3,11,33,572,5.3,1.0,3,0,llama-70b,zero_shot,204,4809.774953871965,CPU-intensive,0
7,2026-07-18 05:30:33,3,3,14,33,486,5.3,1.0,3,0,llama-70b,zero_shot,204,23593.53097388521,CPU-intensive,0
8,2026-07-18 05:31:57,3,3,23,33,458,5.4,1.0,3,0,llama-70b,zero_shot,204,53719.09630391747,CPU-intensive,0
9,2026-07-18 05:33:51,3,3,33,33,488,5.9,1.0,3,0,llama-70b,zero_shot,204,11855.475971009582,CPU-intensive,0
10,2026-07-18 05:35:03,3,3,34,33,515,5.4,1.0,3,0,llama-70b,zero_shot,204,14030.869114212692,CPU-intensive,0
11,2026-07-18 05:36:17,3,3,35,34,592,5.2,1.0,3,0,llama-70b,zero_shot,204,19765.59431105852,CPU-intensive,0
12,2026-07-18 05:37:37,3,3,29,33,786,5.4,1.0,3,0,llama-70b,zero_shot,204,11993.814546149224,CPU-intensive,0
13,2026-07-18 05:38:50,3,3,30,34,1041,5.3,1.0,3,0,llama-70b,zero_shot,205,9258.887422271073,CPU-intensive,0
14,2026-07-18 05:39:59,3,3,24,33,1258,5.3,1.0,3,0,llama-70b,zero_shot,205,59869.29502803832,CPU-intensive,0
15,2026-07-18 05:41:59,3,3,18,33,1359,5.9,1.0,3,0,llama-70b,zero_shot,205,18478.287253063172,CPU-intensive,0
16,2026-07-18 05:43:18,3,3,16,33,1406,6.1,1.0,3,0,llama-70b,zero_shot,205,24453.104251995683,CPU-intensive,0
17,2026-07-18 05:44:43,3,3,18,33,1405,5.4,1.0,3,0,llama-70b,zero_shot,205,60884.8743760027,CPU-intensive,0
18,2026-07-18 05:46:44,3,3,18,33,1396,6.3,1.0,3,0,llama-70b,zero_shot,205,23390.89377457276,CPU-intensive,0
19,2026-07-18 05:48:08,3,3,16,33,1411,5.6,1.0,3,0,llama-70b,zero_shot,205,58170.21164530888,CPU-intensive,0
20,2026-07-18 05:50:06,3,3,12,33,1437,5.3,1.0,3,0,llama-70b,zero_shot,205,48365.76140765101,CPU-intensive,0
21,2026-07-18 05:51:55,3,3,11,33,1392,5.3,1.0,3,0,llama-70b,zero_shot,205,11662.293813191354,CPU-intensive,0
22,2026-07-18 05:53:06,3,3,11,33,1242,5.3,1.0,3,0,llama-70b,zero_shot,205,12142.335153184831,CPU-intensive,0
23,2026-07-18 05:54:19,3,3,12,33,1054,5.3,1.0,3,0,llama-70b,zero_shot,205,13277.401541359723,CPU-intensive,0
24,2026-07-18 05:55:32,3,3,18,33,968,5.2,1.0,3,0,llama-70b,zero_shot,204,171170.39699759334,CPU-intensive,0
25,2026-07-18 05:59:24,3,3,38,33,1008,5.3,1.0,3,0,llama-70b,zero_shot,205,25732.00783599168,CPU-intensive,0
26,2026-07-18 06:00:50,3,3,37,33,1107,5.2,1.0,3,0,llama-70b,zero_shot,205,29615.030811168253,CPU-intensive,0
27,2026-07-18 06:02:20,3,3,30,33,1108,5.4,1.0,3,0,llama-70b,zero_shot,205,244621.9571456313,CPU-intensive,0
28,2026-07-18 06:07:25,3,3,22,34,998,5.4,1.0,3,0,llama-70b,zero_shot,204,28013.597179204226,CPU-intensive,0
29,2026-07-18 06:08:53,3,3,24,33,817,5.4,1.0,3,0,llama-70b,zero_shot,204,101982.4263099581,CPU-intensive,0
30,2026-07-18 06:11:35,3,3,22,33,655,5.3,1.0,3,0,llama-70b,zero_shot,204,10354.508876800537,CPU-intensive,0
31,2026-07-18 06:12:46,3,3,18,33,560,5.3,1.0,3,0,llama-70b,zero_shot,204,25783.492481335998,CPU-intensive,0
32,2026-07-18 06:14:12,3,3,15,33,517,5.7,1.0,3,0,llama-70b,zero_shot,204,13699.85062116757,CPU-intensive,0
33,2026-07-18 06:15:26,3,3,15,33,533,5.3,1.0,3,0,llama-70b,zero_shot,204,106754.06697904691,CPU-intensive,0
34,2026-07-18 06:18:13,3,3,15,33,548,5.3,1.0,3,0,llama-70b,zero_shot,204,18607.284534722567,CPU-intensive,0
35,2026-07-18 06:19:32,3,3,25,33,596,6.1,1.0,3,0,llama-70b,zero_shot,204,245738.42325201258,CPU-intensive,0
36,2026-07-18 06:24:38,3,3,39,33,768,5.5,1.0,3,0,llama-70b,zero_shot,204,12024.342996999621,CPU-intensive,0
37,2026-07-18 06:25:50,3,3,36,33,1035,5.2,1.0,3,0,llama-70b,zero_shot,205,16053.94404195249,CPU-intensive,0
38,2026-07-18 06:27:06,3,3,35,33,1295,5.6,1.0,3,0,llama-70b,zero_shot,205,5318.197729997337,CPU-intensive,0
39,2026-07-18 06:28:12,3,3,30,34,1435,5.3,1.0,3,0,llama-70b,zero_shot,205,57675.24316580966,CPU-intensive,0
40,2026-07-18 06:30:10,3,3,21,33,1538,5.6,1.0,3,0,llama-70b,zero_shot,205,179623.317360878,CPU-intensive,0
41,2026-07-18 06:34:10,3,3,23,33,1547,6.1,1.0,3,0,llama-70b,zero_shot,205,23782.023516949266,CPU-intensive,0
42,2026-07-18 06:35:34,3,3,22,33,1562,5.3,1.0,3,0,llama-70b,zero_shot,205,62968.19386910647,CPU-intensive,0
43,2026-07-18 06:37:37,3,3,43,33,1588,5.3,1.0,3,0,llama-70b,zero_shot,205,23645.08839091286,CPU-intensive,0
44,2026-07-18 06:39:01,3,3,33,33,1649,5.3,1.0,3,0,llama-70b,zero_shot,205,15155.71926580742,CPU-intensive,0
45,2026-07-18 06:40:17,3,3,35,34,1697,5.4,1.0,3,0,llama-70b,zero_shot,205,92726.61740193143,CPU-intensive,0
46,2026-07-18 06:42:50,3,3,52,34,1578,7.0,1.0,3,0,llama-70b,zero_shot,205,9715.782448649406,CPU-intensive,0
47,2026-07-18 06:44:00,3,3,67,33,1340,5.5,1.0,3,0,llama-70b,zero_shot,205,6660.109898075461,CPU-intensive,0
48,2026-07-18 06:45:07,3,3,80,33,1242,5.2,1.0,3,0,llama-70b,zero_shot,205,53397.832865826786,CPU-intensive,0
49,2026-07-18 06:47:00,3,3,80,33,1264,5.4,1.0,3,0,llama-70b,zero_shot,205,19149.77637724951,CPU-intensive,0
50,2026-07-18 06:48:20,3,3,92,34,1372,5.7,1.0,3,0,llama-70b,zero_shot,205,25472.875963896513,CPU-intensive,0
51,2026-07-18 06:49:46,3,3,89,33,1378,5.4,1.0,3,0,llama-70b,zero_shot,205,5532.029370777309,CPU-intensive,0
52,2026-07-18 06:50:51,3,3,85,33,1223,5.4,1.0,3,0,llama-70b,zero_shot,205,53904.70466623083,CPU-intensive,0
53,2026-07-18 06:52:46,3,3,35,33,1002,5.3,1.0,3,0,llama-70b,zero_shot,205,48883.07639490813,CPU-intensive,0
54,2026-07-18 06:54:35,3,3,59,33,802,5.3,1.0,3,0,llama-70b,zero_shot,204,15586.636164225638,CPU-intensive,0
55,2026-07-18 06:55:51,3,3,66,33,688,6.0,1.0,3,0,llama-70b,zero_shot,204,16097.771391272545,CPU-intensive,0
56,2026-07-18 06:57:07,3,3,71,33,653,5.6,1.0,3,0,llama-70b,zero_shot,204,66734.39683113247,CPU-intensive,0
57,2026-07-18 06:59:14,3,3,54,34,669,5.3,1.0,3,0,llama-70b,zero_shot,204,61922.96637222171,CPU-intensive,0
58,2026-07-18 07:01:16,3,3,37,33,650,6.2,1.0,3,0,llama-70b,zero_shot,204,567540.9957598895,CPU-intensive,0
59,2026-07-18 07:11:44,3,3,85,33,678,5.3,1.0,3,0,llama-70b,zero_shot,204,29960.172754712403,CPU-intensive,0
60,2026-07-18 07:13:15,3,3,83,33,853,5.5,1.0,3,0,llama-70b,zero_shot,204,23986.12522194162,CPU-intensive,0
61,2026-07-18 07:14:39,3,3,86,33,1133,5.3,1.0,3,0,llama-70b,zero_shot,205,185440.3479457833,CPU-intensive,0
62,2026-07-18 07:18:45,3,3,6,33,1404,6.0,1.0,3,0,llama-70b,zero_shot,205,21346.965226810426,CPU-intensive,0
63,2026-07-18 07:20:06,3,3,3,33,1555,5.4,1.0,3,0,llama-70b,zero_shot,205,116636.6804568097,CPU-intensive,0
64,2026-07-18 07:23:03,3,3,3,33,1670,5.2,1.0,3,0,llama-70b,zero_shot,205,22086.619428824633,CPU-intensive,0
65,2026-07-18 07:24:26,3,3,3,33,1691,5.3,1.0,3,0,llama-70b,zero_shot,205,24114.025992807,CPU-intensive,0
66,2026-07-18 07:25:50,3,3,3,33,1666,5.8,1.0,3,0,llama-70b,zero_shot,205,16850.953022949398,CPU-intensive,0
67,2026-07-18 07:27:07,3,3,3,33,1719,9.3,1.0,3,0,llama-70b,zero_shot,205,62410.32992023975,CPU-intensive,0
68,2026-07-18 07:29:10,3,3,3,33,1737,5.2,1.0,3,0,llama-70b,zero_shot,205,55329.24881624058,CPU-intensive,0
69,2026-07-18 07:31:06,3,3,3,33,1731,6.4,1.0,3,0,llama-70b,zero_shot,205,66035.64292006195,CPU-intensive,0
70,2026-07-18 07:33:12,3,3,3,33,1553,6.0,1.0,3,0,llama-70b,zero_shot,205,24132.619841955602,CPU-intensive,0
71,2026-07-18 07:34:36,3,3,3,33,1325,5.3,1.0,3,0,llama-70b,zero_shot,205,21950.832330156118,CPU-intensive,0
72,2026-07-18 07:35:59,3,3,3,33,1078,5.9,1.0,3,0,llama-70b,zero_shot,205,18704.976724926382,CPU-intensive,0
73,2026-07-18 07:37:18,3,3,3,33,1374,5.4,1.0,3,0,llama-70b,zero_shot,205,40933.713178150356,CPU-intensive,0
74,2026-07-18 07:38:59,3,3,3,33,1480,5.3,1.0,3,0,llama-70b,zero_shot,205,10491.856457199901,CPU-intensive,0
75,2026-07-18 07:40:10,3,3,3,33,1403,5.4,1.0,3,0,llama-70b,zero_shot,205,22873.67091840133,CPU-intensive,0
76,2026-07-18 07:41:33,3,3,3,33,1167,5.4,1.0,3,0,llama-70b,zero_shot,205,18990.364897064865,CPU-intensive,0
77,2026-07-18 07:42:52,3,3,3,33,910,6.7,1.0,3,0,llama-70b,zero_shot,204,173173.592264764,CPU-intensive,0
