step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 10:31:05,3,3,8,88,960,6.6,1.0,3,0,llama-8b,cot,445,700.1,CPU-intensive
1,2026-07-16 10:32:06,3,3,27,33,1022,6.7,1.0,3,0,llama-8b,cot,448,365.2,CPU-intensive
2,2026-07-16 10:33:07,3,3,28,33,1122,5.9,1.0,3,0,llama-8b,cot,470,366.7,CPU-intensive
3,2026-07-16 10:34:08,3,3,34,33,1096,5.9,1.0,3,0,llama-8b,cot,461,349.0,CPU-intensive
4,2026-07-16 10:35:08,3,3,34,33,905,6.0,1.0,3,0,llama-8b,cot,460,346.9,CPU-intensive
5,2026-07-16 10:36:09,3,3,27,33,703,6.0,1.0,3,0,llama-8b,cot,498,473.3,CPU-intensive
6,2026-07-16 10:37:10,3,3,22,33,572,6.0,1.0,3,0,llama-8b,cot,438,337.3,CPU-intensive
7,2026-07-16 10:38:10,3,3,19,33,486,6.0,1.0,3,0,llama-8b,cot,439,366.4,CPU-intensive
8,2026-07-16 10:39:11,3,3,19,33,458,6.0,1.0,3,0,llama-8b,cot,439,346.7,CPU-intensive
9,2026-07-16 10:40:12,3,3,15,33,488,6.4,1.0,3,0,llama-8b,cot,441,330.6,CPU-intensive
10,2026-07-16 10:41:12,3,3,18,33,515,6.0,1.0,3,0,llama-8b,cot,439,376.6,CPU-intensive
11,2026-07-16 10:42:13,3,3,19,33,592,6.1,1.0,3,0,llama-8b,cot,439,362.1,CPU-intensive
12,2026-07-16 10:43:13,3,3,22,33,786,5.8,1.0,3,0,llama-8b,cot,443,391.8,CPU-intensive
13,2026-07-16 10:44:14,3,3,29,33,1041,6.0,1.0,3,0,llama-8b,cot,575,553.7,CPU-intensive
14,2026-07-16 10:45:15,3,3,30,33,1258,5.8,1.0,3,0,llama-8b,cot,453,344.9,CPU-intensive
15,2026-07-16 10:46:16,3,3,32,33,1359,5.9,1.0,3,0,llama-8b,cot,447,382.0,CPU-intensive
16,2026-07-16 10:47:16,3,3,32,33,1406,6.1,1.0,3,0,llama-8b,cot,447,364.7,CPU-intensive
17,2026-07-16 10:48:17,3,3,28,33,1405,6.5,1.0,3,0,llama-8b,cot,535,507.4,CPU-intensive
18,2026-07-16 10:49:18,3,3,29,33,1396,5.9,1.0,3,0,llama-8b,cot,470,372.6,CPU-intensive
19,2026-07-16 10:50:18,3,3,31,33,1411,6.2,1.0,3,0,llama-8b,cot,447,355.7,CPU-intensive
20,2026-07-16 10:51:19,3,3,32,33,1437,6.1,1.0,3,0,llama-8b,cot,447,342.6,CPU-intensive
21,2026-07-16 10:52:20,3,3,34,33,1392,6.0,1.0,3,0,llama-8b,cot,451,327.5,CPU-intensive
22,2026-07-16 10:53:20,3,3,30,33,1242,5.9,1.0,3,0,llama-8b,cot,453,351.6,CPU-intensive
23,2026-07-16 10:54:21,3,3,24,33,1054,6.0,1.0,3,0,llama-8b,cot,450,342.5,CPU-intensive
24,2026-07-16 10:55:21,3,3,24,33,968,6.0,1.0,3,0,llama-8b,cot,451,368.5,CPU-intensive
25,2026-07-16 10:56:22,3,3,24,33,1008,5.9,1.0,3,0,llama-8b,cot,450,394.0,CPU-intensive
26,2026-07-16 10:57:23,3,3,24,33,1107,5.9,1.0,3,0,llama-8b,cot,456,368.8,CPU-intensive
27,2026-07-16 10:58:23,3,3,25,33,1108,6.2,1.0,3,0,llama-8b,cot,449,355.8,CPU-intensive
28,2026-07-16 10:59:24,3,3,22,33,998,6.2,1.0,3,0,llama-8b,cot,440,351.2,CPU-intensive
29,2026-07-16 11:00:25,3,3,20,33,817,5.9,1.0,3,0,llama-8b,cot,439,368.1,CPU-intensive
30,2026-07-16 11:01:25,3,3,16,33,655,6.3,1.0,3,0,llama-8b,cot,445,378.2,CPU-intensive
31,2026-07-16 11:02:26,3,3,16,33,560,6.1,1.0,3,0,llama-8b,cot,441,357.8,CPU-intensive
32,2026-07-16 11:03:27,3,3,13,33,517,6.2,1.0,3,0,llama-8b,cot,521,472.4,CPU-intensive
33,2026-07-16 11:04:27,3,3,12,33,533,5.9,1.0,3,0,llama-8b,cot,522,492.3,CPU-intensive
34,2026-07-16 11:05:28,3,3,13,33,548,6.3,1.0,3,0,llama-8b,cot,521,458.2,CPU-intensive
35,2026-07-16 11:06:29,3,3,15,33,596,6.1,1.0,3,0,llama-8b,cot,441,354.1,CPU-intensive
36,2026-07-16 11:07:30,3,3,19,33,768,6.0,1.0,3,0,llama-8b,cot,439,353.9,CPU-intensive
37,2026-07-16 11:08:30,3,3,24,33,1035,6.4,1.0,3,0,llama-8b,cot,450,395.3,CPU-intensive
38,2026-07-16 11:09:31,3,3,33,33,1295,6.0,1.0,3,0,llama-8b,cot,451,379.0,CPU-intensive
39,2026-07-16 11:10:32,3,3,38,33,1435,6.0,1.0,3,0,llama-8b,cot,511,470.9,CPU-intensive
40,2026-07-16 11:11:32,3,3,37,33,1538,6.5,1.0,3,0,llama-8b,cot,553,508.8,CPU-intensive
41,2026-07-16 11:12:33,3,3,40,33,1547,5.9,1.0,3,0,llama-8b,cot,462,361.3,CPU-intensive
42,2026-07-16 11:13:34,3,3,38,33,1562,5.9,1.0,3,0,llama-8b,cot,537,503.0,CPU-intensive
43,2026-07-16 11:14:34,3,3,42,33,1588,6.7,1.0,3,0,llama-8b,cot,439,346.8,CPU-intensive
44,2026-07-16 11:15:35,3,3,43,33,1649,6.3,1.0,3,0,llama-8b,cot,462,356.6,CPU-intensive
45,2026-07-16 11:16:36,3,3,42,33,1697,6.1,1.0,3,0,llama-8b,cot,462,385.5,CPU-intensive
