step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 07:25:07,3,3,5,55,960,77.4,1.0,3,0,mistral-small4,cot,251,821.6,CPU-intensive
1,2026-07-16 07:26:08,4,3,627,33,1022,218.9,1.0,4,1,mistral-small4,cot,255,573.3,CPU-intensive
2,2026-07-16 07:27:10,4,4,673,44,1122,71.7,1.0,4,0,mistral-small4,cot,254,513.9,CPU-intensive
3,2026-07-16 07:28:11,4,4,734,44,1096,100.8,1.0,4,0,mistral-small4,cot,255,1596.0,CPU-intensive
4,2026-07-16 07:29:14,4,4,632,44,905,156.5,1.0,4,0,mistral-small4,cot,254,547.7,CPU-intensive
5,2026-07-16 07:30:15,4,4,622,44,703,97.8,1.0,4,0,mistral-small4,cot,253,517.4,CPU-intensive
6,2026-07-16 07:31:16,4,4,476,44,572,159.6,1.0,4,0,mistral-small4,cot,254,507.5,CPU-intensive
7,2026-07-16 07:32:18,4,4,441,44,486,67.9,1.0,4,0,mistral-small4,cot,253,526.6,CPU-intensive
8,2026-07-16 07:33:19,4,4,445,44,458,47.0,1.0,4,0,mistral-small4,cot,253,478.8,CPU-intensive
9,2026-07-16 07:34:20,4,4,416,44,488,98.3,1.0,4,0,mistral-small4,cot,253,466.3,CPU-intensive
10,2026-07-16 07:35:21,4,4,462,44,515,47.8,1.0,4,0,mistral-small4,cot,253,512.2,CPU-intensive
11,2026-07-16 07:36:22,4,4,438,44,592,69.7,1.0,4,0,mistral-small4,cot,253,583.3,CPU-intensive
12,2026-07-16 07:37:24,4,4,532,44,786,111.6,1.0,4,0,mistral-small4,cot,254,583.5,CPU-intensive
13,2026-07-16 07:38:25,4,4,547,44,1041,109.2,1.0,4,0,mistral-small4,cot,255,514.7,CPU-intensive
14,2026-07-16 07:39:26,4,4,726,44,1258,113.9,1.0,4,0,mistral-small4,cot,389,2073.6,CPU-intensive
15,2026-07-16 07:40:29,4,4,826,44,1359,41.2,1.0,4,0,mistral-small4,cot,382,2877.4,CPU-intensive
16,2026-07-16 07:41:33,4,4,851,44,1406,146.0,1.0,4,0,mistral-small4,cot,255,553.0,CPU-intensive
17,2026-07-16 07:42:34,6,4,838,44,1405,118.6,1.0,6,1,mistral-small4,cot,367,2005.0,CPU-intensive
18,2026-07-16 07:43:37,6,6,773,66,1396,102.4,1.0,6,0,mistral-small4,cot,255,517.4,CPU-intensive
19,2026-07-16 07:44:38,6,6,769,66,1411,106.0,1.0,6,0,mistral-small4,cot,255,525.2,CPU-intensive
20,2026-07-16 07:45:39,6,6,837,66,1437,170.6,1.0,6,0,mistral-small4,cot,388,1766.3,CPU-intensive
21,2026-07-16 07:46:42,6,6,782,66,1392,72.5,1.0,6,0,mistral-small4,cot,334,1321.7,CPU-intensive
22,2026-07-16 07:47:44,6,6,787,66,1242,79.5,1.0,6,0,mistral-small4,cot,254,468.4,CPU-intensive
23,2026-07-16 07:48:45,6,6,655,66,1054,93.6,1.0,6,0,mistral-small4,cot,340,2101.3,CPU-intensive
24,2026-07-16 07:49:48,6,6,629,66,968,110.9,1.0,6,0,mistral-small4,cot,254,486.1,CPU-intensive
25,2026-07-16 07:50:49,10,6,629,66,1008,287.9,1.0,10,1,mistral-small4,cot,344,1707.5,CPU-intensive
26,2026-07-16 07:51:52,10,10,695,110,1107,191.2,1.0,10,0,mistral-small4,cot,257,487.0,CPU-intensive
27,2026-07-16 07:52:53,10,10,666,110,1108,50.7,1.0,10,0,mistral-small4,cot,337,1693.0,CPU-intensive
28,2026-07-16 07:53:56,10,10,663,110,998,50.3,1.0,10,0,mistral-small4,cot,255,518.0,CPU-intensive
29,2026-07-16 07:54:57,10,10,595,110,817,41.2,1.0,10,0,mistral-small4,cot,255,505.3,CPU-intensive
30,2026-07-16 07:55:58,10,10,526,110,655,36.8,1.0,10,0,mistral-small4,cot,255,522.1,CPU-intensive
31,2026-07-16 07:56:59,10,10,477,110,560,71.8,1.0,10,0,mistral-small4,cot,255,546.9,CPU-intensive
32,2026-07-16 07:58:00,10,10,485,110,517,44.7,1.0,10,0,mistral-small4,cot,255,749.2,CPU-intensive
33,2026-07-16 07:59:01,10,10,488,110,533,63.8,1.0,10,0,mistral-small4,cot,255,566.4,CPU-intensive
34,2026-07-16 08:00:03,10,10,456,110,548,63.3,1.0,10,0,mistral-small4,cot,255,539.8,CPU-intensive
35,2026-07-16 08:01:04,10,10,444,110,596,37.7,1.0,10,0,mistral-small4,cot,255,1041.0,CPU-intensive
36,2026-07-16 08:02:05,10,10,501,110,768,46.0,1.0,10,0,mistral-small4,cot,255,642.1,CPU-intensive
37,2026-07-16 08:03:07,10,10,672,110,1035,111.1,1.0,10,0,mistral-small4,cot,346,1296.1,CPU-intensive
38,2026-07-16 08:04:09,10,10,760,110,1295,81.4,1.0,10,0,mistral-small4,cot,256,1201.6,CPU-intensive
39,2026-07-16 08:05:11,10,10,850,110,1435,55.7,1.0,10,0,mistral-small4,cot,339,1458.9,CPU-intensive
40,2026-07-16 08:06:13,10,10,827,110,1538,57.5,1.0,10,0,mistral-small4,cot,256,620.0,CPU-intensive
41,2026-07-16 08:07:14,10,10,880,110,1547,91.1,1.0,10,0,mistral-small4,cot,256,516.5,CPU-intensive
42,2026-07-16 08:08:15,10,10,855,110,1562,82.2,1.0,10,0,mistral-small4,cot,256,505.3,CPU-intensive
43,2026-07-16 08:09:16,10,10,870,110,1588,103.2,1.0,10,0,mistral-small4,cot,257,592.9,CPU-intensive
44,2026-07-16 08:10:18,10,10,875,110,1649,71.2,1.0,10,0,mistral-small4,cot,256,595.1,CPU-intensive
45,2026-07-16 08:11:19,10,10,865,110,1697,105.1,1.0,10,0,mistral-small4,cot,257,545.4,CPU-intensive
46,2026-07-16 08:12:20,10,10,809,110,1578,73.9,1.0,10,0,mistral-small4,cot,256,471.3,CPU-intensive
47,2026-07-16 08:13:21,10,10,732,110,1340,106.3,1.0,10,0,mistral-small4,cot,345,1639.4,CPU-intensive
48,2026-07-16 08:14:24,10,10,786,110,1242,116.9,1.0,10,0,mistral-small4,cot,257,498.3,CPU-intensive
49,2026-07-16 08:15:25,10,10,692,110,1264,41.8,1.0,10,0,mistral-small4,cot,256,549.5,CPU-intensive
50,2026-07-16 08:16:26,10,10,737,110,1372,109.3,1.0,10,0,mistral-small4,cot,257,629.5,CPU-intensive
51,2026-07-16 08:17:27,10,10,690,110,1378,51.7,1.0,10,0,mistral-small4,cot,256,518.9,CPU-intensive
52,2026-07-16 08:18:28,10,10,638,110,1223,104.2,1.0,10,0,mistral-small4,cot,257,578.4,CPU-intensive
53,2026-07-16 08:19:30,10,10,558,110,1002,107.8,1.0,10,0,mistral-small4,cot,257,463.4,CPU-intensive
54,2026-07-16 08:20:31,10,10,512,110,802,35.9,1.0,10,0,mistral-small4,cot,255,496.3,CPU-intensive
55,2026-07-16 08:21:32,10,10,486,110,688,44.3,1.0,10,0,mistral-small4,cot,255,513.3,CPU-intensive
56,2026-07-16 08:22:33,10,10,492,110,653,82.4,1.0,10,0,mistral-small4,cot,255,828.2,CPU-intensive
57,2026-07-16 08:23:34,10,10,544,110,669,49.1,1.0,10,0,mistral-small4,cot,255,652.0,CPU-intensive
58,2026-07-16 08:24:36,10,10,555,110,650,97.9,1.0,10,0,mistral-small4,cot,353,1816.9,CPU-intensive
59,2026-07-16 08:25:38,10,10,588,110,678,44.7,1.0,10,0,mistral-small4,cot,255,541.5,CPU-intensive
60,2026-07-16 08:26:39,10,10,700,110,853,53.4,1.0,10,0,mistral-small4,cot,255,539.7,CPU-intensive
61,2026-07-16 08:27:40,10,10,822,110,1133,137.1,1.0,10,0,mistral-small4,cot,257,1373.1,CPU-intensive
62,2026-07-16 08:28:43,10,10,812,110,1404,106.5,1.0,10,0,mistral-small4,cot,394,1830.1,CPU-intensive
63,2026-07-16 08:29:45,10,10,882,110,1555,113.2,1.0,10,0,mistral-small4,cot,257,586.2,CPU-intensive
64,2026-07-16 08:30:46,10,10,890,110,1670,90.1,1.0,10,0,mistral-small4,cot,256,1123.3,CPU-intensive
65,2026-07-16 08:31:48,8,10,881,110,1691,119.3,1.0,8,1,mistral-small4,cot,341,1304.5,CPU-intensive
66,2026-07-16 08:32:50,8,8,925,88,1666,79.1,1.0,8,0,mistral-small4,cot,254,491.2,CPU-intensive
67,2026-07-16 08:33:51,8,8,922,88,1719,78.7,1.0,8,0,mistral-small4,cot,254,658.7,CPU-intensive
68,2026-07-16 08:34:53,8,8,943,88,1737,116.3,1.0,8,0,mistral-small4,cot,255,4657.9,CPU-intensive
69,2026-07-16 08:35:58,8,8,833,88,1731,279.7,1.0,8,0,mistral-small4,cot,255,571.7,CPU-intensive
70,2026-07-16 08:37:00,8,8,783,88,1553,69.0,1.0,8,0,mistral-small4,cot,253,1056.7,CPU-intensive
71,2026-07-16 08:38:01,8,8,655,88,1325,69.0,1.0,8,0,mistral-small4,cot,253,540.7,CPU-intensive
72,2026-07-16 08:39:02,8,8,723,88,1078,109.8,1.0,8,0,mistral-small4,cot,254,534.7,CPU-intensive
73,2026-07-16 08:40:04,8,8,816,88,1374,91.1,1.0,8,0,mistral-small4,cot,336,1655.9,CPU-intensive
74,2026-07-16 08:41:06,8,8,842,88,1480,174.8,1.0,8,0,mistral-small4,cot,255,659.8,CPU-intensive
75,2026-07-16 08:42:07,8,8,676,88,1403,97.6,1.0,8,0,mistral-small4,cot,253,507.5,CPU-intensive
76,2026-07-16 08:43:08,8,8,619,88,1167,94.4,1.0,8,0,mistral-small4,cot,253,525.6,CPU-intensive
77,2026-07-16 08:44:10,8,8,535,88,910,37.8,1.0,8,0,mistral-small4,cot,252,582.3,CPU-intensive
78,2026-07-16 08:45:11,8,8,525,88,721,59.7,1.0,8,0,mistral-small4,cot,252,499.3,CPU-intensive
79,2026-07-16 08:46:12,8,8,455,88,623,38.7,1.0,8,0,mistral-small4,cot,252,575.1,CPU-intensive
80,2026-07-16 08:47:13,8,8,496,88,555,40.3,1.0,8,0,mistral-small4,cot,336,1481.5,CPU-intensive
81,2026-07-16 08:48:15,8,8,496,88,574,85.7,1.0,8,0,mistral-small4,cot,252,522.1,CPU-intensive
82,2026-07-16 08:49:16,8,8,585,88,603,63.9,1.0,8,0,mistral-small4,cot,252,756.5,CPU-intensive
83,2026-07-16 08:50:18,8,8,675,88,705,106.1,1.0,8,0,mistral-small4,cot,253,528.3,CPU-intensive
84,2026-07-16 08:51:19,8,8,741,88,900,185.7,1.0,8,0,mistral-small4,cot,253,487.8,CPU-intensive
85,2026-07-16 08:52:20,8,8,789,88,1149,40.3,1.0,8,0,mistral-small4,cot,253,499.7,CPU-intensive
