step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 05:21:40,3,3,14,154,960,200.2,1.0,3,0,mistral-small4,domain,294,1011.7,CPU-intensive
1,2026-07-16 05:22:42,7,3,659,33,1022,403.5,1.0,7,1,mistral-small4,domain,297,501.3,CPU-intensive
2,2026-07-16 05:23:44,4,7,676,77,1122,56.6,1.0,4,1,mistral-small4,domain,295,3851.9,CPU-intensive
3,2026-07-16 05:24:49,5,4,706,44,1096,164.8,1.0,5,1,mistral-small4,domain,297,525.3,CPU-intensive
4,2026-07-16 05:25:50,5,5,678,55,905,50.2,1.0,5,0,mistral-small4,domain,295,771.7,CPU-intensive
5,2026-07-16 05:26:52,5,5,634,55,703,57.4,1.0,5,0,mistral-small4,domain,295,820.5,CPU-intensive
6,2026-07-16 05:27:53,5,5,532,55,572,144.0,1.0,5,0,mistral-small4,domain,296,473.2,CPU-intensive
7,2026-07-16 05:28:54,5,5,490,55,486,125.1,1.0,5,0,mistral-small4,domain,295,553.8,CPU-intensive
8,2026-07-16 05:29:56,5,5,481,55,458,180.5,1.0,5,0,mistral-small4,domain,295,472.7,CPU-intensive
9,2026-07-16 05:30:57,5,5,424,55,488,46.0,1.0,5,0,mistral-small4,domain,294,511.5,CPU-intensive
10,2026-07-16 05:31:58,5,5,434,55,515,38.7,1.0,5,0,mistral-small4,domain,294,511.2,CPU-intensive
11,2026-07-16 05:32:59,5,5,443,55,592,108.5,1.0,5,0,mistral-small4,domain,295,479.1,CPU-intensive
12,2026-07-16 05:34:00,5,5,564,55,786,66.2,1.0,5,0,mistral-small4,domain,295,653.2,CPU-intensive
13,2026-07-16 05:35:02,6,5,669,55,1041,155.1,1.0,6,1,mistral-small4,domain,297,1454.8,CPU-intensive
14,2026-07-16 05:36:04,3,6,728,66,1258,53.7,1.0,3,1,mistral-small4,domain,296,696.2,CPU-intensive
15,2026-07-16 05:37:05,6,3,851,33,1359,186.0,1.0,6,1,mistral-small4,domain,297,474.1,CPU-intensive
16,2026-07-16 05:38:07,6,6,789,66,1406,124.2,1.0,6,0,mistral-small4,domain,297,481.7,CPU-intensive
17,2026-07-16 05:39:09,6,6,778,66,1405,61.1,1.0,6,0,mistral-small4,domain,296,6626.3,CPU-intensive
18,2026-07-16 05:40:16,6,6,862,66,1396,88.2,1.0,6,0,mistral-small4,domain,296,2231.4,CPU-intensive
19,2026-07-16 05:41:19,6,6,832,66,1411,99.1,1.0,6,0,mistral-small4,domain,296,727.1,CPU-intensive
20,2026-07-16 05:42:20,6,6,826,66,1437,76.1,1.0,6,0,mistral-small4,domain,296,469.6,CPU-intensive
21,2026-07-16 05:43:21,3,6,780,66,1392,75.9,1.0,3,1,mistral-small4,domain,296,483.4,CPU-intensive
22,2026-07-16 05:44:23,7,3,755,33,1242,372.2,1.0,7,1,mistral-small4,domain,297,1025.5,CPU-intensive
23,2026-07-16 05:45:26,7,7,661,77,1054,56.7,1.0,7,0,mistral-small4,domain,295,603.4,CPU-intensive
24,2026-07-16 05:46:27,7,7,632,77,968,114.5,1.0,7,0,mistral-small4,domain,295,4879.7,CPU-intensive
