step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 07:20:13,3,3,3,33,960,5.4,1.0,3,0,mistral-small4,history_5,206,883.1,CPU-intensive
1,2026-07-16 07:21:14,3,3,20,33,1022,5.3,1.0,3,0,mistral-small4,history_5,240,573.9,CPU-intensive
2,2026-07-16 07:22:15,3,3,58,33,1122,5.4,1.0,3,0,mistral-small4,history_5,275,560.2,CPU-intensive
3,2026-07-16 07:23:16,3,3,64,34,1096,5.6,1.0,3,0,mistral-small4,history_5,310,633.7,CPU-intensive
4,2026-07-16 07:24:16,3,3,56,34,905,5.3,1.0,3,0,mistral-small4,history_5,344,503.4,CPU-intensive
5,2026-07-16 07:25:17,3,3,36,33,703,5.3,1.0,3,0,mistral-small4,history_5,378,585.9,CPU-intensive
6,2026-07-16 07:26:18,3,3,16,33,572,5.3,1.0,3,0,mistral-small4,history_5,378,565.0,CPU-intensive
7,2026-07-16 07:27:19,3,3,12,33,486,5.3,1.0,3,0,mistral-small4,history_5,377,723.1,CPU-intensive
8,2026-07-16 07:28:20,3,3,12,33,458,5.3,1.0,3,0,mistral-small4,history_5,375,573.4,CPU-intensive
9,2026-07-16 07:29:21,3,3,11,33,488,5.2,1.0,3,0,mistral-small4,history_5,373,501.8,CPU-intensive
10,2026-07-16 07:30:22,3,3,13,33,515,5.3,1.0,3,0,mistral-small4,history_5,372,495.9,CPU-intensive
11,2026-07-16 07:31:22,3,3,14,33,592,5.3,1.0,3,0,mistral-small4,history_5,371,590.6,CPU-intensive
12,2026-07-16 07:32:23,3,3,18,33,786,5.3,1.0,3,0,mistral-small4,history_5,371,643.6,CPU-intensive
13,2026-07-16 07:33:24,3,3,24,33,1041,5.3,1.0,3,0,mistral-small4,history_5,372,457.7,CPU-intensive
14,2026-07-16 07:34:25,3,3,30,33,1258,6.2,1.0,3,0,mistral-small4,history_5,374,549.0,CPU-intensive
15,2026-07-16 07:35:26,3,3,33,34,1359,5.2,1.0,3,0,mistral-small4,history_5,376,484.9,CPU-intensive
16,2026-07-16 07:36:26,3,3,34,33,1406,5.3,1.0,3,0,mistral-small4,history_5,378,493.4,CPU-intensive
17,2026-07-16 07:37:27,3,3,30,33,1405,5.3,1.0,3,0,mistral-small4,history_5,380,560.9,CPU-intensive
18,2026-07-16 07:38:28,3,3,29,33,1396,5.3,1.0,3,0,mistral-small4,history_5,381,479.9,CPU-intensive
19,2026-07-16 07:39:29,3,3,28,34,1411,5.7,1.0,3,0,mistral-small4,history_5,381,639.2,CPU-intensive
20,2026-07-16 07:40:30,3,3,27,33,1437,5.4,1.0,3,0,mistral-small4,history_5,380,644.1,CPU-intensive
21,2026-07-16 07:41:31,3,3,28,33,1392,5.3,1.0,3,0,mistral-small4,history_5,379,640.8,CPU-intensive
22,2026-07-16 07:42:32,3,3,26,33,1242,5.9,1.0,3,0,mistral-small4,history_5,378,526.2,CPU-intensive
23,2026-07-16 07:43:32,3,3,22,33,1054,5.3,1.0,3,0,mistral-small4,history_5,377,484.1,CPU-intensive
24,2026-07-16 07:44:33,3,3,18,33,968,5.4,1.0,3,0,mistral-small4,history_5,376,491.2,CPU-intensive
25,2026-07-16 07:45:34,3,3,18,33,1008,6.3,1.0,3,0,mistral-small4,history_5,376,551.6,CPU-intensive
26,2026-07-16 07:46:35,3,3,19,33,1107,5.3,1.0,3,0,mistral-small4,history_5,376,563.7,CPU-intensive
27,2026-07-16 07:47:36,3,3,21,33,1108,5.4,1.0,3,0,mistral-small4,history_5,376,455.1,CPU-intensive
28,2026-07-16 07:48:36,3,3,21,33,998,5.3,1.0,3,0,mistral-small4,history_5,375,549.1,CPU-intensive
29,2026-07-16 07:49:37,3,3,19,33,817,5.3,1.0,3,0,mistral-small4,history_5,374,535.8,CPU-intensive
30,2026-07-16 07:50:38,3,3,14,33,655,5.6,1.0,3,0,mistral-small4,history_5,374,619.0,CPU-intensive
31,2026-07-16 07:51:39,3,3,13,33,560,5.4,1.0,3,0,mistral-small4,history_5,373,490.7,CPU-intensive
32,2026-07-16 07:52:40,3,3,12,33,517,5.4,1.0,3,0,mistral-small4,history_5,372,495.4,CPU-intensive
33,2026-07-16 07:53:40,3,3,12,33,533,5.2,1.0,3,0,mistral-small4,history_5,371,514.9,CPU-intensive
34,2026-07-16 07:54:41,3,3,14,33,548,5.3,1.0,3,0,mistral-small4,history_5,371,485.7,CPU-intensive
35,2026-07-16 07:55:42,3,3,17,33,596,5.4,1.0,3,0,mistral-small4,history_5,371,506.6,CPU-intensive
36,2026-07-16 07:56:43,3,3,21,33,768,5.3,1.0,3,0,mistral-small4,history_5,371,505.9,CPU-intensive
