step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 19:40:10,14,3,7,77,960,5.9,1.0,14,1,rl-dqn,baseline,0,0.0,CPU-intensive
1,2026-07-16 19:41:11,14,7,30,77,1022,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
2,2026-07-16 19:42:11,14,7,33,77,1122,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
3,2026-07-16 19:43:11,14,7,37,77,1096,6.1,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
4,2026-07-16 19:44:11,14,7,37,77,905,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
5,2026-07-16 19:45:12,5,7,29,77,703,5.9,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
6,2026-07-16 19:46:12,5,5,25,55,572,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
7,2026-07-16 19:47:12,5,5,20,55,486,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
8,2026-07-16 19:48:13,5,5,21,55,458,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
9,2026-07-16 19:49:13,5,5,28,55,488,6.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
10,2026-07-16 19:50:13,5,5,38,55,515,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
11,2026-07-16 19:51:14,5,5,37,55,592,5.8,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
12,2026-07-16 19:52:14,5,5,44,55,786,6.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
13,2026-07-16 19:53:14,14,5,56,55,1041,5.8,1.0,14,1,rl-dqn,baseline,0,0.0,CPU-intensive
14,2026-07-16 19:54:15,14,7,55,77,1258,6.3,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
15,2026-07-16 19:55:15,14,7,74,77,1359,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
16,2026-07-16 19:56:15,14,7,77,77,1406,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
17,2026-07-16 19:57:15,14,7,79,77,1405,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
18,2026-07-16 19:58:16,14,7,75,77,1396,6.1,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
19,2026-07-16 19:59:16,14,7,69,77,1411,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
20,2026-07-16 20:00:16,14,7,60,77,1437,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
21,2026-07-16 20:01:17,14,7,72,77,1392,27.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
22,2026-07-16 20:02:17,14,7,73,77,1242,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
23,2026-07-16 20:03:18,14,7,63,77,1054,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
24,2026-07-16 20:04:18,14,7,32,77,968,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
25,2026-07-16 20:05:18,14,7,34,77,1008,6.2,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
26,2026-07-16 20:06:18,14,7,60,77,1107,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
27,2026-07-16 20:07:19,14,7,41,77,1108,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
28,2026-07-16 20:08:19,14,7,40,77,998,9.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
29,2026-07-16 20:09:19,5,7,34,77,817,6.0,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
30,2026-07-16 20:10:20,5,5,24,55,655,7.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
31,2026-07-16 20:11:20,5,5,40,55,560,6.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
32,2026-07-16 20:12:20,5,5,35,55,517,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
33,2026-07-16 20:13:21,5,5,35,55,533,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
34,2026-07-16 20:14:21,5,5,17,55,548,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
35,2026-07-16 20:15:21,5,5,21,55,596,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
36,2026-07-16 20:16:21,5,5,24,55,768,5.7,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
37,2026-07-16 20:17:22,14,5,33,55,1035,5.8,1.0,14,1,rl-dqn,baseline,0,0.0,CPU-intensive
38,2026-07-16 20:18:22,14,7,47,77,1295,6.6,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
39,2026-07-16 20:19:22,14,7,49,77,1435,9.6,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
40,2026-07-16 20:20:23,14,7,47,77,1538,19.4,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
41,2026-07-16 20:21:23,14,7,52,77,1547,7.2,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
42,2026-07-16 20:22:23,14,7,55,77,1562,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
43,2026-07-16 20:23:24,14,7,58,77,1588,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
44,2026-07-16 20:24:24,14,7,55,77,1649,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
45,2026-07-16 20:25:24,14,7,54,77,1697,7.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
46,2026-07-16 20:26:24,14,7,61,77,1578,6.7,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
47,2026-07-16 20:27:25,14,7,54,77,1340,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
48,2026-07-16 20:28:25,14,7,66,77,1242,6.1,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
49,2026-07-16 20:29:25,14,7,63,77,1264,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
50,2026-07-16 20:30:26,14,7,64,77,1372,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
51,2026-07-16 20:31:26,14,7,62,77,1378,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
52,2026-07-16 20:32:26,14,7,68,77,1223,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
53,2026-07-16 20:33:27,14,7,55,77,1002,10.7,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
54,2026-07-16 20:34:27,5,7,53,77,802,6.5,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
55,2026-07-16 20:35:27,5,5,24,55,688,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
56,2026-07-16 20:36:27,5,5,41,55,653,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
57,2026-07-16 20:37:28,5,5,26,55,669,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
58,2026-07-16 20:38:28,5,5,24,55,650,6.0,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
59,2026-07-16 20:39:28,5,5,25,55,678,5.9,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
60,2026-07-16 20:40:29,5,5,48,55,853,13.7,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
61,2026-07-16 20:41:29,14,5,57,55,1133,5.9,1.0,14,1,rl-dqn,baseline,0,0.0,CPU-intensive
62,2026-07-16 20:42:29,14,7,54,77,1404,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
63,2026-07-16 20:43:30,14,7,81,77,1555,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
64,2026-07-16 20:44:30,14,7,51,77,1670,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
65,2026-07-16 20:45:30,14,7,87,77,1691,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
66,2026-07-16 20:46:31,14,7,55,77,1666,6.4,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
67,2026-07-16 20:47:31,14,7,88,77,1719,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
68,2026-07-16 20:48:31,14,7,80,77,1737,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
69,2026-07-16 20:49:32,14,7,91,77,1731,6.2,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
70,2026-07-16 20:50:32,14,7,68,77,1553,6.1,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
71,2026-07-16 20:51:32,14,7,49,77,1325,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
72,2026-07-16 20:52:32,14,7,39,77,1078,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
73,2026-07-16 20:53:33,14,7,53,77,1374,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
74,2026-07-16 20:54:33,14,7,58,77,1480,7.4,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
75,2026-07-16 20:55:33,14,7,48,77,1403,5.9,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
76,2026-07-16 20:56:34,14,7,48,77,1167,5.8,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
77,2026-07-16 20:57:34,14,7,55,77,910,6.0,1.0,14,0,rl-dqn,baseline,0,0.0,CPU-intensive
78,2026-07-16 20:58:34,5,7,48,77,721,5.9,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
