step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-19 18:40:35,960,960,63.6,40.8,129.2,310.0,960,0,1.0
1,2026-07-19 18:41:35,1022,1022,48.6,38.5,84.7,150.7,1022,0,1.0
2,2026-07-19 18:42:35,1122,1122,82.2,38.2,137.7,827.5,1122,0,1.0
3,2026-07-19 18:43:35,1096,1094,65.8,38.6,126.5,368.5,1096,0,1.0
4,2026-07-19 18:44:35,905,905,54.8,41.3,101.8,231.8,905,0,1.0
5,2026-07-19 18:45:35,703,704,67.0,48.3,118.1,289.4,703,0,1.0
6,2026-07-19 18:46:35,572,573,73.0,54.5,130.5,258.8,572,0,1.0
7,2026-07-19 18:47:35,486,486,74.4,54.7,136.3,197.1,486,0,1.0
8,2026-07-19 18:48:35,458,459,82.3,66.7,147.6,234.1,458,0,1.0
9,2026-07-19 18:49:35,488,488,77.2,54.3,139.4,255.3,488,0,1.0
10,2026-07-19 18:50:35,515,515,105.5,70.0,151.3,1014.9,515,0,1.0
11,2026-07-19 18:51:35,592,593,83.5,56.2,134.7,650.5,592,0,1.0
12,2026-07-19 18:52:35,786,786,61.1,44.5,111.5,270.1,786,0,1.0
13,2026-07-19 18:53:35,1041,1041,68.8,39.9,137.6,380.3,1041,0,1.0
14,2026-07-19 18:54:35,1258,1258,47.9,36.3,76.9,188.1,1258,0,1.0
15,2026-07-19 18:55:35,1359,1359,64.9,36.5,122.8,411.1,1359,0,1.0
16,2026-07-19 18:56:35,1406,1404,45.2,36.0,70.3,180.6,1406,0,1.0
17,2026-07-19 18:57:35,1405,1404,59.5,36.1,108.2,360.3,1405,0,1.0
18,2026-07-19 18:58:35,1396,1396,57.5,36.2,99.9,324.0,1396,0,1.0
19,2026-07-19 18:59:35,1411,1411,52.1,36.0,85.0,295.5,1411,0,1.0
20,2026-07-19 19:00:35,1437,1437,50.0,36.1,77.0,261.7,1437,0,1.0
21,2026-07-19 19:01:35,1392,1392,54.4,36.3,96.0,260.0,1392,0,1.0
22,2026-07-19 19:02:35,1242,1233,76.9,36.8,138.1,753.7,1242,0,1.0
23,2026-07-19 19:03:35,1054,1054,101.4,40.8,221.9,759.0,1054,0,1.0
24,2026-07-19 19:04:35,968,967,57.1,40.2,103.2,285.4,968,0,1.0
25,2026-07-19 19:05:36,1008,957,168.1,39.8,154.5,2963.1,1008,0,1.0
26,2026-07-19 19:06:39,1107,888,3162.1,3097.3,5011.7,5022.1,784,323,0.7082
27,2026-07-19 19:07:54,1108,1108,329.5,40.3,1201.3,4136.5,1103,5,0.9955
28,2026-07-19 19:08:54,998,998,53.3,39.2,99.1,236.8,998,0,1.0
29,2026-07-19 19:09:53,817,817,62.3,44.5,121.5,239.1,817,0,1.0
30,2026-07-19 19:10:53,655,654,72.6,51.2,132.2,325.2,655,0,1.0
31,2026-07-19 19:11:54,560,560,87.5,58.1,141.0,523.9,560,0,1.0
32,2026-07-19 19:12:54,517,479,2614.4,3041.6,5020.9,5022.0,269,248,0.5203
33,2026-07-19 19:13:58,533,534,824.6,77.8,3730.9,5022.1,449,84,0.8424
34,2026-07-19 19:14:58,548,549,182.3,79.5,350.2,1601.2,544,4,0.9927
35,2026-07-19 19:15:58,596,596,95.9,55.4,143.1,799.0,596,0,1.0
36,2026-07-19 19:16:58,768,712,1579.9,564.1,5009.1,5022.0,673,95,0.8763
37,2026-07-19 19:18:03,1035,1035,2496.4,2314.3,5010.7,5021.3,802,233,0.7749
38,2026-07-19 19:19:03,1295,1128,715.8,36.8,3406.6,5018.9,1225,70,0.9459
39,2026-07-19 19:20:12,1435,1068,2636.7,2397.7,5009.0,5020.1,1119,316,0.7798
40,2026-07-19 19:21:32,1538,1370,539.8,36.1,2499.6,5018.8,1476,62,0.9597
41,2026-07-19 19:22:40,1547,1547,1431.8,94.1,5007.6,5020.7,872,675,0.5637
42,2026-07-19 19:23:40,1562,1561,61.5,36.1,100.4,415.4,1561,1,0.9994
43,2026-07-19 19:24:40,1588,1588,54.2,36.2,91.8,280.0,1588,0,1.0
44,2026-07-19 19:25:40,1649,1649,46.6,35.8,72.1,218.9,1649,0,1.0
45,2026-07-19 19:26:40,1697,1697,45.6,36.0,63.8,219.3,1697,0,1.0
46,2026-07-19 19:27:40,1578,1576,122.9,36.2,273.6,1251.7,1578,0,1.0
47,2026-07-19 19:28:40,1340,1340,121.0,47.5,325.1,765.4,1340,0,1.0
48,2026-07-19 19:29:40,1242,1242,50.1,36.3,83.9,228.3,1242,0,1.0
49,2026-07-19 19:30:40,1264,1264,59.1,36.5,114.6,334.2,1264,0,1.0
50,2026-07-19 19:31:40,1372,1372,56.1,36.2,102.4,259.2,1372,0,1.0
51,2026-07-19 19:32:40,1378,1378,56.1,36.1,105.4,299.9,1378,0,1.0
52,2026-07-19 19:33:40,1223,1223,53.3,36.4,98.8,263.4,1223,0,1.0
53,2026-07-19 19:34:40,1002,1002,54.9,39.4,100.0,246.7,1002,0,1.0
54,2026-07-19 19:35:40,802,802,66.4,45.1,122.5,325.3,802,0,1.0
55,2026-07-19 19:36:40,688,636,3188.5,4015.2,5020.3,5022.8,439,249,0.6381
56,2026-07-19 19:37:45,653,653,1198.6,89.3,4972.4,5021.5,592,61,0.9066
57,2026-07-19 19:38:45,669,670,72.7,50.3,129.8,348.2,669,0,1.0
58,2026-07-19 19:39:45,650,650,88.8,54.9,146.2,581.5,650,0,1.0
59,2026-07-19 19:40:45,678,679,68.4,50.3,123.0,267.0,678,0,1.0
60,2026-07-19 19:41:45,853,853,70.3,42.7,129.3,421.6,853,0,1.0
61,2026-07-19 19:42:45,1133,1133,88.6,38.8,158.1,715.9,1133,0,1.0
62,2026-07-19 19:43:45,1404,1402,55.7,36.2,101.9,257.7,1404,0,1.0
63,2026-07-19 19:44:45,1555,1555,54.8,36.0,87.0,357.9,1555,0,1.0
64,2026-07-19 19:45:45,1670,1670,49.4,36.3,79.8,234.0,1670,0,1.0
65,2026-07-19 19:46:45,1691,1690,53.4,36.2,84.6,318.1,1691,0,1.0
66,2026-07-19 19:47:45,1666,1666,64.7,36.6,125.3,448.2,1666,0,1.0
67,2026-07-19 19:48:45,1719,1719,51.3,36.2,82.9,249.3,1719,0,1.0
68,2026-07-19 19:49:45,1737,1737,41.8,36.0,52.0,134.4,1737,0,1.0
69,2026-07-19 19:50:45,1731,1731,48.4,36.4,73.0,234.0,1731,0,1.0
70,2026-07-19 19:51:45,1553,1553,49.1,36.2,71.3,301.0,1553,0,1.0
