step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-18 21:57:58,960,961,21.9,23.2,23.4,23.9,960,0,1.0
1,2026-07-18 21:58:58,1022,1022,22.4,23.1,23.4,23.8,1022,0,1.0
2,2026-07-18 21:59:58,1122,1122,22.3,23.1,23.3,23.7,1122,0,1.0
3,2026-07-18 22:00:58,1096,1096,22.4,23.1,23.4,23.6,1096,0,1.0
4,2026-07-18 22:01:58,905,906,22.4,23.2,23.4,23.9,905,0,1.0
5,2026-07-18 22:02:58,703,704,22.6,23.2,23.4,23.7,703,0,1.0
6,2026-07-18 22:03:58,572,573,22.7,23.2,23.4,23.6,572,0,1.0
7,2026-07-18 22:04:58,486,487,22.4,23.2,23.4,23.7,486,0,1.0
8,2026-07-18 22:05:58,458,459,22.5,23.2,23.4,23.8,458,0,1.0
9,2026-07-18 22:06:58,488,489,22.3,23.2,23.4,23.7,488,0,1.0
10,2026-07-18 22:07:58,515,516,22.7,23.2,23.4,23.8,515,0,1.0
11,2026-07-18 22:08:58,592,593,22.6,23.2,23.4,23.8,592,0,1.0
12,2026-07-18 22:09:58,786,787,22.6,23.2,23.4,23.7,786,0,1.0
13,2026-07-18 22:10:57,1041,1041,22.3,23.1,23.4,23.6,1041,0,1.0
14,2026-07-18 22:11:57,1258,1258,22.4,23.1,23.4,23.7,1258,0,1.0
15,2026-07-18 22:12:57,1359,1359,22.3,23.1,23.4,23.7,1359,0,1.0
16,2026-07-18 22:13:57,1406,1406,22.4,23.1,23.4,23.6,1406,0,1.0
17,2026-07-18 22:14:57,1405,1405,22.3,23.1,23.4,23.7,1405,0,1.0
18,2026-07-18 22:15:57,1396,1396,22.3,23.1,23.4,23.7,1396,0,1.0
19,2026-07-18 22:16:57,1411,1411,22.2,23.1,23.4,23.8,1411,0,1.0
20,2026-07-18 22:17:57,1437,1437,22.2,23.1,23.3,23.6,1437,0,1.0
21,2026-07-18 22:18:57,1392,1392,22.2,23.1,23.4,23.6,1392,0,1.0
22,2026-07-18 22:19:57,1242,1242,22.4,23.2,23.4,23.7,1242,0,1.0
23,2026-07-18 22:20:57,1054,1054,22.5,23.1,23.3,23.8,1054,0,1.0
24,2026-07-18 22:21:57,968,968,22.4,23.1,23.3,23.6,968,0,1.0
25,2026-07-18 22:22:57,1008,1008,22.4,23.1,23.4,23.6,1008,0,1.0
26,2026-07-18 22:23:57,1107,1107,22.5,23.1,23.3,23.6,1107,0,1.0
27,2026-07-18 22:24:57,1108,1108,22.4,23.1,23.3,23.6,1108,0,1.0
