step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-18 03:17:21,960,960,22.0,23.2,23.5,24.2,960,0,1.0
1,2026-07-18 03:18:21,1022,1022,22.3,23.2,23.4,23.8,1022,0,1.0
2,2026-07-18 03:19:21,1122,1122,22.3,23.2,23.4,23.8,1122,0,1.0
3,2026-07-18 03:20:21,1096,1096,22.5,23.2,23.4,24.0,1096,0,1.0
4,2026-07-18 03:21:21,905,906,22.5,23.2,23.4,23.7,905,0,1.0
5,2026-07-18 03:22:21,703,704,22.3,23.2,23.4,23.6,703,0,1.0
6,2026-07-18 03:23:21,572,573,22.6,23.2,23.4,23.6,572,0,1.0
7,2026-07-18 03:24:21,486,487,22.3,23.2,23.4,23.6,486,0,1.0
8,2026-07-18 03:25:21,458,459,22.5,23.2,23.4,23.6,458,0,1.0
9,2026-07-18 03:26:21,488,489,22.4,23.2,23.4,23.7,488,0,1.0
10,2026-07-18 03:27:21,515,516,22.4,23.2,23.4,23.7,515,0,1.0
11,2026-07-18 03:28:21,592,593,22.4,23.2,23.4,24.0,592,0,1.0
12,2026-07-18 03:29:20,786,787,22.3,23.2,23.4,23.8,786,0,1.0
13,2026-07-18 03:30:20,1041,1041,22.3,23.2,23.4,23.9,1041,0,1.0
14,2026-07-18 03:31:20,1258,1258,22.4,23.2,23.4,23.8,1258,0,1.0
15,2026-07-18 03:32:20,1359,1359,22.3,23.2,23.4,23.8,1359,0,1.0
16,2026-07-18 03:33:20,1406,1406,22.1,23.2,23.4,23.7,1406,0,1.0
17,2026-07-18 03:34:20,1405,1405,22.4,23.2,23.4,23.8,1405,0,1.0
18,2026-07-18 03:35:20,1396,1396,22.2,23.2,23.4,23.7,1396,0,1.0
19,2026-07-18 03:36:20,1411,1411,22.2,23.2,23.4,23.7,1411,0,1.0
20,2026-07-18 03:37:20,1437,1437,22.0,23.1,23.4,23.8,1437,0,1.0
21,2026-07-18 03:38:20,1392,1392,22.2,23.1,23.4,23.7,1392,0,1.0
22,2026-07-18 03:39:20,1242,1242,22.3,23.2,23.4,23.8,1242,0,1.0
23,2026-07-18 03:40:20,1054,1054,22.5,23.2,23.4,23.7,1054,0,1.0
24,2026-07-18 03:41:20,968,968,22.2,23.2,23.4,23.9,968,0,1.0
25,2026-07-18 03:42:20,1008,1008,22.2,23.2,23.4,23.7,1008,0,1.0
26,2026-07-18 03:43:20,1107,1107,22.5,23.2,23.4,23.8,1107,0,1.0
27,2026-07-18 03:44:20,1108,1108,22.3,23.2,23.4,23.7,1108,0,1.0
28,2026-07-18 03:45:20,998,999,22.2,23.2,23.4,23.7,998,0,1.0
29,2026-07-18 03:46:20,817,818,22.5,23.2,23.4,23.9,817,0,1.0
30,2026-07-18 03:47:20,655,656,22.3,23.2,23.4,23.6,655,0,1.0
31,2026-07-18 03:48:20,560,561,22.6,23.2,23.4,23.6,560,0,1.0
32,2026-07-18 03:49:20,517,518,22.2,23.2,23.4,23.8,517,0,1.0
33,2026-07-18 03:50:20,533,534,22.4,23.2,23.4,24.0,533,0,1.0
34,2026-07-18 03:51:20,548,549,22.5,23.2,23.4,24.2,548,0,1.0
35,2026-07-18 03:52:20,596,597,22.3,23.1,23.4,23.8,596,0,1.0
