step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-18 05:18:23,960,961,6.0,5.3,5.8,20.8,960,0,1.0
1,2026-07-18 05:19:23,1022,1023,5.9,5.3,5.7,20.7,1022,0,1.0
2,2026-07-18 05:20:23,1122,1123,5.7,5.3,5.6,19.2,1122,0,1.0
3,2026-07-18 05:21:23,1096,1097,5.4,5.2,5.5,9.0,1096,0,1.0
4,2026-07-18 05:22:23,905,906,5.7,5.2,5.6,19.2,905,0,1.0
5,2026-07-18 05:23:23,703,704,6.6,5.3,11.0,21.0,703,0,1.0
6,2026-07-18 05:24:23,572,573,6.4,5.3,8.7,20.9,572,0,1.0
7,2026-07-18 05:25:23,486,487,6.4,5.3,7.5,21.1,486,0,1.0
8,2026-07-18 05:26:22,458,459,6.4,5.3,9.0,21.0,458,0,1.0
9,2026-07-18 05:27:22,488,489,6.5,5.3,8.9,21.0,488,0,1.0
10,2026-07-18 05:28:22,515,516,6.7,5.3,10.5,21.0,515,0,1.0
11,2026-07-18 05:29:22,592,593,6.8,5.4,10.5,21.0,592,0,1.0
12,2026-07-18 05:30:22,786,787,7.9,5.6,18.7,23.2,786,0,1.0
13,2026-07-18 05:31:22,1041,1041,8.2,5.9,17.9,23.3,1041,0,1.0
14,2026-07-18 05:32:22,1258,1259,9.0,6.2,21.0,23.5,1258,0,1.0
15,2026-07-18 05:33:22,1359,1360,9.0,6.2,20.9,23.4,1359,0,1.0
16,2026-07-18 05:34:22,1406,1407,9.0,6.2,20.9,23.3,1406,0,1.0
17,2026-07-18 05:35:22,1405,1406,9.2,6.2,21.0,23.4,1405,0,1.0
18,2026-07-18 05:36:22,1396,1397,8.5,5.8,20.8,23.3,1396,0,1.0
19,2026-07-18 05:37:22,1411,1411,7.5,5.4,16.3,23.1,1411,0,1.0
20,2026-07-18 05:38:22,1437,1438,6.5,5.3,9.5,21.0,1437,0,1.0
21,2026-07-18 05:39:22,1392,1393,6.1,5.2,6.2,20.9,1392,0,1.0
22,2026-07-18 05:40:22,1242,1243,5.6,5.2,5.6,16.6,1242,0,1.0
23,2026-07-18 05:41:22,1054,1055,5.4,5.2,5.5,12.2,1054,0,1.0
24,2026-07-18 05:42:22,968,969,5.4,5.2,5.6,14.2,968,0,1.0
25,2026-07-18 05:43:22,1008,1009,5.4,5.2,5.5,8.8,1008,0,1.0
26,2026-07-18 05:44:22,1107,1108,5.4,5.2,5.5,6.9,1107,0,1.0
27,2026-07-18 05:45:21,1108,1109,5.3,5.2,5.5,6.1,1108,0,1.0
28,2026-07-18 05:46:21,998,999,5.7,5.2,5.6,18.5,998,0,1.0
29,2026-07-18 05:47:21,817,818,6.4,5.2,8.2,21.0,817,0,1.0
30,2026-07-18 05:48:21,655,656,7.0,5.3,12.7,21.2,655,0,1.0
31,2026-07-18 05:49:21,560,561,6.6,5.3,9.7,21.0,560,0,1.0
32,2026-07-18 05:50:21,517,518,6.2,5.2,6.4,20.9,517,0,1.0
33,2026-07-18 05:51:21,533,534,6.0,5.2,6.0,20.9,533,0,1.0
34,2026-07-18 05:52:21,548,549,6.9,5.3,14.5,21.2,548,0,1.0
35,2026-07-18 05:53:21,596,597,7.3,5.4,16.0,22.1,596,0,1.0
36,2026-07-18 05:54:21,768,769,8.0,5.8,17.4,23.3,768,0,1.0
37,2026-07-18 05:55:21,1035,1036,9.1,6.3,21.0,23.5,1035,0,1.0
38,2026-07-18 05:56:21,1295,1296,9.8,6.7,22.4,23.5,1295,0,1.0
39,2026-07-18 05:57:21,1435,1435,10.0,6.8,22.5,23.5,1435,0,1.0
40,2026-07-18 05:58:21,1538,1539,9.7,6.5,22.1,23.4,1538,0,1.0
41,2026-07-18 05:59:21,1547,1548,8.7,6.1,19.7,23.4,1547,0,1.0
42,2026-07-18 06:00:20,1562,1563,7.8,5.6,16.4,23.2,1562,0,1.0
43,2026-07-18 06:01:20,1588,1589,7.2,5.4,14.1,23.0,1588,0,1.0
44,2026-07-18 06:02:20,1649,1650,6.5,5.3,9.7,21.1,1649,0,1.0
45,2026-07-18 06:03:20,1697,1698,6.1,5.2,6.1,20.9,1697,0,1.0
46,2026-07-18 06:04:20,1578,1579,5.9,5.2,5.7,20.8,1578,0,1.0
47,2026-07-18 06:05:20,1340,1341,5.9,5.2,5.8,20.7,1340,0,1.0
48,2026-07-18 06:06:20,1242,1243,5.9,5.2,5.7,20.8,1242,0,1.0
49,2026-07-18 06:07:20,1264,1265,6.0,5.2,5.9,20.5,1264,0,1.0
50,2026-07-18 06:08:20,1372,1373,6.0,5.3,6.0,20.7,1372,0,1.0
51,2026-07-18 06:09:20,1378,1379,6.0,5.2,5.9,20.9,1378,0,1.0
52,2026-07-18 06:10:20,1223,1224,6.3,5.3,7.2,20.9,1223,0,1.0
53,2026-07-18 06:11:20,1002,1003,7.1,5.3,14.5,21.2,1002,0,1.0
54,2026-07-18 06:12:20,802,803,7.7,5.4,18.3,21.4,802,0,1.0
55,2026-07-18 06:13:20,688,689,7.3,5.4,16.3,21.2,688,0,1.0
56,2026-07-18 06:14:20,653,654,7.2,5.3,15.9,21.2,653,0,1.0
57,2026-07-18 06:15:20,669,670,7.2,5.3,16.0,21.1,669,0,1.0
58,2026-07-18 06:16:20,650,651,7.4,5.4,16.1,22.6,650,0,1.0
59,2026-07-18 06:17:20,678,679,8.3,5.7,20.6,23.3,678,0,1.0
60,2026-07-18 06:18:20,853,854,9.3,6.1,22.4,23.5,853,0,1.0
61,2026-07-18 06:19:20,1133,1134,10.3,6.9,23.0,23.5,1133,0,1.0
62,2026-07-18 06:20:20,1404,1405,10.9,7.3,23.0,23.4,1404,0,1.0
63,2026-07-18 06:21:20,1555,1556,10.5,7.0,23.0,23.5,1555,0,1.0
