step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 07:20:02,960,961,7.3,5.3,16.2,21.2,960,0,1.0
1,2026-07-16 07:21:02,1022,1023,14.3,16.2,23.3,23.7,1022,0,1.0
2,2026-07-16 07:22:02,1122,1122,21.1,23.1,23.4,23.6,1122,0,1.0
3,2026-07-16 07:23:02,1096,1096,21.3,23.1,23.4,24.1,1096,0,1.0
4,2026-07-16 07:24:02,905,906,20.1,23.1,23.5,24.1,905,0,1.0
5,2026-07-16 07:25:02,703,704,7.9,5.5,17.6,23.3,703,0,1.0
6,2026-07-16 07:26:02,572,573,7.8,5.4,16.7,23.1,572,0,1.0
7,2026-07-16 07:27:02,486,487,7.3,5.3,16.1,21.6,486,0,1.0
8,2026-07-16 07:28:02,458,459,7.6,5.4,16.5,21.7,458,0,1.0
9,2026-07-16 07:29:01,488,489,8.4,5.7,20.2,23.6,488,0,1.0
10,2026-07-16 07:30:01,515,516,9.3,6.2,21.2,23.4,515,0,1.0
11,2026-07-16 07:31:01,592,593,10.1,6.7,22.4,23.4,592,0,1.0
12,2026-07-16 07:32:01,786,787,10.7,7.1,22.6,23.7,786,0,1.0
13,2026-07-16 07:33:01,1041,1042,10.5,7.5,22.9,23.6,1041,0,1.0
14,2026-07-16 07:34:01,1258,1258,10.2,6.9,21.2,23.5,1258,0,1.0
15,2026-07-16 07:35:01,1359,1360,9.8,6.8,21.3,23.4,1359,0,1.0
16,2026-07-16 07:36:01,1406,1407,9.4,6.4,21.0,23.4,1406,0,1.0
17,2026-07-16 07:37:01,1405,1406,8.0,5.6,16.5,23.4,1405,0,1.0
18,2026-07-16 07:38:01,1396,1397,7.4,5.4,16.2,22.9,1396,0,1.0
19,2026-07-16 07:39:01,1411,1412,6.8,5.3,11.7,21.1,1411,0,1.0
20,2026-07-16 07:40:01,1437,1438,6.7,5.3,11.2,21.2,1437,0,1.0
21,2026-07-16 07:41:01,1392,1393,6.6,5.3,10.5,21.1,1392,0,1.0
22,2026-07-16 07:42:01,1242,1243,6.7,5.3,10.7,21.2,1242,0,1.0
23,2026-07-16 07:43:01,1054,1055,6.6,5.3,9.6,21.0,1054,0,1.0
24,2026-07-16 07:44:01,968,969,6.4,5.3,9.7,20.8,968,0,1.0
25,2026-07-16 07:45:01,1008,1009,6.3,5.3,7.4,20.8,1008,0,1.0
26,2026-07-16 07:46:01,1107,1108,6.4,5.3,7.9,21.0,1107,0,1.0
27,2026-07-16 07:47:01,1108,1109,6.8,5.3,12.2,21.0,1108,0,1.0
28,2026-07-16 07:48:00,998,999,7.5,5.4,16.7,21.2,998,0,1.0
29,2026-07-16 07:49:00,817,818,7.8,5.5,18.8,21.5,817,0,1.0
30,2026-07-16 07:50:00,655,656,7.7,5.4,17.5,21.2,655,0,1.0
31,2026-07-16 07:51:00,560,561,7.2,5.3,16.0,21.1,560,0,1.0
32,2026-07-16 07:52:00,517,518,7.2,5.3,15.6,21.2,517,0,1.0
33,2026-07-16 07:53:00,533,534,7.8,5.4,18.4,21.3,533,0,1.0
34,2026-07-16 07:54:00,548,549,8.7,5.9,20.7,23.2,548,0,1.0
35,2026-07-16 07:55:00,596,597,9.3,6.3,20.8,23.4,596,0,1.0
36,2026-07-16 07:56:00,768,769,10.1,6.7,21.4,23.6,768,0,1.0
37,2026-07-16 07:57:00,1035,1036,10.2,6.8,22.2,23.6,1035,0,1.0
38,2026-07-16 07:58:00,1295,1296,10.0,6.8,21.1,23.6,1295,0,1.0
39,2026-07-16 07:59:00,1435,1436,9.0,6.0,20.3,23.4,1435,0,1.0
40,2026-07-16 08:00:00,1538,1538,9.4,6.3,20.9,23.5,1538,0,1.0
41,2026-07-16 08:01:00,1547,1548,8.4,5.7,19.2,23.3,1547,0,1.0
42,2026-07-16 08:02:00,1562,1563,7.3,5.3,16.0,21.6,1562,0,1.0
43,2026-07-16 08:03:00,1588,1589,6.6,5.3,10.4,21.0,1588,0,1.0
44,2026-07-16 08:04:00,1649,1650,6.2,5.2,7.2,21.0,1649,0,1.0
45,2026-07-16 08:05:00,1697,1698,5.8,5.2,5.8,20.6,1697,0,1.0
46,2026-07-16 08:05:59,1578,1579,5.9,5.2,5.7,20.8,1578,0,1.0
47,2026-07-16 08:06:59,1340,1341,5.9,5.2,6.0,20.6,1340,0,1.0
48,2026-07-16 08:07:59,1242,1243,5.7,5.2,5.7,20.7,1242,0,1.0
49,2026-07-16 08:08:59,1264,1265,5.4,5.2,5.5,14.4,1264,0,1.0
50,2026-07-16 08:09:59,1372,1373,5.4,5.2,5.5,12.2,1372,0,1.0
51,2026-07-16 08:10:59,1378,1379,5.8,5.2,5.7,20.6,1378,0,1.0
52,2026-07-16 08:11:59,1223,1224,6.8,5.3,12.3,21.0,1223,0,1.0
53,2026-07-16 08:12:59,1002,1003,6.4,5.3,8.3,21.0,1002,0,1.0
54,2026-07-16 08:13:59,802,803,6.8,5.3,12.5,21.1,802,0,1.0
55,2026-07-16 08:14:59,688,689,6.3,5.3,7.7,20.9,688,0,1.0
56,2026-07-16 08:15:59,653,654,6.6,5.3,11.0,21.1,653,0,1.0
57,2026-07-16 08:16:59,669,670,7.0,5.3,14.9,21.1,669,0,1.0
58,2026-07-16 08:17:59,650,651,7.4,5.4,16.1,21.3,650,0,1.0
59,2026-07-16 08:18:59,678,679,8.5,5.8,20.7,22.2,678,0,1.0
60,2026-07-16 08:19:59,853,854,8.9,6.1,20.8,23.4,853,0,1.0
61,2026-07-16 08:20:59,1133,1134,9.1,6.2,20.8,23.5,1133,0,1.0
62,2026-07-16 08:21:59,1404,1405,8.8,6.0,20.0,23.5,1404,0,1.0
63,2026-07-16 08:22:59,1555,1556,8.6,6.0,17.1,23.5,1555,0,1.0
64,2026-07-16 08:23:59,1670,1671,8.5,5.9,19.6,23.5,1670,0,1.0
65,2026-07-16 08:24:59,1691,1692,7.6,5.5,16.2,23.3,1691,0,1.0
66,2026-07-16 08:25:59,1666,1667,6.8,5.3,11.8,21.2,1666,0,1.0
67,2026-07-16 08:26:59,1719,1720,6.3,5.2,7.9,20.9,1719,0,1.0
68,2026-07-16 08:27:59,1737,1738,5.7,5.2,5.6,17.5,1737,0,1.0
69,2026-07-16 08:28:58,1731,1732,5.5,5.2,5.6,13.5,1731,0,1.0
70,2026-07-16 08:29:58,1553,1554,5.4,5.2,5.5,8.9,1553,0,1.0
71,2026-07-16 08:30:58,1325,1326,5.4,5.2,5.5,8.5,1325,0,1.0
72,2026-07-16 08:31:58,1078,1079,5.5,5.2,5.6,16.4,1078,0,1.0
73,2026-07-16 08:32:58,1374,1375,5.4,5.2,5.5,7.7,1374,0,1.0
