step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 05:17:24,960,960,20.1,22.8,23.4,24.0,960,0,1.0
1,2026-07-16 05:18:24,1022,1022,20.6,23.0,23.4,23.9,1022,0,1.0
2,2026-07-16 05:19:24,1122,1122,20.7,23.0,23.4,23.9,1122,0,1.0
3,2026-07-16 05:20:24,1096,1096,20.4,23.0,23.4,23.9,1096,0,1.0
4,2026-07-16 05:21:24,905,906,9.4,5.6,21.6,23.5,905,0,1.0
5,2026-07-16 05:22:24,703,704,8.1,5.5,18.6,23.2,703,0,1.0
6,2026-07-16 05:23:24,572,573,7.5,5.4,16.3,21.9,572,0,1.0
7,2026-07-16 05:24:24,486,487,7.4,5.4,15.9,21.9,486,0,1.0
8,2026-07-16 05:25:24,458,459,8.0,5.5,18.6,23.1,458,0,1.0
9,2026-07-16 05:26:24,488,489,8.7,6.0,19.8,23.5,488,0,1.0
10,2026-07-16 05:27:23,515,516,9.9,6.5,21.8,23.3,515,0,1.0
11,2026-07-16 05:28:23,592,593,10.4,6.9,22.9,23.5,592,0,1.0
12,2026-07-16 05:29:23,786,787,10.9,7.4,22.9,23.7,786,0,1.0
13,2026-07-16 05:30:23,1041,1042,10.3,6.9,22.9,23.7,1041,0,1.0
14,2026-07-16 05:31:23,1258,1259,10.2,7.0,22.2,23.5,1258,0,1.0
15,2026-07-16 05:32:23,1359,1359,9.3,6.2,20.9,23.5,1359,0,1.0
16,2026-07-16 05:33:23,1406,1407,8.6,5.8,20.5,23.4,1406,0,1.0
17,2026-07-16 05:34:23,1405,1406,7.3,5.4,15.8,21.9,1405,0,1.0
18,2026-07-16 05:35:23,1396,1397,6.6,5.3,10.1,21.1,1396,0,1.0
19,2026-07-16 05:36:23,1411,1412,7.1,5.3,13.9,21.3,1411,0,1.0
20,2026-07-16 05:37:23,1437,1438,6.4,5.3,8.1,21.0,1437,0,1.0
21,2026-07-16 05:38:23,1392,1393,6.3,5.3,7.6,20.9,1392,0,1.0
22,2026-07-16 05:39:23,1242,1243,6.5,5.3,9.4,21.0,1242,0,1.0
23,2026-07-16 05:40:23,1054,1055,6.3,5.3,8.2,21.0,1054,0,1.0
